Date,Open,High,Low,Close,Adj Close,Volume
1989-06-22,6.0625,6.09375,5.71875,5.78125,4.567962,1746400
1989-06-23,5.78125,5.875,5.6875,5.875,4.642038,2356000
1989-06-26,5.875,5.96875,5.8125,5.8125,4.59265,533200
1989-06-27,5.9375,6.09375,5.9375,6.0,4.740803,2098000
1989-06-28,6.0,6.0,5.78125,5.78125,4.567962,856400
1989-06-29,5.78125,5.84375,5.65625,5.71875,4.518578,1496000
1989-06-30,5.71875,5.71875,5.5625,5.6875,4.493884,606400
1989-07-03,5.6875,5.6875,5.625,5.65625,4.469194,127200
1989-07-05,5.6875,5.6875,5.625,5.6875,4.493884,668400
1989-07-06,5.6875,5.875,5.65625,5.84375,4.617344,1311600
1989-07-07,5.9375,6.0,5.8125,5.90625,4.666728,1616800
1989-07-10,5.9375,6.125,5.9375,6.125,4.839571,975200
1989-07-11,6.125,6.28125,6.125,6.1875,4.88895,1833200
1989-07-12,6.25,6.3125,6.09375,6.09375,4.814877,1640400
1989-07-13,6.125,6.125,5.84375,5.96875,4.716111,2386800
1989-07-14,6.0,6.0625,5.9375,6.0,4.740803,1527600
1989-07-17,6.0625,6.09375,6.0,6.09375,4.814877,1277200
1989-07-18,6.09375,6.09375,5.96875,5.96875,4.716111,1643600
1989-07-19,6.03125,6.03125,5.84375,5.875,4.642038,2506000
1989-07-20,5.9375,6.21875,5.9375,6.0625,4.790186,2471200
1989-07-21,6.0625,6.125,6.0,6.09375,4.814877,1890400
1989-07-24,6.09375,6.09375,5.96875,5.96875,4.716111,1080000
1989-07-25,6.0,6.0625,5.96875,6.0625,4.790186,1612800
1989-07-26,6.09375,6.1875,6.0625,6.125,4.839571,4258000
1989-07-27,6.1875,6.375,6.1875,6.3125,4.98772,7722400
1989-07-28,6.34375,6.375,6.28125,6.3125,4.98772,3185600
1989-07-31,6.28125,6.3125,6.15625,6.28125,4.963028,2185600
1989-08-01,6.28125,6.3125,6.1875,6.28125,4.963028,3455200
1989-08-02,6.25,6.28125,6.1875,6.1875,4.88895,3822000
1989-08-03,6.1875,6.25,6.15625,6.25,4.938337,3407600
1989-08-04,6.15625,6.3125,6.15625,6.3125,4.98772,1885600
1989-08-07,6.3125,6.3125,6.125,6.15625,4.864259,2147600
1989-08-08,6.1875,6.25,6.15625,6.25,4.938337,2505600
1989-08-09,6.25,6.3125,6.25,6.28125,4.963028,2747200
1989-08-10,6.25,6.3125,6.1875,6.21875,4.913643,4166000
1989-08-11,6.3125,6.3125,6.25,6.28125,4.963028,2558800
1989-08-14,6.25,6.28125,6.15625,6.15625,4.864259,2912000
1989-08-15,6.1875,6.1875,5.9375,5.96875,4.716111,2775600
1989-08-16,6.0,6.21875,5.96875,5.96875,4.716111,3040400
1989-08-17,6.03125,6.0625,5.9375,6.0625,4.790186,1970000
1989-08-18,6.03125,6.09375,6.0,6.09375,4.814877,1364400
1989-08-21,6.03125,6.125,6.03125,6.0625,4.790186,1891600
1989-08-22,6.03125,6.15625,6.03125,6.09375,4.814877,1999200
1989-08-23,6.09375,6.1875,6.0625,6.15625,4.864259,1092400
1989-08-24,6.15625,6.21875,6.125,6.21875,4.913643,2400000
1989-08-25,6.21875,6.25,6.15625,6.1875,4.88895,861200
1989-08-28,6.1875,6.1875,6.09375,6.125,4.839571,1054800
1989-08-29,6.125,6.15625,6.0,6.0625,4.790186,2449200
1989-08-30,6.0625,6.15625,6.03125,6.15625,4.864259,1654400
1989-08-31,6.125,6.21875,6.125,6.1875,4.88895,1598800
1989-09-01,6.1875,6.28125,6.1875,6.25,4.938337,1911600
1989-09-05,6.25,6.28125,6.21875,6.21875,4.913643,2658000
1989-09-06,6.21875,6.21875,6.09375,6.125,4.839571,1264800
1989-09-07,5.5,5.53125,5.125,5.1875,4.09882,12668800
1989-09-08,5.21875,5.25,4.96875,5.0625,4.000052,7364000
1989-09-11,5.0625,5.09375,4.875,5.0625,4.000052,6420000
1989-09-12,5.03125,5.09375,4.9375,5.0,3.950668,2242400
1989-09-13,4.96875,5.09375,4.96875,4.96875,3.925975,4391600
1989-09-14,4.96875,5.0,4.9375,4.96875,3.925975,3736000
1989-09-15,5.0,5.03125,4.9375,4.96875,3.925975,5024400
1989-09-18,4.96875,4.96875,4.90625,4.96875,3.925975,2668000
1989-09-19,4.9375,5.0,4.75,4.78125,3.777826,2683200
1989-09-20,4.75,4.8125,4.71875,4.78125,3.777826,1377200
1989-09-21,4.8125,4.8125,4.65625,4.65625,3.679062,980800
1989-09-22,4.65625,4.6875,4.5,4.53125,3.580293,3218800
1989-09-25,4.5625,4.71875,4.5625,4.65625,3.679062,4335600
1989-09-26,4.71875,4.8125,4.71875,4.71875,3.728442,3874400
1989-09-27,4.71875,4.78125,4.6875,4.6875,3.703752,1645200
1989-09-28,4.6875,4.8125,4.6875,4.78125,3.777826,2245600
1989-09-29,4.78125,4.78125,4.71875,4.71875,3.728442,1075600
1989-10-02,4.75,4.78125,4.71875,4.75,3.753136,979600
1989-10-03,4.75,5.03125,4.75,5.0,3.950668,2903600
1989-10-04,5.0,5.125,4.9375,5.0625,4.000052,2246800
1989-10-05,5.0625,5.125,5.03125,5.09375,4.024744,820400
1989-10-06,5.0625,5.125,5.03125,5.0625,4.000052,1576400
1989-10-09,5.0625,5.25,5.0625,5.25,4.148202,646000
1989-10-10,5.1875,5.21875,5.09375,5.125,4.049435,1354400
1989-10-11,5.0625,5.1875,5.0625,5.09375,4.024744,1558000
1989-10-12,5.09375,5.125,4.875,4.96875,3.925975,2108800
1989-10-13,4.96875,4.96875,4.65625,4.65625,3.679062,1500000
1989-10-16,4.59375,4.875,4.5625,4.71875,3.728442,2530800
1989-10-17,4.6875,4.78125,4.65625,4.75,3.753136,2694400
1989-10-18,4.75,4.84375,4.71875,4.8125,3.802516,1478400
1989-10-19,4.78125,4.84375,4.78125,4.84375,3.82721,1869600
1989-10-20,4.875,4.96875,4.875,4.9375,3.901284,928800
1989-10-23,4.90625,4.96875,4.78125,4.8125,3.802516,1145200
1989-10-24,4.78125,4.8125,4.625,4.71875,3.728442,1408000
1989-10-25,4.6875,4.875,4.6875,4.875,3.851902,2696000
1989-10-26,4.8125,4.84375,4.625,4.6875,3.703752,1504000
1989-10-27,4.625,4.65625,4.5625,4.625,3.654369,1374400
1989-10-30,4.625,4.6875,4.5625,4.65625,3.679062,834400
1989-10-31,4.6875,4.78125,4.65625,4.71875,3.728442,1438800
1989-11-01,4.75,4.90625,4.75,4.84375,3.82721,822400
1989-11-02,4.875,4.875,4.6875,4.75,3.753136,584400
1989-11-03,4.6875,4.75,4.6875,4.71875,3.728442,491600
1989-11-06,4.6875,4.71875,4.5625,4.65625,3.679062,644800
1989-11-07,4.5625,4.65625,4.5625,4.625,3.654369,416400
1989-11-08,4.5625,4.6875,4.5625,4.65625,3.679062,1450400
1989-11-09,4.625,4.65625,4.25,4.28125,3.382759,2532400
1989-11-10,4.1875,4.1875,3.96875,4.0625,3.209918,5763600
1989-11-13,4.03125,4.09375,3.96875,4.0625,3.224802,3158800
1989-11-14,4.09375,4.125,4.0,4.03125,3.199997,1532800
1989-11-15,4.03125,4.0625,3.90625,3.96875,3.150383,1342800
1989-11-16,4.0,4.03125,3.9375,4.0,3.175189,988400
1989-11-17,4.0,4.0625,4.0,4.0,3.175189,856400
