Date,Open,High,Low,Close,Adj Close,Volume
1998-02-27,17.375,18.0,17.375,17.375,15.672516,50000
1998-03-02,17.25,17.25,17.0,17.25,15.559761,75000
1998-03-03,17.125,17.125,16.75,17.125,15.447011,35000
1998-03-04,15.75,15.75,15.5,15.75,14.206739,60000
1998-03-05,16.125,16.125,16.125,16.125,14.544996,400
1998-03-06,16.125,16.375,16.125,16.125,14.544996,3600
1998-03-09,16.125,16.5,15.875,15.875,14.319492,3200
1998-03-10,15.875,16.875,15.875,16.25,14.657743,56800
1998-03-11,16.25,16.5,16.125,16.25,14.657743,10400
1998-03-12,16.25,16.375,16.125,16.375,14.7705,3800
1998-03-13,16.5,16.5,16.5,16.5,14.883252,1000
1998-03-16,16.5,16.5,16.125,16.125,14.544996,7700
1998-03-17,16.125,16.125,15.75,15.875,14.319492,28000
1998-03-18,15.875,16.125,15.75,16.125,14.544996,45700
1998-03-19,16.125,17.375,16.0,17.125,15.447011,383600
1998-03-20,17.25,17.75,17.25,17.75,16.010773,275600
1998-03-23,17.75,19.0,17.375,18.875,17.025536,398600
1998-03-24,18.875,19.875,18.875,19.75,17.8148,261800
1998-03-25,19.75,20.125,19.5,19.875,17.927549,135600
1998-03-26,19.875,19.875,19.25,19.625,17.702049,26300
1998-03-27,19.625,19.75,18.375,19.25,17.363796,62200
1998-03-30,19.25,19.875,19.25,19.875,17.927549,49500
1998-03-31,19.875,20.25,19.875,20.125,18.153051,79000
1998-04-01,20.125,20.625,20.0,20.5,18.49131,150100
1998-04-02,21.75,23.375,21.75,23.25,20.971855,140500
1998-04-03,23.25,26.125,21.75,24.75,22.324881,458700
1998-04-06,24.75,26.0,23.0,24.0,21.648371,105300
1998-04-07,24.0,24.0,22.125,22.125,19.957087,152800
1998-04-08,22.125,23.0,21.0,22.5,20.295345,45100
1998-04-09,22.5,23.0,22.25,23.0,20.746351,151400
1998-04-13,23.0,23.25,22.375,22.625,20.408096,85900
1998-04-14,22.625,23.0,22.5,22.75,20.520849,322900
1998-04-15,22.75,22.875,21.5,21.75,19.618834,23100
1998-04-16,21.75,21.75,20.875,21.25,19.167824,55400
1998-04-17,21.25,21.625,21.0,21.625,19.506079,15100
1998-04-20,21.625,22.125,21.25,22.125,19.957087,92900
1998-04-21,22.125,22.125,21.75,22.125,19.957087,23100
1998-04-22,22.125,23.625,22.125,23.0,20.746351,60900
1998-04-23,23.0,23.5,23.0,23.5,21.197355,242300
1998-04-24,23.5,23.625,22.0,22.0,19.844336,100900
1998-04-27,22.0,22.5,19.875,20.875,18.829569,52200
1998-04-28,20.875,21.875,20.75,21.5,19.393326,29100
1998-04-29,21.5,22.5,21.0,22.5,20.295345,101300
1998-04-30,22.5,23.25,22.375,23.0,20.746351,116300
1998-05-01,23.0,23.125,22.0,22.125,19.957087,61000
1998-05-04,22.125,22.25,21.25,21.625,19.506079,58400
1998-05-05,21.625,21.75,20.75,21.25,19.167824,44000
1998-05-06,21.25,22.0,20.875,22.0,19.844336,47300
1998-05-07,22.0,22.125,21.375,21.375,19.280571,230900
1998-05-08,21.75,22.75,21.75,22.625,20.408096,320700
1998-05-11,22.625,22.75,22.25,22.375,20.18259,375200
1998-05-12,22.375,22.625,22.0,22.0,19.844336,333300
1998-05-13,22.125,22.625,22.125,22.375,20.18259,88100
1998-05-14,22.375,22.5,22.0,22.5,20.295345,35600
1998-05-15,22.5,22.5,21.5,22.0,19.844336,69200
1998-05-18,22.0,22.125,21.0,21.5,19.393326,53200
1998-05-19,21.5,22.0,21.5,22.0,19.844336,21000
1998-05-20,22.0,22.0,21.0,21.0,18.942326,14100
1998-05-21,21.0,21.125,19.5,21.125,19.055077,116400
1998-05-22,20.75,20.75,20.25,20.625,18.604065,45100
1998-05-26,20.625,21.0,19.125,19.5,17.589298,119500
1998-05-27,19.5,19.5,18.75,19.25,17.363796,91100
1998-05-28,19.25,20.5,18.75,20.5,18.49131,163600
1998-05-29,20.5,22.5,20.5,22.5,20.295345,121900
1998-06-01,22.5,22.5,22.0,22.125,19.957087,258500
1998-06-02,22.125,22.5,22.125,22.375,20.18259,123400
1998-06-03,22.375,22.5,20.75,20.75,18.716816,180600
1998-06-04,20.75,21.0,20.0,20.75,18.716816,263200
1998-06-05,21.0,23.0,21.0,22.875,20.633596,290100
1998-06-08,23.25,23.625,22.5,23.0,20.746351,2718000
1998-06-09,23.0,23.0,22.0,22.375,20.18259,604900
1998-06-10,22.5,23.125,22.5,22.875,20.633596,149300
1998-06-11,22.875,23.0625,22.5625,23.0,20.746351,697400
1998-06-12,23.0,23.0,22.375,22.5625,20.351725,782000
1998-06-15,22.9375,22.9375,21.875,21.875,19.731586,165900
1998-06-16,21.9375,22.0,21.75,21.75,19.618834,95000
1998-06-17,21.9375,21.9375,21.5,21.9375,19.787958,57400
1998-06-18,21.9375,21.9375,21.375,21.5,19.393326,588700
1998-06-19,21.125,21.375,21.0625,21.1875,19.111456,698100
1998-06-22,21.0,21.375,20.625,21.125,19.055077,159500
