Date,Open,High,Low,Close,Adj Close,Volume
1979-05-15,3.559404,3.607504,3.511303,3.559404,2.158212,22000
1979-05-16,3.583454,3.823954,3.583454,3.799904,2.304036,65600
1979-05-17,3.799904,3.848004,3.799904,3.848004,2.333202,57200
1979-05-18,3.848004,3.992304,3.848004,3.968254,2.406114,118600
1979-05-21,3.968254,4.064454,3.920154,4.040404,2.449862,106200
1979-05-22,4.040404,4.136604,4.040404,4.088504,2.479027,127000
1979-05-23,4.088504,4.088504,3.968254,3.968254,2.406114,85400
1979-05-24,3.968254,3.992304,3.872054,3.920154,2.376949,80200
1979-05-25,3.920154,3.992304,3.872054,3.968254,2.406114,63200
1979-05-29,3.968254,4.184704,3.968254,4.112554,2.493609,122800
1979-05-30,4.184704,4.377104,4.184704,4.353055,2.639434,113600
1979-05-31,4.329004,4.329004,4.256854,4.329004,2.624851,80200
1979-06-01,4.329004,4.377104,4.329004,4.329004,2.624851,103000
1979-06-04,4.329004,4.449255,4.329004,4.425204,2.683181,70600
1979-06-05,4.449255,4.641654,4.449255,4.569505,2.770675,135800
1979-06-06,4.617605,4.761905,4.617605,4.665705,2.829007,147800
1979-06-07,4.665705,4.737855,4.641654,4.641654,2.814424,141400
1979-06-08,4.641654,4.713805,4.521405,4.593554,2.785259,53200
1979-06-11,4.593554,4.641654,4.521405,4.617605,2.799841,48600
1979-06-12,4.617605,4.641654,4.569505,4.593554,2.785259,47800
1979-06-13,4.593554,4.617605,4.425204,4.473304,2.712345,75600
1979-06-14,4.473304,4.545455,4.377104,4.473304,2.712345,58200
1979-06-15,4.521405,4.689754,4.521405,4.617605,2.799841,106800
1979-06-18,4.617605,4.617605,4.521405,4.569505,2.770675,34600
1979-06-19,4.569505,4.617605,4.521405,4.617605,2.799841,113600
1979-06-20,4.617605,4.689754,4.617605,4.641654,2.814424,151800
1979-06-21,4.641654,4.641654,4.545455,4.593554,2.785259,388800
1979-06-22,4.593554,4.593554,4.497355,4.569505,2.770675,69800
1979-06-25,4.569505,4.569505,4.280904,4.377104,2.654016,73400
1979-06-26,4.377104,4.473304,4.353055,4.401155,2.668599,77000
1979-06-27,4.401155,4.521405,4.401155,4.449255,2.697764,123800
1979-06-28,4.449255,4.497355,4.353055,4.401155,2.668599,63200
1979-06-29,4.401155,4.521405,4.401155,4.521405,2.741512,135200
1979-07-02,4.521405,4.545455,4.425204,4.425204,2.683181,40200
1979-07-03,4.425204,4.497355,4.425204,4.497355,2.72693,44800
1979-07-05,4.497355,4.497355,4.425204,4.497355,2.72693,17800
1979-07-06,4.497355,4.569505,4.473304,4.521405,2.741512,98400
1979-07-09,4.593554,5.074555,4.593554,5.074555,3.076909,223200
1979-07-10,5.074555,5.098605,4.834055,4.906205,2.974832,168600
1979-07-11,4.906205,4.906205,4.785955,4.810005,2.916502,172600
1979-07-12,4.810005,4.858105,4.761905,4.785955,2.90192,85400
