Date,Open,High,Low,Close,Adj Close,Volume
2006-07-11,25.5,25.5,25.5,25.5,25.5,0
2006-07-13,28.0,29.0,28.0,28.5,28.5,120
2006-07-14,35.0,35.0,35.0,35.0,35.0,60
2006-07-19,30.0,30.0,30.0,30.0,30.0,0
2006-07-24,35.0,35.0,35.0,35.0,35.0,0
2006-07-26,35.0,35.0,35.0,35.0,35.0,0
2006-08-01,40.0,40.0,40.0,40.0,40.0,0
2006-08-07,52.0,52.0,52.0,52.0,52.0,0
2006-08-10,47.5,47.5,47.5,47.5,47.5,0
2006-08-14,55.0,55.0,55.0,55.0,55.0,0
2006-08-16,59.0,59.0,59.0,59.0,59.0,20
2006-08-17,60.0,60.0,60.0,60.0,60.0,80
2006-08-23,69.0,69.0,69.0,69.0,69.0,0
2006-08-29,60.0,60.0,60.0,60.0,60.0,20
2006-09-05,65.0,65.0,65.0,65.0,65.0,0
2006-09-11,60.0,60.0,60.0,60.0,60.0,20
2006-09-13,60.0,60.0,60.0,60.0,60.0,550
2006-09-14,70.0,70.0,70.0,70.0,70.0,35
2006-09-19,70.0,70.0,70.0,70.0,70.0,0
2006-09-21,72.0,72.0,62.0,62.0,62.0,35
2006-09-22,62.0,62.0,62.0,62.0,62.0,0
2006-09-26,71.0,72.0,70.0,70.0,70.0,103
2006-09-27,70.0,70.0,70.0,70.0,70.0,40
2006-09-29,80.0,80.0,80.0,80.0,80.0,30
2006-10-04,80.0,80.0,79.0,80.0,80.0,105
2006-10-05,80.0,80.0,80.0,80.0,80.0,10
2006-10-09,75.0,75.0,75.0,75.0,75.0,0
2006-10-10,75.0,75.0,75.0,75.0,75.0,0
2006-10-11,75.0,75.0,71.0,71.0,71.0,220
2006-10-13,71.0,71.0,71.0,71.0,71.0,75
2006-10-20,70.0,70.0,70.0,70.0,70.0,10
2006-10-23,66.0,66.0,66.0,66.0,66.0,5
2006-10-26,65.0,65.0,65.0,65.0,65.0,0
2006-11-06,65.0,71.0,65.0,65.0,65.0,115
2006-11-07,65.0,65.0,65.0,65.0,65.0,5
2006-11-13,70.0,70.0,70.0,70.0,70.0,140
