Date,Open,High,Low,Close,Adj Close,Volume
1986-11-24,5.333333,5.5,5.166667,5.333333,1.792161,8693400
1986-11-25,5.291667,5.333333,5.166667,5.208333,1.750158,1918800
1986-11-26,5.166667,5.208333,5.083333,5.083333,1.708152,3510000
1986-11-28,5.0,5.208333,5.0,5.166667,1.736155,1341600
1986-12-01,5.125,5.125,5.0,5.083333,1.708152,990600
1986-12-02,5.041667,5.083333,4.833333,4.875,1.638147,43200000
1986-12-03,4.958333,5.0,4.916667,5.0,1.68015,4530000
1986-12-04,5.0,5.041667,4.958333,4.958333,1.666149,2325000
1986-12-05,4.958333,4.958333,4.875,4.916667,1.652149,3660000
1986-12-08,4.875,4.916667,4.708333,4.833333,1.624146,1779900
1986-12-09,4.791667,4.833333,4.625,4.666667,1.568141,1688400
1986-12-10,4.666667,4.875,4.666667,4.791667,1.610144,1500900
1986-12-11,4.791667,4.875,4.666667,4.833333,1.624146,1337400
1986-12-12,4.833333,4.916667,4.833333,4.875,1.638147,1212600
1986-12-15,4.833333,4.875,4.75,4.833333,1.624146,799200
1986-12-16,4.875,4.916667,4.833333,4.875,1.638147,1752900
1986-12-17,4.833333,4.875,4.791667,4.833333,1.624146,971400
1986-12-18,4.791667,4.875,4.791667,4.791667,1.610144,1132500
1986-12-19,4.791667,4.875,4.75,4.833333,1.624146,1341300
1986-12-22,4.791667,4.833333,4.75,4.791667,1.610144,538500
1986-12-23,4.75,4.791667,4.708333,4.75,1.596142,1368900
1986-12-24,4.75,4.833333,4.75,4.833333,1.624146,1383300
1986-12-26,4.833333,4.833333,4.75,4.791667,1.610144,979200
1986-12-29,4.75,4.833333,4.75,4.791667,1.610144,641700
1986-12-30,4.75,4.791667,4.708333,4.708333,1.582142,642000
1986-12-31,4.708333,4.833333,4.708333,4.75,1.596142,1228500
1987-01-02,4.75,4.875,4.75,4.833333,1.624146,780000
1987-01-05,4.875,4.958333,4.875,4.916667,1.652149,965100
1987-01-06,4.958333,5.0,4.958333,5.0,1.68015,2034600
1987-01-07,5.0,5.0,4.958333,5.0,1.68015,2003100
1987-01-08,5.0,5.0,4.958333,5.0,1.68015,1196100
1987-01-09,5.0,5.041667,4.916667,5.041667,1.694152,1438200
1987-01-12,4.958333,5.041667,4.958333,5.041667,1.694152,1302000
1987-01-13,4.958333,5.041667,4.958333,5.0,1.68015,1103100
1987-01-14,4.958333,5.166667,4.958333,5.166667,1.736155,2651700
1987-01-15,5.208333,5.333333,5.166667,5.25,1.764158,3690000
1987-01-16,5.25,5.25,5.166667,5.25,1.764158,1076700
1987-01-19,5.166667,5.25,5.125,5.25,1.764158,1009800
1987-01-20,5.208333,5.25,5.125,5.166667,1.736155,2043600
1987-01-21,5.083333,5.166667,5.041667,5.125,1.722155,1360500
1987-01-22,5.083333,5.208333,5.0,5.166667,1.736155,1908600
1987-01-23,5.166667,5.208333,5.083333,5.125,1.722155,1814400
1987-01-26,5.041667,5.083333,5.0,5.0,1.68015,1010400
1987-01-27,5.041667,5.125,5.0,5.083333,1.708152,909600
1987-01-28,5.041667,5.041667,4.958333,4.958333,1.666149,1216500
1987-01-29,4.958333,5.0,4.916667,4.958333,1.666149,845700
1987-01-30,4.958333,4.958333,4.916667,4.958333,1.666149,890400
1987-02-02,4.958333,4.958333,4.875,4.958333,1.666149,1338300
1987-02-03,4.916667,4.958333,4.833333,4.958333,1.666149,3630000
1987-02-04,5.0,5.166667,5.0,5.083333,1.708152,3840000
1987-02-05,5.041667,5.125,5.0,5.083333,1.708152,1516200
1987-02-06,5.0,5.166667,5.0,5.166667,1.736155,1733100
1987-02-09,5.25,5.291667,5.166667,5.25,1.764158,2074800
1987-02-10,5.25,5.25,5.083333,5.208333,1.750158,850500
1987-02-11,5.208333,5.375,5.125,5.333333,1.792161,3750000
1987-02-12,5.416667,5.416667,5.25,5.333333,1.792161,1601100
1987-02-13,5.333333,5.416667,5.25,5.375,1.806161,1489200
1987-02-17,5.375,5.458333,5.291667,5.458333,1.834165,1416900
1987-02-18,5.458333,5.666667,5.416667,5.625,1.890169,3450000
1987-02-19,5.583333,5.791667,5.583333,5.666667,1.90417,3780000
1987-02-20,5.625,5.666667,5.583333,5.625,1.890169,1012200
1987-02-23,5.583333,5.625,5.458333,5.5,1.848167,692400
1987-02-24,5.541667,5.666667,5.458333,5.583333,1.876168,1265100
1987-02-25,5.541667,5.625,5.541667,5.583333,1.876168,928500
1987-02-26,5.583333,5.666667,5.541667,5.583333,1.876168,747000
1987-02-27,5.583333,5.708333,5.583333,5.708333,1.918172,999000
1987-03-02,5.708333,5.833333,5.666667,5.791667,1.946175,1801500
1987-03-03,5.75,5.833333,5.625,5.708333,1.918172,4890000
1987-03-04,5.708333,5.791667,5.666667,5.791667,1.946175,1687500
1987-03-05,5.791667,5.833333,5.708333,5.833333,1.960176,3360000
1987-03-06,5.791667,6.083333,5.791667,6.083333,2.044183,6240000
1987-03-09,6.0,6.083333,5.958333,6.0,2.016181,5040000
1987-03-10,5.916667,6.0,5.916667,5.958333,2.002179,2788200
