Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,1.710938,1.726563,1.710938,1.710938,0.491158,700800
1977-01-04,1.710938,1.71875,1.695313,1.695313,0.486673,1313600
1977-01-05,1.695313,1.710938,1.6875,1.695313,0.486673,2211200
1977-01-06,1.695313,1.695313,1.671875,1.679688,0.482187,2172800
1977-01-07,1.679688,1.6875,1.671875,1.6875,0.48443,355200
1977-01-10,1.679688,1.679688,1.664063,1.679688,0.482187,1091200
1977-01-11,1.679688,1.679688,1.59375,1.609375,0.462003,2372800
1977-01-12,1.609375,1.609375,1.5625,1.570313,0.450789,1172800
1977-01-13,1.570313,1.570313,1.546875,1.5625,0.448546,1300800
1977-01-14,1.5625,1.5625,1.53125,1.5625,0.448546,1534400
1977-01-17,1.5625,1.570313,1.546875,1.554688,0.446303,1169600
1977-01-18,1.539063,1.539063,1.507813,1.53125,0.439575,1534400
1977-01-19,1.53125,1.546875,1.523438,1.539063,0.445821,945600
1977-01-20,1.539063,1.546875,1.53125,1.546875,0.448084,1540800
1977-01-21,1.546875,1.570313,1.53125,1.5625,0.45261,788800
1977-01-24,1.5625,1.5625,1.539063,1.5625,0.45261,1478400
1977-01-25,1.554688,1.554688,1.53125,1.546875,0.448084,2955200
1977-01-26,1.546875,1.546875,1.515625,1.515625,0.439032,1377600
1977-01-27,1.515625,1.515625,1.492188,1.5,0.434506,905600
1977-01-28,1.5,1.507813,1.460938,1.46875,0.425454,1465600
1977-01-31,1.46875,1.492188,1.460938,1.492188,0.432243,1038400
1977-02-01,1.492188,1.515625,1.484375,1.515625,0.439032,1150400
1977-02-02,1.515625,1.609375,1.515625,1.539063,0.445821,1040000
1977-02-03,1.53125,1.53125,1.515625,1.515625,0.439032,1100800
1977-02-04,1.515625,1.546875,1.515625,1.539063,0.445821,668800
1977-02-07,1.539063,1.554688,1.484375,1.539063,0.445821,1099200
1977-02-08,1.539063,1.546875,1.53125,1.539063,0.445821,763200
1977-02-09,1.539063,1.5625,1.53125,1.546875,0.448084,1057600
1977-02-10,1.546875,1.546875,1.53125,1.546875,0.448084,472000
1977-02-11,1.53125,1.53125,1.46875,1.53125,0.443558,672000
1977-02-14,1.53125,1.546875,1.523438,1.546875,0.448084,505600
1977-02-15,1.546875,1.578125,1.546875,1.554688,0.450347,2582400
1977-02-16,1.554688,1.59375,1.554688,1.578125,0.457136,768000
1977-02-17,1.578125,1.585938,1.5625,1.578125,0.457136,876800
1977-02-18,1.570313,1.570313,1.554688,1.5625,0.45261,483200
1977-02-22,1.5625,1.578125,1.5625,1.578125,0.457136,414400
1977-02-23,1.578125,1.585938,1.570313,1.585938,0.459399,1128000
1977-02-24,1.585938,1.585938,1.570313,1.578125,0.457136,742400
1977-02-25,1.578125,1.585938,1.5625,1.578125,0.457136,489600
1977-02-28,1.578125,1.585938,1.5625,1.585938,0.459399,2172800
1977-03-01,1.585938,1.59375,1.578125,1.59375,0.461662,870400
1977-03-02,1.59375,1.609375,1.585938,1.585938,0.459399,750400
1977-03-03,1.585938,1.601563,1.578125,1.59375,0.461662,934400
1977-03-04,1.59375,1.601563,1.585938,1.59375,0.461662,832000
1977-03-07,1.59375,1.601563,1.578125,1.601563,0.463925,489600
1977-03-08,1.601563,1.609375,1.570313,1.59375,0.461662,779200
1977-03-09,1.59375,1.59375,1.570313,1.570313,0.454873,376000
1977-03-10,1.570313,1.578125,1.554688,1.5625,0.45261,1145600
1977-03-11,1.5625,1.570313,1.539063,1.539063,0.445821,742400
1977-03-14,1.539063,1.554688,1.539063,1.546875,0.448084,436800
1977-03-15,1.546875,1.570313,1.546875,1.554688,0.450347,782400
1977-03-16,1.554688,1.5625,1.546875,1.546875,0.448084,819200
1977-03-17,1.546875,1.5625,1.546875,1.554688,0.450347,800000
1977-03-18,1.554688,1.5625,1.546875,1.546875,0.448084,614400
1977-03-21,1.546875,1.546875,1.539063,1.539063,0.445821,392000
1977-03-22,1.539063,1.554688,1.539063,1.546875,0.448084,518400
1977-03-23,1.546875,1.546875,1.53125,1.539063,0.445821,260800
1977-03-24,1.539063,1.539063,1.523438,1.53125,0.443558,379200
1977-03-25,1.53125,1.546875,1.53125,1.546875,0.448084,699200
1977-03-28,1.546875,1.554688,1.53125,1.546875,0.448084,390400
1977-03-29,1.546875,1.570313,1.546875,1.570313,0.454873,1096000
1977-03-30,1.570313,1.585938,1.5625,1.5625,0.45261,1328000
1977-03-31,1.5625,1.5625,1.546875,1.554688,0.450347,897600
1977-04-01,1.554688,1.570313,1.546875,1.570313,0.454873,563200
1977-04-04,1.570313,1.570313,1.546875,1.546875,0.448084,372800
1977-04-05,1.546875,1.5625,1.523438,1.523438,0.441295,576000
1977-04-06,1.539063,1.554688,1.539063,1.546875,0.448084,716800
1977-04-07,1.546875,1.554688,1.539063,1.546875,0.448084,716800
1977-04-11,1.546875,1.570313,1.539063,1.570313,0.454873,604800
1977-04-12,1.570313,1.59375,1.5625,1.5625,0.45261,2459200
1977-04-13,1.5625,1.570313,1.546875,1.554688,0.450347,545600
1977-04-14,1.570313,1.585938,1.570313,1.585938,0.459399,1137600
1977-04-15,1.585938,1.585938,1.578125,1.585938,0.459399,646400
1977-04-18,1.585938,1.59375,1.578125,1.585938,0.459399,416000
1977-04-19,1.585938,1.585938,1.5625,1.5625,0.456569,915200
1977-04-20,1.5625,1.585938,1.546875,1.5625,0.456569,638400
1977-04-21,1.5625,1.578125,1.539063,1.546875,0.452003,787200
1977-04-22,1.539063,1.539063,1.515625,1.515625,0.442872,510400
1977-04-25,1.515625,1.523438,1.492188,1.5,0.438306,779200
1977-04-26,1.5,1.507813,1.492188,1.5,0.438306,1025600
1977-04-27,1.5,1.53125,1.492188,1.515625,0.442872,732800
1977-04-28,1.515625,1.523438,1.507813,1.515625,0.442872,508800
1977-04-29,1.515625,1.53125,1.515625,1.53125,0.447437,478400
1977-05-02,1.53125,1.539063,1.523438,1.539063,0.44972,584000
1977-05-03,1.539063,1.539063,1.523438,1.539063,0.44972,854400
1977-05-04,1.539063,1.546875,1.53125,1.539063,0.44972,990400
1977-05-05,1.539063,1.546875,1.523438,1.539063,0.44972,435200
1977-05-06,1.539063,1.539063,1.515625,1.523438,0.445155,1028800
1977-05-09,1.523438,1.539063,1.523438,1.53125,0.447437,531200
1977-05-10,1.53125,1.539063,1.523438,1.53125,0.447437,316800
1977-05-11,1.53125,1.53125,1.523438,1.53125,0.447437,604800
1977-05-12,1.53125,1.53125,1.523438,1.53125,0.447437,792000
1977-05-13,1.53125,1.539063,1.515625,1.53125,0.447437,638400
1977-05-16,1.53125,1.539063,1.515625,1.523438,0.445155,513600
1977-05-17,1.53125,1.546875,1.53125,1.539063,0.44972,587200
1977-05-18,1.539063,1.609375,1.539063,1.570313,0.458851,1403200
1977-05-19,1.570313,1.570313,1.5625,1.5625,0.456569,841600
1977-05-20,1.5625,1.570313,1.554688,1.570313,0.458851,464000
1977-05-23,1.570313,1.570313,1.546875,1.5625,0.456569,584000
1977-05-24,1.546875,1.546875,1.515625,1.515625,0.442872,476800
1977-05-25,1.515625,1.539063,1.5,1.5,0.438306,1486400
1977-05-26,1.5,1.515625,1.492188,1.515625,0.442872,459200
1977-05-27,1.515625,1.515625,1.507813,1.515625,0.442872,521600
1977-05-31,1.515625,1.539063,1.5,1.523438,0.445155,1995200
1977-06-01,1.523438,1.53125,1.507813,1.53125,0.447437,432000
1977-06-02,1.53125,1.554688,1.53125,1.539063,0.44972,1276800
1977-06-03,1.539063,1.5625,1.539063,1.554688,0.454286,548800
1977-06-06,1.554688,1.5625,1.539063,1.539063,0.44972,795200
1977-06-07,1.539063,1.554688,1.53125,1.554688,0.454286,705600
1977-06-08,1.554688,1.578125,1.554688,1.570313,0.458851,1761600
1977-06-09,1.570313,1.578125,1.554688,1.570313,0.458851,1190400
1977-06-10,1.570313,1.570313,1.5625,1.5625,0.456569,836800
1977-06-13,1.5625,1.578125,1.5625,1.570313,0.458851,1728000
1977-06-14,1.570313,1.585938,1.570313,1.570313,0.458851,1246400
1977-06-15,1.570313,1.578125,1.570313,1.570313,0.458851,891200
1977-06-16,1.570313,1.570313,1.5625,1.570313,0.458851,1104000
1977-06-17,1.570313,1.59375,1.5625,1.5625,0.456569,1688000
1977-06-20,1.5625,1.578125,1.5625,1.5625,0.456569,688000
1977-06-21,1.5625,1.570313,1.554688,1.5625,0.456569,457600
1977-06-22,1.5625,1.5625,1.546875,1.546875,0.452003,561600
1977-06-23,1.546875,1.5625,1.539063,1.546875,0.452003,540800
1977-06-24,1.546875,1.5625,1.539063,1.5625,0.456569,553600
1977-06-27,1.5625,1.5625,1.546875,1.546875,0.452003,558400
1977-06-28,1.546875,1.5625,1.539063,1.546875,0.452003,379200
1977-06-29,1.546875,1.554688,1.539063,1.539063,0.44972,324800
1977-06-30,1.539063,1.546875,1.539063,1.546875,0.452003,312000
1977-07-01,1.546875,1.554688,1.539063,1.546875,0.452003,518400
1977-07-05,1.546875,1.5625,1.546875,1.546875,0.452003,368000
1977-07-06,1.546875,1.554688,1.546875,1.554688,0.454286,556800
1977-07-07,1.539063,1.539063,1.53125,1.53125,0.447437,416000
1977-07-08,1.53125,1.546875,1.515625,1.53125,0.447437,816000
