Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,16.25,16.5,16.25,16.375,6.890245,30300
1980-03-18,16.375,16.5,16.25,16.5,6.942841,24100
1980-03-19,16.5,16.75,16.375,16.5,6.942841,96200
1980-03-20,16.5,16.875,16.25,16.25,6.837651,41800
1980-03-21,16.25,16.375,16.0,16.0,6.73245,50600
1980-03-24,16.0,16.0,15.625,16.0,6.73245,39700
1980-03-25,16.0,16.625,15.75,15.875,6.679858,25800
1980-03-26,15.875,16.0,15.75,15.875,6.679858,15200
1980-03-27,15.875,15.875,15.5,15.625,6.574661,54800
1980-03-28,15.625,16.0,15.625,15.875,6.679858,61500
1980-03-31,15.875,16.75,15.875,16.625,6.99544,96600
1980-04-01,16.625,17.125,16.625,17.0,7.15323,23500
1980-04-02,17.0,17.25,16.75,17.0,7.15323,22700
1980-04-03,17.0,17.0,16.75,16.875,7.100635,85900
1980-04-07,16.875,16.875,16.5,16.5,6.942841,33200
1980-04-08,16.5,16.75,16.375,16.75,7.048037,38100
1980-04-09,16.75,17.375,16.75,17.375,7.31102,42700
1980-04-10,17.625,18.25,17.625,18.25,7.679205,102900
1980-04-11,18.25,18.75,18.25,18.625,7.836998,234000
1980-04-14,17.875,17.875,17.375,17.75,7.468817,194000
1980-04-15,17.75,18.625,17.625,17.75,7.468817,137900
1980-04-16,17.75,18.25,17.75,17.75,7.468817,95600
1980-04-17,17.75,18.125,17.625,18.0,7.574011,26500
1980-04-18,18.0,18.25,18.0,18.25,7.679205,34800
1980-04-21,18.25,18.375,18.125,18.125,7.626607,24300
1980-04-22,18.125,18.375,18.125,18.25,7.679205,86600
1980-04-23,18.25,18.875,18.25,18.75,7.889594,165700
1980-04-24,18.75,19.25,18.625,19.125,8.047381,78300
1980-04-25,19.125,19.125,18.75,19.125,8.047381,45300
1980-04-28,19.125,19.25,19.0,19.125,8.047381,35200
1980-04-29,19.125,19.25,19.0,19.0,7.994787,29000
1980-04-30,19.0,19.0,18.25,18.75,7.889594,114200
1980-05-01,18.75,18.875,18.75,18.75,7.889594,17600
1980-05-02,18.75,19.25,18.75,19.125,8.047381,27700
1980-05-05,19.125,19.625,19.0,19.625,8.257773,136400
1980-05-06,19.625,19.625,19.125,19.25,8.099982,65200
1980-05-07,19.25,19.625,19.25,19.5,8.205178,192800
1980-05-08,19.5,19.75,18.75,19.125,8.047381,96500
1980-05-09,19.125,19.25,18.875,18.875,7.94219,19400
1980-05-12,18.875,19.125,18.875,19.125,8.047381,42600
1980-05-13,19.125,19.25,19.0,19.25,8.099982,10300
1980-05-14,19.25,19.25,19.125,19.125,8.047381,16500
1980-05-15,19.125,19.25,19.0,19.0,7.994787,60200
1980-05-16,19.0,19.125,18.875,18.875,7.94219,126300
1980-05-19,18.875,19.0,18.75,19.0,7.994787,28200
1980-05-20,19.0,19.0,18.75,19.0,7.994787,180200
1980-05-21,19.0,19.0,18.875,19.0,7.994787,43500
1980-05-22,19.0,19.0,18.125,19.0,7.994787,14700
1980-05-23,19.0,19.0,18.875,18.875,7.94219,21900
1980-05-27,18.875,19.0,18.875,19.0,7.994787,23900
1980-05-28,19.0,19.625,18.875,19.625,8.257773,199500
1980-05-29,19.625,19.625,19.5,19.625,8.257773,15300
1980-05-30,19.625,19.75,19.5,19.625,8.257773,17600
1980-06-02,19.625,19.75,19.375,19.5,8.205178,45800
1980-06-03,19.5,19.5,19.25,19.375,8.15258,17000
1980-06-04,19.375,19.75,19.0,19.125,8.047381,92500
1980-06-05,19.125,19.125,19.0,19.0,7.994787,24400
1980-06-06,19.0,19.125,18.75,19.0,7.994787,77100
1980-06-09,19.0,19.75,18.875,19.0,7.994787,56700
1980-06-10,19.0,19.125,18.875,19.125,8.047381,104400
1980-06-11,19.125,19.375,19.0,19.375,8.15258,60100
1980-06-12,19.375,19.625,19.25,19.5,8.205178,132500
1980-06-13,19.625,20.5,19.625,20.375,8.57336,83300
1980-06-16,20.5,21.125,20.5,20.875,8.783748,94300
1980-06-17,20.875,21.125,20.875,21.0,8.836348,46300
1980-06-18,21.0,21.125,20.875,21.125,8.888943,47700
1980-06-19,21.125,21.875,20.875,21.125,8.888943,99900
1980-06-20,21.125,21.625,21.125,21.625,9.099335,114300
1980-06-23,21.5,21.5,21.125,21.375,8.994138,216200
1980-06-24,21.25,21.25,21.125,21.25,8.941543,19200
1980-06-25,21.125,21.125,20.5,20.75,8.731156,260500
1980-06-26,20.75,21.0,20.5,20.875,8.783748,297400
1980-06-27,20.875,21.125,20.75,21.0,8.836348,16900
