Date,Open,High,Low,Close,Adj Close,Volume
1999-04-30,8.0,8.0,6.5,7.125,4.923611,15631200
1999-05-03,7.21875,7.4375,7.1875,7.1875,4.9668,3101200
1999-05-04,7.3125,7.375,6.9375,6.9375,4.794042,2386200
1999-05-05,6.96875,7.21875,6.90625,7.0,4.837233,1213000
1999-05-06,7.0,7.0,6.9375,6.96875,4.815638,428400
1999-05-07,7.0,7.09375,6.5,6.5625,4.534905,603600
1999-05-10,6.5,6.8125,6.5,6.71875,4.642879,333200
1999-05-11,6.78125,6.84375,6.65625,6.75,4.664473,353000
1999-05-12,6.75,6.9375,6.65625,6.71875,4.642879,264000
1999-05-13,6.75,6.875,6.71875,6.71875,4.642879,402600
1999-05-14,6.625,6.8125,6.59375,6.71875,4.642879,102800
1999-05-17,6.6875,6.8125,6.625,6.8125,4.707664,159600
1999-05-18,6.78125,6.8125,6.71875,6.71875,4.642879,204000
1999-05-19,6.75,6.78125,6.625,6.625,4.578095,133800
1999-05-20,6.65625,6.71875,6.625,6.65625,4.599692,277600
1999-05-21,6.65625,6.65625,6.5625,6.625,4.578095,376400
1999-05-24,6.59375,6.625,6.53125,6.5625,4.534905,121200
1999-05-25,6.5625,6.5625,6.34375,6.34375,4.383742,562400
1999-05-26,6.34375,6.34375,6.125,6.15625,4.254175,526000
1999-05-27,6.0,6.125,5.875,6.09375,4.210985,6086600
1999-05-28,6.09375,6.75,6.09375,6.75,4.664473,2530000
1999-06-01,6.625,6.625,6.25,6.3125,4.362146,82600
1999-06-02,6.25,6.375,6.0,6.375,4.405336,155800
1999-06-03,6.3125,6.5,6.3125,6.5,4.491717,567200
1999-06-04,6.5625,6.71875,6.53125,6.6875,4.621285,391800
1999-06-07,6.625,6.8125,6.53125,6.53125,4.513312,336000
1999-06-08,6.5,6.5,6.25,6.4375,4.448528,143000
1999-06-09,6.4375,6.5,6.40625,6.46875,4.470122,176200
1999-06-10,6.46875,6.5,6.25,6.375,4.405336,139800
1999-06-11,6.375,6.5,6.375,6.40625,4.42693,83000
1999-06-14,6.46875,6.46875,6.1875,6.25,4.318957,115000
