Date,Open,High,Low,Close,Adj Close,Volume
1990-02-08,1.447917,1.447917,1.416667,1.4375,1.216917,9012000
1990-02-09,1.458333,1.458333,1.427083,1.427083,1.208098,3483200
1990-02-12,1.427083,1.4375,1.395833,1.416667,1.19928,1982400
1990-02-13,1.416667,1.416667,1.40625,1.40625,1.190462,2212800
1990-02-14,1.416667,1.416667,1.395833,1.395833,1.181644,657600
1990-02-15,1.40625,1.40625,1.34375,1.364583,1.155188,1493600
1990-02-16,1.375,1.375,1.354167,1.364583,1.155188,638400
1990-02-20,1.364583,1.364583,1.333333,1.333333,1.128735,1190400
1990-02-21,1.34375,1.34375,1.333333,1.333333,1.128735,272000
1990-02-22,1.333333,1.354167,1.333333,1.354167,1.146371,38400
1990-02-23,1.333333,1.333333,1.291667,1.291667,1.093461,1143200
1990-02-26,1.302083,1.302083,1.28125,1.28125,1.084642,316800
1990-02-27,1.28125,1.291667,1.28125,1.291667,1.093461,324800
1990-02-28,1.291667,1.34375,1.291667,1.34375,1.137552,475200
1990-03-01,1.333333,1.364583,1.333333,1.364583,1.155188,428000
1990-03-02,1.354167,1.375,1.354167,1.375,1.164007,1364000
1990-03-05,1.364583,1.375,1.354167,1.364583,1.155188,240800
1990-03-06,1.364583,1.385417,1.364583,1.385417,1.172825,430400
1990-03-07,1.395833,1.395833,1.375,1.375,1.164007,202400
1990-03-08,1.375,1.375,1.375,1.375,1.164007,792800
1990-03-09,1.364583,1.364583,1.333333,1.34375,1.137552,171200
1990-03-12,1.322917,1.322917,1.302083,1.302083,1.10228,1059200
1990-03-13,1.3125,1.333333,1.3125,1.333333,1.128735,89600
1990-03-14,1.333333,1.333333,1.322917,1.322917,1.119916,127200
1990-03-15,1.3125,1.333333,1.3125,1.322917,1.119916,571200
1990-03-16,1.322917,1.354167,1.322917,1.354167,1.146371,302400
1990-03-19,1.34375,1.354167,1.34375,1.354167,1.146371,14400
1990-03-20,1.354167,1.354167,1.322917,1.322917,1.119916,228000
1990-03-21,1.3125,1.3125,1.291667,1.291667,1.093461,328800
1990-03-22,1.291667,1.291667,1.291667,1.291667,1.093461,48000
1990-03-23,1.302083,1.302083,1.302083,1.302083,1.10228,0
1990-03-26,1.291667,1.3125,1.291667,1.3125,1.111097,50400
1990-03-27,1.3125,1.322917,1.3125,1.322917,1.119916,204000
1990-03-28,1.322917,1.322917,1.322917,1.322917,1.119916,2400
1990-03-29,1.3125,1.3125,1.302083,1.3125,1.111097,8000
1990-03-30,1.3125,1.3125,1.3125,1.3125,1.111097,0
1990-04-02,1.291667,1.291667,1.28125,1.28125,1.084642,160800
1990-04-03,1.291667,1.302083,1.291667,1.302083,1.10228,36000
1990-04-04,1.3125,1.333333,1.3125,1.322917,1.119916,161600
1990-04-05,1.3125,1.333333,1.302083,1.302083,1.10228,151200
1990-04-06,1.302083,1.322917,1.28125,1.3125,1.111097,273600
1990-04-09,1.3125,1.333333,1.3125,1.333333,1.128735,64800
1990-04-10,1.333333,1.333333,1.333333,1.333333,1.128735,60000
1990-04-11,1.333333,1.333333,1.291667,1.3125,1.111097,297600
1990-04-12,1.3125,1.3125,1.291667,1.291667,1.093461,19200
1990-04-16,1.291667,1.291667,1.28125,1.28125,1.084642,288800
1990-04-17,1.28125,1.28125,1.28125,1.28125,1.084642,0
1990-04-18,1.28125,1.28125,1.25,1.25,1.058188,464000
1990-04-19,1.229167,1.239583,1.229167,1.239583,1.04937,458400
1990-04-20,1.229167,1.229167,1.229167,1.229167,1.040551,27200
1990-04-23,1.229167,1.229167,1.177083,1.197917,1.014098,393600
1990-04-24,1.177083,1.177083,1.166667,1.166667,0.987642,375200
1990-04-25,1.1875,1.1875,1.1875,1.1875,1.005278,20000
1990-04-26,1.1875,1.208333,1.1875,1.208333,1.022915,14400
1990-04-27,1.1875,1.208333,1.1875,1.1875,1.005278,79200
1990-04-30,1.1875,1.1875,1.177083,1.1875,1.005278,108000
1990-05-01,1.1875,1.208333,1.1875,1.1875,1.005278,208800
1990-05-02,1.1875,1.1875,1.1875,1.1875,1.005278,4800
1990-05-03,1.1875,1.197917,1.1875,1.197917,1.014098,188000
1990-05-04,1.1875,1.1875,1.1875,1.1875,1.005278,41600
1990-05-07,1.197917,1.21875,1.197917,1.208333,1.022915,52800
1990-05-08,1.197917,1.197917,1.197917,1.197917,1.014098,29600
1990-05-09,1.197917,1.208333,1.197917,1.208333,1.022915,72800
1990-05-10,1.208333,1.208333,1.208333,1.208333,1.022915,48000
1990-05-11,1.208333,1.239583,1.208333,1.21875,1.031733,202400
1990-05-14,1.239583,1.260417,1.239583,1.25,1.058188,82400
1990-05-15,1.25,1.25,1.239583,1.239583,1.04937,120800
1990-05-16,1.260417,1.28125,1.260417,1.28125,1.084642,36000
1990-05-17,1.28125,1.322917,1.28125,1.3125,1.111097,132800
1990-05-18,1.3125,1.3125,1.3125,1.3125,1.111097,0
1990-05-21,1.3125,1.333333,1.3125,1.333333,1.128735,60000
1990-05-22,1.354167,1.364583,1.333333,1.333333,1.128735,160800
1990-05-23,1.333333,1.354167,1.333333,1.333333,1.128735,200000
1990-05-24,1.333333,1.333333,1.322917,1.333333,1.128735,1267200
1990-05-25,1.302083,1.3125,1.302083,1.3125,1.11388,111200
1990-05-29,1.3125,1.322917,1.3125,1.322917,1.12272,372000
1990-05-30,1.333333,1.333333,1.333333,1.333333,1.13156,180000
1990-05-31,1.34375,1.354167,1.333333,1.333333,1.13156,305600
1990-06-01,1.333333,1.333333,1.333333,1.333333,1.13156,196800
1990-06-04,1.34375,1.354167,1.34375,1.354167,1.149241,29600
1990-06-05,1.354167,1.375,1.354167,1.364583,1.158081,14400
1990-06-06,1.354167,1.364583,1.354167,1.364583,1.158081,187200
1990-06-07,1.364583,1.364583,1.354167,1.354167,1.149241,87200
1990-06-08,1.354167,1.375,1.354167,1.364583,1.158081,317600
1990-06-11,1.375,1.375,1.375,1.375,1.166922,5600
1990-06-12,1.375,1.395833,1.375,1.395833,1.184602,40800
1990-06-13,1.40625,1.40625,1.385417,1.385417,1.175762,53600
1990-06-14,1.385417,1.385417,1.385417,1.385417,1.175762,12800
1990-06-15,1.385417,1.385417,1.385417,1.385417,1.175762,5600
1990-06-18,1.385417,1.395833,1.385417,1.395833,1.184602,70400
1990-06-19,1.385417,1.395833,1.385417,1.395833,1.184602,21600
1990-06-20,1.385417,1.385417,1.375,1.375,1.166922,27200
1990-06-21,1.385417,1.385417,1.385417,1.385417,1.175762,120000
