Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,5.161519,5.256808,5.129755,5.145637,1.2846,1420600
1982-01-04,5.097992,5.129755,5.050347,5.066229,1.264776,2069200
1982-01-05,4.939176,5.034466,4.843886,4.875649,1.217198,4173800
1982-01-06,4.843886,5.002702,4.685071,4.78036,1.193408,3855800
1982-01-07,4.732715,4.78036,4.685071,4.732715,1.181514,1511100
1982-01-08,4.716834,4.78036,4.637426,4.637426,1.157726,1861400
1982-01-11,4.542136,4.653307,4.415083,4.446846,1.110149,2428100
1982-01-12,4.399202,4.494492,4.303912,4.367439,1.090324,3504000
1982-01-13,4.415083,4.47861,4.335675,4.351557,1.086359,1692200
1982-01-14,4.38332,4.47861,4.288031,4.47861,1.118077,2596500
1982-01-15,4.748597,4.986821,4.510373,4.923295,1.229092,7508600
1982-01-18,4.955058,5.097992,4.796242,5.097992,1.272705,7078100
1982-01-19,5.050347,5.1774,4.923295,4.955058,1.237023,7444100
1982-01-20,4.78036,4.907413,4.653307,4.716834,1.177549,5527600
1982-01-21,4.812123,4.875649,4.732715,4.812123,1.201338,7028500
1982-01-22,4.843886,4.891531,4.78036,4.796242,1.197374,2916800
1982-01-25,4.843886,4.970939,4.716834,4.970939,1.240987,3098700
1982-01-26,4.986821,5.08211,4.891531,4.923295,1.229092,3584300
1982-01-27,4.955058,5.018584,4.891531,4.955058,1.237023,2958600
1982-01-28,4.970939,5.018584,4.907413,4.986821,1.244951,4318600
1982-01-29,5.018584,5.097992,4.939176,4.955058,1.237023,6637400
1982-02-01,4.812123,4.891531,4.716834,4.812123,1.218523,2565000
1982-02-02,4.764479,4.812123,4.700952,4.700952,1.190372,2463500
1982-02-03,4.621544,4.748597,4.494492,4.526255,1.146136,2934200
1982-02-04,4.605662,4.700952,4.494492,4.685071,1.18635,4710600
1982-02-05,4.669189,4.748597,4.589781,4.700952,1.190372,4278500
1982-02-08,4.573899,4.700952,4.446846,4.462728,1.130049,2663400
1982-02-09,4.38332,4.462728,4.303912,4.367439,1.105919,4531100
1982-02-10,4.430965,4.462728,4.38332,4.415083,1.117985,3217500
1982-02-11,4.669189,4.891531,4.430965,4.891531,1.238631,5796800
1982-02-12,4.732715,4.891531,4.558018,4.685071,1.18635,8000600
1982-02-16,4.621544,4.732715,4.510373,4.700952,1.190372,3146700
1982-02-17,4.558018,4.685071,4.415083,4.47861,1.134071,3310400
1982-02-18,4.47861,4.542136,4.399202,4.430965,1.122006,2898700
1982-02-19,4.319794,4.462728,4.176859,4.256268,1.07777,4030600
1982-02-22,4.049807,4.272149,3.827464,3.906872,0.989295,3710200
1982-02-23,4.097452,4.288031,3.906872,4.224504,1.069727,4094300
1982-02-24,4.240386,4.351557,4.129215,4.208622,1.065704,5476400
1982-02-25,4.113333,4.208622,4.018044,4.065688,1.029511,2432800
1982-02-26,4.08157,4.129215,4.018044,4.08157,1.033533,2063700
1982-03-01,4.049807,4.097452,4.002162,4.002162,1.013425,2313200
1982-03-02,3.954517,4.049807,3.843346,3.875109,0.981253,2203000
1982-03-03,3.763938,3.827464,3.68453,3.763938,0.953102,4190300
1982-03-04,3.795701,3.843346,3.732175,3.763938,0.953102,4446100
1982-03-05,3.748056,3.827464,3.652767,3.700412,0.937015,2695700
1982-03-08,3.636885,3.763938,3.509832,3.541596,0.8968,2157300
1982-03-09,3.557477,3.68453,3.430424,3.589241,0.908865,2588600
1982-03-10,3.557477,3.605122,3.493951,3.493951,0.884736,3031800
1982-03-11,3.509832,3.557477,3.446306,3.509832,0.888758,4148600
1982-03-12,3.525714,3.589241,3.462188,3.589241,0.908865,2238400
1982-03-15,3.68453,3.811583,3.557477,3.811583,0.965167,2013300
1982-03-16,3.732175,3.795701,3.652767,3.748056,0.94908,1831500
1982-03-17,3.605122,3.668648,3.541596,3.621004,0.916909,1000300
1982-03-18,3.652767,3.68453,3.605122,3.652767,0.924951,1294700
1982-03-19,3.668648,3.716293,3.621004,3.68453,0.932994,1327700
1982-03-22,3.732175,3.763938,3.68453,3.716293,0.941038,1268700
1982-03-23,3.68453,3.732175,3.636885,3.668648,0.928973,1097900
1982-03-24,3.732175,3.763938,3.68453,3.748056,0.94908,3734600
1982-03-25,3.716293,3.748056,3.68453,3.68453,0.932994,1755900
1982-03-26,3.700412,3.779819,3.621004,3.732175,0.945059,1722100
1982-03-29,3.763938,3.843346,3.668648,3.843346,0.97321,1341900
1982-03-30,3.811583,3.875109,3.748056,3.843346,0.97321,2434400
1982-03-31,3.906872,3.954517,3.843346,3.922754,0.993317,2202200
1982-04-01,3.970399,4.033925,3.906872,4.018044,1.017446,2661800
1982-04-02,4.097452,4.145096,4.033925,4.145096,1.049619,1929900
1982-04-05,4.113333,4.160978,4.065688,4.113333,1.041576,2044800
1982-04-06,4.065688,4.113333,4.002162,4.097452,1.037554,4173800
1982-04-07,4.08157,4.129215,4.018044,4.049807,1.02549,1360000
1982-04-08,4.129215,4.176859,4.08157,4.129215,1.045597,1422200
1982-04-12,4.08157,4.145096,4.002162,4.018044,1.017446,1116000
1982-04-13,3.98628,4.049807,3.906872,3.906872,0.989295,1456000
1982-04-14,3.954517,3.98628,3.922754,3.970399,1.005381,1312800
1982-04-15,4.018044,4.097452,3.938636,4.065688,1.029511,1554400
1982-04-16,4.08157,4.113333,4.033925,4.033925,1.021468,2216400
1982-04-19,3.954517,4.033925,3.859228,3.875109,0.981253,1730700
1982-04-20,3.859228,3.890991,3.827464,3.843346,0.97321,1189200
1982-04-21,3.875109,3.938636,3.811583,3.906872,0.989295,1086100
1982-04-22,4.002162,4.049807,3.938636,4.033925,1.021468,1765400
