Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.632813,1.7041,1.632813,1.6416,0.696584,305600
1980-03-18,1.6416,1.671875,1.632813,1.671875,0.709431,267200
1980-03-19,1.671875,1.710938,1.671875,1.6875,0.716061,819200
1980-03-20,1.6875,1.695313,1.6875,1.6875,0.716061,179200
1980-03-21,1.6875,1.695313,1.664063,1.664063,0.706116,281600
1980-03-24,1.664063,1.695313,1.648438,1.648438,0.699485,110400
1980-03-25,1.648438,1.664063,1.632813,1.632813,0.692856,145600
1980-03-26,1.632813,1.648438,1.625,1.625,0.68954,392000
1980-03-27,1.625,1.625,1.5791,1.5791,0.670063,139200
1980-03-28,1.5791,1.671875,1.5791,1.6416,0.696584,139200
1980-03-31,1.6416,1.679688,1.6416,1.671875,0.709431,172800
1980-04-01,1.671875,1.679688,1.625,1.6416,0.696584,430400
1980-04-02,1.6416,1.648438,1.609375,1.648438,0.699485,252800
1980-04-03,1.648438,1.65625,1.625,1.6416,0.696584,108800
1980-04-07,1.6416,1.6416,1.625,1.625,0.68954,97600
1980-04-08,1.625,1.648438,1.617188,1.648438,0.699485,49600
1980-04-09,1.648438,1.7041,1.648438,1.679688,0.712746,153600
1980-04-10,1.6875,1.734375,1.6875,1.726563,0.732637,72000
1980-04-11,1.726563,1.7666,1.71875,1.734375,0.735951,134400
1980-04-14,1.734375,1.7666,1.726563,1.726563,0.732637,75200
1980-04-15,1.726563,1.7666,1.710938,1.734375,0.735951,91200
1980-04-16,1.734375,1.7666,1.71875,1.71875,0.729321,89600
1980-04-17,1.71875,1.726563,1.7041,1.7041,0.723105,40000
1980-04-18,1.7041,1.710938,1.6875,1.6875,0.716061,46400
1980-04-21,1.679688,1.679688,1.65625,1.65625,0.7028,180800
1980-04-22,1.65625,1.7041,1.65625,1.7041,0.723105,70400
1980-04-23,1.7041,1.7041,1.664063,1.671875,0.709431,379200
1980-04-24,1.671875,1.695313,1.664063,1.671875,0.709431,115200
1980-04-25,1.671875,1.710938,1.664063,1.7041,0.723105,313600
1980-04-28,1.7041,1.71875,1.695313,1.695313,0.719376,771200
1980-04-29,1.695313,1.71875,1.695313,1.71875,0.729321,428800
1980-04-30,1.71875,1.71875,1.7041,1.71875,0.729321,180800
1980-05-01,1.71875,1.71875,1.6875,1.7041,0.723105,268800
1980-05-02,1.7041,1.726563,1.6875,1.726563,0.732637,172800
1980-05-05,1.726563,1.742188,1.7041,1.742188,0.739267,1336000
1980-05-06,1.742188,1.757813,1.71875,1.75,0.742582,128000
1980-05-07,1.75,1.84375,1.75,1.8291,0.776146,112000
1980-05-08,1.8291,1.8291,1.804688,1.8125,0.769102,43200
1980-05-09,1.8125,1.8125,1.75,1.796875,0.762472,396800
1980-05-12,1.796875,1.796875,1.773438,1.796875,0.762472,152000
1980-05-13,1.796875,1.8291,1.796875,1.8125,0.769102,68800
1980-05-14,1.8125,1.8291,1.789063,1.789063,0.759157,59200
1980-05-15,1.789063,1.804688,1.78125,1.804688,0.765788,102400
1980-05-16,1.804688,1.8291,1.789063,1.8125,0.769102,124800
1980-05-19,1.8125,1.8125,1.773438,1.78125,0.755842,59200
1980-05-20,1.78125,1.804688,1.7666,1.78125,0.755842,78400
1980-05-21,1.78125,1.796875,1.7666,1.78125,0.755842,152000
1980-05-22,1.78125,1.78125,1.7666,1.78125,0.755842,124800
1980-05-23,1.78125,1.796875,1.7666,1.796875,0.762472,345600
1980-05-27,1.796875,1.796875,1.78125,1.78125,0.755842,91200
1980-05-28,1.78125,1.78125,1.7666,1.7666,0.749625,147200
1980-05-29,1.7666,1.773438,1.7666,1.7666,0.749625,60800
1980-05-30,1.7666,1.773438,1.757813,1.773438,0.752527,129600
1980-06-02,1.78125,1.78125,1.78125,1.78125,0.755842,40000
1980-06-03,1.78125,1.789063,1.78125,1.78125,0.755842,2408000
1980-06-04,1.78125,1.796875,1.78125,1.78125,0.755842,62400
1980-06-05,1.789063,1.8125,1.789063,1.8125,0.769102,488000
1980-06-06,1.8125,1.820313,1.78125,1.804688,0.765788,76800
1980-06-09,1.804688,1.8291,1.804688,1.804688,0.765788,1025600
1980-06-10,1.804688,1.820313,1.796875,1.804688,0.765788,94400
1980-06-11,1.804688,1.835938,1.804688,1.835938,0.779048,208000
1980-06-12,1.835938,1.867188,1.8291,1.867188,0.792308,137600
1980-06-13,1.875,1.9375,1.875,1.9375,0.822144,144000
1980-06-16,1.9375,1.9375,1.898438,1.914063,0.812199,73600
1980-06-17,1.914063,1.929688,1.8916,1.90625,0.808884,195200
1980-06-18,1.90625,1.921875,1.8916,1.90625,0.808884,142400
1980-06-19,1.90625,1.90625,1.882813,1.882813,0.798938,112000
1980-06-20,1.882813,1.882813,1.875,1.875,0.795623,70400
1980-06-23,1.875,1.875,1.859375,1.875,0.795623,91200
1980-06-24,1.875,1.898438,1.867188,1.882813,0.798938,38400
1980-06-25,1.882813,1.90625,1.875,1.90625,0.808884,40000
1980-06-26,1.90625,1.90625,1.882813,1.8916,0.802667,56000
1980-06-27,1.8916,1.898438,1.875,1.875,0.795623,1641600
1980-06-30,1.875,1.875,1.859375,1.859375,0.788993,64000
1980-07-01,1.859375,1.8916,1.859375,1.8916,0.802667,264000
1980-07-02,1.8916,1.8916,1.867188,1.875,0.795623,49600
1980-07-03,1.875,1.875,1.8291,1.875,0.795623,72000
1980-07-07,1.875,1.882813,1.859375,1.867188,0.792308,148800
1980-07-08,1.867188,1.875,1.835938,1.875,0.795623,241600
1980-07-09,1.875,1.898438,1.867188,1.8916,0.802667,252800
1980-07-10,1.8916,1.90625,1.8916,1.898438,0.805568,110400
1980-07-11,1.898438,1.90625,1.8916,1.90625,0.808884,99200
1980-07-14,1.90625,1.929688,1.90625,1.929688,0.818829,640000
1980-07-15,1.929688,1.929688,1.914063,1.929688,0.818829,568000
1980-07-16,1.929688,1.929688,1.90625,1.921875,0.815514,118400
1980-07-17,1.921875,1.929688,1.90625,1.929688,0.818829,20800
1980-07-18,1.929688,1.929688,1.914063,1.914063,0.812199,56000
1980-07-21,1.914063,1.921875,1.898438,1.914063,0.812199,126400
1980-07-22,1.914063,1.914063,1.8916,1.90625,0.808884,187200
1980-07-23,1.90625,1.90625,1.875,1.898438,0.805568,236800
1980-07-24,1.898438,1.898438,1.875,1.8916,0.802667,59200
1980-07-25,1.867188,1.867188,1.84375,1.859375,0.788993,49600
1980-07-28,1.859375,1.875,1.851563,1.851563,0.785678,236800
1980-07-29,1.859375,1.867188,1.859375,1.867188,0.792308,203200
1980-07-30,1.867188,1.882813,1.851563,1.875,0.795623,41600
1980-07-31,1.875,1.8916,1.867188,1.882813,0.798938,766400
1980-08-01,1.882813,1.882813,1.867188,1.875,0.795623,1638400
1980-08-04,1.875,1.8916,1.867188,1.875,0.795623,384000
1980-08-05,1.882813,1.898438,1.882813,1.898438,0.805568,38400
1980-08-06,1.898438,1.929688,1.898438,1.90625,0.808884,217600
1980-08-07,1.90625,1.929688,1.90625,1.921875,0.815514,80000
1980-08-08,1.9375,1.992188,1.9375,1.976563,0.838719,169600
1980-08-11,1.976563,1.976563,1.945313,1.945313,0.825459,480000
1980-08-12,1.9541,1.976563,1.9541,1.960938,0.832089,112000
1980-08-13,1.960938,1.96875,1.945313,1.945313,0.825459,136000
1980-08-14,1.945313,1.960938,1.945313,1.945313,0.825459,68800
1980-08-15,1.945313,1.96875,1.945313,1.945313,0.825459,139200
1980-08-18,1.945313,1.9541,1.921875,1.9375,0.822144,99200
1980-08-19,1.9375,1.9541,1.921875,1.9541,0.829188,72000
1980-08-20,1.945313,1.945313,1.914063,1.9375,0.822144,153600
1980-08-21,1.945313,1.96875,1.945313,1.9541,0.829188,179200
1980-08-22,1.96875,1.992188,1.96875,1.96875,0.835404,425600
1980-08-25,1.9541,1.9541,1.9375,1.9541,0.829188,89600
1980-08-26,1.9541,1.9541,1.929688,1.929688,0.818829,174400
1980-08-27,1.929688,1.945313,1.929688,1.929688,0.818829,40000
1980-08-28,1.929688,1.929688,1.90625,1.914063,0.812199,230400
1980-08-29,1.914063,1.929688,1.90625,1.90625,0.808884,30400
1980-09-02,1.90625,1.921875,1.882813,1.8916,0.802667,91200
1980-09-03,1.8916,1.914063,1.867188,1.914063,0.812199,105600
1980-09-04,1.914063,1.9375,1.898438,1.90625,0.808884,120000
1980-09-05,1.90625,1.921875,1.8916,1.90625,0.808884,56000
1980-09-08,1.90625,1.90625,1.882813,1.8916,0.802667,627200
1980-09-09,1.8916,1.8916,1.867188,1.875,0.795623,312000
1980-09-10,1.875,1.9375,1.875,1.921875,0.815514,481600
1980-09-11,1.921875,1.945313,1.914063,1.945313,0.825459,184000
1980-09-12,1.945313,1.960938,1.929688,1.945313,0.825459,296000
1980-09-15,1.945313,1.96875,1.929688,1.9375,0.822144,155200
1980-09-16,1.9375,1.96875,1.9375,1.945313,0.825459,1360000
1980-09-17,1.945313,1.96875,1.945313,1.96875,0.835404,73600
1980-09-18,1.96875,1.96875,1.945313,1.96875,0.835404,134400
1980-09-19,1.96875,1.976563,1.9541,1.9541,0.829188,80000
1980-09-22,1.945313,1.945313,1.921875,1.945313,0.825459,352000
1980-09-23,1.945313,1.96875,1.914063,1.914063,0.812199,812800
1980-09-24,1.914063,1.929688,1.914063,1.921875,0.815514,100800
1980-09-25,1.921875,1.9375,1.914063,1.921875,0.815514,161600
1980-09-26,1.90625,1.90625,1.882813,1.882813,0.798938,88000
1980-09-29,1.867188,1.867188,1.851563,1.859375,0.788993,62400
1980-09-30,1.859375,1.882813,1.859375,1.859375,0.788993,91200
1980-10-01,1.859375,1.875,1.859375,1.867188,0.792308,158400
1980-10-02,1.867188,1.882813,1.851563,1.867188,0.792308,326400
1980-10-03,1.867188,1.8916,1.84375,1.875,0.795623,180800
1980-10-06,1.875,1.882813,1.851563,1.882813,0.798938,212800
1980-10-07,1.882813,1.90625,1.875,1.882813,0.798938,430400
1980-10-08,1.882813,1.921875,1.882813,1.90625,0.808884,185600
1980-10-09,1.914063,2.0,1.914063,1.984375,0.842035,262400
1980-10-10,1.984375,2.0,1.96875,1.984375,0.842035,166400
1980-10-13,1.984375,2.0,1.976563,1.992188,0.84535,91200
1980-10-14,1.992188,2.007813,1.992188,1.992188,0.84535,187200
1980-10-15,1.992188,2.023438,1.984375,2.023438,0.85861,430400
1980-10-16,2.023438,2.03125,2.0166,2.0166,0.855709,331200
1980-10-17,2.0166,2.039063,2.0166,2.039063,0.86524,243200
