Date,Open,High,Low,Close,Adj Close,Volume
1985-07-22,5.25,5.625,5.25,5.625,4.584003,59400
1985-07-23,5.625,5.8125,5.5625,5.625,4.584003,20800
1985-07-24,5.5625,5.5625,5.375,5.5,4.482135,32600
1985-07-25,5.5,5.5625,5.5,5.5625,4.53307,16600
1985-07-26,5.5625,5.5625,5.4375,5.5,4.482135,10400
1985-07-29,5.5,5.5,5.3125,5.4375,4.431203,25000
1985-07-30,5.4375,5.4375,5.375,5.375,4.380269,10400
1985-07-31,5.375,5.375,5.3125,5.375,4.380269,12800
1985-08-01,5.375,5.375,5.1875,5.375,4.380269,31800
1985-08-02,5.3125,5.3125,5.1875,5.25,4.2784,13000
1985-08-05,5.25,5.25,5.1875,5.25,4.2784,1200
1985-08-06,5.25,5.25,5.125,5.1875,4.22747,28600
1985-08-07,5.1875,5.1875,5.1875,5.1875,4.22747,0
1985-08-08,5.1875,5.1875,5.125,5.125,4.176537,600
1985-08-09,5.1875,5.1875,5.1875,5.1875,4.22747,400
1985-08-12,5.0625,5.0625,4.9375,5.0625,4.125602,3800
1985-08-13,5.0625,5.125,5.0625,5.125,4.176537,4400
1985-08-14,5.0625,5.0625,5.0625,5.0625,4.125602,1400
1985-08-15,5.0,5.0,5.0,5.0,4.074667,1600
1985-08-16,4.9375,4.9375,4.9375,4.9375,4.023734,800
1985-08-19,4.875,4.875,4.875,4.875,3.972803,5200
1985-08-20,4.875,4.9375,4.8125,4.9375,4.023734,3000
1985-08-21,4.875,4.875,4.8125,4.8125,3.921869,3400
1985-08-22,4.8125,4.875,4.75,4.8125,3.921869,1600
1985-08-23,4.8125,4.875,4.8125,4.8125,3.921869,21800
1985-08-26,4.8125,4.8125,4.8125,4.8125,3.921869,0
1985-08-27,4.75,4.75,4.625,4.625,3.769068,9200
1985-08-28,4.625,4.6875,4.5625,4.6875,3.820002,12400
1985-08-29,4.6875,4.875,4.6875,4.875,3.972803,7200
1985-08-30,4.9375,5.0,4.9375,5.0,4.074667,8400
1985-09-03,5.0,5.0625,5.0,5.0,4.074667,10200
1985-09-04,4.9375,4.9375,4.9375,4.9375,4.023734,800
1985-09-05,4.9375,4.9375,4.8125,4.9375,4.023734,11400
1985-09-06,4.9375,5.0,4.9375,5.0,4.074667,9800
1985-09-09,4.9375,4.9375,4.9375,4.9375,4.023734,200
1985-09-10,4.9375,4.9375,4.875,4.9375,4.023734,9800
1985-09-11,4.9375,5.0,4.875,4.875,3.972803,5200
1985-09-12,4.875,5.0,4.875,4.875,3.972803,5200
1985-09-13,4.875,5.0,4.875,4.875,3.972803,7400
1985-09-16,4.8125,4.8125,4.75,4.8125,3.921869,2600
1985-09-17,4.8125,4.875,4.75,4.75,3.870934,4800
1985-09-18,4.6875,4.6875,4.6875,4.6875,3.820002,800
1985-09-19,4.6875,4.6875,4.6875,4.6875,3.820002,3200
1985-09-20,4.6875,5.0,4.6875,5.0,4.074667,14200
1985-09-23,5.0,5.0625,5.0,5.0625,4.125602,3200
1985-09-24,5.0,5.0,5.0,5.0,4.074667,58000
1985-09-25,4.875,4.875,4.8125,4.875,3.972803,8000
1985-09-26,4.8125,4.8125,4.8125,4.8125,3.921869,1400
1985-09-30,4.75,4.75,4.6875,4.6875,3.820002,5600
1985-10-01,4.75,4.75,4.75,4.75,3.870934,200
1985-10-02,4.75,4.75,4.75,4.75,3.870934,3000
1985-10-03,4.75,4.8125,4.75,4.75,3.870934,3800
1985-10-04,4.75,4.75,4.75,4.75,3.870934,0
1985-10-07,4.75,4.75,4.6875,4.6875,3.820002,4800
1985-10-08,4.75,4.8125,4.75,4.8125,3.921869,2000
1985-10-09,4.8125,4.9375,4.8125,4.9375,4.023734,2800
1985-10-10,4.8125,4.8125,4.75,4.75,3.870934,3200
1985-10-11,4.75,4.75,4.6875,4.75,3.870934,800
1985-10-14,4.8125,4.9375,4.8125,4.9375,4.023734,2200
1985-10-15,4.875,4.875,4.875,4.875,3.972803,800
1985-10-16,4.875,4.9375,4.875,4.875,3.972803,2000
1985-10-17,4.8125,4.8125,4.8125,4.8125,3.921869,1400
1985-10-18,4.75,4.75,4.75,4.75,3.870934,1600
1985-10-21,4.75,4.75,4.75,4.75,3.870934,0
1985-10-22,4.75,4.75,4.75,4.75,3.870934,400
1985-10-23,4.8125,4.875,4.8125,4.8125,3.921869,2000
1985-10-24,4.8125,4.9375,4.8125,4.9375,4.023734,2200
1985-10-25,4.875,4.875,4.75,4.8125,3.921869,4600
1985-10-28,4.875,4.875,4.875,4.875,3.972803,200
1985-10-29,4.875,4.875,4.8125,4.875,3.972803,800
1985-10-30,4.875,4.9375,4.8125,4.8125,3.921869,1400
1985-10-31,4.8125,4.8125,4.8125,4.8125,3.921869,0
1985-11-01,4.75,4.75,4.75,4.75,3.870934,400
1985-11-04,4.75,4.75,4.75,4.75,3.870934,2200
1985-11-05,4.75,4.75,4.75,4.75,3.870934,0
1985-11-06,4.8125,4.8125,4.8125,4.8125,3.921869,200
1985-11-07,4.75,4.75,4.75,4.75,3.870934,1200
1985-11-08,4.6875,4.6875,4.625,4.6875,3.820002,1000
1985-11-11,4.6875,4.6875,4.6875,4.6875,3.820002,0
1985-11-12,4.6875,4.8125,4.6875,4.75,3.870934,4200
1985-11-13,4.75,4.75,4.6875,4.6875,3.820002,3800
1985-11-14,4.6875,4.6875,4.625,4.625,3.769068,3600
1985-11-15,4.5625,4.5625,4.5625,4.5625,3.718135,5000
1985-11-18,4.5,4.5,4.5,4.5,3.667201,400
1985-11-19,4.5,4.5,4.5,4.5,3.667201,0
1985-11-20,4.5,4.5,4.5,4.5,3.667201,1400
1985-11-21,4.5,4.5625,4.5,4.5,3.667201,4600
1985-11-22,4.5,4.625,4.5,4.625,3.769068,1200
1985-11-25,4.5,4.5,4.5,4.5,3.667201,11400
1985-11-26,4.5,4.5,4.5,4.5,3.667201,800
1985-11-27,4.5,4.5,4.5,4.5,3.667201,5600
1985-11-29,4.5,4.5,4.5,4.5,3.667201,400
1985-12-02,4.5,4.5,4.5,4.5,3.667201,200
1985-12-03,4.5,4.5,4.4375,4.4375,3.616267,4600
1985-12-04,4.4375,4.4375,4.4375,4.4375,3.616267,1000
1985-12-05,4.4375,4.5,4.4375,4.4375,3.616267,12400
1985-12-06,4.4375,4.4375,4.4375,4.4375,3.616267,1000
1985-12-09,4.4375,4.4375,4.25,4.25,3.46347,20800
1985-12-10,4.25,4.375,4.25,4.25,3.46347,6600
1985-12-11,4.1875,4.1875,4.0625,4.125,3.361603,8200
1985-12-12,4.125,4.125,3.875,3.875,3.157867,11000
1985-12-13,3.9375,4.0625,3.9375,4.0625,3.310668,21200
1985-12-16,4.0625,4.1875,4.0,4.0625,3.310668,56400
1985-12-17,3.9375,3.9375,3.875,3.875,3.157867,142800
1985-12-18,3.875,3.9375,3.875,3.875,3.157867,71600
1985-12-19,3.875,4.0,3.875,4.0,3.259735,67400
1985-12-20,4.0,4.0,3.9375,4.0,3.259735,45800
1985-12-23,4.0,4.0625,3.9375,4.0625,3.310668,31800
1985-12-24,4.0625,4.0625,3.9375,4.0625,3.310668,22800
1985-12-26,4.0625,4.0625,4.0,4.0,3.259735,3800
1985-12-27,4.0,4.0625,4.0,4.0,3.259735,5000
1985-12-30,4.0,4.0,3.875,4.0,3.259735,30000
