Date,Open,High,Low,Close,Adj Close,Volume
1993-08-12,14.5,14.5,13.6875,14.3125,3.610028,13086600
1993-08-13,14.25,14.25,13.875,13.875,3.499677,1277800
1993-08-16,13.875,14.0,13.8125,14.0,3.531204,559000
1993-08-17,14.0,14.125,13.9375,14.0625,3.546972,545600
1993-08-18,14.0625,14.0625,14.0625,14.0625,3.546972,469200
1993-08-19,14.0625,14.0625,13.8125,13.8125,3.483913,409400
1993-08-20,13.875,14.0625,13.875,13.9375,3.515441,540800
1993-08-23,13.9375,14.0625,13.875,14.0,3.531204,335600
1993-08-24,14.0,14.1875,14.0,14.1875,3.578498,234400
1993-08-25,14.0625,14.0625,14.0,14.0,3.531204,102600
1993-08-26,14.0,14.3125,14.0,14.3125,3.610028,180400
1993-08-27,14.3125,14.3125,14.0625,14.125,3.562737,119600
1993-08-30,14.0625,14.25,14.0625,14.125,3.562737,71400
1993-08-31,14.125,14.4375,14.125,14.375,3.625792,147000
1993-09-01,14.4375,14.5,14.3125,14.3125,3.610028,141600
1993-09-02,14.5,14.5,14.375,14.5,3.65732,217600
1993-09-03,14.4375,14.8125,14.4375,14.625,3.688849,178800
1993-09-07,14.5625,14.8125,14.5625,14.6875,3.704613,167600
1993-09-08,14.8125,14.875,14.5,14.5,3.65732,276200
1993-09-09,14.5,14.875,14.5,14.625,3.688849,74400
1993-09-10,14.5625,15.25,14.5625,15.125,3.814963,245000
1993-09-13,14.9375,15.0,14.875,15.0,3.783436,251200
1993-09-14,14.75,14.8125,14.5625,14.75,3.720379,127000
1993-09-15,14.75,14.75,14.5625,14.75,3.720379,162400
1993-09-16,14.875,14.875,14.6875,14.875,3.751907,88800
1993-09-17,14.8125,15.0625,14.75,15.0625,3.7992,113000
1993-09-20,14.8125,14.9375,14.75,14.75,3.746495,15400
1993-09-21,14.875,14.875,14.6875,14.8125,3.762369,286000
1993-09-22,14.75,14.9375,14.6875,14.9375,3.794119,54800
1993-09-23,14.875,14.875,14.6875,14.8125,3.762369,51000
1993-09-24,14.75,15.0625,14.75,15.0625,3.825869,265000
1993-09-27,15.0625,15.75,15.0625,15.6875,3.984619,675400
1993-09-28,15.625,15.8125,15.5,15.75,4.000494,360800
1993-09-29,15.75,16.125,15.75,15.75,4.000494,823200
1993-09-30,15.6875,15.75,15.5,15.5625,3.95287,138000
1993-10-01,15.5625,15.75,15.5625,15.5625,3.95287,31600
1993-10-04,15.5,15.5,15.125,15.25,3.873494,27600
1993-10-05,15.25,15.4375,15.1875,15.25,3.873494,87600
1993-10-06,15.125,15.5625,15.125,15.5,3.936995,327600
1993-10-07,15.375,15.75,15.375,15.5625,3.95287,40400
1993-10-08,15.6875,17.5,15.6875,17.125,4.349743,1242600
1993-10-11,17.0,17.25,17.0,17.0,4.317994,885200
