Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,28.0,29.5,28.0,28.0,21.364861,15000
1980-03-18,29.5,31.0,29.5,29.5,22.509405,18000
1980-03-19,29.5,30.5,29.0,29.0,22.127888,10800
1980-03-20,29.0,30.0,28.5,28.5,21.746376,14800
1980-03-21,28.5,30.0,28.5,28.5,21.746376,5000
1980-03-24,28.0,28.0,26.5,26.5,20.22031,7000
1980-03-25,27.0,28.5,27.0,27.0,20.601826,12000
1980-03-26,27.5,29.0,27.5,27.5,20.983341,14400
1980-03-27,27.5,28.0,26.5,26.5,20.22031,16200
1980-03-28,27.5,29.0,27.5,27.5,20.983341,15400
1980-03-31,27.5,29.0,27.5,27.5,20.983341,5400
1980-04-01,27.5,29.0,27.5,27.5,20.983341,12000
1980-04-02,29.0,30.5,29.0,29.0,22.127888,20200
1980-04-03,29.0,30.0,28.5,28.5,21.746376,11400
1980-04-07,28.5,29.5,28.0,28.0,21.364861,6000
1980-04-08,28.0,29.5,28.0,28.0,21.364861,3000
1980-04-09,28.5,30.0,28.5,28.5,21.746376,13200
1980-04-10,28.5,30.0,28.5,28.5,21.746376,9400
1980-04-11,28.5,29.5,28.0,28.0,21.364861,4800
1980-04-14,28.0,29.0,27.5,27.5,20.983341,2400
1980-04-15,27.5,28.0,26.5,26.5,20.22031,9200
1980-04-16,26.5,27.5,26.0,26.0,19.838802,10400
1980-04-17,26.0,27.0,25.5,25.5,19.457283,7000
1980-04-18,25.5,27.0,25.5,25.5,19.457283,5000
1980-04-21,25.5,27.0,25.5,25.5,19.457283,3400
1980-04-22,27.0,28.5,27.0,27.0,20.601826,7400
1980-04-23,27.0,28.0,26.5,26.5,20.22031,6800
1980-04-24,27.5,29.0,27.5,27.5,20.983341,2800
1980-04-25,27.5,28.5,27.0,27.0,20.601826,2000
1980-04-28,27.0,28.5,27.0,27.0,20.601826,11200
1980-04-29,27.0,28.5,27.0,27.0,20.601826,9400
1980-04-30,27.0,28.5,27.0,27.0,20.601826,4600
1980-05-01,27.0,28.0,26.5,26.5,20.22031,14600
1980-05-02,26.5,27.5,26.0,26.0,19.838802,2000
1980-05-05,26.5,28.0,26.5,26.5,20.22031,2600
1980-05-06,26.5,28.0,26.5,26.5,20.22031,5400
1980-05-07,28.0,29.5,28.0,28.0,21.364861,12400
1980-05-08,28.0,29.0,27.5,27.5,20.983341,7800
1980-05-09,28.0,29.5,28.0,28.0,21.364861,3400
1980-05-12,28.5,30.0,28.5,28.5,21.746376,4200
1980-05-13,29.0,30.5,29.0,29.0,22.127888,6600
1980-05-14,30.5,32.0,30.5,30.5,23.272438,10400
1980-05-15,31.5,33.0,31.5,31.5,24.035467,17400
1980-05-16,32.5,34.0,32.5,32.5,24.798504,26000
1980-05-19,32.5,34.0,32.5,32.5,24.798504,7200
1980-05-20,32.5,33.0,31.5,31.5,24.035467,9000
1980-05-21,31.5,33.0,31.5,31.5,24.035467,8200
1980-05-22,31.5,33.0,31.5,31.5,24.035467,4000
1980-05-23,31.5,33.0,31.5,31.5,24.035467,2800
1980-05-27,31.5,32.0,30.5,30.5,23.272438,9200
1980-05-28,30.5,31.5,30.0,30.0,22.890921,5800
1980-05-29,30.5,32.0,30.5,30.5,23.272438,17400
1980-05-30,30.5,32.0,30.5,30.5,23.272438,1800
1980-06-02,31.0,32.5,31.0,31.0,23.653959,3600
1980-06-03,32.5,34.0,32.5,32.5,24.798504,11800
1980-06-04,34.0,35.5,34.0,34.0,25.943039,13200
1980-06-05,34.0,35.5,34.0,34.0,25.943039,7600
1980-06-06,34.5,36.0,34.5,34.5,26.324562,6400
1980-06-09,35.0,36.5,35.0,35.0,26.706064,4600
1980-06-10,36.0,37.5,36.0,36.0,27.46911,19600
1980-06-11,36.0,36.5,35.0,35.0,26.706064,7400
1980-06-12,35.0,36.0,34.5,34.5,26.324562,12400
1980-06-13,34.5,36.0,34.5,34.5,26.324562,7400
1980-06-16,34.5,36.0,34.5,34.5,26.324562,6800
1980-06-17,35.0,36.5,35.0,35.0,26.706064,14400
1980-06-18,36.0,37.5,36.0,36.0,27.46911,11600
1980-06-19,36.0,37.0,35.5,35.5,27.087589,9400
1980-06-20,35.5,37.0,35.5,35.5,27.087589,4600
1980-06-23,36.0,37.5,36.0,36.0,27.46911,5000
1980-06-24,36.0,37.5,36.0,36.0,27.46911,8000
1980-06-25,36.0,37.0,35.5,35.5,27.087589,9400
1980-06-26,36.5,38.0,36.5,36.5,27.850626,46000
1980-06-27,38.0,39.5,38.0,38.0,28.995159,20000
1980-06-30,38.0,38.0,36.5,36.5,27.850626,19800
1980-07-01,37.0,38.5,37.0,37.0,28.232138,11000
1980-07-02,38.5,40.0,38.5,38.5,29.376673,22200
1980-07-03,40.0,41.5,40.0,40.0,30.521233,32000
1980-07-07,40.0,40.5,40.0,40.0,30.521233,7600
1980-07-08,39.5,39.5,39.0,39.0,29.758211,4800
1980-07-09,39.0,39.0,38.0,38.0,28.995159,9000
1980-07-10,38.0,38.0,37.0,37.0,28.232138,4000
1980-07-11,37.5,38.0,37.5,37.5,28.613634,2800
1980-07-14,39.0,39.5,39.0,39.0,29.758211,7800
1980-07-15,39.0,39.0,38.0,38.0,28.995159,4800
1980-07-16,37.5,37.5,37.0,37.0,28.232138,7800
1980-07-17,38.0,38.5,38.0,38.0,28.995159,5400
1980-07-18,38.0,38.0,37.0,37.0,28.232138,10400
1980-07-21,37.0,37.5,37.0,37.0,28.232138,7800
1980-07-22,36.5,36.5,36.0,36.0,27.46911,7800
1980-07-23,36.0,36.5,36.0,36.0,27.46911,22400
1980-07-24,36.0,36.5,36.0,36.0,27.46911,7600
1980-07-25,36.0,36.5,36.0,36.0,27.46911,1600
1980-07-28,36.0,36.5,36.0,36.0,27.46911,2400
1980-07-29,36.0,36.5,36.0,36.0,27.46911,9600
1980-07-30,35.0,35.0,34.5,34.5,26.324562,22400
1980-07-31,34.0,34.0,33.5,33.5,25.561533,12200
1980-08-01,33.5,34.5,33.5,33.5,25.561533,28400
1980-08-04,34.5,35.5,34.5,34.5,26.324562,9600
1980-08-05,34.5,35.0,34.5,34.5,26.324562,4000
1980-08-06,35.0,36.0,35.0,35.0,26.706064,8000
1980-08-07,36.0,36.5,36.0,36.0,27.46911,3800
1980-08-08,36.0,36.0,35.5,35.5,27.087589,23200
1980-08-11,35.5,35.5,35.0,35.0,26.706064,5600
1980-08-12,35.0,35.5,34.5,34.5,26.324562,5400
1980-08-13,35.0,35.5,35.0,35.0,26.706064,22400
1980-08-14,35.5,36.0,35.5,35.5,27.087589,13400
1980-08-15,36.5,37.0,36.5,36.5,27.850626,15000
1980-08-18,35.5,35.5,35.0,35.0,26.706064,24400
1980-08-19,35.0,35.5,35.0,35.0,26.706064,8400
1980-08-20,36.0,36.5,36.0,36.0,27.46911,10600
1980-08-21,40.0,40.25,40.0,40.0,30.521233,27200
1980-08-22,40.0,40.25,40.0,40.0,30.521233,24200
1980-08-25,40.0,40.0,39.25,39.25,29.948961,4200
1980-08-26,40.0,40.25,40.0,40.0,30.521233,8800
1980-08-27,40.0,40.25,40.0,40.0,30.521233,6600
1980-08-28,39.5,39.5,39.0,39.0,29.758211,6800
1980-08-29,39.25,40.0,39.25,39.25,29.948961,9200
1980-09-02,40.0,40.5,40.0,40.0,30.521233,7600
1980-09-03,42.0,42.25,42.0,42.0,32.047295,27200
1980-09-04,42.5,43.0,42.5,42.5,32.428814,19400
1980-09-05,44.25,44.5,44.25,44.25,33.764111,35400
1980-09-08,42.75,42.75,42.5,42.5,32.428814,18600
1980-09-09,43.0,43.75,43.0,43.0,32.810322,14600
1980-09-10,46.5,47.0,46.5,46.5,35.480919,36000
1980-09-11,49.5,50.0,49.5,49.5,37.770012,38600
1980-09-12,49.75,50.0,49.75,49.75,37.960789,16000
1980-09-15,49.0,49.0,48.75,48.75,37.197746,12800
1980-09-16,48.75,49.0,48.75,48.75,37.197746,10000
1980-09-17,49.5,50.0,49.5,49.5,37.770012,18600
1980-09-18,49.5,50.0,49.5,49.5,37.770012,12200
1980-09-19,51.75,52.0,51.75,51.75,39.486839,22400
1980-09-22,54.5,55.0,54.5,54.5,41.585167,20600
1980-09-23,52.0,52.0,51.75,51.75,39.486839,29200
1980-09-24,53.25,53.75,53.25,53.25,40.631378,27800
1980-09-25,53.25,53.5,53.25,53.25,40.631378,27400
1980-09-26,51.75,51.75,51.5,51.5,39.296082,25400
1980-09-29,49.25,49.25,48.75,48.75,37.197746,17800
1980-09-30,48.75,49.25,48.75,48.75,37.197746,9000
1980-10-01,49.5,50.0,49.5,49.5,37.770012,13200
1980-10-02,49.75,50.25,49.75,49.75,37.960789,20800
1980-10-03,50.0,50.5,50.0,50.0,38.151531,9800
1980-10-06,51.0,51.75,51.0,51.0,38.914566,15000
1980-10-07,51.75,52.0,51.75,51.75,39.486839,19600
1980-10-08,51.75,52.0,51.5,51.5,39.296082,6800
1980-10-09,51.5,51.75,51.25,51.25,39.105335,11600
1980-10-10,51.25,51.25,51.0,51.0,38.914566,9800
1980-10-13,52.0,52.5,52.0,52.0,39.677605,11800
1980-10-14,52.0,52.25,52.0,52.0,39.677605,16000
1980-10-15,52.25,52.75,52.25,52.25,39.868359,7200
1980-10-16,54.5,54.75,54.5,54.5,41.585167,30000
1980-10-17,53.75,53.75,53.25,53.25,40.631378,27200
1980-10-20,53.25,53.25,53.0,53.0,40.44062,11000
1980-10-21,53.0,53.5,53.0,53.0,40.44062,12000
1980-10-22,53.5,54.0,53.5,53.5,40.822128,14800
1980-10-23,53.75,54.25,53.75,53.75,41.01289,21600
1980-10-24,54.0,54.25,54.0,54.0,41.203651,17200
1980-10-27,54.0,54.0,53.75,53.75,41.01289,9000
1980-10-28,53.75,54.0,53.75,53.75,41.01289,6400
1980-10-29,53.75,54.25,53.75,53.75,41.01289,12800
1980-10-30,47.0,47.0,47.0,47.0,35.86245,33800
1980-10-31,51.0,51.25,51.0,51.0,38.914566,54600
1980-11-03,51.0,51.0,50.5,50.5,38.533035,34200
