Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,20.75,21.125,20.75,20.875,1.46849,42000
1972-06-02,20.875,21.125,20.75,21.0,1.477283,17600
1972-06-05,21.0,21.25,20.875,20.875,1.46849,13200
1972-06-06,20.75,20.75,20.5,20.625,1.469559,15700
1972-06-07,20.625,20.75,20.625,20.625,1.469559,5000
1972-06-08,20.625,20.875,20.375,20.375,1.451746,32900
1972-06-09,20.375,20.5,20.25,20.25,1.442841,18500
1972-06-12,20.25,20.625,20.25,20.5,1.460653,10600
1972-06-13,20.5,20.5,20.0,20.25,1.442841,38400
1972-06-14,20.125,20.125,19.75,19.75,1.407215,126800
1972-06-15,19.75,19.875,19.75,19.875,1.416122,14100
1972-06-16,19.875,19.875,19.625,19.875,1.416122,9000
1972-06-19,19.875,20.0,19.75,19.875,1.416122,8500
1972-06-20,19.875,19.875,19.625,19.625,1.398309,40600
1972-06-21,19.625,19.875,19.375,19.375,1.380495,57000
1972-06-22,19.375,19.625,19.375,19.625,1.398309,23700
1972-06-23,19.625,19.625,19.375,19.625,1.398309,53000
1972-06-26,19.625,19.75,19.375,19.5,1.389402,14400
1972-06-27,19.5,19.5,19.375,19.5,1.389402,14200
1972-06-28,19.5,19.875,19.375,19.875,1.416122,21000
1972-06-29,19.875,20.0,19.625,19.875,1.416122,13300
1972-06-30,19.875,20.375,19.875,20.25,1.442841,47100
1972-07-03,20.25,20.5,20.0,20.25,1.442841,7300
1972-07-05,20.5,21.0,20.5,20.875,1.487372,22400
1972-07-06,20.875,21.375,20.875,21.375,1.522998,15300
1972-07-07,21.375,21.625,21.25,21.625,1.540811,23900
1972-07-10,21.625,21.875,21.375,21.75,1.549717,25600
1972-07-11,21.5,21.5,21.125,21.125,1.505186,14400
1972-07-12,21.125,21.625,21.125,21.375,1.522998,4800
1972-07-13,21.375,21.625,21.125,21.125,1.505186,6000
1972-07-14,21.125,21.5,21.0,21.25,1.514092,10600
1972-07-17,21.25,21.375,21.0,21.125,1.505186,12300
1972-07-18,20.875,20.875,20.625,20.625,1.469559,4400
1972-07-19,20.625,20.75,20.5,20.5,1.460653,9300
1972-07-20,20.5,20.75,20.5,20.625,1.469559,7500
1972-07-21,20.625,20.875,20.5,20.875,1.487372,5500
1972-07-24,20.875,21.0,20.625,20.875,1.487372,12600
1972-07-25,20.875,21.125,20.5,20.75,1.478466,67600
1972-07-26,20.75,21.0,20.625,20.625,1.469559,13800
1972-07-27,20.625,20.75,20.375,20.375,1.451746,9900
1972-07-28,20.625,20.75,20.625,20.625,1.469559,14300
1972-07-31,20.625,20.625,20.25,20.375,1.451746,2800
1972-08-01,20.375,20.375,20.25,20.375,1.451746,9000
1972-08-02,20.375,20.75,20.25,20.25,1.442841,32100
1972-08-03,20.25,20.375,20.0,20.0,1.425028,10700
1972-08-04,20.0,20.125,20.0,20.0,1.425028,10500
1972-08-07,20.0,20.125,19.625,19.625,1.398309,87100
1972-08-08,19.625,19.75,19.5,19.75,1.407215,40600
1972-08-09,19.75,19.875,19.5,19.625,1.398309,17100
1972-08-10,19.625,19.75,19.375,19.625,1.398309,17200
1972-08-11,19.625,19.875,19.625,19.75,1.407215,19600
1972-08-14,19.75,19.875,19.625,19.875,1.416122,11200
1972-08-15,19.875,20.0,19.875,19.875,1.416122,25100
1972-08-16,19.875,20.0,19.875,20.0,1.425028,37800
1972-08-17,20.0,20.25,20.0,20.125,1.433934,17500
1972-08-18,20.125,20.875,20.125,20.75,1.478466,51800
1972-08-21,21.0,21.375,21.0,21.25,1.514092,12800
1972-08-22,21.375,21.875,21.375,21.625,1.540811,40400
1972-08-23,21.75,22.0,21.75,21.75,1.549717,17600
1972-08-24,21.875,22.75,21.875,22.5,1.603156,64400
1972-08-25,22.5,22.75,22.25,22.375,1.594249,18500
1972-08-28,22.375,22.625,22.25,22.5,1.603156,28300
1972-08-29,22.5,22.5,22.375,22.5,1.603156,7700
1972-08-30,22.625,22.875,22.625,22.75,1.620969,19500
1972-08-31,22.75,22.75,22.375,22.375,1.594249,12100
1972-09-01,22.375,22.5,22.125,22.375,1.594249,6600
1972-09-05,22.375,22.375,22.0,22.0,1.567531,19800
1972-09-06,22.0,22.375,22.0,22.125,1.576436,8200
1972-09-07,22.125,22.125,22.0,22.0,1.567531,12700
1972-09-08,22.0,22.0,21.75,22.0,1.586643,9400
1972-09-11,22.0,22.0,21.5,21.5,1.550582,19600
1972-09-12,21.5,22.0,21.5,21.875,1.577626,15900
1972-09-13,21.875,22.125,21.875,22.0,1.586643,32500
1972-09-14,22.0,22.25,22.0,22.125,1.595657,3600
1972-09-15,22.125,22.25,22.0,22.25,1.604673,6400
1972-09-18,22.25,22.25,22.125,22.125,1.595657,13000
1972-09-19,22.125,22.25,21.875,21.875,1.577626,8100
1972-09-20,21.875,22.125,21.875,22.0,1.586643,2400
1972-09-21,22.0,22.125,21.625,21.625,1.559598,8600
1972-09-22,21.625,21.875,21.5,21.5,1.550582,10200
1972-09-25,21.5,21.625,21.375,21.5,1.550582,11800
1972-09-26,21.5,21.625,21.25,21.375,1.541567,122300
1972-09-27,21.375,22.0,21.375,21.875,1.577626,9600
1972-09-28,21.875,22.125,21.875,22.0,1.586643,8700
1972-09-29,22.125,22.5,22.125,22.125,1.595657,22700
1972-10-02,22.125,22.25,21.875,21.875,1.577626,6700
1972-10-03,22.0,22.25,22.0,22.0,1.586643,17800
1972-10-04,22.125,22.375,22.125,22.375,1.613687,25800
1972-10-05,22.375,22.5,22.125,22.125,1.595657,15500
1972-10-06,22.125,22.625,22.125,22.5,1.622703,22300
1972-10-09,22.625,22.875,22.625,22.75,1.640732,6900
1972-10-10,22.75,22.875,22.625,22.75,1.640732,5400
1972-10-11,22.75,22.75,22.625,22.625,1.631717,2900
1972-10-12,22.625,22.875,22.5,22.75,1.640732,11900
1972-10-13,22.75,22.75,22.5,22.625,1.631717,10200
1972-10-16,22.625,23.0,22.5,22.75,1.640732,60700
1972-10-17,22.75,23.0,22.75,22.75,1.640732,32600
1972-10-18,22.875,23.125,22.875,23.0,1.658763,27800
1972-10-19,23.0,23.375,23.0,23.25,1.676793,11400
1972-10-20,23.25,23.375,23.25,23.25,1.676793,6000
1972-10-23,23.375,23.75,23.375,23.75,1.712853,10300
1972-10-24,23.75,23.75,23.5,23.75,1.712853,11200
1972-10-25,23.75,23.875,23.625,23.625,1.703837,11800
1972-10-26,23.625,24.375,23.5,24.0,1.730882,37200
1972-10-27,24.0,24.75,24.0,24.75,1.784972,17700
1972-10-30,24.75,24.75,24.5,24.75,1.784972,17300
1972-10-31,24.75,25.125,24.625,25.125,1.812017,35000
1972-11-01,25.25,25.625,25.25,25.5,1.839062,27700
1972-11-02,25.5,25.625,25.125,25.125,1.812017,36700
1972-11-03,25.125,26.375,25.0,26.25,1.893152,44700
1972-11-06,26.375,26.625,26.375,26.375,1.902168,36000
1972-11-08,26.375,26.5,26.125,26.5,1.911184,17800
1972-11-09,26.5,27.0,26.5,27.0,1.947243,28800
1972-11-10,27.0,27.125,26.875,27.0,1.947243,31900
1972-11-13,27.0,27.125,27.0,27.0,1.947243,29900
1972-11-14,27.0,27.0,26.75,26.875,1.938227,8000
1972-11-15,26.875,27.25,26.875,26.875,1.938227,28500
1972-11-16,26.875,27.25,26.75,26.75,1.929213,10800
