Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,7.0,7.0,6.875,6.875,0.574956,83600
1980-01-03,6.875,7.0625,6.875,7.0,0.58541,93400
1980-01-04,7.0,7.25,7.0,7.25,0.606318,60000
1980-01-07,7.25,7.25,7.125,7.1875,0.601091,52600
1980-01-08,7.1875,7.25,7.125,7.25,0.606318,33400
1980-01-09,7.25,7.375,7.25,7.3125,0.611545,54400
1980-01-10,7.3125,7.375,7.3125,7.375,0.616771,41400
1980-01-11,7.375,7.375,7.3125,7.375,0.616771,45200
1980-01-14,7.375,7.4375,7.3125,7.3125,0.611545,67600
1980-01-15,7.3125,7.4375,7.125,7.375,0.616771,34800
1980-01-16,7.375,7.375,7.3125,7.3125,0.611545,39000
1980-01-17,7.3125,7.5,7.25,7.25,0.606318,50200
1980-01-18,7.25,7.3125,6.8125,7.1875,0.601091,49800
1980-01-21,7.125,7.125,7.0,7.0625,0.590637,103600
1980-01-22,7.0625,7.125,7.0,7.0,0.58541,77600
1980-01-23,7.0,7.125,7.0,7.0625,0.590637,41200
1980-01-24,7.0625,7.4375,7.0,7.0,0.58541,119800
1980-01-25,7.0,7.0625,6.9375,7.0,0.58541,121400
1980-01-28,7.0,7.0625,6.9375,6.9375,0.580183,166600
1980-01-29,6.9375,7.0,6.9375,7.0,0.58541,61800
1980-01-30,7.0,7.0625,6.9375,7.0625,0.590637,45200
1980-01-31,7.0625,7.125,7.0,7.0,0.58541,66000
1980-02-01,7.0,7.1875,7.0,7.1875,0.601091,54000
1980-02-04,7.1875,7.1875,7.0625,7.0625,0.590637,80400
1980-02-05,7.0625,7.125,7.0,7.0625,0.590637,34000
1980-02-06,7.0625,7.125,7.0625,7.125,0.595864,42000
1980-02-07,7.125,7.125,7.0,7.0,0.58541,76400
1980-02-08,7.0,7.125,7.0,7.0,0.58541,66000
1980-02-11,7.0,7.0625,7.0,7.0,0.58541,57800
1980-02-12,7.0,7.0625,7.0,7.0,0.58541,56000
1980-02-13,7.0625,7.125,7.0625,7.0625,0.590637,61800
1980-02-14,7.0625,7.125,7.0625,7.125,0.595864,76000
1980-02-15,6.875,6.875,6.75,6.8125,0.588308,100600
1980-02-19,6.8125,6.875,6.75,6.8125,0.588308,94800
1980-02-20,6.8125,6.8125,6.5625,6.625,0.572116,146000
1980-02-21,6.625,6.75,6.625,6.6875,0.577513,60800
1980-02-22,6.6875,6.6875,6.625,6.6875,0.577513,51600
1980-02-25,6.6875,6.6875,6.4375,6.4375,0.555924,171000
1980-02-26,6.4375,6.5,6.4375,6.4375,0.555924,68000
1980-02-27,6.4375,6.4375,6.3125,6.3125,0.545129,121400
1980-02-28,6.3125,6.375,6.3125,6.375,0.550526,57600
1980-02-29,6.375,6.5,6.3125,6.5,0.561321,63200
1980-03-03,6.5,6.5625,6.375,6.5,0.561321,100000
1980-03-04,6.5,6.5,6.3125,6.375,0.550526,91200
1980-03-05,6.375,6.4375,6.25,6.3125,0.545129,218200
1980-03-06,6.3125,6.3125,6.0625,6.125,0.528937,106600
1980-03-07,6.125,6.3125,6.0625,6.25,0.539732,91400
1980-03-10,6.25,6.375,6.1875,6.25,0.539732,88600
1980-03-11,6.25,6.375,6.1875,6.25,0.539732,198200
1980-03-12,6.25,6.25,6.0625,6.1875,0.534334,195600
1980-03-13,6.1875,6.25,6.125,6.1875,0.534334,55000
1980-03-14,6.1875,6.25,6.125,6.25,0.539732,68600
1980-03-17,6.25,6.375,6.125,6.125,0.528937,68800
1980-03-18,6.125,6.375,6.125,6.3125,0.545129,104400
1980-03-19,6.3125,6.3125,6.25,6.25,0.539732,57200
1980-03-20,6.25,6.3125,6.125,6.1875,0.534334,57200
1980-03-21,6.1875,6.3125,6.1875,6.25,0.539732,49400
1980-03-24,6.1875,6.1875,6.0,6.0,0.518143,145200
1980-03-25,6.0,6.125,5.9375,6.0625,0.52354,107800
1980-03-26,6.0625,6.0625,6.0,6.0,0.518143,103200
1980-03-27,6.0,6.0625,6.0,6.0625,0.52354,84800
1980-03-28,6.0625,6.0625,6.0,6.0625,0.52354,78000
1980-03-31,6.0625,6.125,6.0,6.125,0.528937,97000
1980-04-01,6.125,6.25,6.125,6.1875,0.534334,83400
1980-04-02,6.3125,6.5,6.3125,6.375,0.550526,105600
1980-04-03,6.375,6.875,6.3125,6.5,0.561321,73800
1980-04-07,6.5,6.5625,6.375,6.5,0.561321,97200
1980-04-08,6.5,6.5,6.4375,6.5,0.561321,67000
1980-04-09,6.5,6.5625,6.4375,6.5,0.561321,91400
1980-04-10,6.5625,6.75,6.5625,6.75,0.58291,80000
1980-04-11,6.75,6.875,6.75,6.875,0.593705,69600
1980-04-14,6.875,6.875,6.75,6.8125,0.588308,78400
1980-04-15,6.8125,6.875,6.75,6.875,0.593705,48200
1980-04-16,6.875,7.0625,6.875,7.0,0.6045,62000
1980-04-17,7.0,7.1875,7.0,7.125,0.615294,106000
1980-04-18,7.125,7.125,7.0,7.125,0.615294,104400
1980-04-21,7.0625,7.0625,7.0,7.0625,0.609897,61800
1980-04-22,7.0625,7.0625,6.9375,6.9375,0.599102,57800
1980-04-23,6.9375,7.0,6.875,6.9375,0.599102,81400
1980-04-24,6.9375,7.0625,6.875,6.9375,0.599102,145400
1980-04-25,6.9375,7.0625,6.9375,7.0,0.6045,57800
1980-04-28,7.0,7.0625,6.9375,7.0,0.6045,82000
1980-04-29,7.0,7.0,6.9375,7.0,0.6045,48200
1980-04-30,7.0,7.0625,6.9375,7.0625,0.609897,47800
1980-05-01,7.0625,7.0625,6.9375,7.0,0.6045,38600
1980-05-02,7.0,7.0,6.9375,7.0,0.6045,29600
1980-05-05,7.0,7.125,6.9375,7.125,0.615294,96000
1980-05-06,7.1875,7.375,7.1875,7.375,0.636884,171400
1980-05-07,7.375,7.5625,7.375,7.5625,0.653075,76000
1980-05-08,7.5625,7.6875,7.5,7.625,0.658473,105200
1980-05-09,7.625,7.625,7.4375,7.5,0.647678,40600
1980-05-12,7.5625,7.625,7.5625,7.625,0.658473,27400
1980-05-13,7.625,7.75,7.5625,7.6875,0.66387,106600
1980-05-14,7.6875,7.8125,7.6875,7.8125,0.674664,57200
1980-05-15,7.8125,7.875,7.6875,7.75,0.669267,171800
1980-05-16,7.75,7.8125,7.75,7.8125,0.674664,41800
1980-05-19,7.8125,7.8125,7.5625,7.5625,0.653075,53600
1980-05-20,7.5625,7.6875,7.5625,7.625,0.658473,90800
1980-05-21,7.3125,7.3125,7.1875,7.3125,0.650687,132000
1980-05-22,7.3125,7.375,7.25,7.3125,0.650687,68000
1980-05-23,7.3125,7.4375,7.3125,7.375,0.656249,181200
1980-05-27,7.375,7.4375,7.25,7.3125,0.650687,64400
