Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,2.149165,2.173495,2.149165,2.15322,0.322472,1089200
1972-06-02,2.15322,2.173495,2.141055,2.149165,0.321864,1173500
1972-06-05,2.149165,2.16944,2.141055,2.149165,0.321864,5208100
1972-06-06,2.149165,2.157275,2.116725,2.124835,0.318221,1421400
1972-06-07,2.124835,2.137,2.112669,2.112669,0.316399,671800
1972-06-08,2.112669,2.12889,2.096449,2.096449,0.31397,1036600
1972-06-09,2.096449,2.100504,2.043734,2.084284,0.312148,6589200
1972-06-12,2.084284,2.108614,2.068064,2.084284,0.312148,1430100
1972-06-13,2.084284,2.104559,2.084284,2.100504,0.314577,931400
1972-06-14,2.108614,2.15322,2.108614,2.132945,0.319435,2939300
1972-06-15,2.132945,2.15322,2.12078,2.124835,0.318221,1460700
1972-06-16,2.124835,2.132945,2.100504,2.132945,0.319435,750400
1972-06-19,2.132945,2.14511,2.112669,2.12078,0.317613,529300
1972-06-20,2.12078,2.141055,2.12078,2.12889,0.318828,894100
1972-06-21,2.12889,2.132945,2.108614,2.108614,0.315792,1608800
1972-06-22,2.104559,2.104559,2.076174,2.096449,0.31397,1282200
1972-06-23,2.092394,2.092394,2.072119,2.092394,0.313363,1273300
1972-06-26,2.092394,2.092394,2.076174,2.084284,0.312148,621300
1972-06-27,2.084284,2.100504,2.084284,2.100504,0.314577,877700
1972-06-28,2.100504,2.112669,2.092394,2.096449,0.31397,904100
1972-06-29,2.096449,2.104559,2.088339,2.088339,0.312755,448000
1972-06-30,2.076174,2.076174,2.051844,2.072119,0.310326,825100
1972-07-03,2.072119,2.072119,2.051844,2.064009,0.309112,438200
1972-07-05,2.064009,2.068064,2.031569,2.051844,0.30729,1395000
1972-07-06,2.059954,2.096449,2.059954,2.076174,0.310933,1173500
1972-07-07,2.076174,2.088339,2.051844,2.068064,0.309719,1351100
1972-07-10,2.068064,2.072119,2.043734,2.043734,0.306075,523700
1972-07-11,2.043734,2.059954,2.031569,2.031569,0.304253,546600
1972-07-12,2.031569,2.059954,2.015349,2.015349,0.301824,1801800
1972-07-13,2.015349,2.019404,1.991019,2.015349,0.301824,680300
1972-07-14,2.015349,2.027514,2.007239,2.011294,0.301217,941200
1972-07-17,2.011294,2.027514,2.003184,2.011294,0.301217,583000
1972-07-18,2.011294,2.035624,1.978854,2.031569,0.304253,1338000
1972-07-19,2.031569,2.076174,2.027514,2.043734,0.306075,1707400
1972-07-20,2.043734,2.051844,2.015349,2.015349,0.301824,492900
1972-07-21,2.015349,2.051844,2.015349,2.043734,0.306075,602500
1972-07-24,2.059954,2.112669,2.059954,2.100504,0.314577,1456400
1972-07-25,2.100504,2.104559,2.084284,2.092394,0.316664,1552900
1972-07-26,2.092394,2.092394,2.080229,2.084284,0.315437,430500
1972-07-27,2.084284,2.088339,2.076174,2.076174,0.314209,1109000
1972-07-28,2.084284,2.112669,2.084284,2.096449,0.317278,1814900
1972-07-31,2.096449,2.112669,2.088339,2.096449,0.317278,1259200
1972-08-01,2.096449,2.100504,2.076174,2.096449,0.317278,1424700
1972-08-02,2.096449,2.124835,2.096449,2.124835,0.321573,2140400
1972-08-03,2.137,2.181605,2.137,2.16133,0.327097,4331200
1972-08-04,2.16133,2.16944,2.16133,2.16944,0.328324,1188000
1972-08-07,2.16944,2.181605,2.16944,2.173495,0.328938,1929800
1972-08-08,2.173495,2.173495,2.157275,2.165385,0.327711,948000
1972-08-09,2.165385,2.16944,2.12078,2.132945,0.322801,2822000
1972-08-10,2.132945,2.137,2.12078,2.137,0.323415,1203200
1972-08-11,2.141055,2.157275,2.141055,2.15322,0.325869,1283300
1972-08-14,2.16133,2.17755,2.16133,2.165385,0.327711,1888200
1972-08-15,2.165385,2.16944,2.132945,2.149165,0.325256,1125400
1972-08-16,2.141055,2.141055,2.092394,2.092394,0.316664,1138700
1972-08-17,2.092394,2.12889,2.092394,2.12889,0.322187,2131700
1972-08-18,2.12889,2.137,2.124835,2.12889,0.322187,973000
1972-08-21,2.12889,2.137,2.112669,2.137,0.323415,1006000
1972-08-22,2.15322,2.17755,2.15322,2.16944,0.328324,1703000
1972-08-23,2.173495,2.258651,2.173495,2.254596,0.341212,3170600
1972-08-24,2.254596,2.254596,2.2181,2.222155,0.336302,2447200
1972-08-25,2.222155,2.22621,2.19377,2.19377,0.332006,1584700
1972-08-28,2.19377,2.214045,2.19377,2.19377,0.332006,583000
1972-08-29,2.189715,2.189715,2.12889,2.157275,0.326483,1954100
1972-08-30,2.157275,2.157275,2.141055,2.141055,0.324028,904100
1972-08-31,2.141055,2.18566,2.141055,2.18566,0.330779,780200
1972-09-01,2.18566,2.20188,2.181605,2.18566,0.330779,694700
1972-09-05,2.18566,2.19377,2.157275,2.157275,0.326483,388900
1972-09-06,2.157275,2.157275,2.12889,2.141055,0.324028,660600
1972-09-07,2.14511,2.16944,2.14511,2.149165,0.325256,739600
1972-09-08,2.149165,2.16133,2.141055,2.14511,0.324642,740700
1972-09-11,2.14511,2.14511,2.137,2.141055,0.324028,573000
1972-09-12,2.141055,2.141055,2.112669,2.116725,0.320346,1232900
1972-09-13,2.116725,2.12889,2.100504,2.12889,0.322187,775800
1972-09-14,2.12889,2.141055,2.116725,2.124835,0.321573,484200
1972-09-15,2.124835,2.137,2.12078,2.12889,0.322187,494200
1972-09-18,2.124835,2.124835,2.112669,2.124835,0.321573,296800
1972-09-19,2.124835,2.12889,2.112669,2.116725,0.320346,852500
1972-09-20,2.116725,2.12078,2.088339,2.100504,0.317891,1643800
1972-09-21,2.092394,2.092394,2.047789,2.051844,0.310527,1592200
1972-09-22,2.051844,2.068064,2.043734,2.068064,0.312982,828400
1972-09-25,2.068064,2.084284,2.059954,2.072119,0.313596,671800
1972-09-26,2.072119,2.092394,2.068064,2.084284,0.315437,632300
1972-09-27,2.084284,2.12078,2.084284,2.116725,0.320346,1962800
1972-09-28,2.116725,2.14511,2.100504,2.14511,0.324642,2102000
1972-09-29,2.157275,2.173495,2.157275,2.16133,0.327097,1617500
1972-10-02,2.16133,2.173495,2.157275,2.165385,0.327711,710100
1972-10-03,2.165385,2.165385,2.12889,2.132945,0.322801,832800
1972-10-04,2.132945,2.149165,2.12889,2.12889,0.322187,793300
1972-10-05,2.12889,2.12889,2.108614,2.116725,0.320346,647500
1972-10-06,2.116725,2.12078,2.080229,2.116725,0.320346,1101300
1972-10-09,2.116725,2.132945,2.112669,2.124835,0.321573,670500
1972-10-10,2.132945,2.15322,2.132945,2.141055,0.324028,842600
1972-10-11,2.137,2.137,2.12078,2.137,0.323415,394300
1972-10-12,2.12889,2.12889,2.12078,2.12078,0.32096,401000
1972-10-13,2.12078,2.124835,2.076174,2.088339,0.31605,2529400
1972-10-16,2.084284,2.084284,2.068064,2.076174,0.314209,375600
1972-10-17,2.076174,2.076174,2.059954,2.068064,0.312982,1691000
1972-10-18,2.068064,2.096449,2.068064,2.076174,0.314209,598200
1972-10-19,2.076174,2.076174,2.059954,2.064009,0.312368,1207600
1972-10-20,2.068064,2.104559,2.068064,2.100504,0.317891,1795000
1972-10-23,2.100504,2.116725,2.100504,2.104559,0.318505,2506500
1972-10-24,2.108614,2.137,2.108614,2.137,0.323415,1209700
1972-10-25,2.132945,2.132945,2.116725,2.124835,0.324903,1071600
1972-10-26,2.124835,2.132945,2.12078,2.12889,0.325523,1355500
1972-10-27,2.12889,2.149165,2.124835,2.149165,0.328624,1653500
1972-10-30,2.149165,2.15322,2.137,2.141055,0.327384,1351100
1972-10-31,2.14511,2.157275,2.14511,2.149165,0.328624,1564900
1972-11-01,2.16133,2.205935,2.16133,2.197825,0.336064,2307900
1972-11-02,2.2181,2.262706,2.2181,2.258651,0.345365,4606400
1972-11-03,2.274871,2.335696,2.274871,2.335696,0.357145,6264700
1972-11-06,2.339751,2.384356,2.339751,2.360026,0.360866,3689100
1972-11-08,2.360026,2.396522,2.347861,2.347861,0.359006,4449800
1972-11-09,2.347861,2.396522,2.319476,2.396522,0.366446,3305400
1972-11-10,2.396522,2.445182,2.396522,2.428962,0.371406,8325300
1972-11-13,2.428962,2.441127,2.404632,2.404632,0.367686,3111400
1972-11-14,2.404632,2.445182,2.384356,2.445182,0.373887,2515200
1972-11-15,2.445182,2.461402,2.424907,2.428962,0.371406,2692700
1972-11-16,2.428962,2.465457,2.404632,2.465457,0.376987,2861500
1972-11-17,2.465457,2.526283,2.465457,2.526283,0.386288,7293900
1972-11-20,2.526283,2.538448,2.506007,2.534393,0.387528,4951700
1972-11-21,2.534393,2.558723,2.530338,2.554668,0.390628,2926000
1972-11-22,2.554668,2.554668,2.530338,2.538448,0.388148,2288300
1972-11-24,2.538448,2.538448,2.493842,2.514117,0.384428,2091100
1972-11-27,2.501952,2.501952,2.445182,2.473567,0.378227,3098200
1972-11-28,2.473567,2.473567,2.420852,2.433017,0.372026,1631700
1972-11-29,2.433017,2.437072,2.388412,2.416797,0.369546,3353500
1972-11-30,2.416797,2.449237,2.412742,2.445182,0.373887,1177900
1972-12-01,2.445182,2.461402,2.441127,2.457347,0.375747,1671200
1972-12-04,2.465457,2.493842,2.465457,2.469512,0.377607,1663700
1972-12-05,2.469512,2.522228,2.465457,2.522228,0.385667,3629900
1972-12-06,2.522228,2.530338,2.510062,2.526283,0.386288,2318000
1972-12-07,2.526283,2.546558,2.506007,2.542503,0.388768,2910800
1972-12-08,2.534393,2.534393,2.510062,2.514117,0.384428,2003400
1972-12-11,2.514117,2.542503,2.510062,2.538448,0.388148,2643400
1972-12-12,2.538448,2.538448,2.510062,2.518172,0.385047,3902800
1972-12-13,2.518172,2.522228,2.501952,2.514117,0.384428,1959500
1972-12-14,2.514117,2.526283,2.506007,2.522228,0.385667,2407700
1972-12-15,2.522228,2.522228,2.481677,2.481677,0.379467,1874000
1972-12-18,2.449237,2.449237,2.392467,2.396522,0.366446,2664200
1972-12-19,2.396522,2.437072,2.388412,2.412742,0.368926,1199900
1972-12-20,2.412742,2.428962,2.404632,2.404632,0.367686,1065100
1972-12-21,2.404632,2.428962,2.400577,2.404632,0.367686,2416600
1972-12-22,2.408687,2.449237,2.408687,2.449237,0.374507,1515600
1972-12-26,2.457347,2.506007,2.457347,2.506007,0.383187,1963800
1972-12-27,2.506007,2.562778,2.501952,2.562778,0.391868,2614900
1972-12-29,2.570888,2.591163,2.570888,2.583053,0.394968,2703700
1973-01-02,2.583053,2.587108,2.550613,2.562778,0.391868,1781900
1973-01-03,2.562778,2.562778,2.510062,2.534393,0.387528,1924300
1973-01-04,2.534393,2.603328,2.518172,2.599273,0.397448,4024400
1973-01-05,2.599273,2.611438,2.570888,2.599273,0.397448,4133000
1973-01-08,2.599273,2.615493,2.578998,2.615493,0.399929,5103900
1973-01-09,2.611438,2.611438,2.583053,2.595218,0.396828,1959500
1973-01-10,2.595218,2.595218,2.570888,2.574943,0.393728,1199900
1973-01-11,2.574943,2.672263,2.570888,2.611438,0.399309,6539900
1973-01-12,2.611438,2.627658,2.546558,2.550613,0.390008,4479100
1973-01-15,2.550613,2.603328,2.534393,2.542503,0.388768,3259200
1973-01-16,2.542503,2.546558,2.497897,2.518172,0.385047,2322400
1973-01-17,2.518172,2.542503,2.510062,2.526283,0.386288,1252500
1973-01-18,2.526283,2.526283,2.481677,2.481677,0.379467,2058100
1973-01-19,2.481677,2.485732,2.441127,2.473567,0.378227,3058700
1973-01-22,2.473567,2.481677,2.445182,2.449237,0.374507,1559300
1973-01-23,2.428962,2.428962,2.388412,2.428962,0.374883,2805600
1973-01-24,2.428962,2.441127,2.396522,2.412742,0.372379,3886300
1973-01-26,2.412742,2.412742,2.384356,2.412742,0.372379,2248800
1973-01-29,2.412742,2.420852,2.392467,2.404632,0.371127,2085500
1973-01-30,2.404632,2.437072,2.400577,2.404632,0.371127,4044200
1973-01-31,2.404632,2.420852,2.396522,2.408687,0.371753,992900
1973-02-01,2.408687,2.416797,2.262706,2.287036,0.352978,3182700
1973-02-02,2.287036,2.319476,2.282981,2.287036,0.352978,4073700
1973-02-05,2.287036,2.307311,2.262706,2.270816,0.350475,2521700
1973-02-06,2.270816,2.282981,2.262706,2.262706,0.349223,2137100
1973-02-07,2.262706,2.295146,2.25054,2.25054,0.347345,2762900
1973-02-08,2.246485,2.246485,2.197825,2.24243,0.346094,4469300
1973-02-09,2.246485,2.278926,2.246485,2.270816,0.350475,4524200
1973-02-12,2.270816,2.287036,2.270816,2.270816,0.350475,963200
1973-02-13,2.303256,2.384356,2.303256,2.311366,0.356733,9370900
1973-02-14,2.299201,2.299201,2.254596,2.254596,0.347971,2624800
1973-02-15,2.254596,2.254596,2.214045,2.2181,0.342339,1795000
1973-02-16,2.254596,2.274871,2.254596,2.266761,0.349849,2038500
1973-02-20,2.266761,2.287036,2.262706,2.278926,0.351726,1469600
