Date,Open,High,Low,Close,Adj Close,Volume
1993-04-08,6.427363,6.427363,6.234542,6.330953,2.174326,20203700
1993-04-12,6.36309,6.491637,6.36309,6.4595,2.218475,2742900
1993-04-13,6.523774,6.684458,6.491637,6.588047,2.262624,2791500
1993-04-14,6.55591,6.620184,6.55591,6.620184,2.27366,1518400
1993-04-15,6.55591,6.620184,6.523774,6.523774,2.240549,1077700
1993-04-16,6.491637,6.523774,6.427363,6.4595,2.218475,952100
1993-04-19,6.4595,6.523774,6.427363,6.491637,2.229512,1254300
1993-04-20,6.4595,6.491637,6.4595,6.4595,2.218475,627600
1993-04-21,6.4595,6.55591,6.427363,6.55591,2.251586,875800
1993-04-22,6.523774,6.55591,6.4595,6.523774,2.240549,594200
1993-04-23,6.55591,6.55591,6.4595,6.523774,2.240549,1193300
1993-04-26,6.491637,6.491637,6.330953,6.330953,2.174326,1289700
1993-04-27,6.266679,6.298816,6.170269,6.170269,2.11914,1207600
1993-04-28,6.170269,6.395226,6.170269,6.395226,2.196401,325800
1993-04-29,6.36309,6.395226,6.266679,6.298816,2.163288,278800
1993-04-30,6.298816,6.330953,6.266679,6.266679,2.152251,300500
1993-05-03,6.266679,6.266679,6.170269,6.266679,2.152251,944300
1993-05-04,6.234542,6.330953,6.234542,6.298816,2.163288,320800
1993-05-05,6.298816,6.36309,6.234542,6.36309,2.185364,427400
1993-05-06,6.36309,6.36309,6.266679,6.266679,2.152251,276000
1993-05-07,6.298816,6.298816,6.202405,6.234542,2.141215,218500
1993-05-10,6.266679,6.330953,6.202405,6.330953,2.174326,387000
1993-05-11,6.266679,6.298816,6.202405,6.234542,2.141215,692700
1993-05-12,6.202405,6.266679,6.170269,6.170269,2.11914,340700
1993-05-13,6.202405,6.202405,6.202405,6.202405,2.130177,416500
1993-05-14,6.202405,6.202405,6.138132,6.138132,2.108103,1311500
1993-05-17,6.170269,6.266679,6.170269,6.234542,2.141215,478700
1993-05-18,6.234542,6.298816,6.234542,6.234542,2.141215,530400
1993-05-19,6.202405,6.202405,6.170269,6.170269,2.11914,939200
