Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.058953,1.110609,1.058953,1.06541,0.378721,557200
1980-03-18,1.06541,1.084781,1.058953,1.084781,0.385607,660000
1980-03-19,1.084781,1.110609,1.078324,1.091238,0.387902,1167200
1980-03-20,1.091238,1.097695,1.071867,1.097695,0.390197,785600
1980-03-21,1.084781,1.084781,1.06541,1.078324,0.383311,338400
1980-03-24,1.078324,1.097695,1.071867,1.091238,0.387902,1080000
1980-03-25,1.084781,1.084781,1.071867,1.078324,0.383311,524400
1980-03-26,1.084781,1.104152,1.084781,1.104152,0.392493,694800
1980-03-27,1.097695,1.097695,1.058953,1.078324,0.383311,967600
1980-03-28,1.078324,1.162266,1.078324,1.155809,0.410855,1322000
1980-03-31,1.155809,1.181637,1.136438,1.168723,0.415445,853600
1980-04-01,1.168723,1.207465,1.168723,1.207465,0.429217,253200
1980-04-02,1.207465,1.259121,1.188094,1.23975,0.440693,704400
1980-04-03,1.23975,1.246207,1.213922,1.233293,0.438398,1236800
1980-04-07,1.233293,1.246207,1.188094,1.233293,0.438398,2619200
1980-04-08,1.233293,1.278492,1.226836,1.272035,0.45217,1534800
1980-04-09,1.272035,1.291406,1.265578,1.284949,0.45676,423600
1980-04-10,1.284949,1.291406,1.284949,1.291406,0.459056,360000
1980-04-11,1.291406,1.291406,1.278492,1.278492,0.454465,512800
1980-04-14,1.272035,1.272035,1.226836,1.226836,0.436103,1008400
1980-04-15,1.226836,1.233293,1.207465,1.220379,0.433807,828400
1980-04-16,1.220379,1.220379,1.201008,1.213922,0.431512,506800
1980-04-17,1.207465,1.207465,1.17518,1.201008,0.426922,611600
1980-04-18,1.207465,1.213922,1.207465,1.207465,0.429217,272800
1980-04-21,1.207465,1.213922,1.207465,1.207465,0.429217,86800
1980-04-22,1.207465,1.233293,1.207465,1.226836,0.436103,2140800
1980-04-23,1.226836,1.246207,1.213922,1.213922,0.431512,1654800
1980-04-24,1.213922,1.213922,1.181637,1.181637,0.420036,2061600
1980-04-25,1.168723,1.168723,1.149352,1.155809,0.410855,536000
1980-04-28,1.155809,1.17518,1.155809,1.17518,0.41774,1380000
1980-04-29,1.17518,1.213922,1.17518,1.201008,0.426922,1146000
1980-04-30,1.201008,1.220379,1.194551,1.220379,0.433807,596000
1980-05-01,1.220379,1.23975,1.207465,1.207465,0.429217,4624800
1980-05-02,1.207465,1.220379,1.188094,1.201008,0.426922,724000
1980-05-05,1.201008,1.226836,1.201008,1.226836,0.436103,392800
1980-05-06,1.233293,1.259121,1.233293,1.252664,0.445284,4431200
1980-05-07,1.252664,1.310777,1.23975,1.291406,0.459056,4998400
1980-05-08,1.291406,1.310777,1.291406,1.291406,0.459056,634800
1980-05-09,1.297863,1.297863,1.297863,1.297863,0.46135,274800
1980-05-12,1.297863,1.310777,1.291406,1.310777,0.465941,180000
1980-05-13,1.310777,1.330148,1.310777,1.330148,0.472827,944400
1980-05-14,1.343063,1.401176,1.343063,1.388262,0.493484,1409200
1980-05-15,1.388262,1.401176,1.388262,1.401176,0.498075,332800
1980-05-16,1.407633,1.420547,1.407633,1.41409,0.502666,1144000
1980-05-19,1.41409,1.41409,1.394719,1.407633,0.50037,354000
1980-05-20,1.394719,1.394719,1.375348,1.381805,0.491189,222400
1980-05-21,1.381805,1.381805,1.355977,1.362434,0.484303,737200
1980-05-22,1.368891,1.420547,1.368891,1.41409,0.502666,1016000
1980-05-23,1.433461,1.459289,1.433461,1.439918,0.511847,1186400
1980-05-27,1.439918,1.439918,1.427004,1.433461,0.509552,1356800
1980-05-28,1.433461,1.433461,1.420547,1.427004,0.507256,505200
1980-05-29,1.427004,1.459289,1.420547,1.420547,0.504961,6173200
1980-05-30,1.420547,1.439918,1.394719,1.439918,0.511847,785600
1980-06-02,1.439918,1.459289,1.439918,1.452832,0.516438,611600
1980-06-03,1.452832,1.459289,1.433461,1.439918,0.511847,938800
1980-06-04,1.439918,1.459289,1.433461,1.439918,0.511847,990800
1980-06-05,1.439918,1.452832,1.439918,1.446375,0.514142,795600
1980-06-06,1.433461,1.433461,1.394719,1.394719,0.49578,861200
1980-06-09,1.394719,1.41409,1.394719,1.407633,0.50037,754800
1980-06-10,1.407633,1.41409,1.375348,1.381805,0.491189,766400
1980-06-11,1.381805,1.388262,1.368891,1.368891,0.486599,1573600
1980-06-12,1.368891,1.381805,1.355977,1.355977,0.482008,1091600
1980-06-13,1.355977,1.368891,1.343063,1.362434,0.484303,1058800
1980-06-16,1.362434,1.388262,1.355977,1.381805,0.491189,586400
1980-06-17,1.381805,1.420547,1.375348,1.420547,0.504961,305600
1980-06-18,1.420547,1.439918,1.420547,1.427004,0.507256,1436400
1980-06-19,1.427004,1.433461,1.407633,1.407633,0.50037,656000
1980-06-20,1.407633,1.407633,1.381805,1.381805,0.491189,362000
1980-06-23,1.381805,1.394719,1.368891,1.375348,0.488894,427600
1980-06-24,1.394719,1.439918,1.394719,1.439918,0.511847,1031600
1980-06-25,1.439918,1.452832,1.433461,1.452832,0.516438,1273600
1980-06-26,1.452832,1.459289,1.427004,1.427004,0.507256,1093600
1980-06-27,1.427004,1.433461,1.407633,1.427004,0.507256,2301600
1980-06-30,1.427004,1.427004,1.407633,1.420547,0.504961,561200
1980-07-01,1.420547,1.420547,1.401176,1.407633,0.50037,1448000
1980-07-02,1.407633,1.420547,1.401176,1.41409,0.502666,506800
1980-07-03,1.401176,1.401176,1.388262,1.401176,0.498075,729600
1980-07-07,1.401176,1.427004,1.394719,1.420547,0.504961,446800
1980-07-08,1.420547,1.439918,1.375348,1.375348,0.488894,1606400
1980-07-09,1.375348,1.407633,1.368891,1.388262,0.493484,1161200
1980-07-10,1.388262,1.388262,1.362434,1.362434,0.484303,664000
1980-07-11,1.362434,1.381805,1.362434,1.381805,0.491189,476000
1980-07-14,1.394719,1.407633,1.394719,1.394719,0.49578,917600
1980-07-15,1.394719,1.401176,1.375348,1.388262,0.493484,567200
1980-07-16,1.381805,1.381805,1.362434,1.381805,0.491189,729600
1980-07-17,1.381805,1.388262,1.355977,1.368891,0.486599,1391600
1980-07-18,1.368891,1.388262,1.362434,1.368891,0.486599,1558000
1980-07-21,1.368891,1.368891,1.330148,1.343063,0.477418,1471200
1980-07-22,1.343063,1.349519,1.336605,1.343063,0.477418,3010000
