Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,3.891458,3.946057,3.891458,3.946057,1.480291,158400
1972-06-02,3.946057,4.020511,3.921239,3.975839,1.491464,704800
1972-06-05,3.951021,3.951021,3.81204,3.821967,1.437515,284400
1972-06-06,3.821967,3.851749,3.802113,3.81204,1.433782,203600
1972-06-07,3.81204,3.821967,3.792186,3.797149,1.428181,85600
1972-06-08,3.797149,3.821967,3.782259,3.782259,1.42258,191200
1972-06-09,3.772331,3.772331,3.702841,3.762404,1.415111,292000
1972-06-12,3.762404,3.807076,3.762404,3.762404,1.415111,128400
1972-06-13,3.762404,3.782259,3.722695,3.74255,1.407645,720000
1972-06-14,3.74255,3.782259,3.737586,3.772331,1.418848,594000
1972-06-15,3.772331,3.807076,3.772331,3.797149,1.428181,251600
1972-06-16,3.797149,3.826931,3.792186,3.817003,1.435649,279200
1972-06-19,3.821967,3.861676,3.821967,3.856712,1.450584,516000
1972-06-20,3.856712,3.86664,3.821967,3.846785,1.44685,375200
1972-06-21,3.846785,3.876567,3.841822,3.861676,1.452451,246400
1972-06-22,3.861676,3.88153,3.817003,3.88153,1.459918,208800
1972-06-23,3.88153,3.980802,3.88153,3.941093,1.482321,498400
1972-06-26,3.941093,3.960948,3.916276,3.941093,1.482321,251600
1972-06-27,3.941093,3.970875,3.931166,3.970875,1.493523,271600
1972-06-28,3.970875,3.985766,3.960948,3.970875,1.493523,110800
1972-06-29,3.970875,4.000657,3.960948,3.990729,1.50099,211200
1972-06-30,3.985766,3.985766,3.960948,3.960948,1.48979,120800
1972-07-03,3.960948,3.970875,3.911312,3.931166,1.478588,128400
1972-07-05,3.931166,3.951021,3.911312,3.931166,1.478588,118000
1972-07-06,3.931166,3.990729,3.921239,3.921239,1.474854,236400
1972-07-07,3.921239,3.926203,3.851749,3.871603,1.456185,226400
1972-07-10,3.871603,3.931166,3.871603,3.911312,1.47112,370000
1972-07-11,3.911312,3.911312,3.88153,3.88153,1.459918,148400
1972-07-12,3.871603,3.871603,3.807076,3.81204,1.433782,271600
1972-07-13,3.81204,3.81204,3.772331,3.807076,1.431915,269200
1972-07-14,3.81204,3.891458,3.81204,3.88153,1.459918,742800
1972-07-17,3.88153,3.886494,3.851749,3.871603,1.456185,536400
1972-07-18,3.871603,3.871603,3.836858,3.871603,1.456185,186000
1972-07-19,3.88153,3.951021,3.88153,3.891458,1.463652,339600
1972-07-20,3.876567,3.876567,3.841822,3.851749,1.448717,312000
1972-07-21,3.851749,3.88153,3.836858,3.88153,1.459918,360000
1972-07-24,3.88153,3.891458,3.836858,3.88153,1.459918,543600
1972-07-25,3.896421,3.975839,3.896421,3.931166,1.478588,941600
1972-07-26,3.931166,3.941093,3.911312,3.916276,1.472987,203600
1972-07-27,3.931166,3.970875,3.931166,3.970875,1.493523,360000
1972-07-28,3.970875,3.990729,3.970875,3.990729,1.50099,395200
1972-07-31,3.990729,4.010584,3.970875,3.990729,1.50099,138400
1972-08-01,3.990729,4.030438,3.975839,4.030438,1.515926,193600
1972-08-02,4.050292,4.209127,4.050292,4.1992,1.579401,904000
1972-08-03,4.209127,4.358035,4.209127,4.308399,1.620472,523600
1972-08-04,4.328254,4.367962,4.328254,4.348108,1.635408,496000
1972-08-07,4.348108,4.353072,4.318326,4.318326,1.624205,188800
1972-08-08,4.318326,4.432489,4.318326,4.432489,1.667145,307200
1972-08-09,4.432489,4.526797,4.432489,4.44738,1.672746,448000
1972-08-10,4.467235,4.526797,4.467235,4.501979,1.693281,246400
1972-08-11,4.506943,4.685633,4.506943,4.606215,1.732485,400400
1972-08-14,4.606215,4.680669,4.58636,4.645924,1.747422,314400
1972-08-15,4.64096,4.64096,4.566506,4.616142,1.736219,218800
1972-08-16,4.616142,4.645924,4.566506,4.566506,1.717552,196400
1972-08-17,4.566506,4.596288,4.551615,4.566506,1.717552,432800
1972-08-18,4.566506,4.591324,4.546652,4.566506,1.717552,236400
1972-08-21,4.541688,4.541688,4.492053,4.501979,1.693281,183600
1972-08-22,4.501979,4.561543,4.497016,4.546652,1.710084,304400
1972-08-23,4.546652,4.566506,4.536725,4.556579,1.713818,440400
1972-08-24,4.546652,4.546652,4.492053,4.501979,1.693281,55200
1972-08-25,4.358035,4.358035,4.263727,4.278618,1.609271,594000
1972-08-28,4.278618,4.283581,4.189273,4.2538,1.599937,344800
1972-08-29,4.2538,4.2538,4.194237,4.219055,1.586869,236400
1972-08-30,4.228982,4.348108,4.228982,4.313363,1.622339,354800
1972-08-31,4.313363,4.44738,4.288545,4.44738,1.672746,516000
1972-09-01,4.44738,4.526797,4.432489,4.477161,1.687909,352400
1972-09-05,4.477161,4.477161,4.402708,4.417598,1.665454,307200
1972-09-06,4.417598,4.427526,4.387817,4.412635,1.663583,601600
1972-09-07,4.412635,4.437453,4.402708,4.417598,1.665454,344800
1972-09-08,4.407671,4.407671,4.367962,4.372926,1.648612,375200
1972-09-11,4.372926,4.39278,4.372926,4.37789,1.650483,282000
1972-09-12,4.37789,4.37789,4.273654,4.298472,1.620542,707600
1972-09-13,4.298472,4.328254,4.248836,4.308399,1.624285,382400
1972-09-14,4.308399,4.358035,4.288545,4.328254,1.63177,425200
1972-09-15,4.328254,4.353072,4.313363,4.328254,1.63177,422800
1972-09-18,4.328254,4.328254,4.293509,4.318326,1.628028,140800
1972-09-19,4.318326,4.32329,4.288545,4.303436,1.622415,317200
1972-09-20,4.268691,4.268691,4.228982,4.263727,1.607443,367600
1972-09-21,4.263727,4.263727,4.233945,4.233945,1.596215,511200
1972-09-22,4.248836,4.338181,4.248836,4.318326,1.628028,334800
1972-09-25,4.328254,4.407671,4.328254,4.328254,1.63177,367600
1972-09-26,4.338181,4.37789,4.338181,4.358035,1.642999,244000
1972-09-27,4.382854,4.482125,4.382854,4.477161,1.687909,647200
1972-09-28,4.477161,4.62607,4.477161,4.62607,1.744049,856000
1972-09-29,4.675705,4.794832,4.675705,4.710451,1.775861,632000
1972-10-02,4.710451,4.755123,4.62607,4.675705,1.762762,1029600
