Date,Open,High,Low,Close,Adj Close,Volume
1986-07-08,0.34375,0.351563,0.34375,0.34375,0.251862,17004800
1986-07-09,0.347656,0.402344,0.347656,0.398438,0.291931,11001600
1986-07-10,0.398438,0.417969,0.371094,0.40625,0.297656,8822400
1986-07-11,0.40625,0.433594,0.402344,0.433594,0.31769,5884800
1986-07-14,0.433594,0.433594,0.386719,0.390625,0.286207,4313600
1986-07-15,0.390625,0.394531,0.367188,0.386719,0.283345,3145600
1986-07-16,0.386719,0.394531,0.371094,0.371094,0.271897,1475200
1986-07-17,0.371094,0.375,0.355469,0.363281,0.266173,2291200
1986-07-18,0.363281,0.363281,0.351563,0.359375,0.263311,1238400
1986-07-21,0.359375,0.359375,0.351563,0.351563,0.257586,646400
1986-07-22,0.351563,0.371094,0.351563,0.367188,0.269035,681600
1986-07-23,0.371094,0.378906,0.371094,0.375,0.274759,1216000
1986-07-24,0.375,0.382813,0.355469,0.355469,0.260449,252800
1986-07-25,0.355469,0.375,0.355469,0.371094,0.271897,694400
1986-07-28,0.371094,0.371094,0.363281,0.363281,0.266173,825600
1986-07-29,0.363281,0.375,0.363281,0.371094,0.271897,262400
1986-07-30,0.371094,0.378906,0.367188,0.367188,0.269035,380800
1986-07-31,0.367188,0.367188,0.359375,0.359375,0.263311,169600
1986-08-01,0.359375,0.363281,0.359375,0.363281,0.266173,278400
1986-08-04,0.363281,0.363281,0.320313,0.328125,0.240414,1100800
1986-08-05,0.328125,0.339844,0.316406,0.320313,0.23469,784000
1986-08-06,0.320313,0.332031,0.308594,0.3125,0.228966,521600
1986-08-07,0.3125,0.3125,0.285156,0.304688,0.223242,1068800
1986-08-08,0.304688,0.304688,0.289063,0.300781,0.22038,483200
1986-08-11,0.300781,0.3125,0.300781,0.308594,0.226104,316800
1986-08-12,0.308594,0.316406,0.308594,0.308594,0.226104,460800
1986-08-13,0.3125,0.324219,0.3125,0.316406,0.231828,342400
1986-08-14,0.320313,0.335938,0.320313,0.328125,0.240414,131200
1986-08-15,0.328125,0.339844,0.328125,0.339844,0.249,592000
1986-08-18,0.339844,0.339844,0.324219,0.324219,0.237552,284800
1986-08-19,0.324219,0.328125,0.320313,0.328125,0.240414,329600
1986-08-20,0.328125,0.328125,0.320313,0.320313,0.23469,86400
1986-08-21,0.320313,0.324219,0.308594,0.3125,0.228966,204800
1986-08-22,0.308594,0.308594,0.292969,0.300781,0.22038,1452800
1986-08-25,0.300781,0.304688,0.296875,0.300781,0.22038,105600
1986-08-26,0.300781,0.3125,0.300781,0.3125,0.228966,310400
1986-08-27,0.3125,0.3125,0.304688,0.304688,0.223242,169600
