Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.722656,0.765625,0.722656,0.722656,0.290572,112000
1980-03-18,0.722656,0.726563,0.703125,0.726563,0.292143,249600
1980-03-19,0.726563,0.734375,0.714844,0.714844,0.287431,278400
1980-03-20,0.714844,0.71875,0.707031,0.707031,0.28429,294400
1980-03-21,0.707031,0.726563,0.707031,0.71875,0.289002,115200
1980-03-24,0.71875,0.722656,0.707031,0.707031,0.28429,230400
1980-03-25,0.707031,0.734375,0.703125,0.71875,0.289002,534400
1980-03-26,0.71875,0.75,0.71875,0.71875,0.289002,252800
1980-03-27,0.714844,0.714844,0.707031,0.707031,0.28429,304000
1980-03-28,0.710938,0.714844,0.710938,0.714844,0.287431,348800
1980-03-31,0.714844,0.71875,0.710938,0.710938,0.28586,409600
1980-04-01,0.710938,0.714844,0.710938,0.710938,0.28586,464000
1980-04-02,0.714844,0.726563,0.714844,0.714844,0.287431,124800
1980-04-03,0.714844,0.722656,0.714844,0.714844,0.287431,70400
1980-04-07,0.714844,0.722656,0.710938,0.722656,0.290572,220800
1980-04-08,0.71875,0.71875,0.710938,0.710938,0.28586,960000
1980-04-09,0.714844,0.738281,0.714844,0.726563,0.292143,928000
1980-04-10,0.726563,0.726563,0.71875,0.726563,0.292143,227200
1980-04-11,0.726563,0.726563,0.714844,0.714844,0.287431,454400
1980-04-14,0.714844,0.71875,0.710938,0.71875,0.289002,140800
1980-04-15,0.71875,0.71875,0.710938,0.710938,0.28586,460800
1980-04-16,0.710938,0.71875,0.710938,0.710938,0.28586,332800
1980-04-17,0.710938,0.71875,0.710938,0.71875,0.289002,137600
1980-04-18,0.71875,0.722656,0.714844,0.714844,0.287431,140800
1980-04-21,0.714844,0.722656,0.714844,0.714844,0.287431,92800
1980-04-22,0.714844,0.726563,0.710938,0.714844,0.287431,220800
1980-04-23,0.714844,0.722656,0.714844,0.714844,0.287431,336000
1980-04-24,0.714844,0.726563,0.714844,0.726563,0.292143,172800
1980-04-25,0.726563,0.730469,0.71875,0.730469,0.293713,51200
1980-04-28,0.730469,0.746094,0.726563,0.734375,0.295284,105600
1980-04-29,0.734375,0.761719,0.734375,0.753906,0.303137,182400
1980-04-30,0.753906,0.761719,0.753906,0.761719,0.306279,224000
1980-05-01,0.761719,0.761719,0.753906,0.753906,0.303137,86400
1980-05-02,0.753906,0.761719,0.753906,0.753906,0.303137,124800
1980-05-05,0.753906,0.761719,0.75,0.753906,0.303137,211200
1980-05-06,0.753906,0.757813,0.75,0.75,0.301567,211200
1980-05-07,0.75,0.761719,0.75,0.757813,0.304708,265600
1980-05-08,0.757813,0.757813,0.753906,0.753906,0.303137,19200
1980-05-09,0.75,0.75,0.726563,0.726563,0.292143,124800
1980-05-12,0.710938,0.710938,0.699219,0.707031,0.28429,1849600
1980-05-13,0.707031,0.726563,0.703125,0.726563,0.292143,912000
1980-05-14,0.734375,0.75,0.734375,0.742188,0.298426,144000
1980-05-15,0.742188,0.757813,0.734375,0.75,0.301567,195200
1980-05-16,0.75,0.75,0.742188,0.746094,0.299996,438400
1980-05-19,0.746094,0.753906,0.746094,0.753906,0.303137,179200
1980-05-20,0.753906,0.753906,0.75,0.75,0.301567,44800
1980-05-21,0.75,0.753906,0.746094,0.75,0.301567,64000
1980-05-22,0.75,0.761719,0.75,0.753906,0.303137,137600
1980-05-23,0.753906,0.773438,0.753906,0.761719,0.306279,1334400
1980-05-27,0.769531,0.78125,0.769531,0.773438,0.310991,374400
1980-05-28,0.773438,0.773438,0.75,0.757813,0.304708,182400
1980-05-29,0.761719,0.769531,0.761719,0.761719,0.306279,860800
1980-05-30,0.765625,0.777344,0.765625,0.777344,0.312561,211200
1980-06-02,0.777344,0.78125,0.769531,0.773438,0.310991,124800
1980-06-03,0.773438,0.78125,0.765625,0.773438,0.310991,64000
1980-06-04,0.78125,0.820313,0.78125,0.820313,0.329839,1084800
1980-06-05,0.820313,0.851563,0.820313,0.820313,0.329839,931200
1980-06-06,0.828125,0.847656,0.828125,0.835938,0.336121,656000
1980-06-09,0.835938,0.84375,0.835938,0.84375,0.339263,96000
1980-06-10,0.84375,0.851563,0.84375,0.851563,0.342404,563200
1980-06-11,0.851563,0.855469,0.847656,0.851563,0.342404,291200
1980-06-12,0.859375,0.875,0.859375,0.875,0.351828,1516800
1980-06-13,0.875,0.890625,0.871094,0.875,0.351828,1616000
1980-06-16,0.875,0.882813,0.867188,0.875,0.351828,681600
1980-06-17,0.875,0.886719,0.875,0.875,0.351828,489600
1980-06-18,0.875,0.875,0.847656,0.847656,0.340833,412800
1980-06-19,0.847656,0.847656,0.84375,0.84375,0.339263,892800
1980-06-20,0.84375,0.847656,0.84375,0.84375,0.339263,121600
1980-06-23,0.84375,0.851563,0.84375,0.847656,0.340833,588800
1980-06-24,0.851563,0.855469,0.851563,0.851563,0.342404,390400
1980-06-25,0.851563,0.886719,0.835938,0.835938,0.336121,3344000
1980-06-26,0.828125,0.828125,0.789063,0.796875,0.320415,1120000
1980-06-27,0.796875,0.8125,0.792969,0.800781,0.321985,755200
1980-06-30,0.800781,0.808594,0.796875,0.796875,0.320415,675200
1980-07-01,0.796875,0.796875,0.792969,0.796875,0.320415,912000
1980-07-02,0.796875,0.8125,0.796875,0.8125,0.326697,457600
1980-07-03,0.820313,0.832031,0.820313,0.828125,0.33298,2691200
1980-07-07,0.835938,0.84375,0.835938,0.835938,0.336121,1235200
1980-07-08,0.835938,0.835938,0.8125,0.8125,0.326697,1030400
1980-07-09,0.820313,0.835938,0.820313,0.820313,0.329839,953600
1980-07-10,0.820313,0.835938,0.820313,0.828125,0.33298,723200
1980-07-11,0.828125,0.84375,0.816406,0.84375,0.339263,1676800
1980-07-14,0.84375,0.890625,0.84375,0.875,0.351828,662400
1980-07-15,0.875,0.894531,0.875,0.878906,0.353399,483200
1980-07-16,0.878906,0.882813,0.859375,0.859375,0.345545,4390400
1980-07-17,0.859375,0.878906,0.859375,0.867188,0.348686,102400
1980-07-18,0.871094,0.882813,0.871094,0.882813,0.354969,272000
1980-07-21,0.886719,0.902344,0.886719,0.890625,0.358111,364800
1980-07-22,0.898438,0.953125,0.898438,0.929688,0.373817,985600
1980-07-23,0.929688,0.949219,0.921875,0.933594,0.375388,803200
1980-07-24,0.933594,0.941406,0.882813,0.894531,0.359681,640000
1980-07-25,0.894531,0.914063,0.890625,0.890625,0.358111,275200
1980-07-28,0.890625,0.917969,0.890625,0.917969,0.369105,163200
1980-07-29,0.917969,0.917969,0.894531,0.894531,0.359681,284800
1980-07-30,0.902344,0.917969,0.902344,0.910156,0.365964,384000
1980-07-31,0.910156,0.917969,0.902344,0.910156,0.365964,345600
1980-08-01,0.910156,0.921875,0.90625,0.914063,0.367535,409600
1980-08-04,0.90625,0.90625,0.886719,0.902344,0.362823,864000
1980-08-05,0.902344,0.917969,0.898438,0.917969,0.369105,912000
1980-08-06,0.917969,0.933594,0.910156,0.929688,0.373817,259200
1980-08-07,0.929688,0.984375,0.917969,0.96875,0.389524,1337600
1980-08-08,0.96875,0.984375,0.925781,0.925781,0.372247,784000
1980-08-11,0.925781,0.945313,0.910156,0.914063,0.367535,649600
1980-08-12,0.914063,0.925781,0.910156,0.914063,0.367535,585600
1980-08-13,0.914063,0.914063,0.90625,0.914063,0.367535,137600
1980-08-14,0.914063,0.929688,0.910156,0.921875,0.370676,320000
1980-08-15,0.929688,0.953125,0.929688,0.949219,0.38167,771200
1980-08-18,0.945313,0.945313,0.914063,0.929688,0.373817,243200
1980-08-19,0.929688,0.929688,0.898438,0.898438,0.361252,617600
1980-08-20,0.898438,0.914063,0.859375,0.859375,0.345545,582400
1980-08-21,0.867188,0.890625,0.867188,0.882813,0.354969,1091200
1980-08-22,0.890625,0.898438,0.890625,0.898438,0.361252,137600
1980-08-25,0.898438,0.90625,0.894531,0.90625,0.364393,188800
1980-08-26,0.90625,0.945313,0.898438,0.9375,0.376959,876800
1980-08-27,0.9375,0.945313,0.921875,0.9375,0.376959,2918400
1980-08-28,0.9375,0.9375,0.925781,0.925781,0.372247,464000
1980-08-29,0.925781,0.941406,0.917969,0.929688,0.373817,409600
1980-09-02,0.933594,0.9375,0.933594,0.933594,0.375388,89600
1980-09-03,0.933594,0.953125,0.933594,0.953125,0.383241,803200
1980-09-04,0.953125,0.960938,0.933594,0.933594,0.375388,444800
1980-09-05,0.929688,0.929688,0.898438,0.898438,0.361252,307200
1980-09-08,0.898438,0.90625,0.875,0.882813,0.354969,662400
1980-09-09,0.882813,0.894531,0.875,0.875,0.351828,188800
1980-09-10,0.875,0.902344,0.875,0.898438,0.361252,182400
1980-09-11,0.898438,0.921875,0.898438,0.90625,0.364393,147200
1980-09-12,0.90625,0.964844,0.890625,0.964844,0.387953,972800
1980-09-15,0.964844,0.980469,0.925781,0.949219,0.38167,700800
1980-09-16,0.949219,0.960938,0.941406,0.949219,0.38167,931200
1980-09-17,0.949219,0.976563,0.941406,0.976563,0.392665,1020800
1980-09-18,0.976563,0.996094,0.957031,0.984375,0.395807,1724800
1980-09-19,0.984375,1.039063,0.976563,1.039063,0.417796,3193600
1980-09-22,1.039063,1.132813,1.03125,1.105469,0.444497,4115200
1980-09-23,1.105469,1.109375,1.039063,1.039063,0.417796,1216000
1980-09-24,1.03125,1.03125,0.984375,1.019531,0.409942,2230400
1980-09-25,1.019531,1.023438,0.960938,0.960938,0.386382,630400
1980-09-26,0.960938,0.960938,0.929688,0.9375,0.376959,1100800
1980-09-29,0.9375,0.945313,0.917969,0.929688,0.373817,780800
1980-09-30,0.929688,0.96875,0.925781,0.96875,0.389524,342400
1980-10-01,0.96875,0.984375,0.949219,0.984375,0.395807,492800
1980-10-02,1.003906,1.0625,1.003906,1.039063,0.417796,8502400
1980-10-03,1.054688,1.125,1.054688,1.117188,0.449209,8380800
1980-10-06,1.117188,1.128906,1.097656,1.125,0.45235,4028800
1980-10-07,1.125,1.132813,1.078125,1.078125,0.433502,2163200
1980-10-08,1.078125,1.105469,1.070313,1.085938,0.436643,1334400
1980-10-09,1.078125,1.078125,1.054688,1.0625,0.42722,761600
1980-10-10,1.0625,1.0625,1.039063,1.046875,0.420937,1875200
1980-10-13,1.046875,1.070313,1.023438,1.0625,0.42722,1996800
1980-10-14,1.0625,1.070313,1.050781,1.054688,0.424078,563200
1980-10-15,1.054688,1.0625,1.046875,1.054688,0.424078,528000
1980-10-16,1.054688,1.070313,1.015625,1.015625,0.408372,1683200
1980-10-17,1.015625,1.023438,0.996094,1.011719,0.406801,588800
1980-10-20,1.011719,1.023438,0.992188,1.023438,0.411513,1756800
1980-10-21,1.03125,1.054688,1.03125,1.039063,0.417796,688000
1980-10-22,1.039063,1.054688,1.007813,1.027344,0.413084,659200
