Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.595625,9.74325,9.448,9.713725,3.635189,180700
1982-01-04,9.595625,9.713725,9.448,9.50705,3.557842,80800
1982-01-05,9.359425,9.448,9.27085,9.27085,3.469448,152400
1982-01-06,9.15275,9.3299,8.9756,9.0937,3.403156,364000
1982-01-07,9.0937,9.182275,8.9756,9.15275,3.425251,362400
1982-01-08,8.9756,9.03465,8.91655,8.9756,3.358958,270500
1982-01-11,8.7394,8.9756,8.473675,8.473675,3.17112,453800
1982-01-12,8.591775,8.709875,8.44415,8.709875,3.259515,175600
1982-01-13,8.6213,8.7394,8.5032,8.591775,3.215318,154900
1982-01-14,8.532725,8.56225,8.473675,8.56225,3.204269,262900
1982-01-15,8.5032,8.56225,8.414625,8.56225,3.204269,393700
1982-01-18,8.5032,8.56225,8.44415,8.56225,3.204269,83800
1982-01-19,8.532725,8.650825,8.3851,8.44415,3.160071,574000
1982-01-20,8.267,8.473675,8.0308,8.08985,3.027481,791200
1982-01-21,7.883175,8.178425,7.5584,7.587925,2.839645,296700
1982-01-22,7.587925,7.73555,7.4403,7.4403,2.784399,690900
1982-01-25,7.233625,7.351725,7.086,7.26315,2.718104,483400
1982-01-26,7.38125,7.49935,7.26315,7.3222,2.740203,330600
1982-01-27,7.528875,7.6765,7.351725,7.646975,2.861744,201900
1982-01-28,8.0308,8.32605,7.706025,8.32605,3.115874,270900
1982-01-29,8.267,8.414625,8.08985,8.3851,3.137973,206100
1982-02-01,8.0308,8.20795,7.85365,7.9127,2.961185,266200
1982-02-02,8.0308,8.1489,7.9127,8.08985,3.027481,202300
1982-02-03,8.0308,8.08985,7.97175,7.97175,2.983284,37600
1982-02-04,7.9127,7.97175,7.85365,7.942225,2.972235,347100
1982-02-05,8.119375,8.237475,8.001275,8.119375,3.038531,174800
1982-02-08,8.060325,8.20795,7.9127,7.97175,2.983284,85500
1982-02-09,7.942225,8.001275,7.85365,7.9127,2.961185,120200
1982-02-10,8.060325,8.1489,7.942225,8.001275,2.994333,80800
1982-02-11,7.97175,8.0308,7.9127,8.0308,3.005382,76200
1982-02-12,8.08985,8.1489,8.001275,8.060325,3.01643,234500
1982-02-16,7.942225,8.001275,7.85365,7.942225,2.972235,246800
1982-02-17,8.060325,8.119375,8.001275,8.060325,3.01643,215900
1982-02-18,8.08985,8.1489,8.0308,8.060325,3.01643,185800
1982-02-19,7.942225,8.0308,7.824125,7.85365,2.939087,530400
1982-02-22,7.9127,8.0308,7.7946,7.7946,2.916989,106600
1982-02-23,7.7946,7.883175,7.706025,7.883175,2.950135,127400
1982-02-24,7.706025,7.7946,7.587925,7.7946,2.916989,372900
1982-02-25,7.7946,7.85365,7.73555,7.765075,2.905939,265800
1982-02-26,7.706025,7.765075,7.646975,7.6765,2.872792,163800
1982-03-01,7.292675,7.61745,6.938375,7.292675,2.729152,578300
1982-03-02,6.997425,7.2041,6.79075,6.8498,2.563415,591000
1982-03-03,6.6136,6.7317,6.465975,6.6136,2.493938,327600
1982-03-04,6.55455,6.67265,6.43645,6.67265,2.516208,160000
1982-03-05,6.7317,6.79075,6.643125,6.79075,2.560742,295000
1982-03-08,6.8498,7.02695,6.643125,6.67265,2.516208,144700
1982-03-09,6.8498,7.02695,6.643125,6.9679,2.627544,116800
1982-03-10,6.90885,6.9679,6.8498,6.879325,2.594141,108300
1982-03-11,6.8498,6.90885,6.761225,6.820275,2.571875,72300
1982-03-12,6.79075,6.8498,6.702175,6.761225,2.549608,213300
1982-03-15,6.8498,6.9679,6.7317,6.90885,2.605276,127000
1982-03-16,6.9679,7.02695,6.879325,6.9679,2.627544,168000
1982-03-17,6.938375,6.9679,6.90885,6.90885,2.605276,147700
1982-03-18,6.9679,7.02695,6.90885,6.9679,2.627544,726500
1982-03-19,6.9679,7.056475,6.8498,7.02695,2.649811,487200
1982-03-22,7.056475,7.086,6.997425,7.056475,2.660944,499100
1982-03-23,7.115525,7.14505,7.056475,7.086,2.672078,374200
1982-03-24,7.115525,7.174575,7.056475,7.115525,2.683211,110400
1982-03-25,7.056475,7.14505,6.9679,7.056475,2.660944,110400
1982-03-26,7.086,7.115525,7.02695,7.02695,2.649811,27500
1982-03-29,7.02695,7.086,6.938375,6.938375,2.61641,135900
1982-03-30,6.938375,6.997425,6.879325,6.938375,2.61641,115100
1982-03-31,6.90885,6.997425,6.820275,6.820275,2.571875,83800
1982-04-01,6.938375,7.02695,6.820275,7.02695,2.649811,196800
1982-04-02,7.056475,7.086,6.997425,7.086,2.672078,226900
1982-04-05,6.997425,7.02695,6.9679,6.9679,2.627544,111300
1982-04-06,6.879325,6.9679,6.79075,6.938375,2.61641,142200
1982-04-07,6.997425,7.056475,6.938375,7.056475,2.660944,422900
1982-04-08,6.997425,7.056475,6.938375,7.02695,2.649811,203200
1982-04-12,7.086,7.2041,6.9679,7.174575,2.705478,119300
1982-04-13,7.38125,7.646975,7.086,7.49935,2.827949,444900
1982-04-14,7.410775,7.528875,7.292675,7.292675,2.750014,138000
1982-04-15,7.469825,7.5584,7.38125,7.528875,2.839083,248000
1982-04-16,7.61745,7.6765,7.528875,7.6765,2.89475,134200
1982-04-19,7.587925,7.706025,7.4403,7.646975,2.883619,119800
1982-04-20,7.61745,7.646975,7.5584,7.587925,2.861351,123600
1982-04-21,7.469825,7.61745,7.3222,7.469825,2.816816,188800
1982-04-22,7.528875,7.5584,7.469825,7.469825,2.816816,462700
1982-04-23,7.49935,7.528875,7.469825,7.49935,2.827949,334400
1982-04-26,7.587925,7.646975,7.49935,7.61745,2.872482,293800
1982-04-27,7.587925,7.6765,7.49935,7.49935,2.827949,293800
1982-04-28,7.49935,7.5584,7.4403,7.4403,2.805682,67300
1982-04-29,7.292675,7.469825,7.115525,7.14505,2.694345,121900
1982-04-30,7.174575,7.233625,7.086,7.115525,2.683211,240800
1982-05-03,7.174575,7.2041,7.115525,7.2041,2.716613,66400
1982-05-04,7.14505,7.2041,7.086,7.2041,2.716613,142600
1982-05-05,7.14505,7.2041,7.086,7.115525,2.683211,200600
1982-05-06,7.233625,7.3222,7.115525,7.292675,2.750014,142600
1982-05-07,7.38125,7.4403,7.292675,7.410775,2.794549,97700
1982-05-10,7.410775,7.469825,7.351725,7.351725,2.772281,129100
1982-05-11,7.3222,7.410775,7.233625,7.351725,2.772281,209100
1982-05-12,7.233625,7.351725,7.086,7.115525,2.683211,218800
1982-05-13,6.997425,7.056475,6.938375,6.9679,2.627544,205700
1982-05-14,6.9679,6.997425,6.90885,6.90885,2.605276,195100
1982-05-17,6.820275,6.938375,6.702175,6.702175,2.527339,155300
1982-05-18,6.4955,6.55455,6.43645,6.4955,2.449406,489800
1982-05-19,6.406925,6.465975,6.347875,6.3774,2.404871,486000
1982-05-20,6.31835,6.43645,6.20025,6.2593,2.360336,221400
1982-05-21,6.31835,6.347875,6.2593,6.31835,2.382603,132900
1982-05-24,6.288825,6.31835,6.229775,6.2593,2.360336,356900
1982-05-25,6.347875,6.3774,6.288825,6.347875,2.393737,186200
1982-05-26,6.2593,6.347875,6.1412,6.170725,2.326933,193400
1982-05-27,6.1412,6.2593,5.993575,6.111675,2.304667,289100
1982-05-28,6.08215,6.1412,6.0231,6.08215,2.293533,51600
1982-06-01,6.08215,6.111675,6.052625,6.052625,2.282401,56700
1982-06-02,6.08215,6.170725,5.993575,6.052625,2.302164,116000
1982-06-03,6.0231,6.111675,5.905,5.934525,2.257243,361100
1982-06-04,5.905,5.993575,5.816425,5.84595,2.223552,179900
1982-06-07,5.934525,5.993575,5.84595,5.905,2.246012,234100
1982-06-08,5.905,5.96405,5.84595,5.905,2.246012,187500
1982-06-09,5.698325,5.875475,5.49165,5.5507,2.111253,499500
1982-06-10,5.580225,5.639275,5.521175,5.60975,2.133712,459300
1982-06-11,5.6688,5.7869,5.5507,5.698325,2.167402,317100
1982-06-14,5.60975,5.757375,5.462125,5.49165,2.088792,304400
1982-06-15,5.4326,5.49165,5.344025,5.37355,2.043871,116800
1982-06-16,5.284975,5.4326,5.107825,5.1964,1.976492,538500
1982-06-17,5.166875,5.1964,5.13735,5.166875,1.965261,139700
1982-06-18,4.989725,5.13735,4.812575,4.90115,1.864191,317900
1982-06-21,5.0783,5.284975,4.871625,5.13735,1.954032,203200
1982-06-22,5.3145,5.4326,5.1964,5.4326,2.066331,265800
1982-06-23,5.521175,5.639275,5.403075,5.60975,2.133712,325100
1982-06-24,5.698325,5.72785,5.639275,5.698325,2.167402,356400
1982-06-25,5.60975,5.72785,5.49165,5.60975,2.133712,75700
1982-06-28,5.60975,5.6688,5.5507,5.60975,2.133712,159600
1982-06-29,5.757375,5.84595,5.6688,5.72785,2.178632,198500
1982-06-30,5.816425,5.905,5.72785,5.816425,2.212323,354300
1982-07-01,5.7869,5.816425,5.72785,5.7869,2.201093,140900
1982-07-02,5.72785,5.757375,5.6688,5.6688,2.156173,84200
1982-07-06,5.757375,5.816425,5.6688,5.757375,2.189863,71900
1982-07-07,5.639275,5.72785,5.5507,5.580225,2.122481,101600
1982-07-08,5.5507,5.639275,5.462125,5.639275,2.144943,379700
1982-07-09,5.639275,5.6688,5.580225,5.6688,2.156173,409300
1982-07-12,5.993575,6.052625,5.934525,6.0231,2.290932,292500
1982-07-13,5.905,5.993575,5.7869,5.934525,2.257243,105800
1982-07-14,5.934525,6.052625,5.934525,6.0231,2.290932,292500
1982-07-15,6.08215,6.20025,5.96405,5.993575,2.279703,479200
1982-07-16,5.993575,6.08215,5.905,6.08215,2.313394,375900
1982-07-19,6.1412,6.20025,6.052625,6.08215,2.313394,113000
1982-07-20,6.20025,6.288825,6.08215,6.2593,2.380774,220500
1982-07-21,6.347875,6.406925,6.2593,6.288825,2.392005,66800
1982-07-22,6.288825,6.31835,6.2593,6.2593,2.380774,151500
1982-07-23,6.31835,6.347875,6.2593,6.31835,2.403233,123600
1982-07-26,6.31835,6.3774,6.2593,6.2593,2.380774,104100
1982-07-27,6.288825,6.31835,6.2593,6.288825,2.392005,80000
1982-07-28,6.288825,6.288825,6.2593,6.2593,2.380774,114700
1982-07-29,6.2593,6.288825,6.229775,6.2593,2.380774,114700
1982-07-30,6.2593,6.288825,6.229775,6.229775,2.369544,85000
1982-08-02,6.288825,6.31835,6.229775,6.288825,2.392005,82100
1982-08-03,6.347875,6.406925,6.2593,6.288825,2.392005,150700
1982-08-04,6.229775,6.288825,6.1412,6.170725,2.347084,645600
