Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.270925,3.336344,3.270925,3.314538,0.242488,110600
1980-03-18,3.314538,3.423568,3.292731,3.423568,0.250465,260700
1980-03-19,3.423568,3.532599,3.401762,3.488987,0.255251,106000
1980-03-20,3.488987,3.510793,3.423568,3.423568,0.250465,237800
1980-03-21,3.423568,3.467181,3.379956,3.401762,0.248869,95100
1980-03-24,3.379956,3.379956,3.314538,3.379956,0.247274,329500
1980-03-25,3.336344,3.336344,3.336344,3.336344,0.244083,84100
1980-03-26,3.336344,3.35815,3.336344,3.336344,0.244083,97300
1980-03-27,3.336344,3.336344,3.205507,3.205507,0.234512,1218000
1980-03-28,3.249119,3.379956,3.249119,3.379956,0.247274,134100
1980-03-31,3.379956,3.423568,3.314538,3.379956,0.247274,486000
1980-04-01,3.35815,3.35815,3.314538,3.314538,0.242488,38300
1980-04-02,3.336344,3.379956,3.336344,3.379956,0.247274,122000
1980-04-03,3.379956,3.379956,3.292731,3.292731,0.240893,60100
1980-04-07,3.292731,3.314538,3.227313,3.227313,0.236107,228700
1980-04-08,3.227313,3.314538,3.227313,3.314538,0.242488,312300
1980-04-09,3.314538,3.336344,3.270925,3.292731,0.240893,264700
1980-04-10,3.292731,3.35815,3.270925,3.35815,0.245679,318000
1980-04-11,3.35815,3.35815,3.270925,3.292731,0.240893,53200
1980-04-14,3.292731,3.292731,3.249119,3.270925,0.239297,85900
1980-04-15,3.270925,3.314538,3.249119,3.249119,0.237702,41200
1980-04-16,3.249119,3.336344,3.227313,3.227313,0.236107,255500
1980-04-17,3.205507,3.205507,3.140088,3.205507,0.234512,171300
1980-04-18,3.205507,3.205507,3.140088,3.140088,0.229726,54900
1980-04-21,3.140088,3.140088,3.009251,3.052863,0.223344,224600
1980-04-22,3.096476,3.227313,3.096476,3.227313,0.236107,239500
1980-04-23,3.227313,3.292731,3.205507,3.270925,0.239297,495800
1980-04-24,3.227313,3.227313,3.161894,3.227313,0.236107,178700
1980-04-25,3.1837,3.1837,3.140088,3.140088,0.229726,48100
1980-04-28,3.1837,3.205507,3.1837,3.1837,0.232916,89300
1980-04-29,3.1837,3.1837,3.161894,3.1837,0.232916,14300
1980-04-30,3.1837,3.1837,3.140088,3.1837,0.232916,19400
1980-05-01,3.1837,3.205507,3.140088,3.161894,0.231321,91600
1980-05-02,3.161894,3.205507,3.161894,3.161894,0.231321,79000
1980-05-05,3.161894,3.249119,3.161894,3.227313,0.236107,158700
1980-05-06,3.227313,3.35815,3.227313,3.314538,0.242488,177100
1980-05-07,3.314538,3.401762,3.314538,3.35815,0.245679,731300
1980-05-08,3.35815,3.401762,3.336344,3.35815,0.245679,42900
1980-05-09,3.336344,3.336344,3.270925,3.314538,0.242488,154700
1980-05-12,3.292731,3.292731,3.270925,3.292731,0.240893,16000
1980-05-13,3.292731,3.336344,3.270925,3.292731,0.240893,21100
1980-05-14,3.336344,3.488987,3.336344,3.445374,0.25206,228100
1980-05-15,3.445374,3.64163,3.379956,3.619824,0.264822,151800
1980-05-16,3.598018,3.598018,3.554405,3.576211,0.261632,67000
1980-05-19,3.576211,3.598018,3.554405,3.554405,0.260037,69300
1980-05-20,3.598018,3.663436,3.598018,3.619824,0.264822,231500
1980-05-21,3.619824,3.707048,3.619824,3.64163,0.266418,278500
1980-05-22,3.64163,3.663436,3.598018,3.598018,0.263227,42300
1980-05-23,3.619824,3.707048,3.619824,3.707048,0.271204,48600
1980-05-27,3.707048,3.707048,3.663436,3.663436,0.268013,200600
1980-05-28,3.663436,3.707048,3.64163,3.663436,0.268013,127700
1980-05-29,3.64163,3.64163,3.554405,3.554405,0.260037,67600
1980-05-30,3.554405,3.598018,3.532599,3.576211,0.261632,80800
1980-06-02,3.576211,3.619824,3.554405,3.619824,0.264822,80100
1980-06-03,3.619824,3.64163,3.554405,3.576211,0.261632,88200
1980-06-04,3.576211,3.619824,3.576211,3.619824,0.264822,89900
1980-06-05,3.619824,3.728855,3.619824,3.663436,0.268013,229200
1980-06-06,3.663436,3.685242,3.663436,3.663436,0.268013,25700
1980-06-09,3.663436,3.685242,3.663436,3.663436,0.268013,70400
1980-06-10,3.663436,3.685242,3.64163,3.663436,0.268013,22200
1980-06-11,3.663436,3.685242,3.663436,3.663436,0.268013,64100
1980-06-12,3.663436,3.707048,3.663436,3.707048,0.271204,105400
1980-06-13,3.707048,3.728855,3.663436,3.663436,0.268013,20600
