Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,6.583333,6.666667,6.5,6.5,2.436424,32100
1982-01-04,6.583333,6.625,6.5,6.625,2.483277,71400
1982-01-05,6.458333,6.625,6.291667,6.291667,2.358333,23700
1982-01-06,6.25,6.333333,6.166667,6.208333,2.327097,25200
1982-01-07,6.25,6.291667,6.208333,6.291667,2.358333,39300
1982-01-08,6.333333,6.416667,6.25,6.416667,2.405187,73200
1982-01-11,6.416667,6.458333,6.375,6.375,2.389569,33600
1982-01-12,6.375,6.458333,6.291667,6.333333,2.373951,441000
1982-01-13,6.375,6.416667,6.291667,6.375,2.389569,464400
1982-01-14,6.25,6.291667,6.208333,6.208333,2.327097,29700
1982-01-15,6.291667,6.333333,6.208333,6.333333,2.373951,57600
1982-01-18,6.333333,6.375,6.291667,6.333333,2.373951,33300
1982-01-19,6.375,6.416667,6.291667,6.333333,2.373951,59700
1982-01-20,6.375,6.416667,6.333333,6.416667,2.405187,13200
1982-01-21,6.375,6.458333,6.291667,6.291667,2.358333,63000
1982-01-22,6.333333,6.333333,6.291667,6.291667,2.358333,6300
1982-01-25,6.291667,6.333333,6.25,6.291667,2.358333,38100
1982-01-26,6.333333,6.375,6.291667,6.291667,2.358333,12600
1982-01-27,6.375,6.458333,6.25,6.375,2.389569,460200
1982-01-28,6.458333,6.541667,6.333333,6.541667,2.452041,150000
1982-01-29,6.541667,6.541667,6.5,6.5,2.436424,53100
1982-02-01,6.458333,6.458333,6.416667,6.416667,2.405187,49800
1982-02-02,6.5,6.541667,6.416667,6.416667,2.405187,228000
1982-02-03,6.416667,6.458333,6.333333,6.416667,2.405187,40500
1982-02-04,6.416667,6.458333,6.333333,6.333333,2.373951,13500
1982-02-05,6.375,6.416667,6.333333,6.333333,2.373951,69600
1982-02-08,6.291667,6.333333,6.25,6.25,2.342715,165000
1982-02-09,6.25,6.291667,6.166667,6.25,2.342715,69000
1982-02-10,6.25,6.25,6.208333,6.208333,2.327097,39900
1982-02-11,6.208333,6.25,6.166667,6.166667,2.311477,50400
1982-02-12,6.166667,6.208333,6.083333,6.083333,2.280244,163800
1982-02-16,6.041667,6.041667,6.041667,6.041667,2.264624,116700
1982-02-17,6.0,6.083333,5.916667,5.958333,2.233388,409200
1982-02-18,5.958333,6.0,5.916667,5.958333,2.233388,18900
1982-02-19,5.916667,5.916667,5.875,5.875,2.202153,55800
1982-02-22,5.916667,5.958333,5.833333,5.833333,2.186534,98100
1982-02-23,5.875,5.916667,5.833333,5.916667,2.217768,48600
1982-02-24,5.958333,6.041667,5.875,6.041667,2.264624,747000
1982-02-25,6.125,6.208333,6.041667,6.083333,2.280244,1059600
1982-02-26,6.083333,6.166667,6.0,6.083333,2.280244,70200
1982-03-01,6.25,6.333333,6.125,6.291667,2.358333,232800
1982-03-02,6.291667,6.291667,6.291667,6.291667,2.358333,193800
1982-03-03,6.208333,6.291667,6.125,6.208333,2.327097,31200
1982-03-04,6.083333,6.166667,6.0,6.0,2.249007,113400
1982-03-05,6.083333,6.166667,6.0,6.083333,2.280244,440700
1982-03-08,6.166667,6.25,6.041667,6.041667,2.264624,27000
1982-03-09,6.125,6.25,6.0,6.25,2.342715,90000
1982-03-10,6.291667,6.416667,6.166667,6.25,2.342715,132000
1982-03-11,6.166667,6.291667,6.041667,6.041667,2.264624,87000
1982-03-12,6.0,6.0,6.0,6.0,2.28046,70200
1982-03-15,6.041667,6.083333,5.958333,6.041667,2.296295,210000
1982-03-16,5.958333,6.041667,5.833333,5.875,2.23295,66000
1982-03-17,5.833333,5.875,5.791667,5.875,2.23295,93600
1982-03-18,5.875,5.916667,5.833333,5.916667,2.248786,494400
1982-03-19,5.875,5.958333,5.833333,5.916667,2.248786,58500
1982-03-22,5.916667,5.958333,5.875,5.958333,2.264623,74700
1982-03-23,6.041667,6.083333,5.958333,6.083333,2.312132,231300
1982-03-24,6.125,6.166667,6.041667,6.125,2.327969,87600
1982-03-25,6.083333,6.125,6.041667,6.125,2.327969,37200
1982-03-26,6.083333,6.083333,6.041667,6.083333,2.312132,4800
1982-03-29,6.0,6.041667,5.958333,6.041667,2.296295,60300
1982-03-30,5.958333,6.041667,5.833333,5.916667,2.248786,244200
1982-03-31,5.916667,6.0,5.833333,6.0,2.28046,53100
1982-04-01,6.083333,6.125,6.0,6.125,2.327969,15300
1982-04-02,6.166667,6.208333,6.125,6.166667,2.343806,62400
1982-04-05,6.125,6.166667,6.041667,6.083333,2.312132,23400
1982-04-06,6.041667,6.083333,5.958333,6.083333,2.312132,47100
1982-04-07,6.041667,6.041667,6.0,6.0,2.28046,56400
1982-04-08,6.083333,6.125,6.0,6.125,2.327969,164700
1982-04-12,6.083333,6.125,6.0,6.125,2.327969,19200
1982-04-13,6.083333,6.125,6.041667,6.125,2.327969,29100
1982-04-14,6.083333,6.125,6.0,6.083333,2.312132,7200
1982-04-15,6.041667,6.083333,6.0,6.083333,2.312132,10500
1982-04-16,6.041667,6.041667,6.0,6.041667,2.296295,87300
1982-04-19,6.041667,6.083333,6.0,6.041667,2.296295,340800
1982-04-20,6.041667,6.041667,6.0,6.041667,2.296295,408900
1982-04-21,6.0,6.041667,5.958333,5.958333,2.264623,68100
1982-04-22,5.916667,5.958333,5.875,5.916667,2.248786,26700
1982-04-23,5.958333,6.0,5.916667,6.0,2.28046,30600
1982-04-26,6.0,6.083333,5.875,6.083333,2.312132,79800
1982-04-27,6.041667,6.083333,6.0,6.041667,2.296295,575400
1982-04-28,6.166667,6.208333,6.083333,6.166667,2.343806,278700
1982-04-29,6.166667,6.208333,6.125,6.208333,2.359642,34200
1982-04-30,6.208333,6.25,6.125,6.25,2.375479,122700
1982-05-03,6.333333,6.416667,6.25,6.416667,2.438824,112200
1982-05-04,6.5,6.541667,6.416667,6.5,2.4705,171900
1982-05-05,6.666667,6.791667,6.541667,6.75,2.565516,338100
1982-05-06,6.75,6.791667,6.708333,6.708333,2.549679,217200
1982-05-07,6.958333,7.0,6.875,7.0,2.660536,241500
1982-05-10,6.958333,7.0,6.875,6.916667,2.628864,38400
1982-05-11,6.916667,6.958333,6.833333,6.916667,2.628864,234600
1982-05-12,6.833333,6.875,6.75,6.875,2.613027,30000
1982-05-13,6.791667,6.833333,6.75,6.75,2.565516,114000
1982-05-14,6.75,6.791667,6.708333,6.708333,2.549679,58500
1982-05-17,6.75,6.791667,6.708333,6.708333,2.549679,111300
1982-05-18,6.708333,6.75,6.666667,6.75,2.565516,36600
1982-05-19,6.75,6.791667,6.666667,6.666667,2.533843,165300
1982-05-20,6.791667,6.833333,6.708333,6.833333,2.597189,36600
1982-05-21,6.833333,6.916667,6.75,6.75,2.565516,219300
1982-05-24,6.75,6.833333,6.666667,6.75,2.565516,72000
1982-05-25,6.875,6.916667,6.791667,6.916667,2.628864,253800
1982-05-26,6.833333,6.833333,6.791667,6.791667,2.581353,109800
1982-05-27,6.833333,6.833333,6.791667,6.833333,2.597189,78600
1982-05-28,6.875,6.916667,6.791667,6.916667,2.628864,336300
1982-06-01,6.791667,6.875,6.666667,6.666667,2.533843,200700
1982-06-02,6.75,6.791667,6.666667,6.75,2.565516,255300
1982-06-03,6.666667,6.75,6.583333,6.583333,2.502171,186600
1982-06-04,6.458333,6.541667,6.333333,6.541667,2.486333,161100
1982-06-07,6.583333,6.666667,6.5,6.625,2.518008,201900
1982-06-08,6.541667,6.625,6.416667,6.458333,2.454662,113100
1982-06-09,6.666667,6.75,6.541667,6.75,2.565516,107100
1982-06-10,6.875,7.041667,6.666667,6.916667,2.628864,350400
1982-06-11,7.0,7.041667,6.916667,6.916667,2.660921,474300
1982-06-14,6.833333,6.958333,6.708333,6.708333,2.580773,358200
1982-06-15,6.75,6.75,6.708333,6.75,2.596801,186300
1982-06-16,6.791667,6.833333,6.75,6.75,2.596801,433200
1982-06-17,6.75,6.791667,6.708333,6.708333,2.580773,534300
1982-06-18,6.708333,6.75,6.625,6.708333,2.580773,177600
1982-06-21,6.708333,6.75,6.666667,6.75,2.596801,78300
1982-06-22,6.75,6.791667,6.708333,6.791667,2.612832,41400
1982-06-23,6.833333,6.916667,6.75,6.916667,2.660921,67500
1982-06-24,7.041667,7.125,6.958333,7.125,2.74107,146400
1982-06-25,7.041667,7.125,6.958333,7.125,2.74107,69900
1982-06-28,7.125,7.166667,7.041667,7.125,2.74107,71400
1982-06-29,7.25,7.291667,7.166667,7.25,2.789158,385500
1982-06-30,7.291667,7.333333,7.25,7.25,2.789158,357300
1982-07-01,7.208333,7.291667,7.083333,7.208333,2.773128,167700
1982-07-02,7.166667,7.25,7.083333,7.208333,2.773128,312300
1982-07-06,7.125,7.208333,7.0,7.125,2.74107,477900
1982-07-07,7.041667,7.125,6.916667,6.958333,2.67695,624000
1982-07-08,6.791667,6.875,6.666667,6.875,2.644891,248100
1982-07-09,7.083333,7.25,6.916667,7.25,2.789158,473100
1982-07-12,7.166667,7.208333,7.083333,7.166667,2.7571,503700
1982-07-13,7.166667,7.25,7.083333,7.083333,2.72504,218400
1982-07-14,7.125,7.208333,7.083333,7.166667,2.7571,503700
1982-07-15,7.208333,7.25,7.166667,7.166667,2.7571,96600
1982-07-16,7.208333,7.25,7.166667,7.166667,2.7571,500700
1982-07-19,7.333333,7.416667,7.25,7.333333,2.821218,570000
1982-07-20,7.5,7.666667,7.333333,7.416667,2.853276,807900
1982-07-21,7.625,7.666667,7.541667,7.625,2.933424,169500
1982-07-22,7.666667,7.791667,7.541667,7.666667,2.949455,297000
1982-07-23,7.791667,7.875,7.666667,7.833333,3.013574,302100
1982-07-26,7.75,7.833333,7.666667,7.666667,2.949455,121200
1982-07-27,7.666667,7.75,7.541667,7.708333,2.965485,318900
1982-07-28,7.666667,7.708333,7.583333,7.666667,2.949455,80100
1982-07-29,7.625,7.708333,7.541667,7.625,2.933424,221700
1982-07-30,7.625,7.666667,7.583333,7.666667,2.949455,384000
1982-08-02,7.625,7.666667,7.541667,7.625,2.933424,120300
1982-08-03,7.583333,7.625,7.541667,7.541667,2.901366,438900
1982-08-04,7.375,7.5,7.25,7.291667,2.805187,192600
1982-08-05,7.125,7.25,7.0,7.125,2.74107,208500
1982-08-06,7.083333,7.166667,6.958333,7.0,2.692979,496200
1982-08-09,6.916667,6.958333,6.833333,6.916667,2.660921,161100
