Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,9.153107,9.461292,9.122288,9.430473,1.792621,71700
1970-01-05,9.584566,9.861933,9.584566,9.769477,1.857062,118400
1970-01-06,9.769477,9.800296,9.615385,9.677022,1.839488,84300
1970-01-07,9.646203,9.646203,9.399654,9.461292,1.798479,93600
1970-01-08,9.49211,9.584566,9.49211,9.553747,1.816054,74200
1970-01-09,9.522929,9.522929,9.368836,9.461292,1.798479,93200
1970-01-12,9.461292,9.49211,9.276381,9.338017,1.775047,39300
1970-01-13,9.338017,9.368836,9.245563,9.276381,1.763331,108200
1970-01-14,9.276381,9.276381,9.153107,9.245563,1.757472,38500
1970-01-15,9.245563,9.245563,9.060651,9.153107,1.739898,47800
1970-01-16,9.09147,9.09147,8.505918,8.783284,1.669598,95700
1970-01-19,8.783284,8.921968,8.783284,8.844921,1.681314,63600
1970-01-20,8.844921,8.906558,8.783284,8.87574,1.687174,75800
1970-01-21,8.87574,8.906558,8.690828,8.783284,1.669598,71700
1970-01-22,8.783284,8.87574,8.721647,8.752465,1.663741,51100
1970-01-23,8.752465,8.814102,8.567554,8.567554,1.628591,81100
1970-01-26,8.567554,8.567554,8.382643,8.505918,1.616874,58000
1970-01-27,8.505918,8.505918,8.351825,8.413462,1.599299,63200
1970-01-28,8.382643,8.382643,8.197732,8.290188,1.575868,72100
1970-01-29,8.197732,8.197732,7.951183,8.074457,1.534858,107800
1970-01-30,8.074457,8.321006,8.043639,8.105276,1.540719,63600
1970-02-02,8.166913,8.44428,8.166913,8.166913,1.552434,135000
1970-02-03,8.166913,8.44428,8.136095,8.351825,1.587583,150400
1970-02-04,8.351825,8.475099,8.351825,8.44428,1.605159,111900
1970-02-05,8.44428,8.629191,8.44428,8.598372,1.634449,41300
1970-02-06,8.66001,8.937377,8.66001,8.87574,1.687174,85900
1970-02-09,8.937377,9.09147,8.937377,9.029832,1.716464,41300
1970-02-10,9.029832,9.060651,8.906558,8.999014,1.710607,87200
1970-02-11,8.999014,9.153107,8.783284,9.122288,1.734039,137400
1970-02-12,9.122288,9.307199,9.029832,9.245563,1.757472,60800
1970-02-13,9.245563,9.245563,9.153107,9.214744,1.751614,62400
1970-02-16,9.214744,9.214744,8.752465,8.844921,1.698357,49000
1970-02-17,8.844921,8.87574,8.629191,8.629191,1.656933,163400
1970-02-18,8.66001,8.814102,8.66001,8.814102,1.692438,98100
1970-02-19,8.814102,8.968195,8.629191,8.66001,1.662851,90800
1970-02-20,8.66001,8.66001,8.505918,8.66001,1.662851,62000
1970-02-24,8.66001,8.752465,8.567554,8.567554,1.645097,61200
1970-02-25,8.567554,8.814102,8.505918,8.783284,1.686522,70500
1970-02-26,8.783284,8.783284,8.66001,8.752465,1.680604,43300
1970-02-27,8.752465,8.999014,8.690828,8.968195,1.722027,67700
1970-03-02,8.999014,9.183925,8.999014,9.060651,1.739779,82700
1970-03-03,9.060651,9.09147,8.906558,8.999014,1.727944,55900
1970-03-04,8.999014,9.060651,8.937377,8.999014,1.727944,68900
1970-03-05,9.029832,9.183925,9.029832,9.029832,1.733862,67300
1970-03-06,9.029832,9.029832,8.844921,8.937377,1.71611,104200
1970-03-09,8.937377,8.937377,8.721647,8.814102,1.692438,50700
1970-03-10,8.814102,8.87574,8.752465,8.783284,1.686522,61200
1970-03-11,8.783284,8.844921,8.721647,8.752465,1.680604,66100
1970-03-12,8.752465,8.814102,8.690828,8.783284,1.686522,47000
1970-03-13,8.783284,8.783284,8.66001,8.66001,1.662851,101800
1970-03-16,8.66001,8.721647,8.475099,8.536736,1.639181,49400
1970-03-17,8.536736,8.629191,8.44428,8.536736,1.639181,140700
1970-03-18,8.536736,8.598372,8.505918,8.536736,1.639181,311900
1970-03-19,8.536736,8.629191,8.505918,8.505918,1.633262,50700
1970-03-20,8.505918,8.567554,8.382643,8.382643,1.609592,70100
1970-03-23,8.382643,8.567554,8.351825,8.413462,1.61551,60000
1970-03-24,8.413462,8.629191,8.382643,8.536736,1.639181,27500
1970-03-25,8.536736,8.906558,8.505918,8.66001,1.662851,362600
1970-03-26,8.690828,8.752465,8.690828,8.752465,1.680604,102200
1970-03-30,8.752465,8.752465,8.66001,8.66001,1.662851,69700
1970-03-31,8.690828,8.783284,8.690828,8.721647,1.674685,49400
1970-04-01,8.844921,8.999014,8.844921,8.906558,1.710191,176000
1970-04-02,8.968195,9.122288,8.968195,8.999014,1.727944,135400
1970-04-03,9.060651,9.122288,9.060651,9.09147,1.745698,44600
1970-04-06,9.09147,9.183925,9.060651,9.122288,1.751615,26700
1970-04-07,9.122288,9.214744,9.09147,9.214744,1.769368,24300
1970-04-08,9.214744,9.245563,9.122288,9.214744,1.769368,75000
1970-04-09,9.245563,9.368836,9.245563,9.276381,1.781203,73400
1970-04-10,9.276381,9.338017,9.245563,9.276381,1.781203,56700
1970-04-13,9.276381,9.307199,9.245563,9.245563,1.775285,28700
1970-04-14,9.245563,9.307199,9.183925,9.307199,1.78712,45800
1970-04-15,9.307199,9.338017,9.245563,9.307199,1.78712,60400
1970-04-16,9.307199,9.338017,9.060651,9.060651,1.739779,240900
1970-04-17,9.029832,9.029832,8.906558,8.937377,1.71611,48200
1970-04-20,8.937377,8.937377,8.721647,8.87574,1.704275,43800
1970-04-21,8.87574,8.937377,8.721647,8.752465,1.680604,45800
1970-04-22,8.752465,8.844921,8.505918,8.690828,1.668769,226300
1970-04-23,8.66001,8.66001,8.475099,8.567554,1.645097,52300
1970-04-24,8.567554,8.598372,8.321006,8.321006,1.597757,153300
1970-04-27,8.321006,8.321006,8.197732,8.290188,1.591839,61600
1970-04-28,8.290188,8.290188,8.136095,8.166913,1.568168,101400
1970-04-29,8.166913,8.321006,8.136095,8.321006,1.597757,77000
1970-04-30,8.321006,8.536736,8.259369,8.382643,1.609592,53900
1970-05-01,8.382643,8.567554,8.382643,8.505918,1.633262,48600
1970-05-04,8.44428,8.44428,8.166913,8.22855,1.580003,57100
1970-05-05,8.22855,8.351825,8.166913,8.166913,1.568168,107400
1970-05-06,8.166913,8.382643,8.166913,8.22855,1.580003,59600
1970-05-07,8.22855,8.290188,8.166913,8.259369,1.585921,60400
1970-05-08,8.22855,8.22855,8.136095,8.197732,1.574087,48600
1970-05-11,8.197732,8.22855,8.136095,8.166913,1.568168,39300
1970-05-12,8.136095,8.136095,7.982002,8.01282,1.53858,90400
1970-05-13,8.01282,8.01282,7.766272,7.766272,1.491239,114700
1970-05-14,7.458087,7.458087,7.149901,7.273176,1.396558,231100
1970-05-15,7.273176,7.581361,7.211538,7.519724,1.4439,88000
1970-05-18,7.519724,7.612179,7.39645,7.612179,1.461651,46200
1970-05-19,7.612179,7.612179,7.519724,7.519724,1.461653,45800
1970-05-20,7.519724,7.550542,7.273176,7.273176,1.41373,89200
1970-05-21,7.273176,7.273176,7.119083,7.242357,1.407739,77000
1970-05-22,7.242357,7.39645,7.18072,7.273176,1.41373,70500
1970-05-25,7.273176,7.334813,7.088264,7.088264,1.377788,55100
1970-05-26,7.088264,7.334813,6.995809,6.995809,1.359816,132200
1970-05-27,6.995809,7.642998,6.995809,7.612179,1.479624,79900
1970-05-28,7.612179,7.735454,7.581361,7.735454,1.503586,137400
1970-05-29,7.735454,7.889546,7.642998,7.827909,1.521556,62000
1970-06-01,7.827909,7.982002,7.766272,7.858728,1.527547,66900
1970-06-02,7.889546,8.074457,7.889546,8.074457,1.569479,43300
1970-06-03,8.074457,8.166913,7.951183,8.136095,1.58146,53900
1970-06-04,8.136095,8.259369,8.01282,8.01282,1.557498,105000
1970-06-05,7.951183,7.951183,7.642998,7.642998,1.485614,51500
1970-06-08,7.704635,8.074457,7.704635,7.982002,1.551508,53500
1970-06-09,7.982002,8.197732,7.982002,8.074457,1.569479,99300
1970-06-10,8.074457,8.136095,8.01282,8.043639,1.563489,30800
1970-06-11,8.043639,8.105276,7.951183,7.951183,1.545519,70100
1970-06-12,7.951183,8.01282,7.889546,7.982002,1.551508,56700
1970-06-15,7.982002,8.01282,7.889546,7.951183,1.545519,62000
1970-06-16,7.951183,8.22855,7.920365,8.22855,1.599432,76200
1970-06-17,8.22855,8.290188,8.136095,8.136095,1.58146,63600
1970-06-18,8.136095,8.136095,7.797091,7.982002,1.551508,56300
1970-06-19,7.982002,8.043639,7.889546,7.982002,1.551508,51100
1970-06-22,7.889546,7.889546,7.704635,7.704635,1.497594,39700
1970-06-23,7.704635,7.766272,7.550542,7.550542,1.467643,47400
1970-06-24,7.550542,7.673817,7.39645,7.39645,1.43769,52300
1970-06-25,7.39645,7.519724,7.303994,7.39645,1.43769,74600
1970-06-26,7.39645,7.458087,7.334813,7.365631,1.431701,57100
1970-06-29,7.365631,7.458087,7.273176,7.273176,1.41373,47400
1970-06-30,7.334813,7.581361,7.334813,7.519724,1.461653,81100
1970-07-01,7.519724,7.642998,7.488905,7.642998,1.485614,32800
1970-07-02,7.642998,7.889546,7.642998,7.827909,1.521556,43300
1970-07-06,7.827909,7.889546,7.704635,7.704635,1.497594,50200
1970-07-07,7.704635,7.735454,7.550542,7.642998,1.485614,81100
1970-07-08,7.642998,7.766272,7.642998,7.704635,1.497594,34800
