Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.875399,2.961928,2.875399,2.875399,0.095598,687300
1980-03-18,2.875399,2.928648,2.875399,2.915335,0.096925,1104200
1980-03-19,2.915335,2.928648,2.888711,2.888711,0.09604,1367100
1980-03-20,2.875399,2.875399,2.822151,2.822151,0.093827,484500
1980-03-21,2.815495,2.815495,2.762247,2.762247,0.091836,489700
1980-03-24,2.755591,2.755591,2.662407,2.662407,0.088516,463400
1980-03-25,2.649095,2.649095,2.609159,2.622471,0.087189,529500
1980-03-26,2.635783,2.662407,2.635783,2.642439,0.087852,170500
1980-03-27,2.642439,2.649095,2.555911,2.582535,0.085861,452200
1980-03-28,2.609159,2.768903,2.609159,2.768903,0.092057,1019300
1980-03-31,2.768903,2.768903,2.728967,2.762247,0.091836,643700
1980-04-01,2.762247,2.762247,2.662407,2.662407,0.088516,1398700
1980-04-02,2.689031,2.715655,2.689031,2.708999,0.090065,244100
1980-04-03,2.708999,2.715655,2.669063,2.669063,0.088738,117900
1980-04-07,2.669063,2.675719,2.642439,2.649095,0.088074,1342300
1980-04-08,2.649095,2.695687,2.649095,2.662407,0.088516,232800
1980-04-09,2.662407,2.669063,2.649095,2.649095,0.088074,512300
1980-04-10,2.649095,2.662407,2.635783,2.642439,0.087852,268100
1980-04-11,2.642439,2.655751,2.609159,2.609159,0.086746,634700
1980-04-14,2.609159,2.622471,2.602503,2.609159,0.086746,97600
1980-04-15,2.622471,2.629127,2.622471,2.622471,0.087189,305700
1980-04-16,2.622471,2.662407,2.609159,2.622471,0.087189,845100
1980-04-17,2.622471,2.635783,2.595847,2.622471,0.087189,255400
1980-04-18,2.622471,2.635783,2.615815,2.615815,0.086967,692600
1980-04-21,2.615815,2.629127,2.582535,2.589191,0.086082,129200
1980-04-22,2.589191,2.622471,2.562567,2.562567,0.085197,815000
1980-04-23,2.562567,2.575879,2.542598,2.542598,0.084533,842800
1980-04-24,2.542598,2.582535,2.529286,2.575879,0.085639,307900
1980-04-25,2.562567,2.562567,2.535943,2.535943,0.084312,200500
1980-04-28,2.535943,2.562567,2.52263,2.52263,0.083869,564900
1980-04-29,2.52263,2.535943,2.509318,2.509318,0.083427,125400
1980-04-30,2.509318,2.52263,2.496006,2.502662,0.083205,285400
1980-05-01,2.509318,2.555911,2.509318,2.555911,0.084976,446900
1980-05-02,2.549254,2.549254,2.529286,2.535943,0.084312,383100
1980-05-05,2.52263,2.52263,2.48935,2.48935,0.082763,135200
1980-05-06,2.496006,2.52263,2.496006,2.502662,0.083205,317000
1980-05-07,2.502662,2.569223,2.496006,2.569223,0.085418,788700
1980-05-08,2.569223,2.615815,2.562567,2.562567,0.085197,1785600
1980-05-09,2.555911,2.555911,2.509318,2.515975,0.083648,503300
1980-05-12,2.476038,2.476038,2.442758,2.469382,0.082099,484500
1980-05-13,2.469382,2.502662,2.469382,2.502662,0.083205,217800
1980-05-14,2.515975,2.555911,2.515975,2.535943,0.084312,315500
1980-05-15,2.535943,2.595847,2.535943,2.582535,0.085861,219300
