Date,Open,High,Low,Close,Adj Close,Volume
1995-08-25,6.725,6.825,6.725,6.8,2.960805,3541000
1995-08-28,6.775,6.775,6.65,6.7,3.040447,1418500
1995-08-29,6.75,6.775,6.625,6.7,3.040447,879000
1995-08-30,6.7,6.725,6.675,6.725,3.051791,436500
1995-08-31,6.725,6.725,6.65,6.7,3.040447,606500
1995-09-01,6.7,6.725,6.675,6.725,3.051791,217000
1995-09-05,6.7,6.725,6.675,6.7,3.040447,385500
1995-09-06,6.675,6.7,6.65,6.675,3.029101,247000
1995-09-07,6.675,6.675,6.6,6.625,3.006411,738000
1995-09-08,6.575,6.6,6.275,6.275,2.847582,946000
1995-09-11,6.3,6.525,6.3,6.425,2.915652,434000
1995-09-12,6.55,6.675,6.55,6.65,3.017756,817500
1995-09-13,6.75,6.775,6.65,6.675,3.029101,542500
1995-09-14,6.675,6.7,6.65,6.7,3.040447,154500
1995-09-15,6.675,6.7,6.675,6.7,3.040447,218500
1995-09-18,6.675,6.725,6.65,6.725,3.051791,422500
1995-09-19,6.7,6.7,6.65,6.675,3.029101,116500
1995-09-20,6.65,6.65,6.525,6.55,2.972376,124500
1995-09-21,6.6,6.625,6.55,6.6,2.995067,157000
1995-09-22,6.55,6.55,6.45,6.45,2.926997,94500
1995-09-25,6.5,6.5,6.425,6.425,2.915652,53000
1995-09-26,6.55,6.6,6.525,6.525,2.961032,266500
1995-09-27,6.5,6.525,6.5,6.5,2.949686,95000
1995-09-28,6.55,6.625,6.55,6.6,2.995067,205000
1995-09-29,6.8,6.925,6.8,6.9,3.131206,1303000
1995-10-02,7.0,7.125,7.0,7.025,3.187931,570000
1995-10-03,7.05,7.075,7.0,7.05,3.199275,165000
1995-10-04,7.025,7.025,6.975,6.975,3.165241,108500
1995-10-05,7.0,7.025,6.975,7.025,3.187931,70500
1995-10-06,7.025,7.025,6.95,6.975,3.165241,277000
1995-10-09,6.95,7.0,6.925,6.925,3.142551,77000
1995-10-10,6.925,6.925,6.8,6.825,3.097172,80000
1995-10-11,6.825,6.9,6.825,6.825,3.097172,80500
1995-10-12,6.875,7.05,6.875,7.025,3.187931,170000
1995-10-13,7.15,7.275,7.15,7.25,3.290034,201000
1995-10-16,7.3,7.425,7.3,7.375,3.346759,130000
1995-10-17,7.35,7.35,7.275,7.275,3.301379,154500
1995-10-18,7.275,7.475,7.275,7.375,3.346759,169000
1995-10-19,7.425,7.525,7.425,7.525,3.41483,130500
1995-10-20,7.575,7.7,7.575,7.65,3.471554,212500
1995-10-23,7.675,7.675,7.65,7.675,3.482899,66000
1995-10-24,7.625,7.625,7.55,7.55,3.426174,71500
1995-10-25,7.55,7.55,7.525,7.525,3.41483,284500
1995-10-26,7.525,7.55,7.425,7.45,3.380795,96000
1995-10-27,7.425,7.45,7.4,7.45,3.380795,25000
1995-10-30,7.425,7.475,7.425,7.425,3.36945,18500
1995-10-31,7.55,7.65,7.55,7.65,3.471554,208000
1995-11-01,7.625,7.625,7.475,7.5,3.403484,107000
1995-11-02,7.525,7.65,7.525,7.6,3.448865,291000
1995-11-03,7.9,7.925,7.9,7.925,3.596349,252500
1995-11-06,7.925,8.0,7.85,8.0,3.630384,235000
1995-11-07,8.0,8.0,7.925,7.925,3.596349,192000
1995-11-08,7.925,7.95,7.9,7.95,3.607693,14500
1995-11-09,7.925,8.05,7.925,8.025,3.641729,41500
1995-11-10,8.0,8.0,7.95,7.95,3.607693,11000
1995-11-13,7.925,7.925,7.875,7.925,3.596349,29000
1995-11-14,7.9,7.9,7.8,7.8,3.539623,35500
1995-11-15,7.8,7.875,7.8,7.875,3.57366,11500
1995-11-16,7.875,8.0,7.875,8.0,3.630384,31000
1995-11-17,8.0,8.0,8.0,8.0,3.630384,14500
1995-11-20,8.0,8.1,8.0,8.075,3.66442,25000
1995-11-21,8.075,8.125,8.075,8.125,3.687107,6500
1995-11-22,8.1,8.225,8.1,8.225,3.732488,21500
1995-11-24,8.225,8.225,8.15,8.15,3.698453,12000
1995-11-27,8.15,8.15,8.05,8.05,3.653073,21000
1995-11-28,8.05,8.15,8.05,8.125,3.687107,12000
1995-11-29,8.1,8.1,8.075,8.075,3.66442,6500
1995-11-30,8.1,8.175,8.1,8.15,3.698453,16000
1995-12-01,8.15,8.15,8.125,8.125,3.687107,8500
1995-12-04,8.1,8.125,8.1,8.125,3.687107,6500
1995-12-05,8.1,8.125,8.1,8.125,3.687107,3000
1995-12-06,8.1,8.1,8.05,8.05,3.653073,18000
1995-12-07,8.1,8.2,8.1,8.175,3.709798,102500
1995-12-08,8.125,8.125,8.1,8.1,3.675763,5500
1995-12-11,8.075,8.075,8.075,8.075,3.66442,2500
1995-12-12,8.05,8.05,8.05,8.05,3.653073,2000
1995-12-13,8.1,8.1,8.025,8.025,3.641729,8500
1995-12-14,8.0,8.0,7.975,7.975,3.619038,17000
1995-12-15,7.95,7.95,7.95,7.95,3.607693,8000
1995-12-18,7.9,7.9,7.9,7.9,3.585005,4000
1995-12-19,7.85,7.85,7.75,7.75,3.516933,15500
1995-12-20,7.75,7.75,7.675,7.675,3.482899,6500
1995-12-21,7.675,7.725,7.65,7.65,3.471554,7000
1995-12-22,7.65,7.65,7.65,7.65,3.471554,3000
1995-12-26,7.625,7.625,7.625,7.625,3.46021,1500
1995-12-27,7.625,7.675,7.625,7.625,3.46021,19500
1995-12-28,7.7,7.75,7.7,7.75,3.516933,28000
1995-12-29,7.725,7.75,7.725,7.75,3.516933,10500
1996-01-02,7.8,7.85,7.8,7.825,3.550968,38500
