Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.015625,2.09375,2.015625,2.03125,0.836687,229600
1980-03-18,2.03125,2.171875,2.03125,2.125,0.875304,150400
1980-03-19,2.125,2.140625,2.09375,2.125,0.875304,51200
1980-03-20,2.125,2.125,2.046875,2.078125,0.855995,64800
1980-03-21,2.078125,2.078125,1.96875,1.984375,0.817379,592800
1980-03-24,1.984375,2.015625,1.984375,1.984375,0.817379,120800
1980-03-25,1.984375,2.015625,1.984375,1.984375,0.817379,95200
1980-03-26,2.0,2.046875,2.0,2.0,0.823815,137600
1980-03-27,2.0,2.0,1.984375,2.0,0.823815,111200
1980-03-28,2.0,2.0625,2.0,2.046875,0.843123,135200
1980-03-31,2.046875,2.0625,2.0,2.03125,0.836687,118400
1980-04-01,2.03125,2.0625,2.0,2.03125,0.836687,1002400
1980-04-02,2.03125,2.03125,2.0,2.015625,0.830251,989600
1980-04-03,2.015625,2.09375,2.015625,2.0625,0.849559,344000
1980-04-07,2.0625,2.09375,2.03125,2.046875,0.843123,35200
1980-04-08,2.046875,2.09375,2.015625,2.09375,0.862431,278400
1980-04-09,2.078125,2.078125,2.046875,2.078125,0.855995,846400
1980-04-10,2.078125,2.109375,2.078125,2.078125,0.855995,56800
1980-04-11,2.078125,2.140625,2.078125,2.109375,0.868868,192800
1980-04-14,2.109375,2.109375,2.0625,2.078125,0.855995,68800
1980-04-15,2.078125,2.09375,2.0625,2.09375,0.862431,264800
1980-04-16,2.09375,2.140625,2.09375,2.125,0.875304,362400
1980-04-17,2.125,2.140625,2.109375,2.125,0.875304,64000
1980-04-18,2.125,2.140625,2.125,2.125,0.875304,83200
1980-04-21,2.09375,2.09375,2.078125,2.078125,0.855995,122400
1980-04-22,2.109375,2.140625,2.109375,2.140625,0.88174,166400
1980-04-23,2.140625,2.171875,2.125,2.140625,0.88174,77600
1980-04-24,2.140625,2.203125,2.109375,2.1875,0.901047,90400
1980-04-25,2.1875,2.234375,2.171875,2.21875,0.91392,80800
1980-04-28,2.234375,2.296875,2.234375,2.28125,0.939664,109600
1980-04-29,2.265625,2.265625,2.21875,2.25,0.926792,40000
1980-04-30,2.25,2.3125,2.21875,2.28125,0.939664,158400
1980-05-01,2.28125,2.28125,2.234375,2.234375,0.920356,60000
1980-05-02,2.234375,2.25,2.21875,2.21875,0.91392,37600
1980-05-05,2.234375,2.265625,2.234375,2.25,0.926792,75200
1980-05-06,2.265625,2.28125,2.265625,2.265625,0.933228,39200
1980-05-07,2.265625,2.375,2.265625,2.375,0.97828,1416000
1980-05-08,2.375,2.375,2.3125,2.3125,0.952536,685600
1980-05-09,2.3125,2.34375,2.296875,2.3125,0.952536,159200
1980-05-12,2.3125,2.3125,2.265625,2.3125,0.952536,107200
1980-05-13,2.3125,2.359375,2.234375,2.3125,0.952536,92000
1980-05-14,2.3125,2.3125,2.28125,2.3125,0.952536,323200
1980-05-15,2.3125,2.328125,2.28125,2.296875,0.946099,106400
1980-05-16,2.296875,2.296875,2.265625,2.28125,0.939664,101600
1980-05-19,2.28125,2.28125,2.25,2.25,0.926792,131200
1980-05-20,2.25,2.28125,2.21875,2.28125,0.939664,572000
1980-05-21,2.296875,2.40625,2.296875,2.375,0.97828,1601600
1980-05-22,2.375,2.46875,2.375,2.4375,1.004025,1414400
1980-05-23,2.46875,2.53125,2.46875,2.5,1.029768,636000
1980-05-27,2.484375,2.484375,2.4375,2.4375,1.004025,59200
1980-05-28,2.4375,2.453125,2.375,2.4375,1.004025,81600
1980-05-29,2.421875,2.421875,2.375,2.40625,0.991152,115200
1980-05-30,2.40625,2.453125,2.359375,2.453125,1.010461,99200
1980-06-02,2.453125,2.453125,2.390625,2.390625,0.984716,57600
1980-06-03,2.390625,2.40625,2.375,2.390625,0.984716,32000
1980-06-04,2.390625,2.421875,2.359375,2.390625,0.984716,104800
1980-06-05,2.375,2.375,2.34375,2.375,0.97828,144800
1980-06-06,2.375,2.40625,2.359375,2.40625,0.991152,44800
1980-06-09,2.40625,2.421875,2.375,2.40625,0.991152,84800
1980-06-10,2.40625,2.4375,2.390625,2.421875,0.997588,57600
1980-06-11,2.4375,2.484375,2.4375,2.453125,1.010461,100800
1980-06-12,2.453125,2.46875,2.421875,2.421875,0.997588,40000
1980-06-13,2.421875,2.46875,2.421875,2.453125,1.010461,72000
1980-06-16,2.453125,2.546875,2.453125,2.53125,1.042641,181600
