Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.20862,1.280318,1.20862,1.20862,0.330824,235500
1980-03-18,1.20862,1.259833,1.188135,1.239348,0.339235,166000
1980-03-19,1.239348,1.24959,1.229105,1.229105,0.336432,42700
1980-03-20,1.229105,1.24959,1.229105,1.229105,0.336432,24400
1980-03-21,1.229105,1.29056,1.229105,1.229105,0.336432,97600
1980-03-24,1.229105,1.239348,1.177892,1.177892,0.322414,153800
1980-03-25,1.177892,1.259833,1.177892,1.218863,0.333628,117200
1980-03-26,1.229105,1.382743,1.229105,1.300803,0.356057,147700
1980-03-27,1.280318,1.280318,1.157407,1.188135,0.325217,202600
1980-03-28,1.24959,1.29056,1.24959,1.29056,0.353253,162300
1980-03-31,1.29056,1.300803,1.29056,1.300803,0.356057,90300
1980-04-01,1.300803,1.300803,1.29056,1.300803,0.356057,73200
1980-04-02,1.300803,1.341773,1.300803,1.331531,0.364468,95200
1980-04-03,1.331531,1.331531,1.311046,1.331531,0.364468,19500
1980-04-07,1.331531,1.352016,1.331531,1.331531,0.364468,103700
1980-04-08,1.331531,1.352016,1.331531,1.341773,0.367271,91500
1980-04-09,1.362258,1.433956,1.362258,1.413471,0.386897,84200
1980-04-10,1.433956,1.495411,1.433956,1.454441,0.398111,157400
1980-04-11,1.454441,1.454441,1.423714,1.423714,0.3897,26800
1980-04-14,1.413471,1.413471,1.382743,1.392986,0.381289,73200
1980-04-15,1.392986,1.392986,1.362258,1.362258,0.372878,150100
1980-04-16,1.362258,1.392986,1.352016,1.352016,0.370075,118400
1980-04-17,1.352016,1.392986,1.352016,1.392986,0.381289,89100
1980-04-18,1.392986,1.433956,1.392986,1.392986,0.381289,54900
1980-04-21,1.392986,1.392986,1.352016,1.352016,0.370075,40300
1980-04-22,1.362258,1.495411,1.362258,1.495411,0.409325,130600
1980-04-23,1.536381,1.597837,1.536381,1.536381,0.42054,166000
1980-04-24,1.536381,1.567109,1.536381,1.567109,0.42895,62200
1980-04-25,1.536381,1.536381,1.505654,1.515896,0.414932,62200
1980-04-28,1.515896,1.577352,1.515896,1.526139,0.417736,118400
1980-04-29,1.536381,1.587594,1.536381,1.556867,0.426147,108600
1980-04-30,1.556867,1.567109,1.526139,1.546624,0.423343,78100
1980-05-01,1.546624,1.567109,1.546624,1.556867,0.426147,70800
1980-05-02,1.556867,1.567109,1.526139,1.526139,0.417736,75700
1980-05-05,1.526139,1.556867,1.495411,1.515896,0.414932,135500
1980-05-06,1.505654,1.505654,1.474926,1.505654,0.412129,102500
