Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.5375,0.5625,0.5375,0.5375,0.288539,104000
1980-03-18,0.5375,0.55625,0.53125,0.53125,0.285184,30000
1980-03-19,0.54375,0.56875,0.54375,0.54375,0.291894,100000
1980-03-20,0.54375,0.56875,0.54375,0.54375,0.291894,38000
1980-03-21,0.54375,0.56875,0.54375,0.54375,0.291894,54000
1980-03-24,0.54375,0.56875,0.54375,0.54375,0.291894,40000
1980-03-25,0.54375,0.55,0.525,0.525,0.281829,72000
1980-03-26,0.525,0.55,0.525,0.525,0.281829,6000
1980-03-27,0.5,0.5,0.475,0.475,0.254988,136000
1980-03-28,0.4875,0.5125,0.4875,0.4875,0.261699,94000
1980-03-31,0.4875,0.5125,0.4875,0.4875,0.261699,88000
1980-04-01,0.49375,0.51875,0.49375,0.49375,0.265054,36000
1980-04-02,0.5,0.525,0.5,0.5,0.268409,74000
1980-04-03,0.5,0.51875,0.49375,0.49375,0.265054,28000
1980-04-07,0.49375,0.5,0.475,0.475,0.254988,84000
1980-04-08,0.475,0.5,0.475,0.475,0.254988,32000
1980-04-09,0.48125,0.50625,0.48125,0.48125,0.258343,14000
1980-04-10,0.4875,0.5125,0.4875,0.4875,0.261699,24000
1980-04-11,0.4875,0.5125,0.4875,0.4875,0.261699,80000
1980-04-14,0.4875,0.5125,0.4875,0.4875,0.261699,46000
1980-04-15,0.4875,0.49375,0.46875,0.46875,0.251633,46000
1980-04-16,0.475,0.5,0.475,0.475,0.254988,34000
1980-04-17,0.4875,0.5125,0.4875,0.4875,0.261699,152000
1980-04-18,0.5,0.525,0.5,0.5,0.268409,22000
1980-04-21,0.5,0.5125,0.4875,0.4875,0.261699,8000
1980-04-22,0.4875,0.5125,0.4875,0.4875,0.261699,10000
1980-04-23,0.5125,0.5375,0.5125,0.5125,0.275119,84000
1980-04-24,0.51875,0.54375,0.51875,0.51875,0.278474,34000
1980-04-25,0.51875,0.54375,0.51875,0.51875,0.278474,14000
1980-04-28,0.5375,0.5625,0.5375,0.5375,0.288539,128000
1980-04-29,0.5375,0.5625,0.5375,0.5375,0.288539,32000
1980-04-30,0.54375,0.56875,0.54375,0.54375,0.291894,4000
1980-05-01,0.54375,0.5625,0.5375,0.5375,0.288539,94000
