Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.329826,3.413771,3.329826,3.329826,2.488745,405600
1980-03-18,3.609644,3.693589,3.609644,3.609644,2.697885,672800
1980-03-19,3.609644,3.693589,3.609644,3.609644,2.697885,275200
1980-03-20,3.609644,3.693589,3.609644,3.609644,2.697885,212600
1980-03-21,3.609644,3.637625,3.55368,3.55368,2.656056,260000
1980-03-24,3.469735,3.469735,3.38579,3.38579,2.530573,315400
1980-03-25,3.38579,3.441753,3.357808,3.357808,2.509658,298400
1980-03-26,3.441753,3.525698,3.441753,3.441753,2.572401,477100
1980-03-27,3.329826,3.329826,3.245881,3.245881,2.426004,604900
1980-03-28,3.357808,3.441753,3.357808,3.357808,2.509658,747800
1980-03-31,3.525698,3.609644,3.525698,3.525698,2.63514,344000
1980-04-01,3.665607,3.749552,3.665607,3.665607,2.73971,713000
1980-04-02,3.665607,3.749552,3.665607,3.665607,2.73971,231400
1980-04-03,3.665607,3.72157,3.637625,3.637625,2.718797,402000
1980-04-07,3.581662,3.581662,3.497717,3.497717,2.614229,233200
1980-04-08,3.525698,3.609644,3.525698,3.525698,2.63514,541400
1980-04-09,3.581662,3.665607,3.581662,3.581662,2.67697,447600
1980-04-10,3.637625,3.72157,3.637625,3.637625,2.718797,379700
1980-04-11,3.637625,3.72157,3.637625,3.637625,2.718797,427100
1980-04-14,3.637625,3.693589,3.609644,3.609644,2.697885,195700
1980-04-15,3.637625,3.72157,3.637625,3.637625,2.718797,293000
1980-04-16,3.637625,3.693589,3.609644,3.609644,2.697885,471700
1980-04-17,3.609644,3.637625,3.55368,3.55368,2.656056,235900
1980-04-18,3.581662,3.665607,3.581662,3.581662,2.67697,167100
1980-04-21,3.581662,3.581662,3.497717,3.497717,2.614229,120600
1980-04-22,3.72157,3.805516,3.72157,3.72157,2.781539,487800
1980-04-23,3.72157,3.805516,3.72157,3.72157,2.781539,388600
1980-04-24,3.777534,3.861479,3.777534,3.777534,2.823366,235000
1980-04-25,3.777534,3.833498,3.749552,3.749552,2.802451,270700
1980-04-28,3.833498,3.917443,3.833498,3.833498,2.865194,230500
1980-04-29,3.917443,4.001388,3.917443,3.917443,2.927935,349300
1980-04-30,3.917443,3.973406,3.889461,3.889461,2.907022,425300
1980-05-01,3.917443,4.001388,3.917443,3.917443,2.927935,679900
1980-05-02,3.973406,4.057352,3.973406,3.973406,2.969764,420800
1980-05-05,4.02937,4.113315,4.02937,4.02937,3.011591,290400
1980-05-06,4.02937,4.085333,4.001388,4.001388,2.990677,435100
1980-05-07,4.02937,4.113315,4.02937,4.02937,3.011591,457400
1980-05-08,4.02937,4.057352,3.973406,3.973406,2.969764,596800
1980-05-09,3.917443,3.917443,3.833498,3.833498,2.865194,237700
1980-05-12,3.833498,3.833498,3.749552,3.749552,2.802451,327000
1980-05-13,3.805516,3.889461,3.805516,3.805516,2.844281,358300
1980-05-14,3.861479,3.945424,3.861479,3.861479,2.886106,169800
1980-05-15,4.057352,4.141296,4.057352,4.057352,3.032505,695100
1980-05-16,4.085333,4.169278,4.085333,4.085333,3.053418,511900
1980-05-19,4.113315,4.19726,4.113315,4.113315,3.074333,207300
1980-05-20,4.169278,4.253223,4.169278,4.169278,3.11616,533400
1980-05-21,4.19726,4.281205,4.19726,4.19726,3.137075,205500
1980-05-22,4.309187,4.393132,4.309187,4.309187,3.220729,338600
1980-05-23,4.309187,4.36515,4.281205,4.281205,3.199816,108100
1980-05-27,4.36515,4.449096,4.36515,4.36515,3.262556,164400
1980-05-28,4.36515,4.393132,4.309187,4.309187,3.220729,419000
1980-05-29,4.309187,4.36515,4.281205,4.281205,3.199816,369000
1980-05-30,4.337169,4.421114,4.337169,4.337169,3.241643,440500
1980-06-02,4.337169,4.337169,4.253223,4.253223,3.178901,308200
1980-06-03,4.281205,4.36515,4.281205,4.281205,3.199816,389500
1980-06-04,4.337169,4.421114,4.337169,4.337169,3.241643,534300
1980-06-05,4.36515,4.449096,4.36515,4.36515,3.262556,481600
1980-06-06,4.449096,4.533041,4.449096,4.449096,3.325297,479800
1980-06-09,4.477077,4.561023,4.477077,4.477077,3.346213,640600
1980-06-10,4.477077,4.672949,4.477077,4.644968,3.471694,283200
1980-06-11,4.644968,4.868822,4.616986,4.742904,3.544894,311800
1980-06-12,4.742904,4.798867,4.672949,4.672949,3.492609,162600
1980-06-13,4.644968,4.644968,4.533041,4.589005,3.429868,101900
1980-06-16,4.589005,4.672949,4.463087,4.51905,3.377582,151900
1980-06-17,4.616986,4.84084,4.616986,4.784876,3.576265,211700
1980-06-18,4.784876,4.952767,4.742904,4.770885,3.565809,263600
1980-06-19,4.812858,4.910794,4.812858,4.812858,3.597178,194800
1980-06-20,4.798867,4.798867,4.700931,4.728913,3.534436,92000
1980-06-23,4.728913,4.756895,4.700931,4.700931,3.513524,124200
1980-06-24,4.756895,4.99474,4.756895,4.938776,3.691289,369900
1980-06-25,4.952767,5.246575,4.952767,5.036712,3.764488,420800
1980-06-26,5.036712,5.092676,5.022721,5.092676,3.806314,101000
1980-06-27,5.092676,5.134648,4.924785,4.99474,3.733116,123300
1980-06-30,4.99474,5.036712,4.784876,4.784876,3.576265,97400
1980-07-01,4.784876,4.868822,4.756895,4.784876,3.576265,145600
1980-07-02,4.784876,4.812858,4.728913,4.784876,3.576265,117900
1980-07-03,4.784876,4.924785,4.714922,4.924785,3.680835,159900
1980-07-07,4.980749,5.120657,4.980749,5.092676,3.806314,228700
1980-07-08,5.092676,5.232584,5.050703,5.148639,3.848143,367200
