Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,7.886802,7.905625,7.867979,7.886802,2.832067,33800
1982-01-04,7.867979,7.886802,7.849156,7.849156,2.818549,65000
1982-01-05,7.867979,7.886802,7.849156,7.849156,2.818549,318000
1982-01-06,7.660927,7.811511,7.491521,7.585635,2.723922,369200
1982-01-07,7.397406,7.453875,7.322114,7.453875,2.676609,151400
1982-01-08,7.604458,7.755042,7.453875,7.717396,2.771235,305400
1982-01-11,7.303292,7.67975,6.90801,6.90801,2.480593,687300
1982-01-12,6.851542,6.926833,6.757427,6.757427,2.42652,238400
1982-01-13,6.569198,6.700958,6.437438,6.437438,2.311615,478100
1982-01-14,6.512729,6.550375,6.475083,6.475083,2.325135,130100
1982-01-15,6.588021,6.663312,6.512729,6.663312,2.392724,564400
1982-01-18,6.569198,6.606844,6.512729,6.531552,2.345411,813500
1982-01-19,6.550375,6.588021,6.493906,6.550375,2.352169,345300
1982-01-20,6.64449,6.757427,6.531552,6.719781,2.413003,763000
1982-01-21,6.870365,6.945656,6.77625,6.926833,2.487353,56400
1982-01-22,7.039771,7.115063,6.964479,7.115063,2.554945,82300
1982-01-25,7.265646,7.303292,7.228,7.265646,2.609017,70300
1982-01-26,7.322114,7.378583,7.265646,7.322114,2.629295,292800
1982-01-27,7.322114,7.322114,7.303292,7.322114,2.629295,95600
1982-01-28,7.322114,7.340938,7.303292,7.340938,2.636053,67000
1982-01-29,7.397406,7.453875,7.322114,7.397406,2.656331,115500
1982-02-01,7.453875,7.529167,7.378583,7.453875,2.676609,320700
1982-02-02,7.491521,7.566813,7.416229,7.566813,2.717161,79600
1982-02-03,7.698573,7.980917,7.416229,7.491521,2.690127,929700
1982-02-04,7.491521,7.604458,7.378583,7.435052,2.669848,195200
1982-02-05,7.491521,7.566813,7.397406,7.529167,2.703644,132800
1982-02-08,7.435052,7.529167,7.322114,7.322114,2.629295,71000
1982-02-09,7.228,7.303292,7.133885,7.171531,2.57522,156700
1982-02-10,7.020948,7.115063,6.926833,6.926833,2.487353,39100
1982-02-11,6.889187,6.926833,6.851542,6.90801,2.480593,61000
1982-02-12,6.870365,6.90801,6.813896,6.813896,2.446798,51100
1982-02-16,6.870365,6.964479,6.77625,6.964479,2.50087,71000
1982-02-17,7.039771,7.058594,7.002125,7.002125,2.514389,35100
1982-02-18,7.058594,7.133885,6.983302,7.115063,2.554945,161300
1982-02-19,7.09624,7.115063,7.077417,7.09624,2.548186,94200
1982-02-22,7.039771,7.152709,6.926833,6.926833,2.487353,146700
1982-02-23,6.851542,6.889187,6.813896,6.832719,2.477797,71700
1982-02-24,6.870365,6.90801,6.832719,6.851542,2.484622,67700
1982-02-25,6.90801,6.926833,6.870365,6.889187,2.498274,71000
1982-02-26,6.889187,6.889187,6.889187,6.889187,2.498274,4600
1982-03-01,6.889187,6.889187,6.889187,6.889187,2.498274,17900
1982-03-02,6.90801,6.926833,6.889187,6.889187,2.498274,19200
1982-03-03,6.945656,7.002125,6.889187,6.945656,2.518752,108900
1982-03-04,6.945656,6.964479,6.926833,6.945656,2.518752,182600
1982-03-05,6.945656,6.964479,6.926833,6.926833,2.511926,102200
1982-03-08,6.813896,6.964479,6.663312,6.663312,2.416362,222400
1982-03-09,6.418614,6.569198,6.249208,6.437438,2.334451,230400
1982-03-10,6.475083,6.512729,6.437438,6.475083,2.348104,183200
1982-03-11,6.362146,6.512729,6.192739,6.192739,2.245716,389800
1982-03-12,6.00451,6.098625,5.910396,5.985688,2.170631,312100
1982-03-15,5.985688,6.00451,5.948041,5.985688,2.170631,303400
1982-03-16,5.985688,6.00451,5.966865,5.985688,2.170631,309400
1982-03-17,6.023334,6.042156,5.985688,6.042156,2.191108,250300
1982-03-18,6.192739,6.249208,6.117448,6.249208,2.266193,261600
1982-03-19,6.362146,6.380969,6.3245,6.380969,2.313974,87600
1982-03-22,6.531552,6.569198,6.475083,6.569198,2.382233,29200
1982-03-23,6.663312,6.77625,6.550375,6.77625,2.457318,102900
1982-03-24,6.795073,6.813896,6.77625,6.813896,2.470969,34500
1982-03-25,6.90801,7.002125,6.813896,6.926833,2.511926,110200
1982-03-26,6.945656,7.002125,6.889187,6.964479,2.525577,115500
1982-03-29,6.983302,7.002125,6.964479,7.002125,2.539228,117500
1982-03-30,7.058594,7.077417,7.020948,7.077417,2.566533,33200
