Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.53125,1.578125,1.53125,1.53125,0.759119,25600
1980-03-18,1.53125,1.578125,1.53125,1.53125,0.759119,81600
1980-03-19,1.546875,1.59375,1.546875,1.546875,0.766865,40000
1980-03-20,1.546875,1.578125,1.53125,1.53125,0.759119,11200
1980-03-21,1.53125,1.5625,1.515625,1.515625,0.751372,19200
1980-03-24,1.515625,1.53125,1.484375,1.484375,0.73588,112000
1980-03-25,1.484375,1.515625,1.46875,1.46875,0.728135,49600
1980-03-26,1.484375,1.53125,1.484375,1.484375,0.73588,17600
1980-03-27,1.484375,1.515625,1.46875,1.46875,0.728135,78400
1980-03-28,1.46875,1.515625,1.46875,1.46875,0.728135,16000
1980-03-31,1.453125,1.453125,1.40625,1.40625,0.69715,128000
1980-04-01,1.40625,1.4375,1.390625,1.390625,0.689404,54400
1980-04-02,1.40625,1.453125,1.40625,1.40625,0.69715,20800
1980-04-03,1.40625,1.4375,1.390625,1.390625,0.689404,8000
1980-04-07,1.390625,1.421875,1.375,1.375,0.681658,43200
1980-04-08,1.375,1.421875,1.375,1.375,0.681658,62400
1980-04-09,1.390625,1.4375,1.390625,1.390625,0.689404,33600
1980-04-10,1.421875,1.46875,1.421875,1.421875,0.704896,24000
1980-04-11,1.4375,1.484375,1.4375,1.4375,0.712643,33600
1980-04-14,1.4375,1.46875,1.421875,1.421875,0.704896,32000
1980-04-15,1.421875,1.46875,1.421875,1.421875,0.704896,33600
1980-04-16,1.421875,1.46875,1.421875,1.421875,0.704896,76800
1980-04-17,1.421875,1.46875,1.421875,1.421875,0.704896,8000
1980-04-18,1.46875,1.515625,1.46875,1.46875,0.728135,52800
1980-04-21,1.46875,1.46875,1.421875,1.421875,0.704896,70400
1980-04-22,1.46875,1.515625,1.46875,1.46875,0.728135,83200
1980-04-23,1.46875,1.515625,1.46875,1.46875,0.728135,19200
1980-04-24,1.46875,1.515625,1.46875,1.46875,0.728135,3200
1980-04-25,1.46875,1.5,1.453125,1.453125,0.720389,17600
1980-04-28,1.46875,1.515625,1.46875,1.46875,0.728135,56000
1980-04-29,1.515625,1.5625,1.515625,1.515625,0.751372,64000
1980-04-30,1.515625,1.5625,1.515625,1.515625,0.751372,4800
1980-05-01,1.515625,1.5625,1.515625,1.515625,0.751372,108800
1980-05-02,1.515625,1.5625,1.515625,1.515625,0.751372,17600
1980-05-05,1.515625,1.5625,1.515625,1.515625,0.751372,48000
1980-05-06,1.515625,1.5625,1.515625,1.515625,0.751372,14400
1980-05-07,1.515625,1.546875,1.5,1.5,0.743627,32000
1980-05-08,1.5,1.53125,1.484375,1.484375,0.73588,102400
1980-05-09,1.484375,1.515625,1.46875,1.46875,0.728135,62400
1980-05-12,1.46875,1.5,1.453125,1.453125,0.720389,17600
1980-05-13,1.453125,1.5,1.453125,1.453125,0.720389,8000
1980-05-14,1.453125,1.5,1.453125,1.453125,0.720389,20800
1980-05-15,1.5,1.546875,1.5,1.5,0.743627,140800
1980-05-16,1.5,1.546875,1.5,1.5,0.743627,116800
1980-05-19,1.515625,1.5625,1.515625,1.515625,0.751372,44800
1980-05-20,1.515625,1.546875,1.5,1.5,0.743627,134400
1980-05-21,1.53125,1.578125,1.53125,1.53125,0.759119,76800
1980-05-22,1.53125,1.578125,1.53125,1.53125,0.759119,49600
1980-05-23,1.546875,1.59375,1.546875,1.546875,0.766865,38400
1980-05-27,1.546875,1.59375,1.546875,1.546875,0.766865,12800
1980-05-28,1.609375,1.65625,1.609375,1.609375,0.79785,83200
1980-05-29,1.609375,1.625,1.578125,1.578125,0.782357,57600
1980-05-30,1.578125,1.625,1.578125,1.578125,0.782357,24000
1980-06-02,1.578125,1.625,1.578125,1.578125,0.782357,22400
1980-06-03,1.578125,1.609375,1.5625,1.5625,0.774611,22400
1980-06-04,1.5625,1.609375,1.5625,1.5625,0.774611,30400
1980-06-05,1.5625,1.609375,1.5625,1.5625,0.774611,57600
1980-06-06,1.5625,1.609375,1.5625,1.5625,0.774611,11200
1980-06-09,1.5625,1.609375,1.5625,1.5625,0.774611,38400
1980-06-10,1.59375,1.640625,1.59375,1.59375,0.790103,44800
1980-06-11,1.625,1.671875,1.625,1.625,0.805595,96000
1980-06-12,1.640625,1.6875,1.640625,1.640625,0.813342,16000
1980-06-13,1.640625,1.6875,1.640625,1.640625,0.813342,12800
1980-06-16,1.65625,1.703125,1.65625,1.65625,0.821088,32000
1980-06-17,1.671875,1.71875,1.671875,1.671875,0.828834,6400
1980-06-18,1.671875,1.71875,1.671875,1.671875,0.828834,11200
1980-06-19,1.671875,1.71875,1.671875,1.671875,0.828834,56000
1980-06-20,1.671875,1.703125,1.65625,1.65625,0.821088,49600
1980-06-23,1.6875,1.734375,1.6875,1.6875,0.836579,36800
1980-06-24,1.6875,1.734375,1.6875,1.6875,0.836579,25600
1980-06-25,1.6875,1.734375,1.6875,1.6875,0.836579,3200
1980-06-26,1.6875,1.734375,1.6875,1.6875,0.836579,94400
1980-06-27,1.6875,1.734375,1.6875,1.6875,0.836579,12800
1980-06-30,1.6875,1.734375,1.6875,1.6875,0.836579,20800
1980-07-01,1.6875,1.734375,1.6875,1.6875,0.836579,22400
1980-07-02,1.6875,1.734375,1.6875,1.6875,0.836579,6400
1980-07-03,1.6875,1.734375,1.6875,1.6875,0.836579,59200
1980-07-07,1.71875,1.734375,1.71875,1.71875,0.852072,30400
1980-07-08,1.765625,1.78125,1.765625,1.765625,0.875311,49600
1980-07-09,1.84375,1.859375,1.84375,1.84375,0.914041,182400
1980-07-10,1.84375,1.859375,1.84375,1.84375,0.914041,60800
1980-07-11,1.84375,1.859375,1.84375,1.84375,0.914041,28800
1980-07-14,1.875,1.890625,1.875,1.875,0.929534,96000
1980-07-15,1.875,1.890625,1.875,1.875,0.929534,27200
1980-07-16,1.90625,1.921875,1.90625,1.90625,0.945026,76800
1980-07-17,1.9375,1.953125,1.9375,1.9375,0.960518,417600
1980-07-18,1.9375,1.96875,1.9375,1.9375,0.960518,44800
1980-07-21,1.9375,1.984375,1.9375,1.9375,0.960518,33600
1980-07-22,1.953125,1.984375,1.953125,1.953125,0.968264,40000
1980-07-23,1.953125,1.984375,1.953125,1.953125,0.968264,22400
1980-07-24,1.953125,1.984375,1.953125,1.953125,0.968264,72000
1980-07-25,1.96875,2.0,1.96875,1.96875,0.97601,115200
1980-07-28,2.03125,2.0625,2.03125,2.03125,1.006994,83200
1980-07-29,2.140625,2.15625,2.140625,2.140625,1.061218,120000
1980-07-30,2.203125,2.21875,2.203125,2.203125,1.092202,108800
1980-07-31,2.203125,2.234375,2.203125,2.203125,1.092202,273600
1980-08-01,2.234375,2.265625,2.234375,2.234375,1.107694,217600
1980-08-04,2.234375,2.265625,2.234375,2.234375,1.107694,57600
1980-08-05,2.234375,2.265625,2.234375,2.234375,1.107694,148800
1980-08-06,2.234375,2.265625,2.234375,2.234375,1.107694,67200
1980-08-07,2.234375,2.25,2.234375,2.234375,1.107694,243200
1980-08-08,2.25,2.28125,2.25,2.25,1.115441,67200
1980-08-11,2.296875,2.3125,2.296875,2.296875,1.138679,120000
1980-08-12,2.296875,2.296875,2.28125,2.28125,1.130932,60800
1980-08-13,2.21875,2.21875,2.1875,2.1875,1.084455,305600
1980-08-14,2.1875,2.1875,2.15625,2.15625,1.068964,64000
1980-08-15,2.171875,2.203125,2.171875,2.171875,1.076709,59200
1980-08-18,2.09375,2.09375,2.0625,2.0625,1.022487,204800
1980-08-19,2.0625,2.0625,2.046875,2.046875,1.014741,211200
1980-08-20,2.046875,2.0625,2.046875,2.046875,1.014741,91200
1980-08-21,2.0625,2.078125,2.0625,2.0625,1.022487,59200
1980-08-22,2.09375,2.125,2.09375,2.09375,1.037979,62400
1980-08-25,2.09375,2.125,2.09375,2.09375,1.037979,24000
1980-08-26,2.09375,2.09375,2.0625,2.0625,1.022487,28800
1980-08-27,2.0625,2.0625,2.03125,2.03125,1.006994,248000
1980-08-28,2.03125,2.0625,2.015625,2.015625,0.999249,54400
1980-08-29,2.015625,2.046875,2.015625,2.015625,0.999249,46400
1980-09-02,2.046875,2.0625,2.046875,2.046875,1.014741,65600
1980-09-03,2.046875,2.078125,2.046875,2.046875,1.014741,25600
1980-09-04,2.078125,2.09375,2.078125,2.078125,1.030232,70400
1980-09-05,2.078125,2.09375,2.078125,2.078125,1.030232,73600
1980-09-08,2.09375,2.125,2.09375,2.09375,1.037979,68800
1980-09-09,2.125,2.140625,2.125,2.125,1.053471,68800
1980-09-10,2.125,2.15625,2.125,2.125,1.053471,32000
1980-09-11,2.125,2.15625,2.125,2.125,1.053471,4800
1980-09-12,2.15625,2.1875,2.15625,2.15625,1.068964,73600
1980-09-15,2.15625,2.1875,2.15625,2.15625,1.068964,24000
1980-09-16,2.1875,2.21875,2.1875,2.1875,1.084455,20800
1980-09-17,2.1875,2.21875,2.1875,2.1875,1.084455,25600
1980-09-18,2.1875,2.21875,2.1875,2.1875,1.084455,44800
1980-09-19,2.203125,2.234375,2.203125,2.203125,1.092202,155200
1980-09-22,2.21875,2.234375,2.21875,2.21875,1.099948,96000
1980-09-23,2.28125,2.296875,2.28125,2.28125,1.130932,356800
1980-09-24,2.265625,2.265625,2.25,2.25,1.115441,25600
1980-09-25,2.25,2.265625,2.25,2.25,1.115441,40000
1980-09-26,2.234375,2.234375,2.21875,2.21875,1.099948,51200
1980-09-29,2.21875,2.234375,2.203125,2.203125,1.092202,24000
1980-09-30,2.203125,2.21875,2.1875,2.1875,1.084455,35200
1980-10-01,2.1875,2.21875,2.1875,2.1875,1.084455,3200
1980-10-02,2.1875,2.21875,2.1875,2.1875,1.084455,24000
1980-10-03,2.1875,2.21875,2.1875,2.1875,1.084455,38400
1980-10-06,2.265625,2.28125,2.265625,2.265625,1.123186,43200
1980-10-07,2.265625,2.265625,2.234375,2.234375,1.107694,32000
1980-10-08,2.234375,2.265625,2.234375,2.234375,1.107694,9600
1980-10-09,2.25,2.265625,2.25,2.25,1.115441,3200
1980-10-10,2.25,2.265625,2.25,2.25,1.115441,49600
1980-10-13,2.28125,2.3125,2.28125,2.28125,1.130932,32000
1980-10-14,2.296875,2.3125,2.296875,2.296875,1.138679,48000
1980-10-15,2.3125,2.34375,2.3125,2.3125,1.146424,36800
1980-10-16,2.34375,2.359375,2.34375,2.34375,1.161916,88000
1980-10-17,2.34375,2.375,2.34375,2.34375,1.161916,27200
1980-10-20,2.40625,2.4375,2.40625,2.40625,1.192901,48000
1980-10-21,2.46875,2.5,2.46875,2.46875,1.223886,97600
1980-10-22,2.46875,2.5,2.46875,2.46875,1.223886,128000
1980-10-23,2.46875,2.5,2.46875,2.46875,1.223886,51200
1980-10-24,2.484375,2.515625,2.484375,2.484375,1.231632,35200
1980-10-27,2.484375,2.484375,2.453125,2.453125,1.216139,44800
1980-10-28,2.453125,2.46875,2.4375,2.4375,1.208393,174400
1980-10-29,2.4375,2.46875,2.4375,2.4375,1.208393,19200
1980-10-30,2.4375,2.46875,2.4375,2.4375,1.208393,40000
1980-10-31,2.4375,2.46875,2.4375,2.4375,1.208393,12800
1980-11-03,2.46875,2.484375,2.46875,2.46875,1.223886,28800
1980-11-05,2.515625,2.53125,2.515625,2.515625,1.247124,116800
1980-11-06,2.5,2.5,2.46875,2.46875,1.223886,121600
1980-11-07,2.46875,2.46875,2.4375,2.4375,1.208393,59200
1980-11-10,2.4375,2.453125,2.4375,2.4375,1.208393,17600
1980-11-11,2.4375,2.453125,2.421875,2.421875,1.200647,116800
1980-11-12,2.46875,2.484375,2.46875,2.46875,1.223886,184000
1980-11-13,2.46875,2.5,2.46875,2.46875,1.223886,36800
1980-11-14,2.515625,2.546875,2.515625,2.515625,1.247124,67200
1980-11-17,2.515625,2.546875,2.515625,2.515625,1.247124,14400
1980-11-18,2.59375,2.625,2.59375,2.59375,1.285854,126400
1980-11-19,2.59375,2.609375,2.59375,2.59375,1.285854,110400
1980-11-20,2.59375,2.625,2.59375,2.59375,1.285854,36800
1980-11-21,2.59375,2.625,2.59375,2.59375,1.285854,4800
1980-11-24,2.59375,2.625,2.59375,2.59375,1.285854,8000
1980-11-25,2.59375,2.625,2.578125,2.578125,1.278108,100800
1980-11-26,2.578125,2.609375,2.578125,2.578125,1.278108,67200
1980-11-28,2.578125,2.578125,2.546875,2.546875,1.262616,153600
1980-12-01,2.546875,2.546875,2.515625,2.515625,1.247124,104000
1980-12-02,2.484375,2.484375,2.453125,2.453125,1.216139,81600
1980-12-03,2.453125,2.453125,2.421875,2.421875,1.200647,185600
1980-12-04,2.445313,2.46875,2.445313,2.445313,1.212267,145600
1980-12-05,2.445313,2.453125,2.421875,2.421875,1.200647,17600
1980-12-08,2.421875,2.453125,2.421875,2.421875,1.200647,46400
1980-12-09,2.421875,2.4375,2.40625,2.40625,1.192901,25600
1980-12-10,2.40625,2.4375,2.40625,2.40625,1.192901,91200
1980-12-11,2.40625,2.40625,2.375,2.375,1.177409,112000
1980-12-12,2.375,2.40625,2.375,2.375,1.177409,11200
1980-12-15,2.375,2.40625,2.375,2.375,1.177409,57600
1980-12-16,2.359375,2.359375,2.34375,2.34375,1.161916,44800
1980-12-17,2.34375,2.359375,2.328125,2.328125,1.154171,107200
1980-12-18,2.328125,2.359375,2.328125,2.328125,1.154171,99200
1980-12-19,2.328125,2.359375,2.328125,2.328125,1.154171,19200
1980-12-22,2.328125,2.359375,2.328125,2.328125,1.154171,24000
1980-12-23,2.359375,2.390625,2.359375,2.359375,1.169663,238400
1980-12-24,2.359375,2.375,2.359375,2.359375,1.169663,24000
1980-12-26,2.359375,2.390625,2.359375,2.359375,1.169663,3200
1980-12-29,2.3125,2.3125,2.28125,2.28125,1.130932,193600
1980-12-30,2.28125,2.28125,2.25,2.25,1.115441,35200
1980-12-31,2.25,2.28125,2.25,2.25,1.115441,46400
1981-01-02,2.25,2.28125,2.25,2.25,1.115441,8000
1981-01-05,2.265625,2.3125,2.265625,2.265625,1.123186,166400
1981-01-06,2.25,2.25,2.234375,2.234375,1.107694,70400
1981-01-07,2.1875,2.1875,2.15625,2.15625,1.068964,94400
1981-01-08,2.171875,2.203125,2.171875,2.171875,1.076709,110400
1981-01-09,2.1875,2.21875,2.1875,2.1875,1.084455,19200
1981-01-12,2.1875,2.21875,2.1875,2.1875,1.084455,33600
1981-01-13,2.1875,2.21875,2.1875,2.1875,1.084455,17600
1981-01-14,2.1875,2.21875,2.1875,2.1875,1.084455,60800
1981-01-15,2.1875,2.21875,2.1875,2.1875,1.084455,57600
1981-01-16,2.3125,2.3125,2.25,2.25,1.115441,32000
1981-01-19,2.34375,2.375,2.34375,2.34375,1.161916,72800
1981-01-20,2.3125,2.3125,2.25,2.25,1.115441,80800
1981-01-21,2.25,2.25,2.1875,2.1875,1.084455,23200
1981-01-22,2.21875,2.25,2.21875,2.21875,1.099948,40800
1981-01-23,2.21875,2.21875,2.15625,2.15625,1.068964,59200
1981-01-26,2.1875,2.25,2.1875,2.1875,1.084455,109600
1981-01-27,2.21875,2.25,2.21875,2.21875,1.099948,81600
1981-01-28,2.21875,2.25,2.1875,2.1875,1.084455,20800
1981-01-29,2.1875,2.25,2.1875,2.1875,1.084455,96000
1981-01-30,2.21875,2.28125,2.21875,2.21875,1.099948,62400
1981-02-02,2.21875,2.28125,2.21875,2.21875,1.099948,23200
1981-02-03,2.21875,2.28125,2.21875,2.21875,1.099948,48000
