Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,1.583333,1.601852,1.583333,1.601852,0.486101,318600
1972-06-02,1.601852,1.618056,1.597222,1.597222,0.484696,140400
1972-06-05,1.597222,1.599537,1.543981,1.574074,0.47906,469800
1972-06-06,1.560185,1.560185,1.555556,1.560185,0.474833,140400
1972-06-07,1.560185,1.5625,1.546296,1.550926,0.472015,178200
1972-06-08,1.550926,1.555556,1.541667,1.550926,0.472015,432000
1972-06-09,1.550926,1.555556,1.548611,1.553241,0.47272,199800
1972-06-12,1.553241,1.555556,1.546296,1.548611,0.471311,183600
1972-06-13,1.550926,1.56713,1.550926,1.56713,0.476947,415800
1972-06-14,1.571759,1.587963,1.571759,1.583333,0.481878,216000
1972-06-15,1.583333,1.587963,1.576389,1.578704,0.480469,178200
1972-06-16,1.578704,1.587963,1.569444,1.576389,0.479765,183600
1972-06-19,1.576389,1.583333,1.560185,1.571759,0.478356,324000
1972-06-20,1.571759,1.574074,1.564815,1.571759,0.478356,129600
1972-06-21,1.571759,1.583333,1.56713,1.574074,0.47906,356400
1972-06-22,1.574074,1.585648,1.569444,1.583333,0.481878,324000
1972-06-23,1.583333,1.594907,1.583333,1.592593,0.484696,275400
1972-06-26,1.592593,1.592593,1.578704,1.578704,0.480469,194400
1972-06-27,1.578704,1.583333,1.569444,1.569444,0.477652,669600
1972-06-28,1.569444,1.571759,1.564815,1.56713,0.476947,75600
1972-06-29,1.56713,1.576389,1.546296,1.56713,0.476947,280800
1972-06-30,1.56713,1.574074,1.548611,1.553241,0.47272,135000
1972-07-03,1.553241,1.555556,1.541667,1.550926,0.472015,216000
1972-07-05,1.550926,1.553241,1.532407,1.553241,0.47272,372600
1972-07-06,1.553241,1.585648,1.553241,1.569444,0.477652,793800
1972-07-07,1.56713,1.56713,1.546296,1.546296,0.470606,259200
1972-07-10,1.546296,1.560185,1.532407,1.546296,0.470606,372600
1972-07-11,1.546296,1.5625,1.539352,1.55787,0.474129,1080000
1972-07-12,1.55787,1.56713,1.55787,1.560185,0.474833,367200
1972-07-13,1.560185,1.569444,1.550926,1.569444,0.477652,302400
1972-07-14,1.571759,1.62963,1.571759,1.625,0.494559,993600
1972-07-17,1.625,1.638889,1.608796,1.615741,0.491741,561600
1972-07-18,1.615741,1.615741,1.592593,1.597222,0.486105,302400
1972-07-19,1.597222,1.601852,1.578704,1.578704,0.480469,356400
1972-07-20,1.574074,1.574074,1.564815,1.564815,0.476242,243000
1972-07-21,1.564815,1.576389,1.560185,1.569444,0.477652,275400
1972-07-24,1.569444,1.578704,1.569444,1.571759,0.478356,410400
1972-07-25,1.574074,1.585648,1.574074,1.576389,0.479765,469800
1972-07-26,1.576389,1.587963,1.576389,1.587963,0.483287,145800
1972-07-27,1.587963,1.641204,1.583333,1.638889,0.498786,739800
1972-07-28,1.638889,1.643519,1.62037,1.62037,0.49315,318600
1972-07-31,1.62037,1.62963,1.613426,1.618056,0.492445,167400
1972-08-01,1.618056,1.634259,1.613426,1.634259,0.497377,783000
1972-08-02,1.634259,1.657407,1.62963,1.648148,0.501604,523800
1972-08-03,1.648148,1.650463,1.625,1.62963,0.495968,410400
1972-08-04,1.62963,1.62963,1.601852,1.62963,0.495968,432000
1972-08-07,1.627315,1.627315,1.611111,1.627315,0.495263,151200
1972-08-08,1.627315,1.627315,1.613426,1.618056,0.492445,329400
1972-08-09,1.618056,1.622685,1.594907,1.62037,0.49315,669600
1972-08-10,1.62037,1.62037,1.613426,1.62037,0.49315,372600
