Date,Open,High,Low,Close,Adj Close,Volume
1983-04-06,7.375,7.4375,7.15625,7.15625,3.974764,169200
1983-04-07,7.21875,7.25,7.125,7.125,3.957407,46400
1983-04-08,7.21875,7.25,7.15625,7.25,4.026836,148400
1983-04-11,7.4375,7.625,7.34375,7.625,4.235119,138000
1983-04-12,7.625,7.875,7.625,7.875,4.373974,109200
1983-04-13,7.9375,7.96875,7.90625,7.96875,4.426045,95600
1983-04-14,7.90625,7.90625,7.75,7.8125,4.339262,150400
1983-04-15,7.75,7.78125,7.5625,7.5625,4.200406,216800
1983-04-18,7.5625,7.6875,7.46875,7.6875,4.282575,190800
1983-04-19,7.6875,7.78125,7.59375,7.75,4.317392,103600
1983-04-20,7.6875,7.78125,7.6875,7.75,4.317392,161200
1983-04-21,7.78125,8.0,7.75,7.9375,4.421843,323600
1983-04-22,7.90625,7.90625,7.6875,7.75,4.317392,130000
1983-04-25,7.5625,7.6875,7.4375,7.4375,4.143303,175200
1983-04-26,7.375,7.5,7.25,7.28125,4.056259,170400
1983-04-27,7.1875,7.375,6.96875,7.03125,3.916989,191600
1983-04-28,7.125,7.25,7.0,7.15625,3.986625,959600
1983-04-29,7.21875,7.28125,7.125,7.21875,4.021443,400800
1983-05-02,7.125,7.25,7.0,7.25,4.038848,140400
1983-05-03,7.0,7.09375,6.9375,7.03125,3.916989,214400
1983-05-04,7.15625,7.25,7.0625,7.125,3.969216,188400
1983-05-05,7.125,7.15625,7.0625,7.0625,3.934397,92800
1983-05-06,7.09375,7.46875,7.09375,7.4375,4.143303,522800
1983-05-09,7.4375,7.46875,7.34375,7.4375,4.143303,167600
1983-05-10,7.40625,7.5,7.28125,7.3125,4.073669,318800
1983-05-11,7.375,7.375,7.0,7.125,3.969216,630000
1983-05-12,7.15625,7.15625,7.0625,7.0625,3.934397,453200
1983-05-13,7.09375,7.46875,7.09375,7.40625,4.125894,372800
1983-05-16,7.34375,7.34375,7.21875,7.28125,4.056259,176400
1983-05-17,7.34375,7.4375,7.25,7.28125,4.056259,403600
1983-05-18,7.3125,7.34375,7.21875,7.28125,4.056259,183600
1983-05-19,7.1875,7.25,6.96875,7.03125,3.916989,159200
1983-05-20,7.03125,7.0625,6.84375,7.0625,3.934397,146000
1983-05-23,7.0,7.25,6.96875,7.25,4.038848,194000
1983-05-24,7.1875,7.3125,7.15625,7.1875,4.004034,259200
1983-05-25,7.25,7.4375,7.25,7.4375,4.143303,369200
1983-05-26,7.46875,7.46875,7.3125,7.34375,4.091074,256000
1983-05-27,7.28125,7.28125,7.0,7.15625,3.986625,677600
1983-05-31,7.03125,7.09375,6.71875,6.71875,3.7429,577600
1983-06-01,6.71875,6.96875,6.71875,6.96875,3.88217,397600
1983-06-02,7.0,7.125,6.84375,7.03125,3.916989,433200
1983-06-03,7.0625,7.15625,7.0,7.03125,3.916989,178400
1983-06-06,7.0625,7.46875,7.0625,7.3125,4.073669,378000
1983-06-07,7.46875,7.53125,7.375,7.5,4.178121,716000
1983-06-08,7.375,7.5625,7.375,7.5,4.178121,789600
1983-06-09,7.625,7.9375,7.625,7.90625,4.404435,756400
1983-06-10,8.0,8.03125,7.96875,8.0,4.456664,454000
1983-06-13,8.15625,8.25,8.09375,8.15625,4.543706,399600
1983-06-14,8.3125,8.8125,8.25,8.5,4.735205,521200
1983-06-15,8.375,8.4375,8.1875,8.4375,4.700387,421600
1983-06-16,8.6875,8.6875,8.375,8.59375,4.787427,458000
1983-06-17,8.65625,8.6875,8.5,8.59375,4.787427,232000
1983-06-20,8.625,8.71875,8.5,8.5625,4.770021,235600
1983-06-21,8.5,8.625,8.34375,8.59375,4.787427,200400
1983-06-22,8.59375,8.6875,8.5,8.5625,4.770021,279200
1983-06-23,8.5,8.625,8.4375,8.59375,4.787427,497600
1983-06-24,8.53125,8.53125,8.3125,8.5,4.735205,153600
1983-06-27,8.4375,8.46875,8.34375,8.46875,4.717793,170000
