Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,23.5,23.5,22.75,23.0,9.485144,3821400
1997-11-24,23.0,23.0,22.25,22.75,9.382042,541600
1997-11-25,22.875,23.0,22.6875,23.0,9.485144,425000
1997-11-26,23.0,23.0,22.75,22.75,9.382042,165200
1997-11-28,22.75,23.0,22.75,23.0,9.485144,60500
1997-12-01,23.0625,23.125,23.0,23.0625,9.510915,120300
1997-12-02,23.125,23.125,22.875,23.0,9.485144,164200
1997-12-03,23.0625,23.0625,22.9375,23.0,9.485144,540000
1997-12-04,23.0,23.0625,23.0,23.0,9.485144,43800
1997-12-05,22.875,23.375,22.875,23.0625,9.510915,147500
1997-12-08,23.0,23.25,23.0,23.1875,9.562464,74900
1997-12-09,23.125,23.1875,23.0,23.1875,9.562464,61000
1997-12-10,23.125,23.25,23.0625,23.0625,9.510915,104500
1997-12-11,23.0,23.125,23.0,23.0625,9.510915,153600
1997-12-12,23.0625,23.1875,23.0625,23.1875,9.562464,59900
1997-12-15,23.125,23.1875,23.0625,23.1875,9.562464,24400
1997-12-16,23.1875,23.75,23.1875,23.625,9.799522,107900
1997-12-17,23.75,24.25,23.6875,24.1875,10.032844,63900
1997-12-18,24.125,24.25,24.125,24.25,10.058765,35700
1997-12-19,24.25,24.25,23.75,23.875,9.903222,134400
1997-12-22,23.9375,24.125,23.875,24.0,9.955064,34400
1997-12-23,24.0,24.1875,24.0,24.0,9.955064,88500
1997-12-24,23.9375,24.0,23.8125,24.0,9.955064,63300
1997-12-26,23.875,23.875,23.5625,23.6875,9.825447,34600
1997-12-29,23.875,24.0625,23.75,23.8125,9.877295,159600
1997-12-30,24.0,24.3125,23.6875,24.3125,10.084695,52400
1997-12-31,24.375,25.125,24.375,25.125,10.421717,215700
1998-01-02,25.0,25.0,24.625,24.875,10.318014,52000
1998-01-05,24.75,24.9375,24.625,24.625,10.214318,42300
1998-01-06,24.75,24.75,24.625,24.6875,10.240242,26900
1998-01-07,24.6875,24.75,24.4375,24.625,10.214318,49500
1998-01-08,24.5,24.75,24.375,24.5625,10.188391,95700
1998-01-09,24.5,24.5,24.125,24.375,10.110622,37800
1998-01-12,24.125,24.4375,23.75,24.4375,10.136545,24500
1998-01-13,24.5,24.625,24.4375,24.5625,10.188391,190300
1998-01-14,24.5,24.75,24.25,24.75,10.266166,201800
1998-01-15,24.75,24.75,24.5,24.5,10.16247,39200
1998-01-16,24.5625,24.5625,24.375,24.5,10.16247,13600
1998-01-20,24.625,24.75,24.5625,24.625,10.214318,63200
1998-01-21,24.6875,24.875,24.5625,24.75,10.266166,90400
1998-01-22,24.875,24.875,24.625,24.6875,10.240242,99600
1998-01-23,24.75,24.75,24.4375,24.4375,10.136545,11200
1998-01-26,24.3125,24.375,24.125,24.125,10.006919,50500
1998-01-27,24.25,24.5,24.0,24.25,10.058765,17300
1998-01-28,24.125,24.125,23.875,24.0,9.955064,68700
1998-01-29,23.75,24.125,23.75,24.0,9.955064,67700
1998-01-30,24.0,24.5,24.0,24.5,10.16247,33000
1998-02-02,24.5,24.75,24.4375,24.75,10.266166,31000
1998-02-03,24.625,24.75,24.5,24.5,10.16247,18300
1998-02-04,24.5625,24.5625,24.375,24.375,10.110622,29200
