Date,Open,High,Low,Close,Adj Close,Volume
1983-04-06,3.84375,3.859375,3.8125,3.84375,1.403839,960000
1983-04-07,3.859375,3.859375,3.828125,3.84375,1.403839,464000
1983-04-08,3.84375,3.84375,3.75,3.765625,1.375305,219200
1983-04-11,3.765625,3.796875,3.75,3.765625,1.375305,387200
1983-04-12,3.796875,3.828125,3.78125,3.828125,1.398131,313600
1983-04-13,3.84375,3.90625,3.84375,3.90625,1.426666,401600
1983-04-14,3.9375,3.953125,3.91406,3.9375,1.438079,316800
1983-04-15,3.953125,3.96094,3.91406,3.91406,1.429518,286400
1983-04-18,3.91406,3.92969,3.88867,3.92969,1.435227,337600
1983-04-19,3.92969,3.97656,3.89844,3.97656,1.452345,494400
1983-04-20,3.97656,3.99219,3.96875,3.984375,1.455199,198400
1983-04-21,3.984375,4.015625,3.953125,3.953125,1.443786,465600
1983-04-22,3.96094,4.0,3.9375,3.953125,1.443786,182400
1983-04-25,3.953125,4.0,3.90625,3.96875,1.449492,468800
1983-04-26,3.99219,4.015625,3.96875,4.0,1.460905,272000
1983-04-27,4.046875,4.09375,4.0,4.02344,1.469467,387200
1983-04-28,4.03125,4.046875,4.015625,4.03906,1.475172,571200
1983-04-29,4.0625,4.08594,4.03906,4.08594,1.492292,619200
1983-05-02,4.08594,4.11719,4.046875,4.05469,1.48088,670400
1983-05-03,4.02344,4.03906,4.0,4.03906,1.475172,428800
1983-05-04,4.00781,4.03125,3.97656,3.99219,1.471488,451200
1983-05-05,3.96875,4.00781,3.921875,3.9375,1.45133,740800
1983-05-06,3.953125,4.078125,3.953125,4.046875,1.491645,803200
1983-05-09,4.015625,4.0625,4.0,4.05469,1.494526,553600
1983-05-10,4.07031,4.07031,4.03125,4.03125,1.485886,492800
1983-05-11,4.03906,4.046875,4.0,4.02344,1.483007,252800
1983-05-12,4.02344,4.03125,3.96875,3.97656,1.465728,396800
1983-05-13,3.99219,3.99219,3.96094,3.984375,1.468609,225600
1983-05-16,3.96875,4.0,3.9375,4.0,1.474367,356800
1983-05-17,4.0,4.015625,3.97656,4.015625,1.480127,288000
1983-05-18,4.00781,4.140625,4.00781,4.03125,1.485886,825600
1983-05-19,3.984375,3.984375,3.921875,3.953125,1.45709,1417600
1983-05-20,3.953125,4.00781,3.9375,4.00781,1.477246,321600
1983-05-23,4.015625,4.0625,4.00781,4.03906,1.488765,488000
1983-05-24,4.046875,4.11719,4.046875,4.11719,1.517563,355200
1983-05-25,4.09375,4.11719,4.078125,4.109375,1.514681,580800
1983-05-26,4.09375,4.25,4.078125,4.203125,1.549238,1388800
1983-05-27,4.203125,4.203125,4.15625,4.16406,1.534839,209600
1983-05-31,4.16406,4.171875,4.078125,4.09375,1.508924,601600
1983-06-01,4.0625,4.10156,4.0625,4.10156,1.511801,488000
1983-06-02,4.109375,4.11719,3.984375,4.03125,1.485886,366400
1983-06-03,4.015625,4.046875,3.96875,4.03125,1.485886,1065600
1983-06-06,4.0625,4.078125,4.05469,4.07031,1.500283,5444800
1983-06-07,4.08594,4.08594,4.03125,4.046875,1.491645,457600
1983-06-08,4.046875,4.05469,4.00781,4.00781,1.477246,444800
1983-06-09,4.015625,4.02344,3.984375,4.00781,1.477246,427200
1983-06-10,4.02344,4.0625,4.015625,4.0625,1.497405,1878400
1983-06-13,4.0625,4.09375,4.0625,4.078125,1.503164,1062400
1983-06-14,4.078125,4.109375,4.078125,4.109375,1.514681,272000
1983-06-15,4.109375,4.125,4.10156,4.11719,1.517563,592000
1983-06-16,4.125,4.15625,4.125,4.15625,1.53196,628800
1983-06-17,4.15625,4.16406,4.125,4.125,1.520442,1081600
1983-06-20,4.109375,4.140625,4.10156,4.11719,1.517563,222400
1983-06-21,4.10156,4.11719,4.046875,4.09375,1.508924,340800
1983-06-22,4.08594,4.109375,4.0625,4.09375,1.508924,435200
1983-06-23,4.09375,4.109375,4.07031,4.07031,1.500283,145600
1983-06-24,4.07031,4.09375,4.0625,4.09375,1.508924,212800
1983-06-27,4.07031,4.08594,4.0625,4.078125,1.503164,609600
1983-06-28,4.09375,4.109375,4.046875,4.046875,1.491645,428800
1983-06-29,4.03906,4.03906,3.9375,3.9375,1.45133,1552000
1983-06-30,3.9375,3.984375,3.921875,3.96875,1.462849,534400
1983-07-01,3.953125,4.02344,3.953125,4.02344,1.483007,947200
1983-07-05,4.00781,4.00781,3.96875,3.99219,1.471488,155200
1983-07-06,3.96875,3.99219,3.9375,3.984375,1.468609,217600
1983-07-07,3.984375,3.984375,3.921875,3.96875,1.462849,452800
1983-07-08,3.96875,3.984375,3.96094,3.984375,1.468609,152000
1983-07-11,3.984375,3.99219,3.97656,3.97656,1.465728,395200
1983-07-12,3.97656,3.97656,3.90625,3.90625,1.439813,569600
1983-07-13,3.890625,3.921875,3.859375,3.86719,1.425414,291200
1983-07-14,3.90625,3.9375,3.875,3.89844,1.436934,419200
1983-07-15,3.90625,3.91406,3.8125,3.828125,1.411016,329600
1983-07-18,3.80469,3.828125,3.78125,3.8125,1.405257,827200
1983-07-19,3.80469,3.82031,3.796875,3.8125,1.405257,497600
1983-07-20,3.8125,3.875,3.8125,3.875,1.428293,633600
1983-07-21,4.03125,4.03125,4.0,4.0,1.474367,681600
1983-07-22,4.07031,4.125,4.015625,4.125,1.520442,747200
1983-07-25,4.14844,4.21094,4.14844,4.21094,1.552119,441600
1983-07-26,4.21875,4.3125,4.21875,4.3125,1.589552,814400
1983-07-27,4.3125,4.3125,4.1875,4.19531,1.546357,531200
1983-07-28,4.203125,4.21094,4.0625,4.08594,1.506044,384000
1983-07-29,4.03125,4.05469,3.953125,3.99219,1.471488,771200
1983-08-01,3.90625,3.921875,3.86719,3.91406,1.442691,1000000
1983-08-02,3.9375,3.953125,3.90625,3.91406,1.442691,254400
1983-08-03,3.890625,3.90625,3.84375,3.875,1.428293,656000
1983-08-04,3.796875,3.84375,3.65625,3.71094,1.382089,812800
1983-08-05,3.6875,3.75781,3.6875,3.734375,1.390817,881600
1983-08-08,3.703125,3.828125,3.703125,3.734375,1.390817,472000
1983-08-09,3.765625,3.765625,3.65625,3.671875,1.36754,2072000
1983-08-10,3.640625,3.640625,3.5,3.53125,1.315166,1752000
1983-08-11,3.53125,3.609375,3.5,3.5625,1.326804,923200
1983-08-12,3.59375,3.65625,3.578125,3.63281,1.352991,320000
1983-08-15,3.66406,3.765625,3.66406,3.75,1.396637,304000
1983-08-16,3.75,3.75,3.63281,3.671875,1.36754,900800
1983-08-17,3.65625,3.75,3.65625,3.734375,1.390817,868800
1983-08-18,3.765625,3.796875,3.703125,3.71094,1.382089,305600
1983-08-19,3.71875,3.74219,3.703125,3.734375,1.390817,187200
1983-08-22,3.74219,3.8125,3.734375,3.74219,1.393729,1060800
1983-08-23,3.77344,3.8125,3.75,3.78906,1.411185,288000
1983-08-24,3.765625,3.765625,3.72656,3.734375,1.390817,225600
1983-08-25,3.71875,3.8125,3.71094,3.80469,1.417005,550400
1983-08-26,3.8125,3.90625,3.8125,3.90625,1.45483,433600
1983-08-29,3.921875,3.96094,3.88281,3.94531,1.469378,259200
1983-08-30,3.953125,4.07031,3.953125,4.0,1.489745,1729600
1983-08-31,3.96875,3.984375,3.96875,3.984375,1.483926,924800
1983-09-01,3.96875,4.0625,3.96875,4.046875,1.507204,502400
1983-09-02,4.0625,4.125,4.046875,4.125,1.5363,310400
1983-09-06,4.171875,4.203125,4.15625,4.1875,1.559578,457600
1983-09-07,4.21875,4.33594,4.21875,4.33594,1.614862,1228800
1983-09-08,4.34375,4.375,4.32031,4.359375,1.62359,628800
1983-09-09,4.359375,4.375,4.28125,4.28125,1.594494,2353600
1983-09-12,4.296875,4.375,4.25,4.25781,1.585764,604800
1983-09-13,4.265625,4.265625,4.125,4.1875,1.559578,381600
1983-09-14,4.21875,4.21875,4.15625,4.203125,1.565397,126400
1983-09-15,4.203125,4.21875,4.1875,4.21875,1.571217,356800
1983-09-16,4.1875,4.1875,4.0625,4.09375,1.524661,581600
1983-09-19,4.125,4.21875,4.09375,4.171875,1.553759,172800
1983-09-20,4.140625,4.25,4.140625,4.25,1.582855,395200
1983-09-21,4.25,4.46875,4.203125,4.46875,1.664325,999200
1983-09-22,4.46875,4.46875,4.375,4.4375,1.652686,1304000
1983-09-23,4.421875,4.546875,4.40625,4.546875,1.693422,452800
1983-09-26,4.546875,4.578125,4.46875,4.484375,1.670144,338400
1983-09-27,4.5,4.53125,4.4375,4.5,1.675964,402400
1983-09-28,4.46875,4.53125,4.453125,4.453125,1.658506,150400
1983-09-29,4.4375,4.5,4.34375,4.34375,1.61777,211200
1983-09-30,4.28125,4.28125,4.09375,4.109375,1.530481,1076800
1983-10-03,4.109375,4.109375,4.015625,4.109375,1.530481,313600
1983-10-04,4.078125,4.265625,4.078125,4.234375,1.577035,366400
1983-10-05,4.1875,4.25,4.15625,4.25,1.582855,376000
1983-10-06,4.25,4.390625,4.21875,4.34375,1.61777,899200
1983-10-07,4.5625,4.625,4.5625,4.609375,1.716699,759200
1983-10-10,4.5625,4.5625,4.515625,4.515625,1.681784,546400
1983-10-11,4.5625,4.59375,4.5,4.5,1.675964,453600
1983-10-12,4.5,4.578125,4.46875,4.5625,1.699241,406400
1983-10-13,4.625,4.65625,4.5625,4.578125,1.70506,558400
1983-10-14,4.5625,4.609375,4.515625,4.546875,1.693422,148000
1983-10-17,4.53125,4.53125,4.375,4.40625,1.641048,324000
1983-10-18,4.515625,4.53125,4.375,4.40625,1.641048,324000
