Date,Open,High,Low,Close,Adj Close,Volume
1991-12-17,10.0,11.75,10.0,11.625,10.572453,15815400
1991-12-18,11.5,11.625,11.375,11.5,10.458771,2662600
1991-12-19,11.375,11.5,11.125,11.25,10.231403,1017600
1991-12-20,11.5,11.625,11.25,11.5,10.458771,513800
1991-12-23,11.375,11.875,11.375,11.875,10.799819,493200
1991-12-24,11.875,12.125,11.625,12.0,10.9135,492400
1991-12-26,11.875,13.75,11.875,13.5,12.277693,582600
1991-12-27,13.5,13.625,12.875,13.5,12.277693,720800
1991-12-30,13.375,15.375,13.375,14.25,12.959785,1435000
1991-12-31,14.5,14.875,14.25,14.875,13.528191,440800
1992-01-02,14.5,14.75,13.875,14.25,12.959785,1389600
1992-01-03,14.25,15.25,14.25,15.125,13.755554,353800
1992-01-06,15.125,15.5,14.875,15.5,14.096602,442800
1992-01-07,15.375,15.375,14.875,15.0,13.641874,666200
1992-01-08,14.75,15.375,14.625,15.0,13.641874,975000
1992-01-09,15.125,15.125,14.5,14.5,13.187142,376800
1992-01-10,14.75,14.875,14.5,14.875,13.528191,426600
1992-01-13,15.0,15.25,14.625,15.25,13.86924,62600
1992-01-14,15.25,15.3125,14.875,15.125,13.755554,56800
1992-01-15,15.0,15.25,14.875,15.0,13.641874,251600
1992-01-16,14.875,15.125,14.375,14.75,13.414512,801000
1992-01-17,14.5,14.625,14.25,14.375,13.073458,288400
1992-01-20,14.375,14.625,13.625,13.625,12.391372,242800
1992-01-21,13.5,13.625,12.125,13.5,12.277693,823200
1992-01-22,13.375,13.875,13.375,13.75,12.505054,171400
1992-01-23,14.25,14.875,14.0,14.75,13.414512,578800
1992-01-24,15.0,15.625,14.625,15.5,14.096602,591600
1992-01-27,15.375,15.75,15.375,15.5,14.096602,484800
1992-01-28,15.75,15.75,15.375,15.625,14.210284,556200
1992-01-29,15.75,16.25,15.625,15.875,14.437652,410000
1992-01-30,15.625,16.0,15.625,15.9375,14.494492,195000
1992-01-31,15.75,16.25,15.75,16.0,14.551337,194600
1992-02-03,16.0,16.25,16.0,16.25,14.778699,70600
1992-02-04,16.25,16.625,16.0,16.375,14.89238,494600
1992-02-05,16.375,16.5,16.25,16.25,14.778699,196400
1992-02-06,16.25,16.5,16.25,16.5,15.006063,524000
1992-02-07,16.5,16.625,16.25,16.625,15.119748,183600
1992-02-10,16.625,16.875,16.375,16.875,15.347106,125000
1992-02-11,16.875,17.125,16.0,16.625,15.119748,517400
1992-02-12,16.75,16.875,16.5,16.625,15.119748,153800
1992-02-13,16.9375,17.0,16.375,16.5,15.006063,292800
1992-02-14,16.375,16.5,16.125,16.25,14.778699,234400
1992-02-18,16.25,16.5,16.125,16.375,14.89238,171800
1992-02-19,16.5,16.5,15.875,16.0,14.551337,278200
1992-02-20,16.25,16.75,16.0,16.375,14.89238,613600
1992-02-21,16.75,17.875,16.625,17.75,16.142887,600800
1992-02-24,17.75,17.75,16.625,16.625,15.119748,348800
1992-02-25,16.75,16.75,15.625,16.125,14.665014,304600
1992-02-26,15.875,16.375,15.875,16.25,14.778699,104800
1992-02-27,16.25,16.25,15.375,15.75,14.32397,199400
1992-02-28,15.375,15.75,15.375,15.75,14.32397,106200
1992-03-02,15.75,15.75,15.0,15.25,13.86924,503600
1992-03-03,15.0,15.25,14.625,14.875,13.528191,274000
1992-03-04,14.75,14.75,14.375,14.6875,13.357669,810200
1992-03-05,14.625,15.625,14.625,15.125,13.755554,378400
1992-03-06,15.125,15.25,14.75,14.75,13.414512,163800
1992-03-09,15.125,15.25,14.75,15.125,13.755554,108400
1992-03-10,15.25,15.75,15.125,15.75,14.32397,144200
1992-03-11,15.75,15.75,15.0625,15.375,13.982923,189600
1992-03-12,15.25,15.5,15.125,15.5,14.096602,78200
1992-03-13,15.25,15.5,15.25,15.25,13.86924,47200
1992-03-16,15.5,15.5,15.0,15.375,13.982923,51400
1992-03-17,15.375,15.375,14.875,15.25,13.86924,164000
1992-03-18,15.125,15.125,14.625,14.875,13.528191,250800
1992-03-19,14.875,14.875,14.625,14.75,13.414512,131400
1992-03-20,14.875,15.5,14.6875,15.3125,13.926084,89400
1992-03-23,15.375,15.75,15.125,15.5,14.096602,239200
1992-03-24,15.375,15.75,15.375,15.75,14.32397,141000
1992-03-25,15.75,15.75,15.375,15.6875,14.267127,9200
1992-03-26,15.75,16.5,15.6875,16.375,14.89238,101800
1992-03-27,16.375,16.375,16.125,16.375,14.89238,88200
1992-03-30,16.25,16.375,16.25,16.375,14.89238,74400
1992-03-31,16.375,16.6875,16.25,16.375,14.89238,85000
1992-04-01,16.25,16.625,16.25,16.5,15.006063,123800
1992-04-02,16.625,16.625,15.875,15.875,14.437652,75600
1992-04-03,15.875,16.125,15.5,15.5,14.096602,60200
1992-04-06,15.5,15.875,15.5,15.5,14.096602,38800
1992-04-07,15.5,15.875,15.25,15.25,13.86924,102000
1992-04-08,15.0,15.125,14.375,14.75,13.414512,241800
1992-04-09,15.0,15.0,14.625,15.0,13.641874,370600
1992-04-10,15.125,15.75,15.125,15.625,14.210284,50400
1992-04-13,15.75,16.375,15.5,16.375,14.89238,104200
1992-04-14,16.375,16.875,16.375,16.625,15.119748,111400
1992-04-15,17.0,17.5,16.75,17.5,15.915513,184000
1992-04-16,17.5,17.5,16.25,16.25,14.778699,211200
1992-04-20,16.25,16.5,15.25,15.75,14.32397,146000
1992-04-21,15.5,15.75,15.5,15.6875,14.267127,73000
1992-04-22,15.875,15.875,15.625,15.625,14.210284,91000
1992-04-23,15.875,15.875,15.125,15.375,13.982923,142600
1992-04-24,15.375,15.375,14.75,15.0,13.641874,129600
1992-04-27,15.125,15.125,13.375,14.0,12.732417,549200
1992-04-28,13.75,14.0,13.75,13.75,12.505054,181000
1992-04-29,14.0,14.625,13.75,14.5,13.187142,212200
1992-04-30,14.75,15.75,14.625,15.625,14.210284,274200
1992-05-01,15.625,15.625,15.25,15.25,13.86924,30600
1992-05-04,15.25,15.625,15.25,15.25,13.86924,6400
1992-05-05,15.625,15.625,15.25,15.5,14.096602,1600
1992-05-06,15.625,15.625,15.25,15.25,13.86924,13600
1992-05-07,15.25,15.625,15.25,15.25,13.86924,11600
1992-05-08,15.125,15.5,15.125,15.125,13.755554,480800
1992-05-11,15.125,15.5,15.125,15.375,13.982923,192800
1992-05-12,15.125,15.375,15.125,15.125,13.755554,49800
1992-05-13,15.125,15.375,15.125,15.125,13.755554,25200
1992-05-14,15.125,15.375,15.125,15.375,13.982923,156200
1992-05-15,15.25,15.25,14.5,14.875,13.528191,895400
1992-05-18,14.875,14.875,14.375,14.5625,13.243981,121000
1992-05-19,14.75,14.75,14.5,14.75,13.414512,54200
1992-05-20,14.75,14.75,14.3125,14.375,13.073458,38800
1992-05-21,14.125,14.125,13.5,14.0625,12.789263,273600
1992-05-22,14.25,14.25,14.0,14.1875,12.90294,41000
1992-05-26,14.1875,14.25,13.875,14.0,12.732417,347200
1992-05-27,13.875,14.125,13.875,14.0,12.732417,83200
1992-05-28,14.125,14.125,14.0,14.125,12.846097,50800
1992-05-29,14.25,14.4375,13.75,14.0,12.732417,160400
1992-06-01,14.125,14.125,13.25,13.625,12.391372,132600
1992-06-02,13.5,13.875,13.5,13.6875,12.448212,303600
1992-06-03,13.75,13.75,13.625,13.6875,12.448212,200400
1992-06-04,13.625,14.125,13.625,14.125,12.846097,515000
1992-06-05,14.125,14.125,13.75,13.75,12.505054,44800
1992-06-08,14.125,14.375,13.875,14.25,12.959785,54400
1992-06-09,14.25,14.375,13.6875,13.875,12.618738,208200
1992-06-10,13.875,13.875,13.375,13.4375,12.220847,63000
1992-06-11,13.125,13.5,12.375,12.875,11.709276,904200
