Date,Open,High,Low,Close,Adj Close,Volume
1992-06-17,8.5,8.75,7.75,7.9375,5.164123,902000
1992-06-18,7.9375,7.9375,7.5,7.8125,5.082795,421400
1992-06-19,7.8125,7.9375,7.75,7.875,5.123458,453400
1992-06-22,7.875,7.875,7.5625,7.625,4.96081,597200
1992-06-23,7.625,7.75,7.625,7.6875,5.001471,853800
1992-06-24,7.6875,7.75,7.5,7.5625,4.920147,357600
1992-06-25,7.6875,7.8125,7.6875,7.6875,5.001471,785000
1992-06-26,7.6875,7.75,7.625,7.75,5.042134,435000
1992-06-29,7.6875,7.8125,7.625,7.8125,5.082795,386600
1992-06-30,7.8125,8.0625,7.8125,8.0625,5.245449,884400
1992-07-01,7.875,7.9375,7.8125,7.875,5.123458,552600
1992-07-02,7.9375,8.0625,7.6875,8.0625,5.245449,1788200
1992-07-06,7.9375,7.9375,7.6875,7.75,5.042134,580400
1992-07-07,7.8125,7.8125,7.1875,7.3125,4.757496,1147000
1992-07-08,7.375,7.375,6.8125,6.9375,4.513524,1192800
1992-07-09,6.9375,7.3125,6.9375,7.3125,4.757496,2136600
1992-07-10,7.1875,7.25,7.0625,7.125,4.635511,866200
1992-07-13,7.125,7.25,7.125,7.1875,4.676174,846600
1992-07-14,7.125,7.25,7.125,7.25,4.716836,990000
1992-07-15,7.25,7.375,7.25,7.3125,4.757496,1080400
1992-07-16,7.25,7.3125,7.125,7.1875,4.676174,2689000
1992-07-17,7.0625,7.3125,7.0625,7.3125,4.757496,840400
1992-07-20,6.9375,7.1875,6.875,7.125,4.635511,1228200
1992-07-21,7.0,7.25,7.0,7.125,4.635511,1279600
1992-07-22,6.9375,7.5625,6.9375,7.375,4.79816,2743000
1992-07-23,7.3125,7.5,7.3125,7.3125,4.757496,2203800
1992-07-24,7.25,7.5,7.25,7.4375,4.838823,1404000
1992-07-27,7.4375,7.5625,7.3125,7.5,4.879484,1308000
1992-07-28,7.4375,7.5625,7.375,7.5,4.879484,1134400
1992-07-29,7.5,7.5625,7.25,7.375,4.79816,1697600
1992-07-30,7.4375,7.5,7.25,7.5,4.879484,912800
1992-07-31,7.4375,7.5625,7.4375,7.5625,4.920147,1303000
1992-08-03,7.5,7.6875,7.4375,7.6875,5.001471,1616800
1992-08-04,7.6875,7.8125,7.6875,7.75,5.042134,1457000
1992-08-05,7.75,7.8125,7.75,7.75,5.042134,492000
1992-08-06,7.6875,7.75,7.5,7.625,4.96081,1277800
1992-08-07,7.4375,7.5625,7.4375,7.5,4.879484,306200
1992-08-10,7.3125,7.5,7.25,7.4375,4.838823,593000
1992-08-11,7.4375,7.4375,7.25,7.25,4.716836,1804800
1992-08-12,7.4375,7.5,7.125,7.25,4.716836,1591600
1992-08-13,7.3125,7.5625,7.3125,7.5,4.879484,1100600
1992-08-14,7.5,7.9375,7.5,7.875,5.123458,1476600
1992-08-17,7.75,8.0,7.75,7.9375,5.164123,1461000
1992-08-18,8.0,8.1875,7.9375,8.0,5.204783,1660200
1992-08-19,8.0,8.125,7.875,7.9375,5.164123,928000
1992-08-20,8.0,8.0625,8.0,8.0625,5.245449,370400
1992-08-21,8.0,8.3125,8.0,8.25,5.367433,3771600
1992-08-24,7.9375,8.1875,7.9375,8.0625,5.245449,2085000
1992-08-25,8.125,8.1875,7.9375,8.125,5.286108,1168800
1992-08-26,8.0625,8.1875,8.0,8.1875,5.326771,1347000
1992-08-27,8.1875,8.25,8.125,8.125,5.286108,764400
1992-08-28,8.0625,8.125,8.0,8.0625,5.245449,516800
1992-08-31,8.125,8.125,8.0625,8.0625,5.245449,304000
1992-09-01,8.0,8.125,7.9375,8.0,5.224873,1067400
1992-09-02,7.9375,8.0,7.8125,7.875,5.143235,1153600
1992-09-03,7.875,7.9375,7.8125,7.8125,5.102416,474800
1992-09-04,7.875,7.875,7.6875,7.6875,5.020776,461600
1992-09-08,7.75,7.8125,7.6875,7.6875,5.020776,693800
1992-09-09,7.75,7.9375,7.75,7.9375,5.184052,474200
1992-09-10,8.0,8.0625,7.875,7.9375,5.184052,867200
1992-09-11,8.0,8.0625,7.875,7.9375,5.184052,856600
1992-09-14,8.0625,8.25,8.0625,8.25,5.38815,1092800
1992-09-15,8.0625,8.1875,8.0625,8.0625,5.265692,1036400
1992-09-16,8.0,8.125,7.875,8.125,5.306513,864000
1992-09-17,8.125,8.125,8.0,8.125,5.306513,660000
1992-09-18,8.125,8.1875,8.0625,8.1875,5.347331,1351400
1992-09-21,8.125,8.1875,8.0625,8.125,5.306513,491200
1992-09-22,8.125,8.1875,8.0625,8.0625,5.265692,1030000
1992-09-23,8.0,8.0625,7.8125,7.9375,5.184052,714800
1992-09-24,7.9375,8.1875,7.9375,8.125,5.306513,639400
1992-09-25,8.125,8.125,8.0,8.125,5.306513,438800
1992-09-28,8.0625,8.1875,8.0625,8.1875,5.347331,217600
1992-09-29,8.1875,8.1875,8.0625,8.0625,5.265692,313000
1992-09-30,8.125,8.125,7.9375,8.0,5.224873,675200
1992-10-01,7.9375,8.0,7.75,7.875,5.143235,727800
1992-10-02,7.875,8.0,7.75,7.875,5.143235,376000
1992-10-05,7.8125,7.875,7.4375,7.8125,5.102416,815800
1992-10-06,7.75,7.8125,7.5,7.75,5.061594,600800
1992-10-07,7.8125,8.0,7.75,7.9375,5.184052,491400
1992-10-08,7.9375,8.0625,7.9375,8.0,5.224873,327400
1992-10-09,7.9375,7.9375,7.625,7.625,4.979957,628200
1992-10-12,7.6875,7.75,7.5,7.5625,4.939139,629600
1992-10-13,7.5625,7.75,7.5625,7.6875,5.020776,1432200
1992-10-14,7.625,7.8125,7.5625,7.6875,5.020776,941200
1992-10-15,7.625,7.75,7.5625,7.5625,4.939139,944000
1992-10-16,7.5625,7.625,7.5625,7.625,4.979957,404800
1992-10-19,7.625,7.875,7.625,7.875,5.143235,336200
1992-10-20,7.9375,8.0625,7.8125,7.875,5.143235,1016800
1992-10-21,7.875,7.875,7.8125,7.875,5.143235,297000
1992-10-22,7.875,7.9375,7.625,7.75,5.061594,648800
1992-10-23,7.625,7.75,7.625,7.75,5.061594,455400
1992-10-26,7.75,7.875,7.75,7.8125,5.102416,757600
1992-10-27,7.875,8.0,7.8125,7.9375,5.184052,611600
1992-10-28,7.9375,8.0,7.875,8.0,5.224873,1490800
1992-10-29,7.9375,7.9375,7.8125,7.8125,5.102416,442000
1992-10-30,7.875,7.9375,7.8125,7.875,5.143235,786200
1992-11-02,7.9375,8.0,7.875,7.9375,5.184052,529000
1992-11-03,7.9375,8.0625,7.9375,7.9375,5.184052,1005000
1992-11-04,7.9375,7.9375,7.875,7.9375,5.184052,338000
1992-11-05,7.875,8.0625,7.875,8.0625,5.265692,1018800
1992-11-06,7.9375,8.25,7.9375,8.125,5.306513,1850000
1992-11-09,8.0625,8.4375,8.0625,8.25,5.38815,1272200
1992-11-10,8.25,8.5625,8.25,8.375,5.469787,2574600
1992-11-11,8.4375,8.5,8.375,8.5,5.551425,974400
1992-11-12,8.4375,8.4375,8.25,8.3125,5.428969,1504400
1992-11-13,8.25,8.375,8.1875,8.375,5.469787,654600
1992-11-16,8.375,8.375,8.0625,8.125,5.306513,2219600
1992-11-17,8.125,8.1875,8.0,8.0625,5.265692,2032000
1992-11-18,8.0625,8.3125,8.0625,8.25,5.38815,807200
1992-11-19,8.1875,8.3125,8.125,8.25,5.38815,1040000
1992-11-20,8.3125,8.3125,8.125,8.25,5.38815,1954000
1992-11-23,8.1875,8.25,8.0,8.0,5.224873,1565400
1992-11-24,8.0625,8.25,8.0625,8.125,5.306513,470400
1992-11-25,8.25,8.375,8.1875,8.3125,5.428969,1022000
1992-11-27,8.3125,8.375,8.3125,8.375,5.469787,747800
1992-11-30,8.375,8.4375,8.25,8.25,5.38815,998000
1992-12-01,8.25,8.375,8.125,8.1875,5.367498,2407000
1992-12-02,8.1875,8.375,8.125,8.3125,5.449446,1942400
1992-12-03,8.3125,8.4375,8.25,8.25,5.408472,1448200
1992-12-04,8.375,8.4375,8.3125,8.375,5.49042,1611400
1992-12-07,8.3125,8.4375,8.25,8.375,5.49042,884800
1992-12-08,8.25,8.3125,8.25,8.3125,5.449446,1178000
1992-12-09,8.3125,8.375,8.25,8.25,5.408472,815000
1992-12-10,8.25,8.5,8.25,8.4375,5.531392,1170600
1992-12-11,8.3125,8.375,8.25,8.3125,5.449446,461600
1992-12-14,8.3125,8.375,8.125,8.125,5.326527,967400
1992-12-15,7.875,8.0,7.8125,8.0,5.24458,2203000
1992-12-16,8.0,8.1875,8.0,8.125,5.326527,834600
1992-12-17,8.0625,8.4375,8.0625,8.375,5.49042,1126000
1992-12-18,8.375,8.375,8.1875,8.3125,5.449446,1563200
1992-12-21,8.375,8.375,8.25,8.25,5.408472,901000
