Date,Open,High,Low,Close,Adj Close,Volume
1986-07-09,3.46094,3.50781,3.46094,3.49219,2.294713,232000
1986-07-10,3.50781,3.50781,3.46094,3.47656,2.284442,715200
1986-07-11,3.46875,3.47656,3.46875,3.47656,2.284442,152000
1986-07-14,3.46094,3.46875,3.42188,3.42188,2.248512,598400
1986-07-15,3.41406,3.42188,3.375,3.39062,2.227971,187200
1986-07-16,3.39062,3.41406,3.38281,3.41406,2.243374,238400
1986-07-17,3.39844,3.42969,3.39062,3.42969,2.253643,1124800
1986-07-18,3.4375,3.48438,3.42969,3.46875,2.27931,364800
1986-07-21,3.45312,3.46094,3.39062,3.39062,2.227971,209600
1986-07-22,3.41406,3.4375,3.40625,3.42188,2.248512,350400
1986-07-23,3.42969,3.42969,3.41406,3.42969,2.253643,192000
1986-07-24,3.42969,3.42969,3.41406,3.41406,2.243374,420800
1986-07-25,3.42188,3.42969,3.40625,3.40625,2.238241,323200
1986-07-28,3.40625,3.40625,3.29688,3.30469,2.171506,424000
1986-07-29,3.30469,3.30469,3.27344,3.27344,2.150972,158400
1986-07-30,3.25781,3.26562,3.23438,3.25,2.135569,235200
1986-07-31,3.24219,3.25,3.10156,3.10938,2.043167,587200
1986-08-01,3.11719,3.11719,3.09375,3.11719,2.0483,41600
1986-08-04,3.11719,3.11719,3.09375,3.10156,2.03803,238400
1986-08-05,3.09375,3.09375,3.02344,3.02344,1.986697,321600
1986-08-06,3.0625,3.15625,3.03125,3.14062,2.063697,438400
1986-08-07,3.125,3.125,3.09375,3.125,2.053432,294400
1986-08-08,3.125,3.125,3.09375,3.125,2.053432,167200
1986-08-11,3.125,3.125,3.09375,3.125,2.053432,329600
1986-08-12,3.14062,3.1875,3.10938,3.17188,2.084237,444000
1986-08-13,3.1875,3.1875,3.15625,3.17188,2.084237,608800
1986-08-14,3.17188,3.23438,3.15625,3.23438,2.125306,300800
1986-08-15,3.23438,3.25,3.21875,3.25,2.135569,253600
1986-08-18,3.25,3.25,3.17188,3.20312,2.104764,339200
1986-08-19,3.20312,3.23438,3.1875,3.21875,2.115035,795200
1986-08-20,3.20312,3.21875,3.1875,3.21875,2.115035,296000
1986-08-21,3.21875,3.21875,3.15625,3.15625,2.073966,231200
1986-08-22,3.17188,3.20312,3.14062,3.20312,2.104764,156800
1986-08-25,3.20312,3.21875,3.17188,3.20312,2.104764,188000
1986-08-26,3.20312,3.23438,3.1875,3.21875,2.115035,254400
1986-08-27,3.21875,3.3125,3.21875,3.28125,2.156104,819200
1986-08-28,3.25,3.29688,3.25,3.25,2.135569,371200
1986-08-29,3.23438,3.26562,3.23438,3.25,2.135569,621600
1986-09-02,3.26562,3.28125,3.23438,3.25,2.135569,192800
1986-09-03,3.25,3.26562,3.15625,3.17188,2.084237,171200
1986-09-04,3.15625,3.17188,3.15625,3.17188,2.084237,315200
1986-09-05,3.15625,3.17188,3.03125,3.0625,2.012364,8400000
1986-09-08,3.0625,3.0625,2.85938,2.875,1.889157,328800
1986-09-09,2.85938,2.92188,2.8125,2.85938,1.878893,820000
1986-09-10,2.84375,2.84375,2.79688,2.8125,1.84809,341600
1986-09-11,2.79688,2.8125,2.625,2.625,1.724884,523200
1986-09-12,2.64062,2.64062,2.40625,2.57812,1.694078,1635200
1986-09-15,2.57812,2.6875,2.54688,2.59375,1.704349,640000
1986-09-16,2.625,2.625,2.59375,2.625,1.724884,710400
1986-09-17,2.625,2.76562,2.60938,2.76562,1.817283,665600
1986-09-18,2.75,2.82812,2.71875,2.76562,1.817283,335200
1986-09-19,2.78125,2.78125,2.71875,2.76562,1.817283,263200
1986-09-22,2.76562,3.09375,2.76562,3.07812,2.022627,1414400
1986-09-23,3.04688,3.07812,2.9375,2.96875,1.95076,244000
1986-09-24,2.98438,3.01562,2.95312,3.0,1.971295,412800
1986-09-25,3.0,3.01562,2.85938,2.89062,1.899422,753600
1986-09-26,2.89062,2.89062,2.82812,2.82812,1.858353,240000
1986-09-29,2.85938,2.85938,2.75,2.75,1.80702,689600
1986-09-30,2.75,2.76562,2.71875,2.73438,1.796756,1217600
1986-10-01,2.71875,2.75,2.71875,2.71875,1.786485,96800
1986-10-02,2.73438,2.73438,2.67188,2.67188,1.755687,446400
1986-10-03,2.70312,2.70312,2.65625,2.65625,1.745417,1569600
1986-10-06,2.6875,2.71875,2.65625,2.71875,1.786485,1093600
1986-10-07,2.6875,2.71875,2.59375,2.64062,1.735147,1636000
1986-10-08,2.625,2.64062,2.5625,2.57812,1.694078,883200
1986-10-09,2.57812,2.625,2.5625,2.625,1.724884,919200
1986-10-10,2.60938,2.70312,2.59375,2.67188,1.755687,244000
1986-10-13,2.67188,2.70312,2.67188,2.67188,1.755687,137600
1986-10-14,2.70312,2.71875,2.67188,2.6875,1.765952,6782400
1986-10-15,2.6875,2.6875,2.625,2.64062,1.735147,6795200
1986-10-16,2.67188,2.82812,2.64062,2.8125,1.84809,3872000
1986-10-17,2.82812,2.90625,2.82812,2.875,1.889157,1683200
1986-10-20,2.84375,2.875,2.78125,2.79688,1.837825,488800
1986-10-21,2.78125,2.79688,2.73438,2.78125,1.827555,763200
1986-10-22,2.76562,2.76562,2.71875,2.73438,1.796756,1217600
1986-10-23,2.75,2.78125,2.73438,2.78125,1.827555,898400
1986-10-24,2.78125,2.89062,2.78125,2.89062,1.899422,1344800
1986-10-27,2.875,2.90625,2.875,2.90625,1.909692,549600
1986-10-28,2.875,2.96875,2.875,2.96875,1.95076,393600
1986-10-29,2.98438,3.03125,2.95312,3.01562,1.981559,987200
1986-10-30,3.04688,3.14062,3.03125,3.125,2.053432,4232800
1986-10-31,3.10938,3.1875,3.10938,3.1875,2.094501,471200
1986-11-03,3.1875,3.3125,3.1875,3.28125,2.156104,1259200
1986-11-04,3.29688,3.35938,3.28125,3.34375,2.197172,1873600
1986-11-05,3.34375,3.34375,3.29688,3.34375,2.197172,300000
1986-11-06,3.34375,3.4375,3.32812,3.4375,2.258775,1836800
1986-11-07,3.42188,3.51562,3.42188,3.48438,2.28958,1457600
1986-11-10,3.5,3.5,3.39062,3.42188,2.248512,373600
1986-11-11,3.42188,3.45312,3.39062,3.39062,2.227971,1599200
1986-11-12,3.39062,3.40625,3.375,3.375,2.217706,5027200
