Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,5.083333,5.177083,5.083333,5.135417,1.037909,3910800
1983-11-22,5.135417,5.135417,5.09375,5.09375,1.029488,2934000
1983-11-23,5.09375,5.104167,5.052083,5.072917,1.025277,1618800
1983-11-25,5.072917,5.104167,5.072917,5.083333,1.027382,3380400
1983-11-28,5.083333,5.09375,5.03125,5.03125,1.016856,4315200
1983-11-29,5.020833,5.020833,4.947917,4.947917,1.000013,2295600
1983-11-30,4.947917,4.96875,4.90625,4.916667,0.993698,3908400
1983-12-01,4.927083,4.979167,4.927083,4.96875,1.004224,9553200
1983-12-02,4.96875,4.96875,4.9375,4.947917,1.000013,1928400
1983-12-05,4.947917,4.958333,4.927083,4.927083,0.995803,1501200
1983-12-06,4.927083,4.9375,4.90625,4.90625,0.991592,2966400
1983-12-07,4.90625,4.927083,4.854167,4.885417,0.987382,6301200
1983-12-08,4.885417,4.90625,4.875,4.885417,0.987382,6476400
1983-12-09,4.885417,4.885417,4.84375,4.854167,0.981066,6897600
1983-12-12,4.854167,4.875,4.854167,4.864583,0.983171,3379200
1983-12-13,4.864583,4.927083,4.854167,4.90625,0.991592,7300800
1983-12-14,4.90625,4.979167,4.90625,4.916667,0.993698,4986000
1983-12-15,4.916667,4.927083,4.875,4.885417,0.987382,3711600
1983-12-16,4.885417,4.916667,4.854167,4.885417,0.987382,3331200
1983-12-19,4.885417,4.895833,4.875,4.885417,0.987382,3752400
1983-12-20,4.885417,4.90625,4.875,4.90625,0.991592,2410800
1983-12-21,4.90625,4.916667,4.875,4.916667,0.993698,7482000
1983-12-22,4.916667,4.927083,4.885417,4.885417,0.987382,7561200
1983-12-23,4.885417,4.895833,4.854167,4.895833,0.989487,3861600
1983-12-27,4.895833,4.895833,4.864583,4.885417,0.987382,2546400
1983-12-28,4.885417,4.9375,4.885417,4.9375,0.997908,5358000
1983-12-29,4.9375,4.9375,4.916667,4.927083,0.995803,4488000
1983-12-30,4.927083,4.958333,4.90625,4.90625,0.991592,2923200
1984-01-03,4.916667,5.09375,4.916667,5.083333,1.027382,2491200
1984-01-04,5.135417,5.375,5.135417,5.333333,1.07791,6492000
1984-01-05,5.333333,5.427083,5.291667,5.3125,1.073699,4051200
1984-01-06,5.3125,5.333333,5.177083,5.1875,1.048435,4563600
1984-01-09,5.1875,5.197917,5.135417,5.166667,1.044224,3231600
1984-01-10,5.166667,5.1875,5.135417,5.166667,1.044224,3289200
1984-01-11,5.177083,5.239583,5.177083,5.197917,1.05054,4245600
1984-01-12,5.197917,5.229167,5.177083,5.208333,1.052646,2680800
1984-01-13,5.208333,5.291667,5.208333,5.291667,1.069488,4046400
1984-01-16,5.291667,5.447917,5.25,5.395833,1.090541,3388800
1984-01-17,5.395833,5.416667,5.364583,5.416667,1.094752,2637600
1984-01-18,5.416667,5.5,5.416667,5.489583,1.109489,4465200
1984-01-19,5.489583,5.5,5.427083,5.427083,1.096857,3014400
1984-01-20,5.427083,5.4375,5.385417,5.427083,1.096857,2479200
1984-01-23,5.427083,5.4375,5.395833,5.416667,1.094752,1770000
1984-01-24,5.416667,5.458333,5.395833,5.395833,1.090541,2148000
1984-01-25,5.395833,5.40625,5.302083,5.3125,1.073699,1590000
1984-01-26,5.291667,5.291667,5.197917,5.208333,1.052646,3070800
1984-01-27,5.208333,5.229167,5.145833,5.197917,1.05054,4377600
1984-01-30,5.197917,5.302083,5.1875,5.28125,1.067383,4933200
1984-01-31,5.28125,5.302083,5.239583,5.239583,1.058962,2198400
1984-02-01,5.239583,5.270833,5.208333,5.208333,1.052646,1904400
1984-02-02,5.208333,5.21875,5.177083,5.177083,1.04633,4267200
1984-02-03,5.177083,5.208333,5.166667,5.1875,1.048435,3247200
1984-02-06,5.1875,5.1875,5.135417,5.135417,1.037909,2737200
1984-02-07,5.135417,5.208333,5.072917,5.114583,1.033698,3242400
1984-02-08,5.114583,5.145833,5.083333,5.09375,1.029488,2004000
1984-02-09,5.072917,5.072917,5.0,5.0,1.01054,2665200
1984-02-10,5.0,5.010417,4.958333,4.979167,1.006329,2204400
1984-02-13,4.979167,5.09375,4.979167,5.083333,1.027382,3345600
1984-02-14,5.083333,5.1875,5.072917,5.114583,1.033698,3244800
1984-02-15,5.114583,5.135417,5.0625,5.09375,1.029488,4076400
1984-02-16,5.09375,5.114583,5.0,5.072917,1.025277,3710400
1984-02-17,5.072917,5.083333,5.03125,5.041667,1.018961,1302000
1984-02-21,5.041667,5.0625,5.020833,5.041667,1.018961,3312000
1984-02-22,5.041667,5.104167,5.03125,5.0625,1.023172,3346800
1984-02-23,5.041667,5.041667,4.96875,4.989583,1.008435,5638800
1984-02-24,4.989583,5.010417,4.916667,4.958333,1.002119,5305200
1984-02-27,4.958333,5.010417,4.947917,4.979167,1.006329,3411600
1984-02-28,4.979167,4.989583,4.9375,4.9375,0.997908,1876800
