Date,Open,High,Low,Close,Adj Close,Volume
1987-05-05,1.916667,1.927083,1.916667,1.916667,1.382519,13702400
1987-05-06,1.916667,1.927083,1.90625,1.916667,1.382519,8601600
1987-05-07,1.90625,1.90625,1.84375,1.875,1.352464,1852800
1987-05-08,1.875,1.875,1.802083,1.833333,1.32241,1464800
1987-05-11,1.833333,1.885417,1.8125,1.8125,1.307382,852800
1987-05-12,1.8125,1.833333,1.760417,1.770833,1.277328,684000
1987-05-13,1.770833,1.864583,1.770833,1.84375,1.329923,739200
1987-05-14,1.84375,1.916667,1.84375,1.90625,1.375005,1886400
1987-05-15,1.90625,1.90625,1.864583,1.875,1.352464,509600
1987-05-18,1.864583,1.864583,1.75,1.75,1.2623,339200
1987-05-19,1.75,1.833333,1.729167,1.791667,1.292355,247200
1987-05-20,1.791667,1.822917,1.739583,1.822917,1.314896,422400
1987-05-21,1.822917,1.833333,1.822917,1.833333,1.32241,141600
1987-05-22,1.833333,1.864583,1.822917,1.822917,1.314896,228000
1987-05-26,1.822917,1.833333,1.791667,1.822917,1.314896,77600
1987-05-27,1.822917,1.854167,1.822917,1.84375,1.329923,266400
1987-05-28,1.84375,1.84375,1.822917,1.833333,1.32241,60000
1987-05-29,1.833333,1.854167,1.8125,1.8125,1.307382,220800
1987-06-01,1.8125,1.822917,1.78125,1.78125,1.284841,92000
1987-06-02,1.78125,1.833333,1.760417,1.802083,1.299869,245600
1987-06-03,1.833333,1.854167,1.833333,1.854167,1.337437,132800
1987-06-04,1.854167,1.875,1.833333,1.864583,1.344951,408000
1987-06-05,1.864583,1.895833,1.864583,1.895833,1.367491,57600
1987-06-08,1.895833,1.90625,1.885417,1.885417,1.359978,74400
1987-06-09,1.885417,1.895833,1.885417,1.895833,1.367491,64800
1987-06-10,1.90625,1.916667,1.90625,1.916667,1.382519,453600
1987-06-11,1.90625,1.90625,1.90625,1.90625,1.375005,151200
1987-06-12,1.90625,1.916667,1.895833,1.90625,1.375005,164000
1987-06-15,1.90625,1.90625,1.885417,1.90625,1.375005,106400
1987-06-16,1.90625,1.916667,1.875,1.895833,1.367491,218400
1987-06-17,1.895833,1.895833,1.875,1.875,1.352464,139200
1987-06-18,1.875,1.90625,1.854167,1.90625,1.375005,166400
1987-06-19,1.90625,1.90625,1.895833,1.90625,1.375005,58400
1987-06-22,1.90625,1.916667,1.875,1.916667,1.382519,195200
1987-06-23,1.916667,1.96875,1.90625,1.9375,1.397546,360800
1987-06-24,1.9375,1.9375,1.895833,1.90625,1.375005,36800
1987-06-25,1.90625,1.916667,1.90625,1.90625,1.375005,12800
1987-06-26,1.90625,1.927083,1.895833,1.895833,1.367491,132800
1987-06-29,1.895833,1.927083,1.895833,1.927083,1.390033,163200
1987-06-30,1.927083,1.947917,1.916667,1.9375,1.397546,375200
1987-07-01,1.9375,1.979167,1.9375,1.96875,1.420087,268800
1987-07-02,1.958333,1.958333,1.927083,1.927083,1.390033,34400
1987-07-06,1.927083,1.958333,1.927083,1.947917,1.40506,168800
1987-07-07,1.947917,1.947917,1.916667,1.947917,1.40506,183200
1987-07-08,1.947917,1.947917,1.927083,1.927083,1.390033,331200
1987-07-09,1.927083,1.9375,1.927083,1.927083,1.390033,74400
1987-07-10,1.927083,1.958333,1.927083,1.947917,1.40506,316800
1987-07-13,1.947917,1.96875,1.947917,1.958333,1.412574,220800
1987-07-14,1.958333,1.958333,1.927083,1.958333,1.412574,172800
1987-07-15,1.958333,1.958333,1.9375,1.947917,1.40506,223200
1987-07-16,1.96875,2.145833,1.96875,2.135417,1.540307,1736000
1987-07-17,2.135417,2.208333,2.125,2.166667,1.562848,1768800
1987-07-20,2.166667,2.291667,2.083333,2.229167,1.60793,1204800
1987-07-21,2.229167,2.270833,2.208333,2.229167,1.60793,604800
1987-07-22,2.229167,2.291667,2.197917,2.229167,1.60793,376800
1987-07-23,2.229167,2.260417,2.208333,2.229167,1.60793,147200
1987-07-24,2.229167,2.291667,2.1875,2.291667,1.653013,604800
1987-07-27,2.28125,2.28125,2.25,2.260417,1.630471,802400
1987-07-28,2.260417,2.4375,2.229167,2.4375,1.758204,1824000
1987-07-29,2.427083,2.427083,2.375,2.416667,1.743177,408800
1987-07-30,2.416667,2.416667,2.375,2.395833,1.728149,214400
1987-07-31,2.395833,2.4375,2.385417,2.4375,1.758204,1058400
1987-08-03,2.4375,2.541667,2.427083,2.5,1.803285,1037600
1987-08-04,2.520833,2.614583,2.520833,2.5625,1.848368,1436000
1987-08-05,2.5625,2.5625,2.520833,2.53125,1.825826,389600
1987-08-06,2.53125,2.541667,2.489583,2.520833,1.818314,232800
1987-08-07,2.5,2.5,2.416667,2.479167,1.788258,400800
1987-08-10,2.479167,2.520833,2.479167,2.5,1.803285,475200
1987-08-11,2.5,2.5,2.479167,2.5,1.803285,259200
1987-08-12,2.489583,2.489583,2.458333,2.479167,1.788258,470400
1987-08-13,2.5,2.697917,2.5,2.666667,1.923505,2546400
1987-08-14,2.666667,2.833333,2.645833,2.833333,2.043725,1385600
1987-08-17,2.833333,2.916667,2.822917,2.90625,2.096319,588000
1987-08-18,2.90625,2.916667,2.854167,2.895833,2.088805,440000
1987-08-19,2.895833,2.90625,2.84375,2.90625,2.096319,936800
1987-08-20,2.90625,3.0,2.90625,2.979167,2.148916,447200
1987-08-21,3.0,3.104167,3.0,3.09375,2.231568,441600
1987-08-24,3.09375,3.145833,3.072917,3.125,2.254107,368000
1987-08-25,3.135417,3.416667,3.135417,3.291667,2.374326,1443200
1987-08-26,3.291667,3.395833,3.291667,3.322917,2.396868,824000
1987-08-27,3.3125,3.3125,3.166667,3.166667,2.284162,564800
1987-08-28,3.145833,3.145833,2.927083,3.041667,2.193998,660800
1987-08-31,3.0625,3.177083,3.0625,3.15625,2.276649,524000
1987-09-01,3.15625,3.208333,3.083333,3.083333,2.224053,386400
1987-09-02,3.083333,3.09375,3.041667,3.052083,2.201511,446400
1987-09-03,3.052083,3.114583,2.989583,3.0,2.163944,586400
1987-09-04,3.0,3.020833,2.979167,3.020833,2.17897,180000
1987-09-08,3.020833,3.041667,2.885417,2.947917,2.126375,360000
1987-09-09,2.947917,2.958333,2.9375,2.947917,2.126375,120000
1987-09-10,2.947917,2.958333,2.9375,2.947917,2.126375,156800
1987-09-11,2.96875,3.125,2.96875,3.125,2.254107,304800
1987-09-14,3.125,3.197917,3.104167,3.104167,2.23908,326400
1987-09-15,3.104167,3.114583,3.041667,3.041667,2.193998,158400
1987-09-16,3.041667,3.104167,3.010417,3.010417,2.171457,187200
1987-09-17,3.010417,3.041667,3.010417,3.041667,2.193998,57600
1987-09-18,3.041667,3.0625,2.96875,2.96875,2.141403,122400
1987-09-21,2.96875,2.979167,2.875,2.885417,2.081292,624800
1987-09-22,2.885417,2.885417,2.8125,2.875,2.073778,572000
1987-09-23,2.90625,2.947917,2.90625,2.9375,2.11886,144800
1987-09-24,2.9375,3.010417,2.9375,3.010417,2.171457,74400
1987-09-25,3.03125,3.072917,3.03125,3.052083,2.201511,84000
1987-09-28,3.072917,3.104167,3.072917,3.083333,2.224053,573600
1987-09-29,3.083333,3.083333,3.052083,3.052083,2.201511,87200
1987-09-30,3.052083,3.052083,2.958333,3.0,2.163944,249600
1987-10-01,2.979167,2.979167,2.895833,2.895833,2.088805,309600
1987-10-02,2.895833,2.927083,2.875,2.90625,2.096319,197600
1987-10-05,2.90625,2.927083,2.791667,2.791667,2.013669,943200
1987-10-06,2.791667,2.822917,2.791667,2.802083,2.021183,420000
1987-10-07,2.8125,2.875,2.8125,2.833333,2.043725,449600
1987-10-08,2.822917,2.822917,2.729167,2.739583,1.9761,393600
1987-10-09,2.739583,2.739583,2.677083,2.6875,1.938532,91200
1987-10-12,2.6875,2.697917,2.65625,2.6875,1.938532,104000
1987-10-13,2.677083,2.677083,2.635417,2.635417,1.900965,89600
1987-10-14,2.625,2.625,2.604167,2.604167,1.878424,392000
1987-10-15,2.583333,2.583333,2.40625,2.40625,1.735663,338400
1987-10-16,2.40625,2.40625,2.135417,2.145833,1.54782,568800
1987-10-19,2.0625,2.0625,1.770833,1.802083,1.299869,1210400
1987-10-20,1.802083,1.895833,1.5,1.510417,1.089485,878400
1987-10-21,1.625,1.78125,1.625,1.666667,1.202191,3610400
1987-10-22,1.666667,1.708333,1.5,1.697917,1.224732,3105600
1987-10-23,1.6875,1.6875,1.604167,1.604167,1.157108,316800
1987-10-26,1.510417,1.510417,1.3125,1.354167,0.97678,556800
1987-10-27,1.354167,1.416667,1.291667,1.291667,0.931698,317600
1987-10-28,1.291667,1.333333,1.208333,1.28125,0.924184,487200
1987-10-29,1.28125,1.385417,1.260417,1.375,0.991807,245600
1987-10-30,1.40625,1.5625,1.40625,1.520833,1.096999,706400
1987-11-02,1.520833,1.541667,1.479167,1.53125,1.104512,519200
1987-11-03,1.53125,1.53125,1.395833,1.4375,1.036889,428000
1987-11-04,1.4375,1.4375,1.395833,1.40625,1.014348,127200
1987-11-05,1.40625,1.489583,1.395833,1.479167,1.066944,232800
1987-11-06,1.489583,1.541667,1.489583,1.510417,1.089485,614400
1987-11-09,1.510417,1.53125,1.4375,1.510417,1.089485,470400
1987-11-10,1.510417,1.520833,1.458333,1.5,1.081972,317600
1987-11-11,1.520833,1.6875,1.520833,1.65625,1.194677,375200
1987-11-12,1.666667,1.729167,1.666667,1.677083,1.209704,566400
1987-11-13,1.677083,1.677083,1.635417,1.65625,1.194677,221600
1987-11-16,1.65625,1.666667,1.625,1.635417,1.179649,254400
1987-11-17,1.635417,1.65625,1.583333,1.604167,1.157108,194400
1987-11-18,1.604167,1.614583,1.572917,1.59375,1.149595,91200
1987-11-19,1.59375,1.604167,1.572917,1.604167,1.157108,96800
1987-11-20,1.604167,1.645833,1.552083,1.635417,1.179649,175200
1987-11-23,1.645833,1.6875,1.645833,1.65625,1.194677,367200
1987-11-24,1.65625,1.6875,1.635417,1.6875,1.217218,933600
1987-11-25,1.6875,1.6875,1.666667,1.677083,1.209704,290400
1987-11-27,1.677083,1.697917,1.677083,1.677083,1.209704,225600
1987-11-30,1.614583,1.614583,1.53125,1.583333,1.142081,434400
1987-12-01,1.583333,1.604167,1.583333,1.604167,1.157108,104000
1987-12-02,1.604167,1.625,1.604167,1.614583,1.164622,151200
1987-12-03,1.614583,1.635417,1.5625,1.5625,1.127053,559200
1987-12-04,1.5625,1.572917,1.552083,1.572917,1.134567,356000
1987-12-07,1.572917,1.583333,1.572917,1.572917,1.134567,171200
1987-12-08,1.572917,1.583333,1.5625,1.5625,1.127053,792800
1987-12-09,1.583333,1.65625,1.583333,1.65625,1.194677,370400
1987-12-10,1.645833,1.645833,1.59375,1.645833,1.187163,117600
1987-12-11,1.645833,1.65625,1.635417,1.635417,1.179649,48800
1987-12-14,1.635417,1.65625,1.625,1.645833,1.187163,250400
1987-12-15,1.666667,1.729167,1.666667,1.71875,1.239759,288800
1987-12-16,1.71875,1.75,1.71875,1.75,1.2623,72000
1987-12-17,1.75,1.833333,1.75,1.75,1.2623,250400
1987-12-18,1.75,1.760417,1.729167,1.75,1.2623,108000
1987-12-21,1.75,1.791667,1.75,1.75,1.2623,364800
1987-12-22,1.739583,1.739583,1.697917,1.708333,1.232246,48800
1987-12-23,1.6875,1.6875,1.645833,1.666667,1.202191,182400
1987-12-24,1.65625,1.65625,1.59375,1.645833,1.187163,164000
1987-12-28,1.645833,1.677083,1.614583,1.677083,1.209704,110400
1987-12-29,1.708333,1.729167,1.708333,1.71875,1.239759,307200
1987-12-30,1.71875,1.75,1.71875,1.75,1.2623,326400
1987-12-31,1.729167,1.75,1.6875,1.729167,1.247273,207200
1988-01-04,1.75,1.84375,1.75,1.84375,1.329923,267200
1988-01-05,1.916667,2.010417,1.916667,1.989583,1.435115,840800
1988-01-06,2.041667,2.083333,2.020833,2.0625,1.487711,1075200
1988-01-07,2.072917,2.09375,2.041667,2.09375,1.510252,259200
1988-01-08,2.083333,2.083333,1.9375,1.9375,1.397546,360000
1988-01-11,1.895833,1.90625,1.833333,1.875,1.352464,339200
1988-01-12,1.895833,1.958333,1.885417,1.9375,1.397546,230400
1988-01-13,1.958333,1.958333,1.947917,1.947917,1.40506,211200
1988-01-14,1.947917,1.958333,1.9375,1.958333,1.412574,117600
1988-01-15,1.916667,1.96875,1.916667,1.916667,1.382519,125600
1988-01-18,1.958333,1.979167,1.958333,1.979167,1.427601,639200
1988-01-19,2.0,2.104167,1.989583,2.104167,1.517766,811200
1988-01-20,2.09375,2.09375,1.958333,1.958333,1.412574,499200
1988-01-21,1.979167,1.979167,1.90625,1.927083,1.390033,212000
1988-01-22,1.9375,1.958333,1.927083,1.9375,1.397546,91200
1988-01-25,1.96875,1.96875,1.9375,1.947917,1.40506,720800
1988-01-26,1.958333,1.958333,1.927083,1.927083,1.390033,228000
1988-01-27,1.947917,1.947917,1.90625,1.9375,1.397546,64800
1988-01-28,1.9375,1.958333,1.9375,1.947917,1.40506,168800
1988-01-29,1.96875,2.020833,1.96875,2.020833,1.457656,180000
1988-02-01,2.020833,2.020833,1.979167,2.0,1.442629,300800
1988-02-02,2.0,2.0,1.979167,1.989583,1.435115,77600
1988-02-03,1.989583,2.010417,1.979167,1.979167,1.427601,314400
1988-02-04,1.989583,1.989583,1.895833,1.916667,1.382519,190400
1988-02-05,1.927083,1.958333,1.927083,1.927083,1.390033,888000
1988-02-08,1.916667,1.916667,1.895833,1.916667,1.382519,170400
1988-02-09,1.916667,1.916667,1.864583,1.875,1.352464,56000
1988-02-10,1.895833,1.927083,1.895833,1.90625,1.375005,87200
1988-02-11,1.9375,1.947917,1.916667,1.947917,1.40506,74400
1988-02-12,1.96875,1.96875,1.9375,1.958333,1.412574,74400
1988-02-16,1.979167,2.020833,1.96875,2.0,1.442629,760800
1988-02-17,2.03125,2.03125,2.0,2.020833,1.457656,825600
1988-02-18,2.03125,2.083333,2.020833,2.052083,1.480197,620000
1988-02-19,2.041667,2.0625,2.020833,2.041667,1.472684,43200
1988-02-22,2.020833,2.020833,1.979167,1.989583,1.435115,603200
1988-02-23,2.0,2.03125,2.0,2.020833,1.457656,189600
1988-02-24,2.041667,2.1875,2.041667,2.177083,1.570362,890400
1988-02-25,2.197917,2.270833,2.177083,2.1875,1.577875,249600
1988-02-26,2.208333,2.208333,2.177083,2.177083,1.570362,314400
1988-02-29,2.177083,2.208333,2.166667,2.208333,1.592902,202400
1988-03-01,2.208333,2.229167,2.197917,2.229167,1.60793,405600
