Date,Open,High,Low,Close,Adj Close,Volume
1980-10-01,2.833333,2.851852,2.833333,2.833333,1.451249,566100
1980-10-02,2.814815,2.814815,2.796296,2.796296,1.432278,106600
1980-10-03,2.796296,2.814815,2.777778,2.777778,1.422793,34200
1980-10-06,2.759259,2.759259,2.740741,2.740741,1.403823,194400
1980-10-07,2.703704,2.703704,2.685185,2.685185,1.375367,423900
1980-10-08,2.722222,2.740741,2.722222,2.722222,1.394337,249700
1980-10-09,2.722222,2.740741,2.722222,2.722222,1.394337,93100
1980-10-10,2.722222,2.759259,2.722222,2.722222,1.394337,186700
1980-10-13,2.740741,2.759259,2.740741,2.740741,1.403823,121500
1980-10-14,2.740741,2.759259,2.722222,2.722222,1.394337,198900
1980-10-15,2.722222,2.740741,2.703704,2.703704,1.384852,264600
1980-10-16,2.703704,2.722222,2.703704,2.703704,1.384852,157900
1980-10-17,2.703704,2.722222,2.703704,2.703704,1.384852,74700
1980-10-20,2.703704,2.703704,2.666667,2.666667,1.365883,86400
1980-10-21,2.666667,2.666667,2.648148,2.648148,1.356397,403600
1980-10-22,2.648148,2.666667,2.648148,2.648148,1.356397,135000
1980-10-23,2.62963,2.62963,2.611111,2.611111,1.337426,599400
1980-10-24,2.611111,2.62963,2.611111,2.611111,1.337426,98500
1980-10-27,2.611111,2.611111,2.592592,2.592592,1.327941,96300
1980-10-28,2.592592,2.611111,2.592592,2.592592,1.327941,64800
1980-10-29,2.592592,2.592592,2.574074,2.574074,1.318455,56700
1980-10-30,2.574074,2.611111,2.574074,2.574074,1.318455,182700
1980-10-31,2.574074,2.592592,2.574074,2.574074,1.318455,263200
1980-11-03,2.574074,2.574074,2.555556,2.555556,1.30897,73300
1980-11-05,2.555556,2.574074,2.555556,2.555556,1.30897,107100
1980-11-06,2.555556,2.555556,2.537037,2.537037,1.299485,150300
1980-11-07,2.537037,2.537037,2.518518,2.518518,1.289999,309100
1980-11-10,2.518518,2.555556,2.518518,2.518518,1.289999,105700
1980-11-11,2.62963,2.666667,2.62963,2.62963,1.34691,271300
1980-11-12,2.666667,2.685185,2.666667,2.666667,1.365883,447300
1980-11-13,2.685185,2.722222,2.685185,2.685185,1.375367,83700
1980-11-14,2.703704,2.722222,2.703704,2.703704,1.384852,174600
1980-11-17,2.703704,2.722222,2.685185,2.685185,1.375367,75600
1980-11-18,2.666667,2.666667,2.648148,2.648148,1.356397,217800
1980-11-19,2.648148,2.666667,2.62963,2.62963,1.34691,220000
1980-11-20,2.648148,2.666667,2.648148,2.648148,1.356397,531900
1980-11-21,2.648148,2.648148,2.62963,2.62963,1.34691,130900
1980-11-24,2.648148,2.685185,2.648148,2.648148,1.356397,1187100
1980-11-25,2.685185,2.703704,2.685185,2.685185,1.375367,1826500
1980-11-26,2.759259,2.777778,2.759259,2.759259,1.413308,1891300
