Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,8.0,8.125,8.0,8.0,3.266775,104400
1980-03-18,8.21875,8.34375,8.21875,8.21875,3.3561,144000
1980-03-19,8.375,8.5,8.375,8.375,3.419904,222800
1980-03-20,8.59375,8.71875,8.59375,8.59375,3.509231,455200
1980-03-21,8.59375,8.6875,8.5625,8.5625,3.49647,114800
1980-03-24,8.5625,8.6875,8.5625,8.5625,3.49647,184400
1980-03-25,8.59375,8.71875,8.59375,8.59375,3.509231,57600
1980-03-26,8.59375,8.71875,8.59375,8.59375,3.509231,288000
1980-03-27,8.5,8.5,8.375,8.375,3.419904,346800
1980-03-28,8.4375,8.5625,8.4375,8.4375,3.445424,164400
1980-03-31,8.4375,8.5,8.375,8.375,3.419904,54000
1980-04-01,8.65625,8.78125,8.65625,8.65625,3.534752,438400
1980-04-02,8.9375,9.0625,8.9375,8.9375,3.6496,494400
1980-04-03,8.9375,9.0625,8.9375,8.9375,3.6496,171200
1980-04-07,8.75,8.75,8.625,8.625,3.521992,109600
1980-04-08,8.75,8.875,8.75,8.75,3.573035,138400
1980-04-09,8.9375,9.0625,8.9375,8.9375,3.6496,261600
1980-04-10,8.9375,9.0,8.875,8.875,3.624079,367200
1980-04-11,8.875,8.96875,8.84375,8.84375,3.611316,70000
1980-04-14,8.84375,8.9375,8.8125,8.8125,3.598556,119200
1980-04-15,8.8125,8.9375,8.8125,8.8125,3.598556,143600
1980-04-16,8.8125,8.90625,8.78125,8.78125,3.585795,280400
1980-04-17,8.78125,8.8125,8.6875,8.6875,3.547513,172000
1980-04-18,8.75,8.875,8.75,8.75,3.573035,95600
1980-04-21,8.75,8.84375,8.71875,8.71875,3.560274,74400
1980-04-22,8.78125,8.90625,8.78125,8.78125,3.585795,98000
1980-04-23,8.875,9.0,8.875,8.875,3.624079,219200
1980-04-24,8.90625,9.03125,8.90625,8.90625,3.636838,21600
1980-04-25,8.90625,8.96875,8.84375,8.84375,3.611316,26000
1980-04-28,8.84375,8.96875,8.84375,8.84375,3.611316,136000
1980-04-29,8.84375,8.9375,8.8125,8.8125,3.598556,43200
1980-04-30,8.8125,8.9375,8.8125,8.8125,3.598556,101200
1980-05-01,8.75,8.75,8.625,8.625,3.521992,37600
1980-05-02,8.625,8.71875,8.59375,8.59375,3.509231,61600
1980-05-05,8.625,8.75,8.625,8.625,3.521992,148800
1980-05-06,8.75,8.875,8.75,8.75,3.573035,126000
1980-05-07,8.75,8.875,8.75,8.75,3.573035,76400
1980-05-08,8.75,8.84375,8.71875,8.71875,3.560274,66000
1980-05-09,8.71875,8.84375,8.71875,8.71875,3.560274,33200
1980-05-12,8.71875,8.8125,8.6875,8.6875,3.547513,6800
