Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.6875,3.03125,2.6875,2.6875,1.330381,208800
1980-03-18,2.6875,2.6875,2.609375,2.6875,1.330381,308000
1980-03-19,2.703125,2.78125,2.703125,2.71875,1.345851,1064000
1980-03-20,2.71875,2.75,2.671875,2.75,1.361319,370400
1980-03-21,2.75,2.859375,2.75,2.75,1.361319,256800
1980-03-24,2.75,2.75,2.71875,2.75,1.361319,242400
1980-03-25,2.75,2.84375,2.75,2.84375,1.407728,43200
1980-03-26,2.859375,2.921875,2.859375,2.921875,1.446402,59200
1980-03-27,2.921875,3.0,2.890625,2.953125,1.461873,420000
1980-03-28,2.96875,3.109375,2.96875,3.109375,1.53922,71200
1980-03-31,3.109375,3.15625,3.0625,3.15625,1.562423,526400
1980-04-01,3.140625,3.140625,3.109375,3.109375,1.53922,50400
1980-04-02,3.109375,3.109375,2.984375,2.984375,1.477341,55200
1980-04-03,2.984375,2.984375,2.890625,2.890625,1.430933,353600
1980-04-07,2.890625,2.90625,2.859375,2.859375,1.415463,494400
1980-04-08,2.859375,2.859375,2.765625,2.78125,1.376789,148800
1980-04-09,2.796875,2.875,2.796875,2.828125,1.399994,127200
1980-04-10,2.828125,2.875,2.828125,2.828125,1.399994,49600
1980-04-11,2.828125,2.9375,2.8125,2.875,1.423198,156000
1980-04-14,2.875,2.890625,2.84375,2.859375,1.415463,64800
1980-04-15,2.859375,2.859375,2.8125,2.828125,1.399994,106400
1980-04-16,2.828125,2.875,2.828125,2.828125,1.399994,96000
1980-04-17,2.828125,2.859375,2.796875,2.796875,1.384525,124000
1980-04-18,2.8125,2.84375,2.8125,2.8125,1.392259,27200
1980-04-21,2.8125,2.859375,2.78125,2.78125,1.376789,190400
1980-04-22,2.78125,2.8125,2.6875,2.75,1.361319,306400
1980-04-23,2.75,2.78125,2.6875,2.6875,1.330381,352000
1980-04-24,2.6875,2.703125,2.625,2.625,1.299442,148800
1980-04-25,2.625,2.734375,2.578125,2.734375,1.353585,138400
1980-04-28,2.78125,2.84375,2.78125,2.8125,1.392259,120000
1980-04-29,2.8125,2.921875,2.8125,2.875,1.423198,620000
1980-04-30,2.875,2.9375,2.828125,2.875,1.423198,208000
1980-05-01,2.875,2.875,2.828125,2.828125,1.399994,70400
1980-05-02,2.828125,2.84375,2.796875,2.828125,1.399994,105600
1980-05-05,2.828125,2.84375,2.765625,2.8125,1.392259,105600
1980-05-06,2.84375,2.859375,2.84375,2.84375,1.407728,110400
1980-05-07,2.875,2.9375,2.875,2.90625,1.438668,78400
1980-05-08,2.90625,2.984375,2.90625,2.953125,1.461873,174400
1980-05-09,2.953125,2.984375,2.90625,2.90625,1.438668,503200
1980-05-12,2.90625,2.9375,2.859375,2.890625,1.430933,58400
1980-05-13,2.859375,2.859375,2.796875,2.84375,1.407728,51200
1980-05-14,2.84375,2.90625,2.84375,2.890625,1.430933,404000
1980-05-15,2.890625,2.953125,2.875,2.890625,1.430933,118400
1980-05-16,2.890625,2.90625,2.875,2.875,1.423198,98400
1980-05-19,2.90625,2.984375,2.90625,2.921875,1.446402,68800
1980-05-20,2.953125,3.0,2.953125,2.953125,1.461873,200800
1980-05-21,2.953125,2.984375,2.9375,2.9375,1.454137,56000
1980-05-22,2.9375,2.984375,2.9375,2.984375,1.477341,160000
1980-05-23,2.984375,2.984375,2.90625,2.90625,1.438668,43200
1980-05-27,2.9375,3.09375,2.9375,3.09375,1.531484,134400
1980-05-28,3.09375,3.109375,3.0625,3.109375,1.53922,216000
1980-05-29,3.109375,3.140625,3.0,3.0,1.485076,313600
1980-05-30,3.015625,3.125,3.015625,3.0625,1.516016,224800
1980-06-02,3.0625,3.078125,3.03125,3.078125,1.52375,352800
1980-06-03,3.078125,3.109375,3.015625,3.078125,1.52375,219200
1980-06-04,3.078125,3.09375,3.015625,3.078125,1.52375,111200
1980-06-05,3.09375,3.15625,3.09375,3.09375,1.531484,253600
1980-06-06,3.09375,3.09375,3.015625,3.03125,1.500545,299200
1980-06-09,2.96875,2.96875,2.90625,2.953125,1.461873,144000
1980-06-10,2.953125,2.953125,2.890625,2.890625,1.430933,114400
1980-06-11,2.890625,2.921875,2.875,2.875,1.423198,535200
1980-06-12,2.875,3.0,2.84375,3.0,1.485076,620000
1980-06-13,3.0,3.046875,2.984375,3.015625,1.492812,96000
1980-06-16,3.046875,3.109375,3.046875,3.09375,1.531484,199200
1980-06-17,3.09375,3.109375,3.03125,3.03125,1.500545,70400
1980-06-18,3.03125,3.046875,2.984375,3.015625,1.492812,75200
1980-06-19,3.015625,3.03125,2.9375,2.9375,1.454137,131200
1980-06-20,2.9375,3.015625,2.90625,2.96875,1.469607,580800
1980-06-23,2.96875,3.03125,2.96875,2.984375,1.477341,59200
1980-06-24,2.984375,3.046875,2.984375,3.0,1.485076,144800
1980-06-25,3.03125,3.0625,3.03125,3.0625,1.516016,96000
1980-06-26,3.0625,3.109375,3.0625,3.078125,1.52375,96800
1980-06-27,3.09375,3.140625,3.09375,3.109375,1.53922,180800
1980-06-30,3.109375,3.125,3.078125,3.109375,1.53922,225600
1980-07-01,3.109375,3.109375,3.0625,3.078125,1.52375,231200
1980-07-02,3.078125,3.125,3.0625,3.09375,1.531484,100000
1980-07-03,3.109375,3.171875,3.109375,3.171875,1.570159,236800
1980-07-07,3.171875,3.203125,3.140625,3.1875,1.577894,161600
1980-07-08,3.203125,3.265625,3.203125,3.25,1.608833,224800
1980-07-09,3.25,3.484375,3.234375,3.40625,1.68618,374400
1980-07-10,3.390625,3.390625,3.3125,3.3125,1.639772,198400
1980-07-11,3.3125,3.359375,3.28125,3.359375,1.662975,192800
1980-07-14,3.359375,3.515625,3.328125,3.5,1.732589,194400
1980-07-15,3.5,3.5,3.390625,3.4375,1.70165,512800
1980-07-16,3.4375,3.453125,3.375,3.40625,1.68618,268800
1980-07-17,3.40625,3.46875,3.40625,3.46875,1.71712,167200
1980-07-18,3.46875,3.484375,3.4375,3.46875,1.71712,186400
1980-07-21,3.46875,3.46875,3.421875,3.453125,1.709384,238400
1980-07-22,3.453125,3.453125,3.34375,3.359375,1.662975,167200
1980-07-23,3.359375,3.375,3.25,3.25,1.608833,77600
1980-07-24,3.25,3.3125,3.25,3.28125,1.624302,182400
1980-07-25,3.28125,3.3125,3.265625,3.3125,1.639772,114400
1980-07-28,3.3125,3.375,3.28125,3.34375,1.65524,505600
1980-07-29,3.34375,3.375,3.34375,3.34375,1.65524,249600
1980-07-30,3.375,3.421875,3.375,3.421875,1.693915,326400
1980-07-31,3.421875,3.421875,3.390625,3.390625,1.678445,63200
1980-08-01,3.390625,3.5,3.375,3.5,1.732589,777600
1980-08-04,3.5,3.6875,3.484375,3.6875,1.825405,278400
1980-08-05,3.671875,3.671875,3.625,3.625,1.794466,386400
1980-08-06,3.625,3.640625,3.609375,3.609375,1.786732,584800
1980-08-07,3.609375,3.625,3.5625,3.5625,1.763528,702400
1980-08-08,3.5625,3.625,3.484375,3.484375,1.724855,276800
1980-08-11,3.484375,3.546875,3.453125,3.484375,1.724855,103200
1980-08-12,3.484375,3.546875,3.453125,3.515625,1.740324,635200
1980-08-13,3.515625,3.578125,3.515625,3.53125,1.748058,122400
1980-08-14,3.515625,3.515625,3.484375,3.484375,1.724855,270400
1980-08-15,3.484375,3.5,3.46875,3.46875,1.71712,47200
1980-08-18,3.46875,3.5,3.453125,3.453125,1.709384,119200
1980-08-19,3.453125,3.546875,3.453125,3.515625,1.740324,797600
1980-08-20,3.53125,3.578125,3.53125,3.5625,1.763528,201600
1980-08-21,3.5625,3.578125,3.515625,3.53125,1.748058,536000
1980-08-22,3.53125,3.578125,3.515625,3.515625,1.740324,196000
1980-08-25,3.515625,3.53125,3.484375,3.515625,1.740324,246400
1980-08-26,3.515625,3.5625,3.5,3.515625,1.740324,927200
1980-08-27,3.515625,3.546875,3.453125,3.46875,1.71712,123200
1980-08-28,3.46875,3.46875,3.328125,3.328125,1.647506,76800
1980-08-29,3.328125,3.359375,3.234375,3.3125,1.639772,99200
1980-09-02,3.3125,3.34375,3.296875,3.296875,1.632037,260800
1980-09-03,3.296875,3.421875,3.265625,3.421875,1.693915,348000
1980-09-04,3.421875,3.46875,3.40625,3.421875,1.693915,194400
1980-09-05,3.421875,3.4375,3.375,3.390625,1.678445,164000
1980-09-08,3.390625,3.40625,3.328125,3.328125,1.647506,58400
1980-09-09,3.28125,3.28125,3.21875,3.25,1.608833,120800
1980-09-10,3.25,3.296875,3.25,3.25,1.608833,321600
1980-09-11,3.25,3.265625,3.234375,3.234375,1.601098,649600
