Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.1875,2.4375,2.1875,2.1875,1.926346,66400
1980-03-18,2.1875,2.4375,2.1875,2.1875,1.926346,74400
1980-03-19,2.1875,2.375,2.125,2.125,1.871308,34200
1980-03-20,2.1875,2.4375,2.1875,2.1875,1.926346,35200
1980-03-21,2.1875,2.375,2.125,2.125,1.871308,22600
1980-03-24,2.125,2.25,2.0,2.0,1.761231,53000
1980-03-25,2.0,2.1875,1.9375,1.9375,1.706193,83000
1980-03-26,1.9375,2.1875,1.9375,1.9375,1.706193,22800
1980-03-27,1.9375,2.0,1.75,1.75,1.541077,99000
1980-03-28,1.9375,2.1875,1.9375,1.9375,1.706193,50000
1980-03-31,1.9375,2.1875,1.9375,1.9375,1.706193,30800
1980-04-01,1.9375,2.125,1.875,1.875,1.651154,14600
1980-04-02,1.875,2.125,1.875,1.875,1.651154,19600
1980-04-03,2.0,2.25,2.0,2.0,1.761231,24800
1980-04-07,2.0,2.1875,1.9375,1.9375,1.706193,21800
1980-04-08,1.9375,2.125,1.875,1.875,1.651154,14000
1980-04-09,1.9375,2.1875,1.9375,1.9375,1.706193,27800
1980-04-10,2.0,2.25,2.0,2.0,1.761231,29200
1980-04-11,2.0,2.1875,1.9375,1.9375,1.706193,106600
1980-04-14,1.9375,2.1875,1.9375,1.9375,1.706193,20200
1980-04-15,1.9375,2.1875,1.9375,1.9375,1.706193,14800
1980-04-16,1.9375,2.125,1.875,1.875,1.651154,75600
1980-04-17,1.875,2.0625,1.8125,1.8125,1.596115,198600
1980-04-18,1.875,2.125,1.875,1.875,1.651154,48600
1980-04-21,1.875,2.0,1.75,1.75,1.541077,42400
1980-04-22,1.8125,2.0625,1.8125,1.8125,1.596115,19200
1980-04-23,1.8125,2.0625,1.8125,1.8125,1.596115,9000
1980-04-24,1.8125,2.0625,1.8125,1.8125,1.596115,30200
1980-04-25,1.8125,2.0625,1.8125,1.8125,1.596115,10200
1980-04-28,1.875,2.125,1.875,1.875,1.651154,23200
1980-04-29,1.875,2.125,1.875,1.875,1.651154,36000
1980-04-30,1.875,2.125,1.875,1.875,1.651154,58600
1980-05-01,1.875,2.125,1.875,1.875,1.651154,15200
1980-05-02,1.875,2.125,1.875,1.875,1.651154,11200
1980-05-05,1.9375,2.1875,1.9375,1.9375,1.706193,47600
1980-05-06,1.9375,2.0625,1.8125,1.8125,1.596115,29200
1980-05-07,1.8125,2.0625,1.8125,1.8125,1.596115,25400
1980-05-08,1.8125,2.0625,1.8125,1.8125,1.596115,9200
1980-05-09,1.8125,2.0,1.75,1.75,1.541077,18800
1980-05-12,1.75,2.0,1.75,1.75,1.541077,21400
1980-05-13,1.75,2.0,1.75,1.75,1.541077,14400
1980-05-14,1.75,2.0,1.75,1.75,1.541077,12000
1980-05-15,1.8125,2.0625,1.8125,1.8125,1.596115,16600
1980-05-16,1.875,2.125,1.875,1.875,1.651154,48000
1980-05-19,2.0,2.25,2.0,2.0,1.761231,104600
1980-05-20,2.0,2.25,2.0,2.0,1.761231,91600
