Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,7.75,7.9375,7.75,7.8125,3.014194,67400
1980-03-18,7.75,7.75,7.5,7.75,2.990081,382600
1980-03-19,7.75,7.8125,7.75,7.8125,3.014194,105200
1980-03-20,7.8125,7.8125,7.6875,7.8125,3.014194,25600
1980-03-21,7.8125,7.875,7.6875,7.6875,2.965967,46400
1980-03-24,7.6875,7.75,7.3125,7.375,2.845399,28000
1980-03-25,7.375,7.5625,7.3125,7.375,2.845399,65600
1980-03-26,7.4375,7.5625,7.4375,7.5,2.893625,72600
1980-03-27,7.5,7.5,7.375,7.5,2.893625,81800
1980-03-28,7.5,7.75,7.5,7.75,2.990081,22800
1980-03-31,7.8125,8.125,7.8125,8.0,3.086534,33400
1980-04-01,8.0,8.25,7.9375,8.1875,3.158876,144000
1980-04-02,8.25,8.5,8.25,8.3125,3.207101,103800
1980-04-03,8.3125,8.375,7.9375,8.0,3.086534,91200
1980-04-07,7.9375,7.9375,7.75,7.75,2.990081,115400
1980-04-08,7.75,7.875,7.5,7.625,2.941853,35200
1980-04-09,7.625,7.6875,7.5625,7.625,2.941853,476000
1980-04-10,7.625,7.8125,7.625,7.75,2.990081,251200
1980-04-11,7.875,8.0625,7.875,7.9375,3.062422,126000
1980-04-14,7.9375,8.0625,7.9375,8.0625,3.110647,22000
1980-04-15,8.0625,8.125,7.9375,8.125,3.134762,21200
1980-04-16,8.125,8.1875,8.0,8.0,3.086534,61200
1980-04-17,8.0,8.0625,7.9375,8.0625,3.110647,111400
1980-04-18,8.0625,8.1875,7.9375,7.9375,3.062422,6400
1980-04-21,7.9375,8.1875,7.9375,8.0,3.086534,20200
1980-04-22,8.0625,8.25,8.0625,8.1875,3.158876,97800
1980-04-23,8.1875,8.1875,8.0,8.125,3.134762,126200
1980-04-24,8.125,8.125,8.0,8.0,3.086534,63200
1980-04-25,8.0,8.25,7.875,8.25,3.182989,16800
1980-04-28,8.25,8.25,8.0,8.25,3.182989,64000
1980-04-29,8.25,8.375,8.25,8.375,3.231217,6000
1980-04-30,8.375,8.625,8.3125,8.625,3.32767,50800
1980-05-01,8.625,8.75,8.5,8.5,3.279443,34600
1980-05-02,8.5,8.8125,8.5,8.8125,3.400012,48400
1980-05-05,8.875,9.0,8.875,9.0,3.472352,32400
1980-05-06,9.0,9.1875,8.75,8.75,3.375898,51800
1980-05-07,8.75,8.875,8.625,8.625,3.32767,57800
1980-05-08,8.75,9.0625,8.75,8.9375,3.448238,354400
1980-05-09,8.9375,8.9375,8.75,8.75,3.375898,28000
1980-05-12,8.8125,8.9375,8.8125,8.9375,3.448238,48600
1980-05-13,8.875,8.875,8.75,8.8125,3.400012,24800
