Date,Open,High,Low,Close,Adj Close,Volume
1988-06-22,4.625,4.75,4.625,4.625,2.969692,18200
1988-06-23,4.5,4.5,4.25,4.25,2.728907,51100
1988-06-24,4.375,4.375,4.375,4.375,2.809169,11800
1988-06-27,4.375,4.375,4.25,4.25,2.728907,13200
1988-06-28,4.25,4.25,4.0,4.0,2.568383,16200
1988-06-29,4.125,4.25,4.125,4.125,2.648644,8900
1988-06-30,4.375,4.5,4.375,4.375,2.809169,47300
1988-07-01,4.75,4.875,4.75,4.75,3.049954,29100
1988-07-05,4.75,4.875,4.625,4.625,2.969692,14000
1988-07-06,4.625,4.625,4.5,4.5,2.889431,20000
1988-07-07,4.5,4.625,4.5,4.5,2.889431,6900
1988-07-08,4.5,4.5,4.375,4.375,2.809169,9300
1988-07-11,4.375,4.5,4.375,4.375,2.809169,31400
1988-07-12,4.375,4.625,4.375,4.375,2.809169,3600
1988-07-13,4.5,4.625,4.5,4.5,2.889431,2800
1988-07-14,4.5,4.625,4.375,4.375,2.809169,26400
1988-07-15,4.375,4.625,4.375,4.375,2.809169,13000
1988-07-18,4.375,4.5,4.25,4.25,2.728907,10500
1988-07-19,4.25,4.375,4.125,4.125,2.648644,7500
1988-07-20,4.125,4.125,3.875,3.875,2.488121,31400
1988-07-21,4.0,4.125,4.0,4.0,2.568383,13200
1988-07-22,4.0,4.125,3.875,3.875,2.488121,21100
1988-07-25,3.875,4.125,3.875,3.875,2.488121,2000
1988-07-26,3.875,4.0,3.875,3.875,2.488121,26900
1988-07-27,3.875,4.0,3.875,3.875,2.488121,1900
1988-07-28,3.875,4.0,3.875,3.875,2.488121,10300
1988-07-29,3.875,4.0,3.875,3.875,2.488121,14200
1988-08-01,4.0,4.125,4.0,4.0,2.568383,19700
1988-08-02,4.0,4.125,3.875,3.875,2.488121,17500
1988-08-03,3.875,4.0,3.75,3.75,2.407859,33600
1988-08-04,3.75,3.875,3.625,3.625,2.327597,1300
1988-08-05,3.75,3.875,3.75,3.75,2.407859,2900
1988-08-08,3.75,3.875,3.75,3.75,2.407859,9400
1988-08-09,3.625,3.625,3.5,3.5,2.247334,26000
1988-08-10,3.375,3.375,3.25,3.25,2.086812,41100
1988-08-11,3.375,3.5,3.375,3.375,2.167073,8900
1988-08-12,3.375,3.5,3.375,3.375,2.167073,2000
1988-08-15,3.375,3.375,3.25,3.25,2.086812,12500
1988-08-16,3.25,3.375,3.125,3.125,2.006549,13700
1988-08-17,2.875,2.875,2.75,2.75,1.765763,43200
1988-08-18,2.75,2.875,2.75,2.75,1.765763,15500
1988-08-19,2.75,2.875,2.75,2.75,1.765763,13400
1988-08-22,2.75,2.75,2.625,2.625,1.685501,12400
1988-08-23,2.75,2.875,2.75,2.75,1.765763,21500
1988-08-24,2.75,2.75,2.625,2.625,1.685501,5500
1988-08-25,2.625,2.75,2.625,2.625,1.685501,800
1988-08-26,2.875,2.875,2.875,2.875,1.846025,14500
1988-08-29,2.875,2.875,2.75,2.75,1.765763,3900
1988-08-30,2.75,2.875,2.75,2.75,1.765763,1000
1988-08-31,2.75,2.875,2.75,2.75,1.765763,6200
1988-09-01,2.75,2.75,2.75,2.75,1.765763,0
1988-09-02,2.75,2.875,2.75,2.75,1.765763,400
1988-09-06,2.75,2.875,2.75,2.75,1.765763,7300
