Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.728,0.764,0.728,0.728,0.520233,374600
1980-03-18,0.728,0.728,0.708,0.72,0.514516,211400
1980-03-19,0.72,0.736,0.72,0.72,0.514516,151200
1980-03-20,0.72,0.728,0.72,0.72,0.514516,41000
1980-03-21,0.72,0.72,0.688,0.688,0.491648,553000
1980-03-24,0.688,0.692,0.632,0.64,0.457348,380200
1980-03-25,0.624499,0.624499,0.592,0.616,0.440197,322600
1980-03-26,0.62,0.64,0.62,0.64,0.457348,98600
1980-03-27,0.624499,0.624499,0.596,0.604,0.431622,511400
1980-03-28,0.616,0.64,0.616,0.64,0.457348,242600
1980-03-31,0.64,0.64,0.628,0.64,0.457348,60200
1980-04-01,0.64,0.648,0.64,0.64,0.457348,48200
1980-04-02,0.64,0.664499,0.64,0.656,0.468781,124800
1980-04-03,0.656,0.664499,0.648,0.648,0.463065,124800
1980-04-07,0.644,0.644,0.62,0.62,0.443056,262600
1980-04-08,0.62,0.632,0.616,0.632,0.451631,92200
1980-04-09,0.636,0.644,0.636,0.64,0.457348,48200
1980-04-10,0.64,0.656,0.64,0.656,0.468781,50600
1980-04-11,0.656,0.656,0.644,0.652,0.465923,240200
1980-04-14,0.644,0.644,0.632,0.632,0.451631,160800
1980-04-15,0.632,0.64,0.624499,0.624499,0.446271,34600
1980-04-16,0.645,0.645,0.625,0.63,0.450202,140200
1980-04-17,0.625,0.625,0.61,0.62,0.443056,180000
1980-04-18,0.62,0.63,0.605,0.605,0.432336,393800
1980-04-21,0.605,0.615,0.605,0.605,0.432336,22600
1980-04-22,0.61,0.645,0.61,0.645,0.460921,387400
1980-04-23,0.645,0.655,0.64,0.655,0.468067,502600
1980-04-24,0.655,0.655,0.64,0.645,0.460921,230600
1980-04-25,0.645,0.65,0.64,0.65,0.464494,144200
1980-04-28,0.65,0.665,0.65,0.66,0.47164,163400
1980-04-29,0.66,0.665,0.655,0.655,0.468067,32200
1980-04-30,0.655,0.665,0.65,0.66,0.47164,99400
1980-05-01,0.66,0.66,0.65,0.65,0.464494,214600
1980-05-02,0.65,0.655,0.64,0.645,0.460921,220800
1980-05-05,0.645,0.65,0.635,0.65,0.464494,265000
1980-05-06,0.645,0.645,0.64,0.64,0.457348,84000
1980-05-07,0.64,0.64,0.625,0.64,0.457348,134600
1980-05-08,0.64,0.64,0.63,0.635,0.453775,108200
1980-05-09,0.635,0.645,0.625,0.625,0.446629,63400
1980-05-12,0.635,0.66,0.635,0.65,0.464494,178600
1980-05-13,0.65,0.66,0.645,0.66,0.47164,73000
1980-05-14,0.66,0.68,0.65,0.68,0.485932,403400
1980-05-15,0.68,0.685,0.675,0.68,0.485932,144000
1980-05-16,0.68,0.69,0.675,0.69,0.493078,144200
1980-05-19,0.695,0.72,0.695,0.715,0.510943,319400
1980-05-20,0.715,0.78,0.71,0.78,0.557392,399400
1980-05-21,0.78,0.78,0.755,0.765,0.546674,291400
1980-05-22,0.765,0.765,0.75,0.75,0.535954,153600
1980-05-23,0.755,0.785,0.755,0.76,0.5431,140200
1980-05-27,0.77,0.79,0.77,0.77,0.550246,192200
1980-05-28,0.77,0.785,0.77,0.78,0.557392,140200
1980-05-29,0.78,0.795,0.775,0.78,0.557392,259400
1980-05-30,0.78,0.785,0.77,0.78,0.557392,98600
1980-06-02,0.78,0.78,0.77,0.77,0.550246,32200
1980-06-03,0.77,0.775,0.765,0.775,0.553819,370600
1980-06-04,0.775,0.775,0.765,0.77,0.550246,274600
1980-06-05,0.775,0.82,0.775,0.805,0.575257,319400
1980-06-06,0.805,0.835,0.8,0.83,0.593123,531400
1980-06-09,0.83,0.87,0.83,0.835,0.596696,422600
1980-06-10,0.835,0.835,0.825,0.825,0.58955,130600
1980-06-11,0.825,0.84,0.825,0.84,0.600269,211200
1980-06-12,0.84,0.845,0.83,0.83,0.593123,409000
1980-06-13,0.83,0.855,0.83,0.855,0.610988,332200
1980-06-16,0.855,0.865,0.85,0.85,0.607415,259200
1980-06-17,0.845,0.845,0.835,0.84,0.600269,132000
1980-06-18,0.84,0.845,0.83,0.845,0.603842,79400
1980-06-19,0.845,0.85,0.83,0.83,0.593123,230600
1980-06-20,0.815,0.815,0.8,0.81,0.57883,108200
1980-06-23,0.81,0.845,0.81,0.845,0.603842,182600
1980-06-24,0.845,0.86,0.84,0.85,0.607415,73000
1980-06-25,0.85,0.85,0.83,0.85,0.607415,314400
1980-06-26,0.85,0.895,0.845,0.87,0.621707,633600
1980-06-27,0.87,0.885,0.865,0.875,0.62528,124800
1980-06-30,0.875,0.88,0.865,0.88,0.628853,470600
1980-07-01,0.88,0.89,0.85,0.85,0.607415,415400
1980-07-02,0.85,0.865,0.85,0.86,0.614561,103200
1980-07-03,0.87,0.89,0.87,0.88,0.628853,74400
1980-07-07,0.88,0.89,0.87,0.89,0.635999,211200
1980-07-08,0.895,0.905,0.895,0.9,0.643145,192200
1980-07-09,0.9,0.9,0.875,0.88,0.628853,314400
1980-07-10,0.87,0.87,0.855,0.86,0.614561,92200
1980-07-11,0.86,0.875,0.855,0.875,0.62528,64800
1980-07-14,0.88,0.93,0.88,0.92,0.657437,249800
1980-07-15,0.94,0.96,0.94,0.95,0.678876,228000
1980-07-16,0.95,0.975,0.945,0.96,0.686021,291400
1980-07-17,0.96,0.965,0.955,0.96,0.686021,540200
1980-07-18,0.96,0.98,0.96,0.96,0.686021,410400
1980-07-21,0.96,0.995,0.955,0.995,0.711033,297800
1980-07-22,0.995,1.0,0.98,0.99,0.70746,508800
1980-07-23,0.99,1.0,0.99,1.0,0.714606,112800
1980-07-24,1.0,1.0,0.99,1.0,0.714606,192000
1980-07-25,0.995,0.995,0.98,0.985,0.703887,185000
1980-07-28,0.98,0.98,0.97,0.98,0.700313,140200
1980-07-29,0.98,1.0,0.97,0.99,0.70746,185000
1980-07-30,0.99,1.055,0.99,1.045,0.746763,418600
1980-07-31,1.05,1.115,1.05,1.115,0.796785,329800
1980-08-01,1.175,1.24,1.175,1.24,0.886111,1188000
1980-08-04,1.235,1.235,1.15,1.185,0.846808,665000
1980-08-05,1.185,1.2,1.17,1.19,0.850381,243400
1980-08-06,1.19,1.19,1.18,1.19,0.850381,272200
1980-08-07,1.19,1.21,1.19,1.21,0.864673,208800
1980-08-08,1.21,1.21,1.19,1.19,0.850381,439200
1980-08-11,1.2,1.225,1.2,1.2,0.857527,473800
1980-08-12,1.21,1.22,1.21,1.21,0.864673,159400
1980-08-13,1.21,1.22,1.195,1.195,0.853954,297800
1980-08-14,1.195,1.195,1.175,1.175,0.839661,55200
1980-08-15,1.185,1.21,1.185,1.2,0.857527,240000
1980-08-18,1.2,1.21,1.18,1.2,0.857527,295200
1980-08-19,1.2,1.215,1.19,1.215,0.868246,211200
1980-08-20,1.225,1.24,1.225,1.24,0.886111,170400
1980-08-21,1.24,1.3,1.23,1.29,0.921841,720200
1980-08-22,1.31,1.355,1.31,1.33,0.950426,643200
1980-08-25,1.34,1.38,1.34,1.38,0.986156,252200
1980-08-26,1.38,1.44,1.36,1.42,1.01474,439200
1980-08-27,1.415,1.415,1.39,1.395,0.996875,310600
1980-08-28,1.39,1.39,1.245,1.245,0.889684,790600
1980-08-29,1.22,1.22,1.16,1.19,0.850381,739200
1980-09-02,1.19,1.24,1.17,1.21,0.864673,672200
1980-09-03,1.21,1.24,1.205,1.24,0.886111,199200
1980-09-04,1.24,1.29,1.235,1.255,0.89683,265000
1980-09-05,1.26,1.275,1.26,1.27,0.907549,99400
1980-09-08,1.27,1.275,1.255,1.265,0.903976,103200
1980-09-09,1.265,1.265,1.25,1.26,0.900403,51400
1980-09-10,1.265,1.275,1.265,1.265,0.903976,144200
1980-09-11,1.265,1.27,1.245,1.255,0.89683,144000
1980-09-12,1.26,1.275,1.26,1.275,0.911122,194600
1980-09-15,1.275,1.275,1.26,1.275,0.911122,55200
1980-09-16,1.275,1.285,1.265,1.28,0.914695,178600
1980-09-17,1.28,1.3,1.28,1.295,0.925414,178600
1980-09-18,1.295,1.32,1.29,1.295,0.925414,211200
1980-09-19,1.295,1.305,1.28,1.29,0.921841,121000
1980-09-22,1.29,1.29,1.26,1.29,0.921841,358600
1980-09-23,1.3,1.33,1.3,1.305,0.932561,220800
1980-09-24,1.295,1.295,1.265,1.28,0.914695,128200
1980-09-25,1.275,1.275,1.245,1.245,0.889684,92200
1980-09-26,1.24,1.24,1.18,1.18,0.843235,211400
1980-09-29,1.165,1.165,1.1,1.11,0.793212,243400
1980-09-30,1.11,1.165,1.085,1.165,0.832515,521800
1980-10-01,1.165,1.18,1.15,1.175,0.839661,124800
1980-10-02,1.175,1.19,1.175,1.185,0.846808,314400
1980-10-03,1.185,1.21,1.185,1.205,0.8611,55200
1980-10-06,1.215,1.27,1.215,1.24,0.886111,278600
1980-10-07,1.24,1.26,1.24,1.26,0.900403,252200
1980-10-08,1.26,1.275,1.255,1.27,0.907549,80200
1980-10-09,1.27,1.305,1.265,1.3,0.928987,188200
1980-10-10,1.285,1.285,1.255,1.265,0.903976,180000
1980-10-13,1.255,1.255,1.235,1.24,0.886111,70600
1980-10-14,1.24,1.245,1.22,1.24,0.886111,211400
1980-10-15,1.24,1.255,1.24,1.255,0.89683,211400
1980-10-16,1.255,1.26,1.22,1.22,0.871819,172800
1980-10-17,1.22,1.22,1.18,1.185,0.846808,98600
1980-10-20,1.185,1.195,1.175,1.19,0.850381,84000
1980-10-21,1.19,1.2,1.185,1.195,0.853954,74400
1980-10-22,1.195,1.225,1.185,1.21,0.864673,372000
1980-10-23,1.21,1.22,1.2,1.2,0.857527,99400
1980-10-24,1.2,1.2,1.185,1.195,0.853954,128200
1980-10-27,1.19,1.19,1.18,1.19,0.850381,51400
1980-10-28,1.185,1.185,1.175,1.185,0.846808,1708800
1980-10-29,1.185,1.19,1.165,1.165,0.832515,80200
1980-10-30,1.165,1.17,1.145,1.155,0.82537,262600
1980-10-31,1.155,1.18,1.14,1.18,0.843235,418600
1980-11-03,1.185,1.21,1.185,1.205,0.8611,224200
1980-11-05,1.21,1.245,1.21,1.23,0.878965,262600
1980-11-06,1.225,1.225,1.205,1.21,0.864673,233800
1980-11-07,1.205,1.205,1.195,1.2,0.857527,108200
1980-11-10,1.205,1.23,1.205,1.23,0.878965,118600
1980-11-11,1.23,1.245,1.22,1.23,0.878965,130600
1980-11-12,1.23,1.265,1.23,1.265,0.903976,132000
1980-11-13,1.28,1.37,1.28,1.37,0.97901,284200
1980-11-14,1.385,1.465,1.385,1.42,1.01474,339400
1980-11-17,1.43,1.495,1.43,1.465,1.046897,313000
1980-11-18,1.465,1.48,1.455,1.47,1.050471,163200
1980-11-19,1.47,1.495,1.45,1.49,1.064762,332200
1980-11-20,1.49,1.49,1.46,1.47,1.050471,175400
1980-11-21,1.47,1.47,1.425,1.43,1.021886,115200
1980-11-24,1.43,1.44,1.425,1.44,1.029032,89000
1980-11-25,1.44,1.48,1.44,1.48,1.057616,74400
1980-11-26,1.49,1.53,1.49,1.52,1.086201,290600
1980-11-28,1.52,1.545,1.52,1.54,1.100493,89800
1980-12-01,1.54,1.54,1.52,1.525,1.089773,98600
1980-12-02,1.515,1.515,1.475,1.51,1.079055,211200
1980-12-03,1.51,1.515,1.49,1.505,1.075482,118600
1980-12-04,1.51,1.525,1.51,1.525,1.089773,44200
1980-12-05,1.52,1.52,1.48,1.48,1.057616,89800
1980-12-08,1.48,1.495,1.46,1.46,1.043324,144000
1980-12-09,1.46,1.475,1.43,1.455,1.039752,2307400
1980-12-10,1.455,1.455,1.435,1.45,1.036178,63400
1980-12-11,1.44,1.44,1.355,1.36,0.971863,1238600
1980-12-12,1.36,1.395,1.355,1.395,0.996875,220800
1980-12-15,1.415,1.48,1.415,1.46,1.043324,130600
1980-12-16,1.46,1.485,1.46,1.46,1.043324,560200
1980-12-17,1.46,1.465,1.455,1.46,1.043324,336000
1980-12-18,1.465,1.47,1.465,1.465,1.046897,240000
1980-12-19,1.465,1.48,1.46,1.47,1.050471,518600
1980-12-22,1.47,1.47,1.46,1.465,1.046897,169000
1980-12-23,1.465,1.465,1.46,1.46,1.043324,80200
1980-12-24,1.46,1.465,1.435,1.435,1.025459,73000
1980-12-26,1.435,1.445,1.425,1.445,1.032606,44200
1980-12-29,1.445,1.45,1.435,1.435,1.025459,15400
1980-12-30,1.435,1.445,1.435,1.435,1.025459,41000
1980-12-31,1.43,1.43,1.405,1.41,1.007594,84000
1981-01-02,1.41,1.415,1.405,1.415,1.011167,31400
1981-01-05,1.415,1.43,1.38,1.38,0.986156,153800
1981-01-06,1.39,1.415,1.39,1.415,1.011167,362400
1981-01-07,1.395,1.395,1.255,1.325,0.946853,631200
1981-01-08,1.31,1.31,1.28,1.28,0.914695,304800
1981-01-09,1.28,1.3,1.275,1.3,0.928987,377800
1981-01-12,1.3,1.315,1.28,1.28,0.914695,1372800
1981-01-13,1.28,1.285,1.235,1.245,0.889684,560200
1981-01-14,1.245,1.255,1.235,1.245,0.889684,80200
1981-01-15,1.245,1.345,1.245,1.34,0.957572,345600
1981-01-16,1.345,1.38,1.345,1.345,0.961144,255400
1981-01-19,1.345,1.37,1.325,1.37,0.97901,199200
