Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,30.125,31.0,30.125,30.625,1.096551,10300
1970-01-05,30.625,31.0,30.25,31.0,1.109978,17600
1970-01-06,31.0,31.25,30.75,30.75,1.101026,14000
1970-01-07,30.75,30.875,30.5,30.875,1.105502,7700
1970-01-08,30.75,30.75,30.5,30.5,1.092075,16300
1970-01-09,30.5,30.875,30.375,30.75,1.101026,16800
1970-01-12,30.625,30.625,30.25,30.5,1.092075,11700
1970-01-13,30.5,30.5,29.625,29.625,1.060745,15900
1970-01-14,29.625,29.75,29.125,29.625,1.060745,37800
1970-01-15,29.625,29.625,29.25,29.5,1.056269,23500
1970-01-16,29.5,30.0,29.375,29.375,1.051793,23300
1970-01-19,29.5,30.125,29.5,29.875,1.069696,12600
1970-01-20,29.875,29.875,29.25,29.25,1.047318,19800
1970-01-21,29.25,30.125,29.25,29.625,1.060745,22400
1970-01-22,29.75,30.625,29.75,30.5,1.092075,25300
1970-01-23,30.5,30.5,29.25,29.25,1.047318,11900
1970-01-26,29.25,29.625,29.125,29.125,1.042842,12000
1970-01-27,29.0,29.0,28.625,28.875,1.03389,12700
1970-01-28,28.875,28.875,28.125,28.375,1.015988,26700
1970-01-29,28.375,28.375,27.625,28.125,1.007036,26100
1970-01-30,28.125,28.25,27.75,27.75,0.993609,15200
1970-02-02,28.125,28.875,28.125,28.25,1.011512,27200
1970-02-03,28.25,28.5,27.625,28.375,1.015988,23600
1970-02-04,28.375,28.625,27.875,28.25,1.026342,21300
1970-02-05,28.25,28.25,27.875,28.0,1.017259,13100
1970-02-06,28.125,28.75,28.125,28.25,1.026342,15200
1970-02-09,28.25,29.0,28.125,28.125,1.021801,15300
1970-02-10,28.125,28.125,27.5,27.75,1.008177,36400
1970-02-11,27.75,27.875,27.25,27.875,1.012718,24400
1970-02-12,27.875,27.875,27.625,27.875,1.012718,17500
1970-02-13,27.875,28.0,27.625,28.0,1.017259,27700
1970-02-16,28.0,28.375,27.25,27.25,0.990011,22700
