Date,Open,High,Low,Close,Adj Close,Volume
1993-06-03,14.875,15.0,14.5,14.6875,8.326214,56603000
1993-06-04,14.5625,14.6875,14.3125,14.3125,8.113628,12644400
1993-06-07,14.125,14.25,14.0,14.0625,7.971908,10043800
1993-06-08,14.0625,14.125,13.8125,13.875,7.865613,6974600
1993-06-09,13.9375,14.25,13.9375,14.125,8.007337,4043200
1993-06-10,14.0625,14.125,13.9375,14.0,7.936475,2605400
1993-06-11,14.0,14.1875,14.0,14.0,7.936475,2641600
1993-06-14,14.0625,14.125,13.875,13.875,7.865613,1806200
1993-06-15,14.0,14.0,13.875,13.9375,7.901043,2257600
1993-06-16,13.9375,14.0,13.875,14.0,7.936475,2391600
1993-06-17,14.0,14.125,13.9375,14.0,7.936475,2126800
1993-06-18,14.0,14.0,13.8125,13.8125,7.830183,2128600
1993-06-21,13.8125,13.8125,13.5625,13.6875,7.759319,2101000
1993-06-22,13.6875,13.875,13.6875,13.875,7.865613,1593600
1993-06-23,13.875,14.0,13.8125,13.8125,7.830183,1948000
1993-06-24,13.8125,14.0625,13.625,14.0625,7.971908,3305200
1993-06-25,14.25,14.3125,14.0625,14.25,8.078199,2468000
1993-06-28,14.1875,14.5,14.1875,14.5,8.219915,2522600
1993-06-29,14.4375,14.5,14.125,14.375,8.149057,1190800
1993-06-30,14.5,14.625,14.4375,14.5,8.219915,2553800
1993-07-01,14.6875,14.75,14.3125,14.75,8.361645,2857800
1993-07-02,14.4375,14.4375,14.3125,14.375,8.149057,1077200
1993-07-06,14.4375,14.5625,14.3125,14.3125,8.113628,1237600
1993-07-07,14.25,14.375,14.1875,14.25,8.078199,1667200
1993-07-08,14.3125,14.5,14.25,14.4375,8.184487,1588600
1993-07-09,14.5625,14.625,14.25,14.25,8.078199,1731200
1993-07-12,14.375,14.375,13.9375,14.125,8.007337,1738600
1993-07-13,14.1875,14.4375,14.1875,14.3125,8.113628,1305000
1993-07-14,14.3125,14.625,14.3125,14.625,8.290781,1805600
1993-07-15,14.625,14.6875,14.5625,14.6875,8.326214,1235400
1993-07-16,14.875,15.0625,14.75,14.9375,8.467932,2590200
1993-07-19,15.0,15.1875,14.9375,15.1875,8.609659,2590000
1993-07-20,15.75,15.75,15.3125,15.3125,8.680518,3977600
1993-07-21,15.4375,15.4375,14.9375,14.9375,8.467932,1779000
1993-07-22,15.0,15.0,14.75,14.8125,8.397074,1095200
1993-07-23,14.8125,15.0625,14.8125,14.9375,8.467932,1060400
1993-07-26,15.0,15.25,14.9375,15.25,8.64509,990000
1993-07-27,15.25,15.5625,15.25,15.25,8.64509,942200
1993-07-28,15.25,15.3125,15.125,15.1875,8.609659,346200
1993-07-29,15.0625,15.375,15.0,15.25,8.64509,1070400
1993-07-30,15.25,15.5625,15.25,15.5625,8.822246,1271200
1993-08-02,15.5625,15.6875,15.4375,15.5,8.786809,1062200
1993-08-03,15.5625,15.8125,15.5625,15.6875,8.893108,1316000
1993-08-04,15.75,15.875,15.5,15.625,8.857673,752200
1993-08-05,15.6875,15.6875,15.25,15.25,8.64509,910600
1993-08-06,15.4375,15.625,15.4375,15.5,8.786809,718200
1993-08-09,15.5,15.5625,15.375,15.5,8.786809,492000
1993-08-10,15.5,15.625,15.3125,15.3125,8.680518,1608600
1993-08-11,15.4375,15.4375,15.1875,15.25,8.64509,337400
1993-08-12,15.25,15.25,15.0,15.125,8.57423,496200
1993-08-13,15.1875,15.1875,15.0,15.0,8.503366,375200
1993-08-16,14.9375,15.0625,14.8125,14.875,8.432502,1067800
1993-08-17,14.875,15.125,14.875,15.0,8.503366,1069400
1993-08-18,15.0625,15.1875,15.0625,15.1875,8.609659,809800
1993-08-19,15.1875,15.625,15.1875,15.625,8.857673,861200
1993-08-20,15.5625,16.0,15.5625,16.0,9.070255,2957000
1993-08-23,16.0625,16.0625,15.875,16.0,9.070255,853000
1993-08-24,15.875,16.0625,15.875,15.9375,9.034826,759800
1993-08-25,15.875,16.0,15.875,15.875,8.999396,951200
1993-08-26,15.9375,16.0,15.75,16.0,9.070255,721200
1993-08-27,16.0,16.0625,15.9375,16.0,9.070255,316600
1993-08-30,15.875,15.9375,15.5625,15.625,8.857673,945800
1993-08-31,15.5,15.625,15.4375,15.5,8.786809,590000
1993-09-01,15.6875,15.9375,15.6875,15.9375,9.034826,355400
1993-09-02,15.875,16.0,15.75,15.8125,8.963965,682200
1993-09-03,15.8125,16.0625,15.8125,15.9375,9.034826,550400
1993-09-07,16.0625,16.375,16.0,16.125,9.141117,873000
1993-09-08,16.0,16.0,15.8125,15.875,8.999396,1367800
1993-09-09,15.75,16.0625,15.75,15.9375,9.086335,625400
1993-09-10,16.0,16.125,16.0,16.0625,9.157606,664600
1993-09-13,16.0625,16.125,15.9375,16.0,9.121975,344600
1993-09-14,16.0625,16.375,16.0,16.375,9.335765,453200
1993-09-15,16.125,16.125,15.9375,16.0625,9.157606,599200
1993-09-16,16.0,16.125,15.875,16.125,9.193234,403400
1993-09-17,16.0,16.125,15.875,16.125,9.193234,501600
1993-09-20,16.0625,16.0625,15.875,16.0,9.121975,567400
1993-09-21,15.9375,15.9375,15.6875,15.875,9.050709,816200
1993-09-22,15.875,16.0625,15.875,16.0,9.121975,945800
1993-09-23,15.875,16.1875,15.875,16.1875,9.22887,693600
1993-09-24,16.125,16.1875,16.0625,16.0625,9.157606,1074200
1993-09-27,16.1875,16.5625,16.1875,16.5,9.407034,1146000
1993-09-28,16.5,16.6875,16.375,16.625,9.478298,1109200
1993-09-29,16.5,16.625,16.1875,16.25,9.2645,607800
1993-09-30,16.3125,16.3125,15.875,15.875,9.050709,875400
1993-10-01,16.0,16.1875,15.875,16.1875,9.22887,404800
1993-10-04,16.1875,16.375,16.125,16.1875,9.22887,429400
1993-10-05,16.1875,16.5625,16.1875,16.5625,9.442663,414400
