Date,Open,High,Low,Close,Adj Close,Volume
1981-10-27,3.586545,3.586545,3.528582,3.549549,1.298603,14549100
1981-10-28,3.560646,3.634644,3.552015,3.627246,1.327029,15726400
1981-10-29,3.597648,3.597648,3.497746,3.521179,1.288223,22954700
1981-10-30,3.453346,3.49528,3.397844,3.424981,1.25303,38308300
1981-11-02,3.397844,3.408946,3.291776,3.318913,1.214225,61622100
1981-11-03,3.33371,3.33371,3.302879,3.385513,1.23859,32819100
1981-11-04,3.330011,3.330011,3.247376,3.291776,1.204297,39342000
1981-11-05,3.306578,3.349745,3.257246,3.301646,1.207907,28210400
1981-11-06,3.341114,3.341114,3.247376,3.326312,1.216931,25572000
1981-11-09,3.312743,3.367013,3.293015,3.38428,1.23814,55292200
1981-11-10,3.370712,3.381814,3.295481,3.353444,1.226858,16375100
1981-11-11,3.341114,3.381814,3.341114,3.360847,1.229567,12010500
1981-11-12,3.347279,3.347279,3.33371,3.385513,1.23859,12297500
1981-11-13,3.370712,3.501445,3.370712,3.511315,1.284614,29262100
1981-11-16,3.507615,3.507615,3.494047,3.478012,1.272432,25505600
1981-11-17,3.508849,3.518713,3.368246,3.45088,1.262505,13809700
1981-11-18,3.45088,3.511315,3.38428,3.354677,1.227309,13442400
1981-11-19,3.464449,3.474313,3.330011,3.416344,1.24987,21135400
1981-11-20,3.426214,3.429913,3.381814,3.349745,1.225505,17641600
1981-11-23,3.40648,3.436078,3.371944,3.397844,1.243102,17048800
1981-11-24,3.381814,3.45088,3.354677,3.395377,1.242199,19309300
1981-11-25,3.38428,3.429913,3.33988,3.399076,1.243552,16110800
1981-11-27,3.437311,3.474313,3.375644,3.447181,1.261151,14962700
1981-11-30,3.457045,3.487881,3.447181,3.487881,1.276042,11300200
1981-12-01,3.505144,3.548311,3.505144,3.511315,1.284614,17686100
1981-12-02,3.512547,3.51748,3.453346,3.480478,1.273334,14000300
1981-12-03,3.481711,3.570511,3.481711,3.498979,1.280102,13926400
1981-12-04,3.511315,3.579147,3.501445,3.542145,1.295895,12389200
1981-12-07,3.549549,3.560646,3.464449,3.491581,1.277395,11595400
1981-12-08,3.627246,3.730848,3.627246,3.672879,1.343723,33564900
1981-12-31,4.108557,4.131682,4.085432,4.131682,1.511577,193600
1982-01-04,4.208766,4.255016,4.147099,4.224182,1.545418,901300
1982-01-05,4.131682,4.193349,4.070015,4.070015,1.489016,993000
1982-01-06,3.992931,4.039182,3.931264,3.977515,1.455174,871500
1982-01-07,4.039182,4.116265,3.962098,4.116265,1.505936,746700
1982-01-08,4.162515,4.224182,4.085432,4.100848,1.500296,1457700
1982-01-11,4.023765,4.131682,3.915848,3.931264,1.438253,527600
1982-01-12,3.992931,4.039182,3.931264,4.039182,1.477735,564000
1982-01-13,4.039182,4.100848,3.962098,3.962098,1.449534,811500
