Date,Open,High,Low,Close,Adj Close,Volume
1992-09-24,22.5,22.5,22.0,22.0,7.155825,2366000
1992-09-25,22.0,22.0,21.25,21.5,6.993188,758200
1992-09-28,21.5,21.625,21.125,21.125,6.871214,82400
1992-09-29,21.25,21.25,20.5,21.0,6.830556,71700
1992-09-30,20.875,21.125,20.875,21.125,6.871214,15900
1992-10-01,21.125,21.75,21.125,21.625,7.033849,73800
1992-10-02,21.75,21.75,21.5,21.75,7.074506,76500
1992-10-05,21.0,21.125,20.125,21.0,6.830556,98500
1992-10-06,21.0,21.25,20.875,21.25,6.911877,29500
1992-10-07,21.125,21.5,21.0,21.0,6.830556,19200
1992-10-08,21.125,21.125,20.75,20.875,6.789901,15900
1992-10-09,21.0,21.0,20.875,20.875,6.789901,20300
1992-10-12,20.875,21.0,20.75,20.75,6.74924,16700
1992-10-13,20.75,21.0,20.75,20.875,6.789901,18900
1992-10-14,20.875,21.125,20.875,21.0,6.830556,91900
1992-10-15,21.125,21.375,21.0,21.375,6.952532,35300
1992-10-16,21.375,21.5,21.125,21.5,6.993188,48800
1992-10-19,21.5,21.75,21.5,21.625,7.033849,28700
1992-10-20,21.625,22.0,21.625,21.875,7.115162,46300
1992-10-21,22.0,22.125,21.75,22.125,7.19648,82100
1992-10-22,22.25,22.5,22.25,22.375,7.277795,33200
1992-10-23,22.375,22.5,22.375,22.5,7.318453,48600
1992-10-26,22.5,24.125,22.375,23.875,7.765695,202600
1992-10-27,24.0,24.25,23.625,23.875,7.765695,122300
1992-10-28,24.0,24.625,23.875,24.625,8.009645,46000
1992-10-29,24.625,24.75,24.125,24.625,8.009645,43100
1992-10-30,24.625,24.625,23.875,23.875,7.765695,38400
1992-11-02,23.875,24.0,23.625,23.75,7.725036,29200
1992-11-03,23.75,23.875,23.625,23.75,7.725036,44600
1992-11-04,23.75,24.0,23.75,24.0,7.806353,14400
1992-11-05,24.0,24.75,23.875,24.5,7.968984,41900
1992-11-06,24.625,24.625,24.25,24.25,7.887667,25800
1992-11-09,24.5,25.375,24.5,25.375,8.25359,111500
1992-11-10,25.25,27.125,25.25,26.875,8.741488,128600
1992-11-11,26.75,27.0,26.5,26.5,8.619517,64700
1992-11-12,26.75,26.75,26.375,26.5,8.619517,32300
1992-11-13,26.375,26.625,26.375,26.5,8.619517,16000
1992-11-16,26.875,26.875,26.25,26.25,8.538198,37000
1992-11-17,26.0,26.75,26.0,26.625,8.660168,17600
1992-11-18,26.75,26.75,26.25,26.375,8.578856,56200
1992-11-19,26.375,26.625,26.375,26.5,8.619517,22300
1992-11-20,26.375,26.5,25.875,26.0,8.456882,9400
1992-11-23,26.25,26.25,26.0,26.125,8.497539,10200
1992-11-24,26.0,26.5,26.0,26.25,8.538198,32800
1992-11-25,26.375,26.375,26.25,26.25,8.538198,4400
1992-11-27,26.25,26.25,26.0,26.125,8.497539,9400
1992-11-30,26.25,26.375,26.0,26.25,8.538198,24500
1992-12-01,26.5,27.0,26.5,27.0,8.782145,36700
1992-12-02,27.0,27.0,26.75,26.875,8.741488,5800
1992-12-03,27.0,27.0,26.75,26.75,8.700834,12600
1992-12-04,26.875,27.25,26.875,27.25,8.863464,53700
1992-12-07,27.375,27.875,27.375,27.75,9.026093,58300
1992-12-08,27.875,27.875,27.25,27.625,8.985436,42400
1992-12-09,27.75,27.875,27.5,27.75,9.026093,7300
1992-12-10,28.0,28.0,27.5,27.5,8.944777,13300
1992-12-11,27.5,27.5,26.75,27.0,8.782145,6800
1992-12-14,27.0,27.0,26.75,27.0,8.782145,3600
1992-12-15,27.0,27.375,27.0,27.125,8.822806,2800
1992-12-16,27.125,27.125,26.5,26.5,8.619517,14700
1992-12-17,26.625,27.375,26.625,27.375,8.904119,22500
1992-12-18,27.5,27.75,27.375,27.375,8.904119,70900
1992-12-21,27.5,27.75,27.5,27.75,9.026093,3300
1992-12-22,27.75,27.75,27.375,27.5,8.944777,10400
1992-12-23,27.375,28.0,27.375,27.75,9.026093,58100
1992-12-24,28.0,28.5,28.0,28.5,9.27004,9000
1992-12-28,28.5,29.0,28.5,29.0,9.432676,8700
1992-12-29,29.125,30.75,29.125,30.25,9.839257,36100
1992-12-30,30.0,30.0,29.625,29.75,9.676621,21200
1992-12-31,29.5,30.25,29.5,30.0,9.757942,9400
1993-01-04,29.875,29.875,29.25,29.25,9.513987,14800
1993-01-05,29.25,29.75,28.875,29.625,9.635965,29800
1993-01-06,29.75,30.25,29.625,30.0,9.757942,50300
1993-01-07,29.75,29.875,29.75,29.875,9.717284,7100
1993-01-08,29.75,29.875,29.625,29.875,9.717284,4800
1993-01-11,29.875,29.875,29.75,29.875,9.717284,5500
1993-01-12,30.0,30.75,30.0,30.5,9.920574,141300
1993-01-13,30.5,30.5,30.125,30.375,9.879918,48800
1993-01-14,30.375,30.375,30.25,30.25,9.839257,4300
1993-01-15,30.125,30.25,30.0,30.25,9.839257,32100
1993-01-18,30.75,32.0,30.625,31.875,10.367811,88900
1993-01-19,32.125,32.75,30.5,30.625,9.96123,183500
1993-01-20,30.75,30.75,30.5,30.75,10.001887,26700
1993-01-21,30.5,30.5,30.375,30.375,9.879918,35600
1993-01-22,30.375,30.375,29.75,29.75,9.676621,69600
1993-01-25,29.875,30.0,29.75,29.75,9.676621,13600
1993-01-26,29.875,29.875,29.25,29.5,9.595306,35900
1993-01-27,29.625,29.875,29.5,29.875,9.717284,9600
1993-01-28,29.625,30.0,29.5,30.0,9.757942,14500
1993-01-29,30.25,30.25,29.75,29.875,9.717284,12900
1993-02-01,30.0,30.0,29.5,29.75,9.676621,10700
1993-02-02,29.75,29.875,29.75,29.75,9.676621,7700
1993-02-03,29.875,30.625,29.875,30.625,9.96123,18900
1993-02-04,30.375,31.75,30.375,31.75,10.32715,18700
1993-02-05,31.75,32.0,31.75,31.75,10.32715,9000
1993-02-08,31.25,31.375,31.125,31.125,10.253036,2100
1993-02-09,31.25,31.5,31.25,31.5,10.376563,10000
1993-02-10,31.5,31.5,31.375,31.5,10.376563,13500
1993-02-11,31.375,32.25,31.25,32.0,10.541268,9700
1993-02-12,32.25,32.5,31.875,31.875,10.500094,20600
1993-02-16,31.875,31.875,30.125,30.625,10.088326,15000
1993-02-17,30.375,30.375,29.75,29.875,9.841267,19100
1993-02-18,30.0,30.5,29.875,29.875,9.841267,39500
1993-02-19,30.0,30.125,29.875,30.125,9.923616,7100
1993-02-22,30.125,30.125,29.875,30.0,9.882446,9400
1993-02-23,30.0,30.0,29.375,29.75,9.800089,22000
1993-02-24,29.625,30.0,29.625,30.0,9.882446,25200
1993-02-25,29.875,30.125,29.875,30.0,9.882446,46100
1993-02-26,30.0,30.0,30.0,30.0,9.882446,5600
1993-03-01,30.0,30.0,29.875,30.0,9.882446,1700
1993-03-02,30.0,30.0,29.75,29.75,9.800089,2100
1993-03-03,29.75,29.75,29.5,29.5,9.717732,2600
1993-03-04,29.5,29.5,29.0,29.0,9.553029,9100
1993-03-05,29.125,29.125,28.5,28.5,9.388319,29800
1993-03-08,28.75,29.5,28.75,29.375,9.676558,27500
1993-03-09,29.5,29.5,29.375,29.5,9.717732,1100
1993-03-10,29.5,29.5,29.375,29.375,9.676558,800
1993-03-11,29.0,29.125,29.0,29.125,9.594206,9000
1993-03-12,29.125,29.125,29.0,29.0,9.553029,1200
1993-03-15,29.125,29.375,29.125,29.375,9.676558,12500
1993-03-16,29.375,29.5,29.25,29.375,9.676558,8200
