Date,Open,High,Low,Close,Adj Close,Volume
1984-09-07,3.92708,3.92708,3.86458,3.86458,0.89111,118400
1984-09-10,3.86458,3.875,3.83333,3.85417,0.88871,254400
1984-09-11,3.92708,3.95833,3.91667,3.91667,0.903121,747200
1984-09-12,3.92708,3.97917,3.88542,3.95833,0.912728,1231200
1984-09-13,3.97917,4.02083,3.96875,4.02083,0.92714,188000
1984-09-14,4.05208,4.10417,4.04167,4.10417,0.946356,1092000
1984-09-17,4.11458,4.14583,4.08333,4.125,0.951159,1891200
1984-09-18,4.08333,4.09375,4.05208,4.05208,0.944843,1260800
1984-09-19,4.05208,4.05208,4.0,4.01042,0.935128,1030400
1984-09-20,4.02083,4.03125,4.0,4.03125,0.939985,144800
1984-09-21,4.04167,4.04167,4.01042,4.02083,0.937556,518400
1984-09-24,4.02083,4.02083,3.96875,3.96875,0.925413,663200
1984-09-25,3.97917,3.97917,3.92708,3.95833,0.922983,147200
1984-09-26,3.95833,3.97917,3.92708,3.94792,0.920555,240800
1984-09-27,3.95833,3.95833,3.9375,3.94792,0.920555,120800
1984-09-28,3.95833,3.95833,3.90625,3.92708,0.915696,208800
1984-10-01,3.92708,3.92708,3.80208,3.8125,0.888979,796800
1984-10-02,3.8125,3.83333,3.73958,3.83333,0.893836,1241600
1984-10-03,3.83333,3.83333,3.80208,3.8125,0.888979,499200
1984-10-04,3.8125,3.92708,3.8125,3.92708,0.915696,552800
1984-10-05,3.92708,3.95833,3.92708,3.95833,0.922983,828800
1984-10-08,3.95833,3.98958,3.95833,3.98958,0.930269,350400
1984-10-09,3.98958,4.05208,3.98958,4.02083,0.937556,975200
1984-10-10,4.02083,4.05208,4.02083,4.05208,0.944843,372800
1984-10-11,4.08333,4.13542,4.08333,4.08333,0.952129,903200
1984-10-12,4.08333,4.11458,4.07292,4.11458,0.959416,620000
1984-10-15,4.11458,4.17708,4.10417,4.14583,0.966703,324800
1984-10-16,4.14583,4.19792,4.14583,4.17708,0.97399,800000
1984-10-17,4.17708,4.17708,4.13542,4.13542,0.964275,300800
1984-10-18,4.13542,4.23958,4.11458,4.23958,0.988563,1124000
1984-10-19,4.27083,4.42708,4.27083,4.27083,0.995849,2177600
1984-10-22,4.17708,4.17708,4.05208,4.14583,0.966703,1527200
1984-10-23,4.14583,4.16667,3.94792,3.98958,0.930269,6003200
1984-10-24,3.95833,3.95833,3.92708,3.94792,0.920555,1577600
1984-10-25,3.94792,3.95833,3.92708,3.92708,0.915696,2444000
1984-10-26,3.92708,3.92708,3.89583,3.89583,0.90841,1730400
1984-10-29,3.89583,3.91667,3.89583,3.89583,0.90841,1294400
1984-10-30,3.89583,3.97917,3.89583,3.95833,0.922983,3240800
1984-10-31,3.95833,3.98958,3.94792,3.94792,0.920555,713600
1984-11-01,3.94792,3.95833,3.92708,3.92708,0.915696,476000
1984-11-02,3.92708,3.94792,3.875,3.875,0.903551,1944800
1984-11-05,3.875,3.89583,3.86458,3.86458,0.901122,1296800
1984-11-06,3.89583,3.98958,3.89583,3.98958,0.930269,792000
1984-11-07,3.98958,4.05208,3.98958,4.01042,0.935128,5667200
1984-11-08,3.98958,3.98958,3.95833,3.98958,0.930269,1802400
1984-11-09,3.98958,4.02083,3.98958,4.02083,0.937556,2907200
1984-11-12,4.02083,4.04167,3.98958,4.01042,0.935128,1001600
1984-11-13,4.01042,4.02083,4.01042,4.02083,0.937556,257600
1984-11-14,4.02083,4.05208,4.02083,4.04167,0.942415,2789600
1984-11-15,4.02083,4.02083,4.01042,4.01042,0.935128,1570400
1984-11-16,4.01042,4.01042,3.95833,3.95833,0.922983,1088000
1984-11-19,3.95833,3.95833,3.875,3.89583,0.90841,428000
1984-11-20,3.89583,3.95833,3.89583,3.95833,0.922983,669600
1984-11-21,3.95833,3.98958,3.94792,3.94792,0.920555,382400
1984-11-23,3.95833,4.07292,3.95833,4.07292,0.949702,322400
1984-11-26,4.07292,4.11458,4.07292,4.10417,0.956988,1167200
1984-11-27,4.08333,4.08333,4.05208,4.05208,0.944843,405600
1984-11-28,4.05208,4.07292,4.01042,4.01042,0.935128,608000
1984-11-29,4.01042,4.02083,3.97917,3.97917,0.927842,571200
1984-11-30,3.97917,3.98958,3.92708,3.94792,0.920555,2242400
1984-12-03,3.94792,3.94792,3.89583,3.89583,0.90841,879200
1984-12-04,3.89583,3.95833,3.89583,3.95833,0.922983,368000
1984-12-05,3.95833,3.95833,3.92708,3.92708,0.915696,595200
1984-12-06,3.92708,3.92708,3.89583,3.92708,0.915696,391200
1984-12-07,3.89583,3.89583,3.83333,3.83333,0.893836,879200
1984-12-10,3.83333,3.86458,3.8125,3.84375,0.896265,369600
1984-12-11,3.84375,3.91667,3.83333,3.86458,0.901122,1697600
1984-12-12,3.86458,3.86458,3.83333,3.86458,0.901122,1138400
1984-12-13,3.86458,3.94792,3.86458,3.92708,0.915696,1263200
1984-12-14,3.92708,4.01042,3.92708,3.98958,0.930269,537600
1984-12-17,3.98958,4.02083,3.98958,4.02083,0.937556,641600
1984-12-18,4.05208,4.14583,4.05208,4.14583,0.966703,1771200
1984-12-19,4.17708,4.26042,4.17708,4.19792,0.978849,3152000
1984-12-20,4.19792,4.19792,4.14583,4.17708,0.97399,1400000
1984-12-21,4.17708,4.17708,4.13542,4.17708,0.97399,953600
1984-12-24,4.17708,4.27083,4.17708,4.27083,0.995849,520800
1984-12-26,4.27083,4.32292,4.23958,4.26042,0.993423,520800
1984-12-27,4.23958,4.23958,4.17708,4.17708,0.97399,568800
1984-12-28,4.17708,4.26042,4.17708,4.26042,0.993423,309600
1984-12-31,4.26042,4.38542,4.26042,4.38542,1.02257,585600
1985-01-02,4.375,4.375,4.3125,4.3125,1.005566,487200
