Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.523438,1.5625,1.523438,1.546875,0.743705,590400
1980-03-18,1.546875,1.578125,1.546875,1.570313,0.754973,294400
1980-03-19,1.570313,1.617188,1.570313,1.59375,0.766241,219200
1980-03-20,1.59375,1.609375,1.5625,1.570313,0.754973,316800
1980-03-21,1.570313,1.585938,1.570313,1.570313,0.754973,158400
1980-03-24,1.570313,1.601563,1.5625,1.585938,0.762486,220800
1980-03-25,1.585938,1.585938,1.554688,1.5625,0.751217,184000
1980-03-26,1.5625,1.59375,1.5625,1.59375,0.766241,172800
1980-03-27,1.59375,1.609375,1.578125,1.601563,0.769998,356800
1980-03-28,1.617188,1.664063,1.617188,1.664063,0.800046,246400
1980-03-31,1.664063,1.6875,1.578125,1.640625,0.788778,515200
1980-04-01,1.640625,1.6875,1.617188,1.6875,0.811315,796800
1980-04-02,1.671875,1.671875,1.648438,1.664063,0.800046,419200
1980-04-03,1.664063,1.671875,1.648438,1.65625,0.79629,155200
1980-04-07,1.65625,1.671875,1.640625,1.664063,0.800046,326400
1980-04-08,1.664063,1.703125,1.65625,1.703125,0.818827,150400
1980-04-09,1.71875,1.75,1.71875,1.734375,0.833851,116800
1980-04-10,1.734375,1.734375,1.703125,1.703125,0.818827,356800
1980-04-11,1.71875,1.742188,1.71875,1.71875,0.826339,619200
1980-04-14,1.703125,1.703125,1.695313,1.695313,0.81507,180800
1980-04-15,1.695313,1.695313,1.664063,1.695313,0.81507,494400
1980-04-16,1.703125,1.78125,1.703125,1.726563,0.830095,539200
1980-04-17,1.71875,1.71875,1.695313,1.71875,0.826339,284800
1980-04-18,1.703125,1.703125,1.648438,1.648438,0.792534,179200
1980-04-21,1.648438,1.671875,1.648438,1.664063,0.800046,40000
1980-04-22,1.664063,1.75,1.648438,1.75,0.841363,200000
1980-04-23,1.75,1.75,1.710938,1.726563,0.830095,382400
1980-04-24,1.726563,1.734375,1.726563,1.726563,0.830095,2038400
1980-04-25,1.726563,1.734375,1.710938,1.726563,0.830095,408000
1980-04-28,1.726563,1.726563,1.71875,1.71875,0.826339,160000
1980-04-29,1.71875,1.75,1.71875,1.71875,0.826339,73600
1980-04-30,1.71875,1.734375,1.71875,1.726563,0.830095,160000
1980-05-01,1.726563,1.742188,1.71875,1.742188,0.837607,910400
1980-05-02,1.726563,1.726563,1.71875,1.71875,0.826339,33600
1980-05-05,1.75,1.75,1.75,1.75,0.841363,72000
1980-05-06,1.757813,1.835938,1.757813,1.828125,0.878924,385600
1980-05-07,1.828125,1.835938,1.804688,1.828125,0.878924,931200
1980-05-08,1.828125,1.84375,1.804688,1.828125,0.878924,545600
1980-05-09,1.828125,1.851563,1.796875,1.796875,0.8639,312000
1980-05-12,1.796875,1.804688,1.789063,1.789063,0.860143,152000
1980-05-13,1.789063,1.828125,1.789063,1.828125,0.878924,382400
1980-05-14,1.828125,1.875,1.820313,1.875,0.901461,1702400
1980-05-15,1.882813,1.929688,1.882813,1.929688,0.927753,491200
1980-05-16,1.914063,1.914063,1.890625,1.890625,0.908973,278400
1980-05-19,1.890625,1.976563,1.875,1.945313,0.935265,211200
1980-05-20,1.929688,1.929688,1.90625,1.90625,0.916485,377600
1980-05-21,1.90625,1.90625,1.898438,1.898438,0.912728,443200
1980-05-22,1.90625,1.953125,1.90625,1.929688,0.927753,360000
1980-05-23,1.9375,1.984375,1.9375,1.96875,0.946534,1750400
1980-05-27,2.0,2.054688,2.0,2.0,0.961558,793600
1980-05-28,2.0,2.039063,2.0,2.0,0.961558,603200
1980-05-29,2.0,2.007813,1.953125,1.953125,0.939021,216000
1980-05-30,1.953125,1.953125,1.921875,1.945313,0.935265,768000
1980-06-02,1.929688,1.929688,1.890625,1.929688,0.927753,92800
1980-06-03,1.929688,1.9375,1.90625,1.9375,0.93151,680000
1980-06-04,1.929688,1.929688,1.914063,1.914063,0.920241,272000
1980-06-05,1.921875,2.007813,1.921875,1.984375,0.954046,1307200
1980-06-06,1.984375,2.007813,1.960938,1.992188,0.957802,89600
1980-06-09,1.992188,2.015625,1.976563,2.015625,0.96907,912000
1980-06-10,2.015625,2.03125,2.007813,2.03125,0.976582,515200
1980-06-11,2.039063,2.054688,2.039063,2.054688,0.98785,657600
1980-06-12,2.054688,2.054688,2.039063,2.039063,0.980338,942400
1980-06-13,2.039063,2.054688,2.015625,2.039063,0.980338,2987200
1980-06-16,2.039063,2.054688,2.039063,2.039063,0.980338,500800
1980-06-17,2.039063,2.046875,2.039063,2.039063,0.980338,123200
1980-06-18,2.046875,2.0625,2.046875,2.0625,0.991606,497600
1980-06-19,2.0625,2.078125,2.046875,2.078125,0.999118,142400
1980-06-20,2.078125,2.101563,2.078125,2.101563,1.010387,404800
1980-06-23,2.101563,2.132813,2.078125,2.117188,1.0179,918400
1980-06-24,2.140625,2.179688,2.140625,2.179688,1.047948,1064000
1980-06-25,2.179688,2.179688,2.164063,2.171875,1.044192,97600
1980-06-26,2.171875,2.1875,2.171875,2.171875,1.044192,763200
1980-06-27,2.171875,2.1875,2.164063,2.171875,1.044192,468800
1980-06-30,2.171875,2.171875,2.164063,2.164063,1.040436,78400
1980-07-01,2.164063,2.203125,2.15625,2.195313,1.05546,2036800
1980-07-02,2.195313,2.21875,2.195313,2.21875,1.066728,763200
1980-07-03,2.21875,2.242188,2.210938,2.234375,1.07424,1028800
1980-07-07,2.234375,2.242188,2.21875,2.242188,1.077997,411200
1980-07-08,2.234375,2.234375,2.226563,2.226563,1.070484,699200
1980-07-09,2.234375,2.289063,2.234375,2.257813,1.085509,302400
1980-07-10,2.257813,2.28125,2.257813,2.28125,1.096778,132800
1980-07-11,2.28125,2.3125,2.265625,2.289063,1.100533,243200
1980-07-14,2.3125,2.34375,2.3125,2.34375,1.126826,729600
1980-07-15,2.34375,2.421875,2.34375,2.414063,1.16063,968000
1980-07-16,2.414063,2.421875,2.34375,2.34375,1.126826,752000
1980-07-17,2.328125,2.328125,2.3125,2.328125,1.119313,156800
1980-07-18,2.351563,2.421875,2.351563,2.351563,1.130582,787200
1980-07-21,2.351563,2.351563,2.34375,2.34375,1.126826,88000
1980-07-22,2.34375,2.390625,2.34375,2.375,1.14185,280000
1980-07-23,2.390625,2.40625,2.390625,2.390625,1.149362,182400
1980-07-24,2.390625,2.390625,2.367188,2.367188,1.138094,630400
1980-07-25,2.367188,2.375,2.34375,2.375,1.14185,342400
1980-07-28,2.375,2.375,2.367188,2.367188,1.138094,315200
1980-07-29,2.367188,2.453125,2.367188,2.4375,1.171899,1785600
1980-07-30,2.445313,2.5,2.445313,2.460938,1.183167,2496000
1980-07-31,2.460938,2.515625,2.421875,2.515625,1.209459,1348800
1980-08-01,2.515625,2.515625,2.476563,2.492188,1.198192,190400
1980-08-04,2.492188,2.492188,2.453125,2.453125,1.179411,438400
1980-08-05,2.453125,2.492188,2.453125,2.460938,1.183167,107200
1980-08-06,2.460938,2.460938,2.367188,2.390625,1.149362,563200
1980-08-07,2.414063,2.453125,2.414063,2.429688,1.168142,737600
1980-08-08,2.429688,2.453125,2.40625,2.414063,1.16063,851200
1980-08-11,2.414063,2.476563,2.40625,2.476563,1.190679,241600
1980-08-12,2.476563,2.476563,2.453125,2.460938,1.183167,448000
1980-08-13,2.460938,2.460938,2.4375,2.445313,1.175655,147200
1980-08-14,2.445313,2.46875,2.421875,2.453125,1.179411,296000
1980-08-15,2.453125,2.484375,2.4375,2.484375,1.194436,238400
1980-08-18,2.46875,2.46875,2.398438,2.40625,1.156874,512000
1980-08-19,2.40625,2.40625,2.328125,2.40625,1.156874,462400
1980-08-20,2.398438,2.398438,2.359375,2.398438,1.153118,649600
1980-08-21,2.40625,2.453125,2.40625,2.421875,1.164387,1420800
1980-08-22,2.445313,2.484375,2.445313,2.484375,1.194436,195200
1980-08-25,2.484375,2.484375,2.453125,2.460938,1.183167,129600
1980-08-26,2.460938,2.523438,2.445313,2.492188,1.198192,414400
1980-08-27,2.460938,2.460938,2.4375,2.4375,1.171899,729600
1980-08-28,2.4375,2.4375,2.359375,2.359375,1.134338,110400
1980-08-29,2.359375,2.367188,2.328125,2.367188,1.138094,393600
