Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,3.195313,3.265625,3.195313,3.265625,0.582503,526400
1970-01-05,3.265625,3.304688,3.257813,3.28125,0.58529,1121600
1970-01-06,3.28125,3.296875,3.21875,3.234375,0.576929,553600
1970-01-07,3.234375,3.242188,3.195313,3.226563,0.575535,451200
1970-01-08,3.265625,3.3125,3.265625,3.289063,0.586683,635200
1970-01-09,3.289063,3.296875,3.273438,3.296875,0.588077,515200
1970-01-12,3.296875,3.320313,3.25,3.273438,0.583896,334400
1970-01-13,3.273438,3.273438,3.21875,3.226563,0.575535,372800
1970-01-14,3.226563,3.226563,3.101563,3.125,0.557418,1124800
1970-01-15,3.125,3.140625,3.101563,3.117188,0.556025,336000
1970-01-16,3.117188,3.125,3.085938,3.117188,0.556025,425600
1970-01-19,3.117188,3.117188,3.085938,3.109375,0.554632,508800
1970-01-20,3.109375,3.109375,3.070313,3.078125,0.549058,588800
1970-01-21,3.078125,3.085938,3.046875,3.054688,0.544877,454400
1970-01-22,3.054688,3.09375,3.03125,3.0625,0.54627,640000
1970-01-23,3.0625,3.0625,3.03125,3.046875,0.543483,427200
1970-01-26,3.046875,3.046875,2.976563,3.023438,0.539303,732800
1970-01-27,3.015625,3.015625,2.945313,3.015625,0.537909,540800
1970-01-28,3.015625,3.03125,2.914063,2.914063,0.519793,499200
1970-01-29,2.914063,2.9375,2.875,2.90625,0.518399,696000
1970-01-30,2.90625,2.9375,2.859375,2.882813,0.514219,817600
1970-02-02,2.882813,2.90625,2.859375,2.875,0.512825,937600
1970-02-03,2.875,2.882813,2.84375,2.851563,0.508645,1971200
1970-02-04,2.851563,2.882813,2.851563,2.875,0.520816,534400
1970-02-05,2.875,2.875,2.851563,2.875,0.520816,337600
1970-02-06,2.875,2.875,2.851563,2.859375,0.517986,272000
1970-02-09,2.859375,2.875,2.851563,2.851563,0.51657,558400
1970-02-10,2.851563,2.867188,2.703125,2.703125,0.48968,996800
1970-02-11,2.703125,2.765625,2.640625,2.765625,0.501002,878400
1970-02-12,2.765625,2.796875,2.671875,2.703125,0.48968,816000
1970-02-13,2.703125,2.757813,2.664063,2.71875,0.492511,492800
1970-02-16,2.71875,2.75,2.695313,2.75,0.498172,488000
1970-02-17,2.75,2.757813,2.710938,2.734375,0.495341,451200
1970-02-18,2.75,2.8125,2.75,2.804688,0.508078,1028800
1970-02-19,2.8125,2.859375,2.8125,2.835938,0.51374,824000
1970-02-20,2.835938,2.875,2.835938,2.875,0.520816,1166400
1970-02-24,2.875,2.875,2.851563,2.875,0.520816,1043200
1970-02-25,2.890625,2.96875,2.890625,2.96875,0.537799,593600
1970-02-26,2.96875,3.023438,2.960938,3.0,0.54346,862400
1970-02-27,3.0,3.03125,2.96875,2.96875,0.537799,1246400
1970-03-02,2.96875,2.96875,2.890625,2.914063,0.527892,518400
1970-03-03,2.914063,2.9375,2.851563,2.898438,0.525062,544000
1970-03-04,2.898438,2.929688,2.867188,2.875,0.520816,422400
1970-03-05,2.867188,2.867188,2.835938,2.859375,0.517986,684800
1970-03-06,2.859375,2.882813,2.84375,2.882813,0.522231,481600
1970-03-09,2.882813,2.921875,2.84375,2.867188,0.519401,524800
1970-03-10,2.867188,2.898438,2.851563,2.882813,0.522231,430400
1970-03-11,2.882813,2.898438,2.875,2.882813,0.522231,843200
1970-03-12,2.882813,2.882813,2.851563,2.867188,0.519401,539200
1970-03-13,2.867188,2.867188,2.796875,2.828125,0.512324,688000
1970-03-16,2.804688,2.804688,2.703125,2.804688,0.508078,732800
1970-03-17,2.804688,2.820313,2.765625,2.804688,0.508078,564800
1970-03-18,2.804688,2.859375,2.789063,2.828125,0.512324,436800
1970-03-19,2.828125,2.828125,2.757813,2.757813,0.499587,827200
1970-03-20,2.757813,2.765625,2.734375,2.765625,0.501002,372800
1970-03-23,2.75,2.75,2.710938,2.734375,0.495341,539200
1970-03-24,2.734375,2.78125,2.71875,2.757813,0.499587,355200
1970-03-25,2.773438,2.867188,2.773438,2.8125,0.509494,987200
1970-03-26,2.804688,2.804688,2.71875,2.75,0.498172,1644800
1970-03-30,2.75,2.75,2.726563,2.742188,0.496757,628800
1970-03-31,2.742188,2.789063,2.734375,2.78125,0.503833,579200
1970-04-01,2.78125,2.835938,2.78125,2.835938,0.51374,1028800
1970-04-02,2.835938,2.835938,2.757813,2.78125,0.503833,1150400
1970-04-03,2.78125,2.8125,2.765625,2.8125,0.509494,449600
1970-04-06,2.8125,2.828125,2.789063,2.820313,0.510909,384000
1970-04-07,2.820313,2.820313,2.78125,2.78125,0.503833,422400
1970-04-08,2.78125,2.804688,2.773438,2.804688,0.508078,321600
1970-04-09,2.796875,2.796875,2.75,2.796875,0.506663,520000
1970-04-10,2.796875,2.796875,2.773438,2.78125,0.503833,360000
1970-04-13,2.78125,2.796875,2.757813,2.765625,0.501002,408000
1970-04-14,2.765625,2.765625,2.734375,2.742188,0.496757,563200
1970-04-15,2.742188,2.75,2.726563,2.742188,0.496757,385600
1970-04-16,2.742188,2.742188,2.6875,2.703125,0.48968,816000
1970-04-17,2.703125,2.726563,2.6875,2.710938,0.491096,286400
1970-04-20,2.710938,2.734375,2.703125,2.710938,0.491096,350400
1970-04-21,2.710938,2.726563,2.695313,2.710938,0.491096,302400
1970-04-22,2.710938,2.710938,2.65625,2.695313,0.488265,440000
1970-04-23,2.695313,2.703125,2.65625,2.6875,0.48685,516800
1970-04-24,2.6875,2.703125,2.640625,2.648438,0.479773,548800
1970-04-27,2.648438,2.671875,2.625,2.625,0.475528,582400
1970-04-28,2.625,2.648438,2.5625,2.585938,0.468451,860800
1970-04-29,2.585938,2.617188,2.5,2.609375,0.472697,873600
1970-04-30,2.609375,2.648438,2.585938,2.609375,0.472697,430400
1970-05-01,2.609375,2.609375,2.53125,2.609375,0.472697,707200
1970-05-04,2.609375,2.617188,2.53125,2.5625,0.464205,537600
1970-05-05,2.554688,2.554688,2.507813,2.515625,0.463629,633600
1970-05-06,2.515625,2.53125,2.484375,2.507813,0.46219,1187200
1970-05-07,2.507813,2.523438,2.476563,2.507813,0.46219,563200
1970-05-08,2.507813,2.523438,2.492188,2.5,0.46075,531200
1970-05-11,2.5,2.507813,2.46875,2.492188,0.45931,580800
1970-05-12,2.492188,2.53125,2.453125,2.492188,0.45931,913600
1970-05-13,2.492188,2.5,2.414063,2.476563,0.45643,742400
1970-05-14,2.476563,2.554688,2.46875,2.515625,0.463629,846400
1970-05-15,2.515625,2.5625,2.492188,2.5625,0.472269,449600
1970-05-18,2.5625,2.59375,2.53125,2.59375,0.478028,518400
1970-05-19,2.59375,2.617188,2.546875,2.546875,0.469389,273600
1970-05-20,2.546875,2.5625,2.5,2.515625,0.463629,337600
1970-05-21,2.515625,2.53125,2.46875,2.484375,0.45787,577600
1970-05-22,2.484375,2.554688,2.476563,2.492188,0.45931,348800
1970-05-25,2.492188,2.5,2.46875,2.484375,0.45787,334400
1970-05-26,2.484375,2.492188,2.445313,2.484375,0.45787,532800
1970-05-27,2.484375,2.609375,2.476563,2.5625,0.472269,625600
1970-05-28,2.570313,2.664063,2.570313,2.65625,0.489547,505600
1970-05-29,2.65625,2.726563,2.632813,2.71875,0.501065,544000
1970-06-01,2.71875,2.78125,2.695313,2.773438,0.511144,537600
1970-06-02,2.773438,2.789063,2.6875,2.742188,0.505385,435200
1970-06-03,2.742188,2.804688,2.71875,2.789063,0.514024,420800
1970-06-04,2.789063,2.8125,2.695313,2.695313,0.496746,587200
1970-06-05,2.679688,2.679688,2.625,2.632813,0.485227,382400
1970-06-08,2.632813,2.65625,2.601563,2.617188,0.482348,334400
1970-06-09,2.609375,2.609375,2.5625,2.570313,0.473708,260800
1970-06-10,2.570313,2.585938,2.539063,2.570313,0.473708,406400
