Date,Open,High,Low,Close,Adj Close,Volume
2007-06-14,28.0,30.5,28.0,28.75,24.828054,3279100
2007-06-15,29.5,29.799999,28.879999,29.08,25.113033,790100
2007-06-18,29.32,30.200001,29.299999,29.93,25.847082,1591000
2007-06-19,30.0,30.299999,29.6,29.700001,25.648458,1585100
2007-06-20,30.040001,30.1,29.57,29.809999,25.743448,855900
2007-06-21,30.059999,31.950001,29.610001,31.209999,26.952473,842700
2007-06-22,31.5,32.169998,31.0,31.700001,27.375626,1490700
2007-06-25,31.5,32.0,31.01,31.299999,27.030188,490000
2007-06-26,31.299999,31.65,30.25,30.41,26.261604,853900
2007-06-27,30.6,30.799999,29.57,29.58,25.544827,1127300
2007-06-28,29.879999,29.9,29.16,29.5,25.475739,488900
2007-06-29,29.99,30.299999,27.93,28.5,24.612152,3085200
2007-07-02,28.549999,29.15,27.200001,27.5,23.748569,10999000
2007-07-03,27.5,27.5,26.15,26.67,23.031794,8600100
2007-07-05,26.25,26.92,25.74,25.93,22.392738,8422000
2007-07-06,25.639999,25.860001,25.209999,25.639999,22.1423,7211800
2007-07-09,25.719999,26.540001,25.440001,25.540001,22.055946,11675200
2007-07-10,25.6,25.65,24.799999,24.9,21.503248,8591800
2007-07-11,25.02,25.27,24.75,25.209999,21.770962,10251400
2007-07-12,25.59,26.59,25.209999,26.34,22.746811,10297300
2007-07-13,26.469999,27.43,26.02,27.16,23.454952,6752500
2007-07-16,27.209999,27.450001,26.66,26.84,23.178606,9892000
2007-07-17,26.959999,26.99,26.309999,26.5,22.884983,5434600
2007-07-18,26.450001,26.5,25.700001,26.360001,22.764086,4594800
2007-07-19,26.25,26.950001,26.25,26.709999,23.066339,4868900
2007-07-20,26.709999,27.120001,26.25,26.299999,22.712269,5751300
2007-07-23,26.299999,26.51,26.1,26.120001,22.55682,4711800
2007-07-24,25.540001,25.6,24.93,25.0,21.589615,5483800
2007-07-25,24.76,24.84,23.75,24.1,20.812378,8391500
2007-07-26,23.26,24.879999,22.75,24.620001,21.261457,9834900
2007-07-27,24.26,24.700001,23.33,23.33,20.147427,6678000
2007-07-30,23.4,23.93,22.370001,23.57,20.354683,5056000
2007-07-31,23.65,24.1,22.83,23.049999,19.905617,4132300
2007-08-01,22.68,23.07,22.049999,22.879999,19.758808,5583900
2007-08-02,22.5,24.049999,22.48,23.370001,20.181973,3032900
2007-08-03,22.66,23.110001,21.530001,21.99,18.990227,5256100
2007-08-06,22.24,23.530001,21.25,22.15,19.128391,6010700
2007-08-07,22.049999,23.530001,21.719999,22.879999,19.758808,3885200
2007-08-08,23.5,24.57,23.0,24.290001,20.976461,5645200
2007-08-09,23.4,23.959999,22.059999,22.16,19.13703,4554600
2007-08-10,21.75,21.950001,20.35,20.860001,18.014366,10813200
2007-08-13,21.26,22.290001,21.26,22.1,19.085213,7115200
2007-08-14,22.290001,22.66,21.709999,21.959999,18.964312,3845000
2007-08-15,21.889999,22.4,21.16,21.66,18.70524,3690300
2007-08-16,20.5,23.139999,20.469999,22.85,19.732904,5503500
2007-08-17,23.889999,23.99,22.91,23.18,20.017889,5668600
2007-08-20,23.1,23.5,22.48,23.450001,20.251059,3786500
2007-08-21,23.09,23.959999,23.07,23.67,20.441036,2471000
2007-08-22,23.66,24.0,23.25,23.73,20.492861,3601000
2007-08-23,23.940001,24.030001,23.18,23.700001,20.466951,2904000
2007-08-24,23.42,24.02,23.379999,23.99,20.71739,2001000
2007-08-27,24.02,24.040001,23.700001,23.83,20.57922,1629600
