Date,Open,High,Low,Close,Adj Close,Volume
1983-06-10,15.75,15.75,15.625,15.625,2.565701,403200
1983-06-13,15.6875,15.75,15.375,15.5625,2.555438,63200
1983-06-14,15.5,16.15625,15.5,16.09375,2.642672,516400
1983-06-15,16.125,17.5,16.125,17.5,2.873585,300000
1983-06-16,17.375,17.375,16.53125,16.625,2.729906,280000
1983-06-17,16.75,17.0,16.5,16.6875,2.74017,236000
1983-06-20,16.625,17.0,16.375,16.375,2.688854,119200
1983-06-21,16.25,16.4375,16.25,16.3125,2.678592,457600
1983-06-22,16.15625,16.3125,16.03125,16.3125,2.678592,233200
1983-06-23,16.3125,16.3125,16.125,16.25,2.66833,186000
1983-06-24,16.25,16.25,15.9375,16.0,2.627278,431200
1983-06-27,16.125,16.125,14.875,15.4375,2.534912,383200
1983-06-28,15.4375,15.75,15.375,15.4375,2.534912,571200
1983-06-29,15.375,16.25,15.3125,15.875,2.606752,188000
1983-06-30,15.75,15.8125,15.5,15.625,2.565701,356800
1983-07-01,15.8125,15.875,15.6875,15.8125,2.596491,131200
1983-07-05,15.8125,15.8125,15.4375,15.5625,2.555438,298000
1983-07-06,15.625,15.6875,15.5,15.6875,2.575964,134800
1983-07-07,15.6875,15.6875,15.40625,15.4375,2.534912,217200
1983-07-08,15.4375,15.4375,15.15625,15.1875,2.493861,798400
1983-07-11,15.1875,15.21875,15.0625,15.125,2.483598,410800
1983-07-12,15.0625,15.0625,14.9375,14.9375,2.452811,585600
1983-07-13,14.9375,14.9375,14.78125,14.8125,2.432284,595600
1983-07-14,14.96875,15.25,14.8125,15.0,2.463073,203200
1983-07-15,14.9375,14.9375,14.625,14.75,2.422023,696400
1983-07-18,14.75,14.875,14.75,14.8125,2.432284,129600
1983-07-19,14.8125,14.8125,14.5,14.5,2.38097,1117200
1983-07-20,14.65625,14.6875,14.375,14.6875,2.411759,1038800
1983-07-21,14.75,14.75,14.65625,14.71875,2.416891,775600
1983-07-22,14.71875,14.8125,14.5,14.6875,2.411759,424000
1983-07-25,14.6875,14.75,14.46875,14.75,2.422023,145200
1983-07-26,14.5,14.75,14.4375,14.625,2.401497,683200
1983-07-27,14.25,14.625,14.1875,14.28125,2.345051,1061200
1983-07-28,14.0,14.21875,13.875,13.96875,2.293737,305600
1983-07-29,13.96875,14.125,13.8125,14.0,2.298868,588000
1983-08-01,14.09375,14.09375,13.9375,14.0,2.298868,307600
1983-08-02,14.0,14.3125,14.0,14.25,2.33992,746400
1983-08-03,14.375,14.5625,14.25,14.5,2.38097,755600
1983-08-04,14.5,14.625,14.46875,14.625,2.401497,716800
1983-08-05,14.875,14.875,14.53125,14.5625,2.391233,106800
1983-08-08,14.5625,14.5625,13.8125,13.9375,2.288604,147200
1983-08-09,13.875,14.0,13.6875,13.75,2.257818,861600
1983-08-10,13.6875,14.375,13.5625,14.375,2.360445,232000
1983-08-11,14.375,14.4375,14.1875,14.1875,2.329657,221600
1983-08-12,14.25,14.8125,14.25,14.6875,2.411759,194400
1983-08-15,14.75,15.0,14.75,14.875,2.459291,245600
1983-08-16,14.8125,14.9375,14.625,14.8125,2.448958,89600
1983-08-17,14.84375,14.9375,14.6875,14.9375,2.469624,152400
1983-08-18,15.0,15.3125,15.0,15.25,2.521292,378400
1983-08-19,15.25,15.25,14.8125,14.8125,2.448958,192400
1983-08-22,14.875,15.0625,14.71875,14.8125,2.448958,173600
1983-08-23,14.875,15.0,14.75,15.0,2.479959,227600
1983-08-24,15.0625,15.125,15.0,15.0,2.479959,122400
1983-08-25,15.0625,15.0625,14.75,14.875,2.459291,63200
1983-08-26,14.90625,14.9375,14.75,14.8125,2.448958,319600
1983-08-29,14.75,15.0625,14.75,14.8125,2.448958,184800
1983-08-30,14.75,14.9375,14.71875,14.8125,2.448958,39200
1983-08-31,14.84375,15.375,14.8125,15.375,2.541957,166800
1983-09-01,15.3125,15.4375,15.3125,15.4375,2.552289,117600
1983-09-02,15.375,15.875,15.3125,15.875,2.624622,38400
1983-09-06,16.25,16.4375,16.0625,16.25,2.686622,252400
1983-09-07,16.125,16.1875,15.875,15.875,2.624622,94400
1983-09-08,16.0,16.0,15.5,15.5,2.562623,186000
1983-09-09,15.375,15.5,15.25,15.3125,2.531623,91600
1983-09-12,15.34375,15.40625,14.75,14.8125,2.448958,331600
1983-09-13,14.875,15.0625,14.75,15.0,2.479959,369600
1983-09-14,15.0,15.09375,14.9375,14.9375,2.469624,270800
1983-09-15,14.9375,14.9375,14.5,14.5,2.397293,421200
1983-09-16,14.5,15.125,14.5,15.0,2.479959,110800
1983-09-19,15.03125,15.0625,14.875,14.875,2.459291,66800
1983-09-20,14.875,15.53125,14.875,15.5,2.562623,115600
1983-09-21,15.5625,16.0,15.5,16.0,2.645289,246000
1983-09-22,16.0,16.3125,15.9375,16.3125,2.696954,296000
1983-09-23,16.375,16.5,16.125,16.1875,2.676287,284800
1983-09-26,16.25,16.3125,16.125,16.1875,2.676287,184000
1983-09-27,16.25,16.34375,15.8125,16.0625,2.655622,257200
1983-09-28,15.9375,15.9375,15.8125,15.9375,2.634956,97600
1983-09-29,15.9375,15.9375,15.6875,15.875,2.624622,212000
1983-09-30,15.875,15.875,15.625,15.65625,2.588455,57600
1983-10-03,15.59375,15.625,15.3125,15.5,2.562623,174000
1983-10-04,15.53125,15.75,15.53125,15.5625,2.572956,169200
1983-10-05,15.5,15.5625,15.5,15.53125,2.56779,158400
1983-10-06,15.59375,15.59375,15.3125,15.375,2.541957,160400
1983-10-07,15.5,15.6875,15.34375,15.40625,2.547123,236000
1983-10-10,15.40625,15.4375,15.25,15.25,2.521292,112000
1983-10-11,15.3125,15.4375,15.3125,15.3125,2.531623,84000
1983-10-12,15.1875,15.21875,14.96875,14.96875,2.474792,394000
1983-10-13,15.09375,15.1875,15.0,15.09375,2.495458,290400
1983-10-14,15.09375,15.21875,14.96875,14.96875,2.474792,113200
1983-10-17,15.0,15.09375,14.9375,15.09375,2.495458,164400
1983-10-18,15.03125,15.03125,14.75,14.75,2.438626,208000
1983-10-19,14.8125,14.8125,14.65625,14.6875,2.428292,123600
1983-10-20,14.75,15.4375,14.6875,15.375,2.541957,280800
1983-10-21,15.375,15.75,15.375,15.375,2.541957,86000
1983-10-24,15.1875,15.4375,15.1875,15.4375,2.552289,188800
1983-10-25,15.5,15.5,15.3125,15.40625,2.547123,133600
1983-10-26,15.46875,15.5,15.3125,15.4375,2.552289,151200
1983-10-27,15.4375,15.5,15.25,15.25,2.521292,158400
1983-10-28,15.28125,15.3125,14.9375,15.0,2.479959,169600
1983-10-31,14.9375,15.0625,14.625,14.6875,2.428292,1050000
1983-11-01,14.625,14.6875,14.5625,14.6875,2.428292,414000
1983-11-02,14.6875,14.6875,14.5,14.5,2.397293,161200
1983-11-03,14.5625,14.5625,14.125,14.125,2.335294,707200
1983-11-04,14.25,14.8125,14.1875,14.4375,2.386959,438400
1983-11-07,14.375,14.75,14.375,14.625,2.417959,62800
1983-11-08,14.5,14.5625,14.40625,14.5625,2.407626,168800
1983-11-09,14.5,14.875,14.4375,14.46875,2.392126,223200
1983-11-10,14.59375,14.875,14.59375,14.6875,2.428292,542000
1983-11-11,14.875,15.375,14.875,15.34375,2.536792,211600
1983-11-14,15.15625,15.6875,15.15625,15.625,2.600236,367600
1983-11-15,15.4375,15.53125,15.3125,15.5,2.579434,149200
1983-11-16,15.5625,16.0625,15.5625,15.75,2.621038,343200
1983-11-17,15.78125,16.0625,15.75,15.8125,2.631438,160000
1983-11-18,15.78125,15.875,15.75,15.8125,2.631438,155600
1983-11-21,15.75,15.75,15.5,15.625,2.600236,220000
1983-11-22,15.6875,15.8125,15.375,15.40625,2.563832,237200
1983-11-23,15.40625,15.4375,15.34375,15.375,2.558632,428800
1983-11-25,15.40625,15.65625,15.40625,15.65625,2.605436,97600
1983-11-28,15.59375,15.6875,15.5,15.5,2.579434,316000
1983-11-29,15.5,15.5625,15.28125,15.375,2.558632,98400
1983-11-30,15.375,15.4375,14.9375,14.9375,2.485826,298400
1983-12-01,14.9375,15.0625,14.8125,15.03125,2.501427,210400
1983-12-02,15.0625,15.09375,14.96875,15.0,2.496227,158400
1983-12-05,15.0,15.03125,14.6875,14.96875,2.491026,140400
