Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,21.5,22.25,21.5,22.25,0.626878,6400
1970-01-05,22.25,22.875,22.25,22.75,0.640965,4000
1970-01-06,22.75,23.0,22.75,22.75,0.640965,11100
1970-01-07,22.75,23.0,22.625,22.75,0.640965,8600
1970-01-08,22.75,23.125,22.75,23.125,0.651531,6100
1970-01-09,23.125,23.25,22.875,23.125,0.651531,4000
1970-01-12,23.125,23.25,22.75,23.125,0.651531,6000
1970-01-13,23.125,23.25,22.625,23.0,0.648009,7900
1970-01-14,22.875,22.875,22.625,22.625,0.637444,3300
1970-01-15,22.625,22.875,22.5,22.75,0.640965,7500
1970-01-16,22.5,22.5,22.125,22.25,0.626878,5100
1970-01-19,22.25,22.25,22.0,22.0,0.619835,5600
1970-01-20,22.0,22.125,21.625,21.875,0.616313,7200
1970-01-21,21.875,22.25,21.75,22.0,0.619835,4400
1970-01-22,22.0,22.25,22.0,22.0,0.619835,5400
1970-01-23,22.0,22.125,21.5,21.75,0.612791,5300
1970-01-26,21.75,21.875,21.375,21.5,0.605748,5200
1970-01-27,21.5,22.0,21.375,21.375,0.602226,6100
1970-01-28,21.5,22.0,21.5,21.625,0.609269,5700
1970-01-29,21.625,21.875,21.125,21.25,0.598704,11300
1970-01-30,21.25,21.375,21.125,21.375,0.602226,3700
1970-02-02,21.375,21.75,21.25,21.5,0.605748,6800
1970-02-03,21.5,21.75,21.375,21.5,0.605748,5200
1970-02-04,21.5,22.0,21.5,21.75,0.612791,5800
1970-02-05,21.75,22.125,21.625,21.875,0.616313,4300
1970-02-06,21.875,21.875,21.625,21.875,0.616313,4800
1970-02-09,21.875,22.0,21.625,21.625,0.609269,4500
1970-02-10,21.625,21.75,21.5,21.5,0.605748,5300
1970-02-11,21.5,21.75,21.375,21.75,0.612791,4000
1970-02-12,21.75,22.5,21.5,22.5,0.633922,6800
1970-02-13,22.25,22.25,21.625,21.75,0.612791,9200
1970-02-16,21.75,22.0,21.625,21.75,0.612791,3500
1970-02-17,21.75,22.125,21.75,22.0,0.619835,2900
1970-02-18,22.125,22.375,22.125,22.375,0.6304,1700
1970-02-19,22.375,22.5,22.25,22.25,0.626878,2400
1970-02-20,22.25,22.625,22.125,22.25,0.626878,5300
1970-02-24,22.25,22.375,22.0,22.125,0.623357,4100
1970-02-25,22.125,22.375,22.0,22.375,0.6304,8000
1970-02-26,22.375,22.375,22.125,22.25,0.626878,5600
1970-02-27,22.25,22.75,22.125,22.625,0.637444,5400
1970-03-02,22.625,22.75,22.25,22.375,0.6304,7100
1970-03-03,22.5,23.125,22.5,23.125,0.651531,8100
1970-03-04,23.125,23.375,22.75,23.125,0.651531,7600
1970-03-05,23.125,23.5,23.0,23.375,0.658574,5900
1970-03-06,23.375,23.5,23.25,23.375,0.658574,3900
1970-03-09,23.375,23.375,22.875,22.875,0.644487,4900
1970-03-10,22.875,23.25,22.875,23.125,0.651531,4400
1970-03-11,23.125,23.125,22.0,22.625,0.637444,35300
1970-03-12,22.5,22.5,22.0,22.25,0.626878,3000
1970-03-13,22.25,22.375,21.75,22.125,0.623357,5400
1970-03-16,22.125,22.375,21.875,22.375,0.6304,4600
1970-03-17,22.375,22.375,22.125,22.125,0.623357,3100
1970-03-18,22.125,22.625,22.0,22.5,0.633922,7300
1970-03-19,22.375,22.375,22.125,22.375,0.6304,4400
1970-03-20,22.0,22.0,21.75,21.75,0.622529,2400
1970-03-23,21.75,22.0,21.75,21.875,0.626107,3400
1970-03-24,21.875,22.125,21.75,22.125,0.633262,4200
1970-03-25,22.125,23.0,22.0,22.875,0.654729,8100
1970-03-26,22.875,23.0,22.75,22.875,0.654729,4300
1970-03-30,22.875,22.875,22.25,22.25,0.636841,6400
1970-03-31,22.25,22.625,22.125,22.25,0.636841,5000
1970-04-01,22.25,22.625,22.125,22.125,0.633262,6200
1970-04-02,22.125,22.5,22.125,22.25,0.636841,3700
1970-04-03,22.25,22.625,22.125,22.375,0.640418,4300
1970-04-06,22.375,22.375,21.875,22.25,0.636841,12400
1970-04-07,22.25,22.25,21.875,22.125,0.633262,4900
1970-04-08,22.125,22.375,21.875,22.375,0.640418,5500
1970-04-09,22.375,22.5,22.125,22.25,0.636841,4200
1970-04-10,22.25,22.625,22.25,22.625,0.647574,3100
1970-04-13,22.625,22.625,22.25,22.25,0.636841,4600
1970-04-14,22.25,22.375,22.0,22.0,0.629685,6700
1970-04-15,22.0,22.5,22.0,22.125,0.633262,7500
1970-04-16,22.125,22.375,22.0,22.0,0.629685,4300
1970-04-17,22.0,22.375,21.875,22.125,0.633262,4600
1970-04-20,22.125,22.25,21.875,22.25,0.636841,4300
1970-04-21,22.25,22.25,21.75,21.875,0.626107,2800
1970-04-22,21.875,21.875,21.5,21.75,0.622529,7400
1970-04-23,21.5,21.5,21.0,21.25,0.608218,10900
1970-04-24,21.25,21.375,20.125,20.625,0.590329,34100
1970-04-27,20.75,21.125,20.75,20.875,0.597485,6000
1970-04-28,20.875,21.25,20.375,20.5,0.586752,8500
1970-04-29,20.5,20.875,20.25,20.5,0.586752,15900
1970-04-30,20.5,20.875,20.5,20.75,0.593907,6100
1970-05-01,20.75,20.75,20.5,20.625,0.590329,3500
1970-05-04,20.625,20.875,20.5,20.625,0.590329,6500
1970-05-05,20.625,20.625,20.375,20.5,0.586752,4500
1970-05-06,20.5,20.75,20.5,20.625,0.590329,4500
1970-05-07,20.625,20.75,20.375,20.5,0.586752,10600
1970-05-08,20.5,20.5,20.125,20.375,0.583174,5600
1970-05-11,20.375,20.375,20.125,20.375,0.583174,3100
1970-05-12,20.375,20.375,20.125,20.125,0.576018,9500
1970-05-13,20.125,20.25,20.0,20.0,0.57244,7700
1970-05-14,20.0,20.375,20.0,20.25,0.579596,6200
1970-05-15,20.25,20.375,20.0,20.25,0.579596,7900
