Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.125,1.15625,1.125,1.125,0.692608,486400
1980-03-18,1.140625,1.171875,1.140625,1.140625,0.702227,859200
1980-03-19,1.148438,1.179688,1.148438,1.148438,0.707037,622400
1980-03-20,1.148438,1.179688,1.148438,1.148438,0.707037,374400
1980-03-21,1.148438,1.179688,1.148438,1.148438,0.707037,364800
1980-03-24,1.148438,1.15625,1.125,1.125,0.692608,168000
1980-03-25,1.109375,1.109375,1.078125,1.078125,0.663749,547200
1980-03-26,1.078125,1.09375,1.0625,1.0625,0.65413,980800
1980-03-27,1.039063,1.039063,1.007813,1.007813,0.620462,710400
1980-03-28,1.039063,1.070313,1.039063,1.039063,0.639701,712000
1980-03-31,1.078125,1.109375,1.078125,1.078125,0.663749,1020800
1980-04-01,1.101563,1.132813,1.101563,1.101563,0.678179,766400
1980-04-02,1.125,1.15625,1.125,1.125,0.692608,827200
1980-04-03,1.125,1.148438,1.117188,1.117188,0.687798,315200
1980-04-07,1.117188,1.132813,1.101563,1.101563,0.678179,417600
1980-04-08,1.109375,1.140625,1.109375,1.109375,0.682989,243200
1980-04-09,1.117188,1.148438,1.117188,1.117188,0.687798,235200
1980-04-10,1.125,1.15625,1.125,1.125,0.692608,324800
1980-04-11,1.125,1.15625,1.125,1.125,0.692608,259200
1980-04-14,1.132813,1.164063,1.132813,1.132813,0.697418,536000
1980-04-15,1.132813,1.164063,1.132813,1.132813,0.697418,588800
1980-04-16,1.132813,1.140625,1.109375,1.109375,0.682989,507200
1980-04-17,1.109375,1.140625,1.109375,1.109375,0.682989,995200
1980-04-18,1.109375,1.140625,1.109375,1.109375,0.682989,259200
1980-04-21,1.109375,1.132813,1.101563,1.101563,0.678179,502400
1980-04-22,1.125,1.15625,1.125,1.125,0.692608,792000
1980-04-23,1.1875,1.21875,1.1875,1.1875,0.731086,360000
1980-04-24,1.21875,1.25,1.21875,1.21875,0.750325,347200
1980-04-25,1.21875,1.25,1.21875,1.21875,0.750325,140800
1980-04-28,1.226563,1.257813,1.226563,1.226563,0.755135,475200
1980-04-29,1.226563,1.257813,1.226563,1.226563,0.755135,296000
1980-04-30,1.226563,1.226563,1.195313,1.195313,0.735896,723200
