Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,364.075653,792500
2000-08-14,418.998413,420.0,384.0,384.0,332.869141,80200
2000-08-15,388.998413,396.0,384.0,388.0,336.336548,48400
2000-08-16,386.0,418.0,386.0,396.0,343.271332,42100
2000-08-17,392.0,400.0,382.0,384.0,332.869141,47200
2000-08-18,400.998413,460.0,396.0,458.0,397.015869,60400
2000-08-21,482.0,520.0,446.0,486.0,421.287506,66500
2000-08-22,492.0,502.0,432.0,432.0,374.477783,33800
2000-08-23,434.0,440.0,408.0,416.0,360.608307,17900
2000-08-24,414.0,418.0,386.0,386.0,334.602844,18400
2000-08-25,402.0,414.0,388.0,412.0,357.140869,20100
2000-08-28,428.998413,433.497589,400.0,420.0,364.075653,19400
2000-08-29,430.0,432.0,404.0,428.0,371.010468,22700
2000-08-30,426.998413,470.0,424.0,454.0,393.548462,19800
2000-08-31,482.0,528.0,476.0,518.0,449.026672,87300
2000-09-01,516.0,520.0,480.0,504.0,436.890747,27700
2000-09-05,506.0,520.0,496.0,498.0,431.689728,23000
2000-09-06,516.0,520.0,488.0,496.0,429.955994,20500
2000-09-07,512.0,512.0,428.0,460.0,398.749542,23900
2000-09-08,456.499207,464.0,440.0,448.0,388.347382,15900
2000-09-11,442.0,448.0,432.0,444.0,384.879913,34500
2000-09-12,434.998413,442.0,412.0,416.0,360.608307,33800
2000-09-13,408.0,420.0,396.0,400.0,346.738678,10300
2000-09-14,444.0,444.0,400.0,406.0,351.939819,8100
2000-09-15,402.0,416.0,400.0,402.0,348.472443,3600
2000-09-18,420.0,424.0,382.0,386.0,334.602844,18600
2000-09-19,418.998413,420.0,344.0,360.0,312.06488,48000
2000-09-20,368.0,370.0,312.0,332.0,287.793121,24100
2000-09-21,330.0,344.0,326.0,340.0,294.727936,25200
2000-09-22,306.998413,346.0,302.0,338.0,292.994232,8400
2000-09-25,340.0,346.0,300.0,302.0,261.78775,21000
2000-09-26,316.0,318.0,288.0,296.0,256.58667,19600
2000-09-27,300.998413,302.0,276.0,298.998413,259.185822,16700
2000-09-28,296.0,344.0,292.0,320.0,277.390991,22000
2000-09-29,322.998413,324.0,278.998413,284.0,246.184494,19100
2000-10-02,300.0,300.998413,268.0,272.0,235.782318,6800
2000-10-03,274.998413,284.0,248.0,254.0,220.179077,10100
2000-10-04,256.0,258.0,216.0,228.0,197.641068,14600
2000-10-05,222.0,260.0,208.0,210.0,182.037827,15100
2000-10-06,222.499207,224.0,190.0,194.998398,169.033768,11400
2000-10-09,210.0,214.0,184.998398,198.0,171.635666,10600
2000-10-10,202.0,204.0,176.0,182.0,157.766113,13200
2000-10-11,168.0,184.0,130.0,132.0,114.423775,42400
2000-10-12,162.998398,168.0,144.0,166.0,143.896561,37200
2000-10-13,182.0,252.0,176.998398,242.0,209.776932,42800
2000-10-16,260.0,262.0,236.0,260.0,225.380188,38500
2000-10-17,272.0,274.0,244.0,250.0,216.711731,11000
2000-10-18,248.0,268.0,190.0,258.0,223.646469,19300
2000-10-19,272.0,298.0,216.0,220.998398,191.571747,25900
2000-10-20,240.0,240.0,224.0,234.0,202.842163,21700
2000-10-23,236.0,268.998413,228.0,264.0,228.847549,17800
2000-10-24,265.497589,272.0,260.0,270.0,234.048645,19700
2000-10-25,267.497589,272.0,252.0,272.0,235.782318,13200
2000-10-26,270.998413,308.0,270.0,290.0,251.38559,8700
2000-10-27,291.497589,292.0,276.0,288.0,249.651886,3300
2000-10-30,286.0,300.0,276.0,286.0,247.918198,7600
2000-10-31,292.0,328.0,280.0,312.0,270.456177,10400
2000-11-01,311.497589,336.0,306.0,312.0,270.456177,11500
2000-11-02,311.497589,316.0,284.0,296.0,256.58667,7800
2000-11-03,286.998413,302.0,286.998413,292.0,253.119308,7700
2000-11-06,296.0,300.0,278.0,284.0,246.184494,9700
2000-11-07,288.0,288.0,280.0,284.0,246.184494,6600
2000-11-08,284.0,284.0,240.998398,258.0,223.646469,20900
2000-11-09,240.0,256.0,240.0,252.998398,219.310852,12600
2000-11-10,244.499207,248.0,238.0,238.0,206.30957,18100
