Date,Open,High,Low,Close,Adj Close,Volume
1994-06-07,19.125,19.625,19.125,19.375,7.08645,1595400
1994-06-08,19.375,19.375,19.125,19.25,7.040728,162400
1994-06-09,19.25,19.25,19.125,19.25,7.040728,76200
1994-06-10,19.25,19.25,19.0,19.125,6.995009,110500
1994-06-13,19.125,19.125,19.0,19.125,6.995009,51200
1994-06-14,19.125,19.25,19.125,19.25,7.040728,28100
1994-06-15,19.25,19.5,19.125,19.25,7.040728,96700
1994-06-16,19.25,19.25,19.125,19.125,6.995009,19800
1994-06-17,19.125,19.25,19.0,19.0,6.949291,56000
1994-06-20,19.0,19.125,19.0,19.125,6.995009,43500
1994-06-21,19.125,19.125,19.0,19.0,6.949291,34700
1994-06-22,19.0,19.125,19.0,19.0,6.949291,29500
1994-06-23,19.0,19.125,18.75,18.75,6.857854,67900
1994-06-24,18.625,18.625,18.125,18.375,6.720698,72500
1994-06-27,18.375,18.375,17.25,17.875,6.537824,70100
1994-06-28,17.875,18.125,17.5,17.625,6.446384,64700
1994-06-29,17.75,18.125,17.75,17.875,6.537824,25100
1994-06-30,17.875,18.0,17.625,17.625,6.446384,26100
1994-07-01,17.625,17.75,17.375,17.75,6.492101,25500
1994-07-05,17.75,17.875,17.75,17.875,6.537824,2900
1994-07-06,17.875,17.875,17.5,17.625,6.446384,33600
1994-07-07,17.625,17.875,17.625,17.625,6.446384,30500
1994-07-08,17.625,17.875,17.625,17.625,6.446384,30200
1994-07-11,17.625,17.875,17.5,17.75,6.492101,29300
1994-07-12,17.75,17.875,17.625,17.75,6.492101,11700
1994-07-13,17.75,17.875,17.625,17.75,6.492101,37800
1994-07-14,17.75,17.875,17.625,17.875,6.537824,24600
1994-07-15,17.875,18.0,17.875,18.0,6.583542,15000
1994-07-18,18.0,18.0,17.875,18.0,6.583542,22900
1994-07-19,18.0,18.5,18.0,18.5,6.766417,25700
1994-07-20,18.5,18.5,18.125,18.25,6.674977,15900
1994-07-21,18.25,18.25,18.0,18.25,6.674977,16000
1994-07-22,18.25,18.5,18.25,18.375,6.720698,18800
1994-07-25,18.375,18.5,18.25,18.5,6.766417,20100
1994-07-26,18.5,18.625,18.375,18.5,6.766417,14200
1994-07-27,18.375,18.375,18.125,18.25,6.674977,10100
1994-07-28,18.125,18.125,17.875,17.875,6.537824,9200
1994-07-29,17.875,17.875,17.625,17.75,6.492101,71400
1994-08-01,17.75,17.75,17.625,17.625,6.446384,23500
1994-08-02,17.625,18.125,17.625,18.125,6.62926,36700
1994-08-03,18.125,18.375,17.875,18.375,6.720698,16300
1994-08-04,18.375,18.375,17.875,18.0,6.583542,19800
1994-08-05,18.0,18.0,17.875,18.0,6.583542,9100
1994-08-08,18.0,18.125,17.875,18.0,6.583542,20100
1994-08-09,17.875,17.875,17.75,17.75,6.492101,26700
1994-08-10,17.75,18.125,17.75,18.125,6.62926,52600
1994-08-11,18.125,18.25,17.875,17.875,6.537824,15800
1994-08-12,17.875,18.125,17.875,18.0,6.583542,6100
1994-08-15,18.0,18.0,17.875,17.875,6.537824,14400
1994-08-16,17.875,18.125,17.875,18.125,6.62926,16800
1994-08-17,18.125,18.125,18.0,18.125,6.62926,14500
1994-08-18,18.0,18.0,17.875,18.0,6.583542,11500
1994-08-19,18.0,18.125,17.875,18.0,6.583542,10300
1994-08-22,18.0,18.125,18.0,18.125,6.62926,6500
1994-08-23,18.125,18.125,18.0,18.125,6.62926,9600
1994-08-24,18.125,18.125,18.0,18.125,6.62926,18300
1994-08-25,18.125,18.125,17.75,17.75,6.492101,12800
1994-08-26,17.75,18.0,17.75,18.0,6.583542,13400
1994-08-29,18.0,18.125,17.875,18.125,6.62926,11900
1994-08-30,18.125,18.25,18.0,18.25,6.674977,39400
1994-08-31,18.25,18.5,18.25,18.375,6.720698,23900
1994-09-01,18.375,18.5,18.25,18.5,6.766417,31400
1994-09-02,18.5,19.0,18.375,19.0,6.949291,27800
1994-09-06,18.875,18.875,18.625,18.75,6.857854,8800
1994-09-07,18.75,18.875,18.625,18.75,6.857854,10800
1994-09-08,18.75,18.875,18.625,18.625,6.812134,7100
1994-09-09,18.625,18.75,18.25,18.625,6.812134,17800
1994-09-12,18.625,18.75,18.625,18.75,6.857854,9300
1994-09-13,18.75,18.75,18.5,18.5,6.766417,11400
1994-09-14,18.5,18.625,18.375,18.375,6.720698,7800
1994-09-15,18.375,18.625,18.25,18.625,6.812134,8700
1994-09-16,18.625,18.625,18.25,18.25,6.674977,10700
1994-09-19,18.25,18.5,18.125,18.5,6.766417,7200
1994-09-20,18.5,18.75,18.5,18.625,6.812134,11700
1994-09-21,18.625,18.625,18.125,18.375,6.720698,12800
1994-09-22,18.375,18.375,17.875,18.0,6.583542,20400
1994-09-23,18.0,18.0,17.625,17.875,6.537824,5500
1994-09-26,17.875,18.0,17.125,18.0,6.583542,18000
1994-09-27,18.0,18.125,17.875,18.0,6.583542,5300
1994-09-28,18.0,18.0,17.375,17.375,6.354949,9200
1994-09-29,17.5,17.875,17.5,17.875,6.537824,6300
1994-09-30,17.875,18.0,17.75,18.0,6.583542,6400
1994-10-03,18.0,18.0,17.75,17.75,6.492101,5900
1994-10-04,17.75,18.0,17.75,17.75,6.492101,5500
1994-10-05,17.75,17.75,16.875,17.0,6.217787,15300
1994-10-06,17.0,17.125,16.75,16.75,6.126352,35900
1994-10-07,16.875,17.0,16.875,17.0,6.217787,36500
1994-10-10,17.0,17.375,17.0,17.0,6.217787,23700
1994-10-11,17.0,17.0,16.5,16.75,6.126352,32900
1994-10-12,16.75,17.0,16.75,17.0,6.217787,12700
1994-10-13,17.0,17.0,16.75,16.75,6.126352,6400
1994-10-14,16.75,16.75,16.5,16.625,6.080631,10200
1994-10-17,16.75,16.875,16.75,16.875,6.172068,8100
1994-10-18,16.875,17.25,16.875,16.875,6.172068,24700
1994-10-19,16.875,16.875,16.625,16.75,6.126352,9200
1994-10-20,16.75,17.0,16.5,16.875,6.172068,20700
1994-10-21,16.875,17.125,16.875,17.125,6.26351,5000
