Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.2375,1.25625,1.2375,1.2375,0.566468,472000
1980-03-18,1.2375,1.25,1.23125,1.24375,0.569329,236000
1980-03-19,1.24375,1.24375,1.23125,1.2375,0.566468,628000
1980-03-20,1.2375,1.24375,1.225,1.2375,0.566468,2100000
1980-03-21,1.2375,1.24375,1.2125,1.21875,0.557885,106000
1980-03-24,1.21875,1.225,1.15625,1.15625,0.529275,604000
1980-03-25,1.15625,1.175,1.10625,1.11875,0.51211,1182000
1980-03-26,1.11875,1.1375,1.1125,1.1125,0.509249,170000
1980-03-27,1.1,1.1,1.08125,1.0875,0.497805,524000
1980-03-28,1.1,1.14375,1.1,1.125,0.514971,2270000
1980-03-31,1.125,1.125,1.10625,1.10625,0.506388,354000
1980-04-01,1.10625,1.125,1.1,1.125,0.514971,388000
1980-04-02,1.125,1.14375,1.1125,1.14375,0.523554,164000
1980-04-03,1.14375,1.15625,1.1375,1.14375,0.523554,1116000
1980-04-07,1.14375,1.15,1.125,1.125,0.514971,934000
1980-04-08,1.125,1.1625,1.125,1.1375,0.520692,804000
1980-04-09,1.14375,1.1625,1.14375,1.1625,0.532136,138000
1980-04-10,1.18125,1.225,1.18125,1.2125,0.555024,230000
1980-04-11,1.2125,1.24375,1.2125,1.225,0.560746,222000
1980-04-14,1.225,1.24375,1.2,1.2125,0.555024,964000
1980-04-15,1.2,1.2,1.18125,1.18125,0.540719,180000
1980-04-16,1.18125,1.19375,1.15625,1.15625,0.529275,170000
1980-04-17,1.15,1.15,1.0875,1.0875,0.497805,1444000
1980-04-18,1.09375,1.11875,1.09375,1.11875,0.51211,1018000
1980-04-21,1.1125,1.1125,1.09375,1.09375,0.500666,352000
1980-04-22,1.10625,1.13125,1.10625,1.13125,0.517832,760000
1980-04-23,1.13125,1.1375,1.13125,1.13125,0.517832,456000
1980-04-24,1.13125,1.1375,1.13125,1.1375,0.520692,116000
1980-04-25,1.125,1.125,1.1,1.1,0.503527,1032000
1980-04-28,1.1,1.1125,1.0875,1.1,0.503527,696000
1980-04-29,1.1,1.13125,1.1,1.13125,0.517832,586000
1980-04-30,1.13125,1.1375,1.10625,1.1375,0.520692,1036000
1980-05-01,1.1375,1.15,1.13125,1.14375,0.523554,1054000
1980-05-02,1.1375,1.1375,1.125,1.125,0.514971,302000
1980-05-05,1.125,1.15,1.125,1.15,0.526415,596000
1980-05-06,1.15,1.16875,1.15,1.15,0.526415,208000
1980-05-07,1.15,1.175,1.15,1.1625,0.532136,278000
1980-05-08,1.1625,1.1875,1.15,1.1625,0.532136,742000
1980-05-09,1.16875,1.1875,1.16875,1.175,0.537858,326000
1980-05-12,1.175,1.175,1.1625,1.1625,0.532136,172000
1980-05-13,1.1625,1.18125,1.15625,1.18125,0.540719,82000
1980-05-14,1.18125,1.19375,1.16875,1.16875,0.534997,134000
1980-05-15,1.16875,1.18125,1.1625,1.18125,0.540719,144000
1980-05-16,1.19375,1.21875,1.19375,1.2,0.549302,1072000
1980-05-19,1.2,1.2125,1.2,1.2125,0.555024,94000
1980-05-20,1.2125,1.2125,1.19375,1.19375,0.546441,606000
1980-05-21,1.18125,1.18125,1.1375,1.1375,0.520692,430000
1980-05-22,1.1375,1.175,1.13125,1.1625,0.532136,786000
1980-05-23,1.175,1.225,1.175,1.2,0.549302,604000
1980-05-27,1.2,1.2125,1.2,1.2,0.549302,98000
1980-05-28,1.2,1.2125,1.1875,1.19375,0.546441,160000
1980-05-29,1.19375,1.20625,1.175,1.18125,0.540719,350000
1980-05-30,1.175,1.175,1.15625,1.175,0.537858,178000
1980-06-02,1.175,1.1875,1.175,1.1875,0.54358,46000
1980-06-03,1.1875,1.1875,1.1625,1.16875,0.534997,1074000
1980-06-04,1.16875,1.2,1.16875,1.1875,0.54358,450000
1980-06-05,1.2125,1.2375,1.2125,1.225,0.560746,1068000
1980-06-06,1.225,1.23125,1.2,1.2,0.549302,238000
1980-06-09,1.2,1.21875,1.18125,1.1875,0.54358,338000
1980-06-10,1.1875,1.2,1.16875,1.16875,0.534997,1426000
1980-06-11,1.16875,1.225,1.1625,1.2,0.549302,1442000
1980-06-12,1.2,1.225,1.2,1.2125,0.555024,342000
1980-06-13,1.2125,1.21875,1.2,1.2125,0.555024,1508000
1980-06-16,1.2125,1.225,1.2,1.2125,0.555024,1192000
1980-06-17,1.2125,1.225,1.2125,1.225,0.560746,734000
1980-06-18,1.21875,1.21875,1.18125,1.21875,0.557885,178000
1980-06-19,1.21875,1.225,1.19375,1.19375,0.546441,454000
1980-06-20,1.1875,1.1875,1.1625,1.175,0.537858,126000
1980-06-23,1.175,1.19375,1.16875,1.175,0.537858,208000
1980-06-24,1.175,1.19375,1.15625,1.16875,0.534997,810000
1980-06-25,1.16875,1.175,1.15,1.1625,0.532136,218000
1980-06-26,1.1625,1.18125,1.15,1.16875,0.534997,522000
1980-06-27,1.16875,1.19375,1.16875,1.19375,0.546441,164000
1980-06-30,1.19375,1.2125,1.18125,1.18125,0.540719,558000
1980-07-01,1.18125,1.2,1.18125,1.18125,0.540719,1698000
1980-07-02,1.18125,1.2125,1.18125,1.2125,0.555024,1040000
1980-07-03,1.2125,1.23125,1.20625,1.23125,0.563607,308000
1980-07-07,1.23125,1.25,1.23125,1.23125,0.563607,290000
1980-07-08,1.23125,1.25,1.20625,1.21875,0.557885,614000
1980-07-09,1.21875,1.225,1.2,1.2,0.549302,528000
1980-07-10,1.20625,1.21875,1.20625,1.21875,0.557885,200000
1980-07-11,1.21875,1.2375,1.2125,1.2375,0.566468,878000
1980-07-14,1.25,1.28125,1.25,1.275,0.583633,1204000
1980-07-15,1.275,1.29375,1.25,1.25,0.57219,930000
1980-07-16,1.25,1.275,1.2375,1.2625,0.577912,726000
1980-07-17,1.275,1.29375,1.275,1.29375,0.592216,202000
1980-07-18,1.29375,1.325,1.28125,1.3125,0.600799,1464000
1980-07-21,1.3125,1.325,1.3125,1.3125,0.600799,202000
1980-07-22,1.3125,1.325,1.3125,1.3125,0.600799,968000
1980-07-23,1.3125,1.325,1.3125,1.3125,0.600799,562000
1980-07-24,1.3125,1.31875,1.2875,1.29375,0.592216,244000
1980-07-25,1.28125,1.28125,1.25,1.2625,0.577912,96000
1980-07-28,1.2625,1.2625,1.2375,1.25,0.57219,516000
1980-07-29,1.25,1.25625,1.23125,1.23125,0.563607,228000
1980-07-30,1.23125,1.2625,1.21875,1.2625,0.577912,1088000
1980-07-31,1.2625,1.2625,1.23125,1.2625,0.577912,1078000
1980-08-01,1.2625,1.2625,1.24375,1.2625,0.577912,336000
1980-08-04,1.2625,1.26875,1.25,1.26875,0.580772,594000
1980-08-05,1.26875,1.26875,1.25,1.2625,0.577912,610000
1980-08-06,1.2625,1.2625,1.24375,1.2625,0.577912,688000
1980-08-07,1.2625,1.29375,1.25625,1.2875,0.589356,826000
1980-08-08,1.3,1.31875,1.3,1.31875,0.60366,1946000
1980-08-11,1.31875,1.33125,1.2875,1.325,0.606521,522000
1980-08-12,1.325,1.3625,1.31875,1.3375,0.612243,498000
1980-08-13,1.3375,1.3375,1.31875,1.325,0.606521,344000
1980-08-14,1.325,1.3375,1.31875,1.3375,0.612243,198000
1980-08-15,1.3375,1.34375,1.325,1.3375,0.612243,550000
1980-08-18,1.3375,1.34375,1.31875,1.31875,0.60366,180000
1980-08-19,1.31875,1.33125,1.3,1.3125,0.600799,270000
1980-08-20,1.3125,1.325,1.30625,1.31875,0.60366,638000
1980-08-21,1.31875,1.33125,1.30625,1.33125,0.609382,1192000
1980-08-22,1.33125,1.35,1.33125,1.35,0.617965,544000
1980-08-25,1.35,1.35625,1.3375,1.3375,0.612243,198000
1980-08-26,1.3375,1.35,1.3125,1.325,0.606521,1546000
1980-08-27,1.31875,1.31875,1.3,1.30625,0.597938,814000
1980-08-28,1.2875,1.2875,1.225,1.225,0.560746,938000
1980-08-29,1.225,1.28125,1.225,1.25,0.57219,262000
1980-09-02,1.25,1.275,1.24375,1.2625,0.577912,226000
1980-09-03,1.26875,1.2875,1.26875,1.2875,0.589356,302000
1980-09-04,1.2875,1.3,1.28125,1.28125,0.586494,992000
1980-09-05,1.28125,1.29375,1.2625,1.26875,0.580772,584000
